LSOA11CD,All categories: Long-term health problem or disability,Day-to-day activities limited a lot,Day-to-day activities limited a little,Day-to-day activities not limited,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
E01003315,1287,80,83,1124,38,56,851,657,435,134,44,17,1202,53,7,25
E01003316,1482,103,110,1269,51,63,923,780,469,162,53,18,1336,103,15,28
E01003317,1882,123,126,1633,57,78,1119,917,666,214,57,28,1712,119,21,30
E01003318,1638,161,137,1340,96,103,1007,774,532,247,68,17,1526,69,18,25
E01003319,1831,160,155,1516,93,75,1030,808,657,237,98,31,1654,102,28,47
E01003320,1494,133,106,1255,82,76,878,669,523,189,85,28,1355,87,20,32
E01003321,1961,182,144,1635,122,95,1140,882,700,246,100,33,1811,93,26,31
E01003322,1429,104,119,1206,64,80,868,704,462,180,63,20,1307,91,15,16
E01003323,1485,108,134,1243,69,79,912,680,511,215,60,19,1344,90,23,28
E01003324,1467,120,128,1219,63,91,873,620,550,198,70,29,1365,60,16,26
E01003325,1729,105,119,1505,58,71,1013,840,618,189,61,21,1586,90,27,26
E01003326,1475,143,136,1196,49,55,838,655,507,236,54,23,1363,61,20,31
E01003327,1796,91,123,1582,42,69,1200,905,671,146,52,22,1644,73,39,40
E01003328,1718,160,139,1419,86,73,1053,785,596,220,88,29,1596,81,9,32
E01003329,1590,97,84,1409,56,62,990,837,523,153,59,18,1458,95,14,23
E01003330,1550,117,118,1315,53,63,815,750,533,198,52,17,1419,86,26,19
E01003331,1412,156,136,1120,62,76,743,619,462,220,89,22,1301,71,15,25
E01003332,1467,105,105,1257,54,60,910,688,516,172,64,27,1352,70,18,27
E01003333,1542,109,105,1328,58,72,958,762,542,169,50,19,1411,59,27,45
E01003334,1660,175,138,1347,81,84,1003,722,598,247,73,20,1517,84,24,35
E01003335,1395,110,126,1159,71,83,785,647,483,188,59,18,1274,83,19,19
E01003336,1378,126,141,1111,78,74,735,616,459,205,76,22,1267,50,28,33
E01003337,1636,106,90,1440,70,58,899,879,511,161,61,24,1499,84,22,31
E01003338,1784,140,144,1500,73,90,1068,830,594,254,76,30,1652,71,24,37
E01003339,1760,133,112,1515,69,74,1137,902,590,173,73,22,1629,83,20,28
E01003340,1906,95,105,1706,66,72,1425,1048,610,167,56,25,1777,97,15,17
E01003341,1508,80,112,1316,41,69,1004,782,512,162,45,7,1383,86,23,16
E01003342,1641,70,107,1464,42,75,1143,855,604,132,40,10,1526,92,6,17
E01003343,1356,77,131,1148,41,95,861,641,493,152,60,10,1236,91,15,14
E01003344,1731,100,90,1541,57,60,1223,870,601,180,62,18,1607,81,15,28
E01003345,1714,84,105,1525,54,76,1233,894,583,165,58,14,1599,74,17,24
E01003346,1537,132,110,1295,59,69,855,708,520,206,78,25,1401,85,17,34
E01003347,1735,139,138,1458,89,96,860,800,594,218,90,33,1585,87,22,41
E01003348,1459,132,136,1191,67,69,797,638,515,215,64,27,1295,83,36,45
E01003349,1412,135,130,1147,79,68,723,628,470,230,55,29,1279,58,29,46
E01003350,1412,139,137,1136,79,88,698,611,496,201,69,35,1274,66,32,40
E01003351,1463,163,131,1169,71,62,722,642,495,215,80,31,1332,66,20,45
E01003352,1816,157,169,1490,79,85,972,838,595,275,86,22,1626,109,35,46
E01003353,1740,121,129,1490,57,65,1021,835,613,205,65,22,1568,102,38,32
E01003354,1675,92,108,1475,46,56,1027,823,626,158,54,14,1549,70,28,28
E01032564,1312,111,108,1093,61,57,686,617,426,190,60,19,1193,62,17,40
E01032565,1392,171,121,1100,76,63,702,601,480,185,102,24,1274,64,21,33
E01032579,1460,108,122,1230,78,93,940,712,487,171,62,28,1335,73,25,27
E01033320,1496,104,119,1273,56,82,949,744,502,177,60,13,1383,72,21,20
E01033322,1267,61,63,1143,44,47,939,718,397,117,23,12,1174,70,14,9
E01033324,1597,111,149,1337,55,76,1014,760,530,209,77,21,1469,78,17,33
E01033325,1205,18,27,1160,15,24,1094,760,389,48,5,3,1187,12,2,4
E01033327,1527,107,95,1325,59,60,1063,788,481,193,47,18,1425,62,18,22
E01033341,1303,75,83,1145,47,59,811,651,468,129,42,13,1209,48,27,19
