OA11CD,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,No Religion,Not Stated
E00016465,60.07067137809187,2.1201413427561837,0.0,1.0600706713780919,4.946996466431095,0.0,0.0,21.908127208480565,9.89399293286219
E00016466,52.09125475285171,0.7604562737642585,0.0,0.0,2.2813688212927756,0.0,1.1406844106463878,34.60076045627376,9.125475285171103
E00016475,56.16438356164384,3.65296803652968,2.2831050228310503,1.36986301369863,5.936073059360731,0.45662100456621,1.36986301369863,24.65753424657534,4.109589041095891
E00016476,62.45733788395904,1.023890784982935,0.3412969283276451,0.3412969283276451,11.262798634812286,0.0,0.0,17.747440273037544,6.825938566552901
E00016478,58.60215053763441,0.0,0.0,0.0,4.838709677419355,0.0,0.5376344086021505,30.107526881720432,5.913978494623656
E00016479,57.93650793650794,1.5873015873015872,0.0,0.0,8.333333333333334,0.0,0.0,26.58730158730159,5.555555555555555
E00016480,52.72108843537415,1.7006802721088434,1.7006802721088434,0.0,13.26530612244898,1.3605442176870748,0.3401360544217687,21.768707482993197,7.142857142857143
E00016482,65.09803921568627,0.0,0.39215686274509803,0.39215686274509803,12.549019607843137,0.0,0.0,14.509803921568627,7.0588235294117645
E00016468,51.1520737327189,0.9216589861751152,0.4608294930875576,0.4608294930875576,1.8433179723502304,0.0,0.0,35.02304147465438,10.138248847926267
E00016470,50.62761506276151,0.41841004184100417,0.0,1.2552301255230125,1.2552301255230125,0.0,1.2552301255230125,34.72803347280335,10.460251046025105
E00016473,54.45544554455446,0.0,1.3201320132013201,0.0,3.9603960396039604,0.0,0.33003300330033003,33.333333333333336,6.600660066006601
E00016474,52.569169960474305,0.0,2.766798418972332,1.1857707509881423,3.1620553359683794,0.0,1.5810276679841897,25.691699604743082,13.043478260869565
E00016477,50.85324232081911,0.6825938566552902,0.0,0.0,2.04778156996587,0.0,1.023890784982935,38.225255972696246,7.167235494880546
E00016481,49.03225806451613,0.6451612903225806,0.0,0.0,8.709677419354838,0.3225806451612903,0.6451612903225806,30.64516129032258,10.0
E00016126,66.45569620253164,1.2658227848101267,0.31645569620253167,0.0,5.69620253164557,0.31645569620253167,0.31645569620253167,18.037974683544302,7.594936708860759
E00016127,69.85645933014354,0.23923444976076555,0.0,0.23923444976076555,4.784688995215311,0.9569377990430622,0.23923444976076555,15.55023923444976,8.133971291866029
E00016131,52.38095238095238,0.9523809523809523,2.2222222222222223,0.6349206349206349,5.396825396825397,0.31746031746031744,0.0,24.761904761904763,13.333333333333334
E00016134,69.140625,0.78125,0.0,0.0,0.0,0.0,0.390625,22.265625,7.421875
E00016140,59.6958174904943,1.520912547528517,1.9011406844106464,0.0,5.7034220532319395,0.0,0.38022813688212925,22.433460076045627,8.365019011406844
