LSOA11CD,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,Other religion: Animism,Other religion: Baha'i,Other religion: Believe in God,Other religion: Brahma Kumari,Other religion: Chinese Religion,Other religion: Church of All Religion,Other religion: Confucianist,Other religion: Deist,Other religion: Druid,Other religion: Druze,Other religion: Eckankar,Other religion: Heathen,Other religion: Jain,Other religion: Mixed Religion,Other religion: Mysticism,Other religion: Native American Church,Other religion: New Age,Other religion: Occult,Other religion: Own Belief System,Other religion: Pagan,Other religion: Pantheism,Other religion: Rastafarian,Other religion: Ravidassia,Other religion: Reconstructionist,Other religion: Satanism,Other religion: Scientology,Other religion: Shamanism,Other religion: Shintoism,Other religion: Spiritual,Other religion: Spiritualist,Other religion: Taoist,Other religion: Theism,Other religion: Thelemite,Other religion: Traditional African Religion,Other religion: Unification Church,Other religion: Universalist,Other religion: Vodun,Other religion: Wicca,Other religion: Witchcraft,Other religion: Zoroastrian,Other religion: Other religions,No religion: Total,No religion: No religion,No religion: Agnostic,No religion: Atheist,No religion: Free Thinker,No religion: Heavy Metal,No religion: Humanist,No religion: Jedi Knight,No religion: Realist,Religion not stated
E01003296,2046,959,43,167,6,150,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,565,552,0,3,0,0,0,10,0,137
E01003297,1538,961,10,24,2,143,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,289,285,1,0,0,0,0,3,0,103
E01003298,1292,690,63,19,0,136,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,248,1,1,0,0,0,13,0,116
E01003299,1623,773,16,10,2,147,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,518,508,3,0,0,0,0,7,0,148
E01003300,1356,741,55,4,5,129,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,298,291,0,0,0,0,0,7,0,117
E01003301,2166,1066,72,23,2,192,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,2,0,0,2,2,6,0,0,0,0,0,0,0,0,1,1,569,553,2,1,0,0,0,13,0,218
E01003302,1509,785,64,36,4,177,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,314,312,1,0,0,0,0,1,0,122
E01003303,1550,720,41,38,9,172,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,434,422,3,4,0,0,0,5,0,123
E01003304,1890,872,81,30,7,230,7,18,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,5,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,469,464,3,0,0,0,0,2,0,176
E01003305,1372,760,30,9,7,88,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,337,327,0,6,0,0,2,2,0,133
E01003307,1521,803,12,29,0,70,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,1,439,431,0,2,0,0,0,6,0,159
E01003308,1824,947,15,33,5,77,7,9,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,538,526,1,3,0,0,0,8,0,193
E01003309,1510,840,11,5,5,126,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365,352,1,1,1,0,1,9,0,147
E01003310,1559,824,23,26,3,115,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,436,425,1,0,0,0,1,9,0,125
E01003311,1546,817,15,37,0,79,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,452,442,5,2,0,0,0,3,0,136
E01003312,1760,888,15,13,5,103,10,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,1,567,556,0,1,0,0,1,9,0,148
E01003313,1530,728,11,27,5,126,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,1,498,490,3,0,0,1,2,2,0,122
E01003314,1599,812,16,16,4,82,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,495,484,1,1,0,0,3,6,0,158
