OA11CD,English is main language,Can speak English well or very well,Cannot speak English well or at all
E00016589,92.98245614035088,5.614035087719298,1.4035087719298245
E00016595,78.5425101214575,19.02834008097166,2.42914979757085
E00016597,84.44444444444444,10.222222222222221,5.333333333333334
E00016599,87.41007194244604,11.870503597122301,0.7194244604316546
E00016601,74.92063492063492,17.77777777777778,7.301587301587301
E00016607,84.65608465608466,12.16931216931217,3.1746031746031744
E00016573,88.15789473684211,9.539473684210526,2.3026315789473686
E00016579,73.2484076433121,21.656050955414013,5.095541401273885
E00016580,87.3972602739726,11.780821917808218,0.821917808219178
E00016581,78.15315315315316,17.117117117117118,4.72972972972973
E00016582,86.22327790973871,12.351543942992873,1.4251781472684086
E00016546,73.56687898089172,21.974522292993633,4.4585987261146505
E00016547,89.44844124700239,8.15347721822542,2.3980815347721824
E00016548,85.62691131498471,11.62079510703364,2.7522935779816513
E00016550,80.2547770700637,15.286624203821656,4.4585987261146505
E00016583,91.86046511627907,7.3643410852713185,0.7751937984496124
E00016542,80.0,16.0,4.0
E00016552,80.71895424836602,16.33986928104575,2.9411764705882355
E00016554,78.20069204152249,15.570934256055363,6.228373702422146
E00016555,88.95027624309392,8.287292817679559,2.7624309392265194
E00016556,76.11940298507463,20.597014925373134,3.283582089552239
E00016543,91.5915915915916,7.207207207207207,1.2012012012012012
E00016545,75.23809523809524,18.730158730158728,6.031746031746032
E00016549,83.92370572207085,13.35149863760218,2.7247956403269753
E00016551,87.5912408759124,9.97566909975669,2.4330900243309004
E00016553,80.95238095238095,17.261904761904763,1.7857142857142858
E00016335,87.74509803921569,8.823529411764707,3.431372549019608
E00016336,82.45614035087719,13.450292397660819,4.093567251461988
E00016339,90.42904290429043,9.24092409240924,0.33003300330033003
E00016340,90.06410256410257,7.371794871794872,2.5641025641025643
E00016341,91.9298245614035,5.2631578947368425,2.807017543859649
E00016309,84.30034129692832,14.334470989761094,1.36518771331058
E00016323,84.2741935483871,15.322580645161288,0.4032258064516129
E00016324,81.203007518797,16.541353383458645,2.255639097744361
E00016325,73.79310344827586,23.448275862068964,2.7586206896551726
E00016327,82.85714285714286,14.642857142857142,2.5
E00016326,88.85017421602788,8.362369337979095,2.7874564459930316
E00016329,84.89583333333333,14.322916666666668,0.78125
E00016332,85.44973544973546,12.433862433862434,2.1164021164021163
E00016333,89.55223880597015,8.955223880597014,1.4925373134328357
E00016337,89.47368421052632,7.120743034055727,3.4055727554179565
E00016311,88.55218855218855,8.754208754208754,2.6936026936026938
E00016328,93.22709163346613,6.772908366533865,0.0
E00016330,84.64730290456431,13.278008298755186,2.074688796680498
E00016331,77.8082191780822,19.45205479452055,2.7397260273972606
E00016334,83.15098468271334,13.566739606126914,3.2822757111597376
E00016613,84.89583333333333,13.020833333333334,2.0833333333333335
E00016614,79.84084880636605,15.915119363395227,4.244031830238727
E00016615,80.95238095238095,15.986394557823129,3.061224489795918
E00016618,84.6774193548387,14.112903225806452,1.2096774193548387
E00016621,91.34199134199135,6.926406926406926,1.7316017316017316
E00016609,90.44117647058823,7.352941176470588,2.2058823529411766
E00016617,90.5775075987842,7.598784194528875,1.8237082066869301
E00016619,95.73770491803279,3.60655737704918,0.6557377049180327
