OA11CD,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E00016353,90.75907590759076,4.29042904290429,2.9702970297029703,1.6501650165016502,0.33003300330033003
E00016360,89.97555012224939,5.623471882640587,3.9119804400977993,0.4889975550122249,0.0
E00016380,91.55555555555556,3.5555555555555554,3.5555555555555554,1.3333333333333333,0.0
E00016389,88.84892086330935,4.316546762589928,6.115107913669065,0.7194244604316546,0.0
E00016390,86.17511520737327,6.912442396313364,5.529953917050691,1.3824884792626728,0.0
E00016392,95.3307392996109,2.3346303501945527,2.3346303501945527,0.0,0.0
E00016359,87.24832214765101,5.704697986577181,4.3624161073825505,2.684563758389262,0.0
E00016384,79.17981072555204,7.570977917981073,7.570977917981073,5.678233438485805,0.0
E00016385,88.4297520661157,4.683195592286501,5.234159779614325,1.3774104683195592,0.27548209366391185
E00016386,87.43961352657004,6.280193236714976,4.3478260869565215,1.4492753623188406,0.4830917874396135
E00016388,82.73615635179154,6.840390879478828,8.794788273615636,1.6286644951140066,0.0
E00016346,86.38297872340425,5.957446808510638,6.382978723404255,1.2765957446808511,0.0
E00016354,80.09708737864078,3.883495145631068,10.194174757281553,5.339805825242719,0.4854368932038835
E00016357,79.66666666666667,8.0,8.0,4.0,0.3333333333333333
E00016358,83.1275720164609,6.172839506172839,6.995884773662551,3.7037037037037037,0.0
E00016391,81.87919463087249,5.033557046979865,7.718120805369128,5.033557046979865,0.33557046979865773
E00016362,89.64401294498381,5.825242718446602,2.912621359223301,1.2944983818770226,0.32362459546925565
E00016364,91.35338345864662,4.135338345864661,2.6315789473684212,1.8796992481203008,0.0
E00016365,93.20388349514563,1.941747572815534,2.4271844660194173,2.4271844660194173,0.0
E00016394,91.60839160839161,2.797202797202797,3.4965034965034967,1.3986013986013985,0.6993006993006993
E00165789,92.25092250922509,2.952029520295203,2.952029520295203,1.845018450184502,0.0
E00016678,75.69721115537848,8.366533864541832,6.772908366533865,7.569721115537849,1.593625498007968
E00016722,82.96703296703296,6.043956043956044,7.142857142857143,2.7472527472527473,1.098901098901099
E00016724,74.45255474452554,16.05839416058394,5.839416058394161,2.9197080291970803,0.7299270072992701
E00016727,76.1006289308176,8.49056603773585,6.918238993710692,7.861635220125786,0.6289308176100629
E00016676,77.95275590551181,7.480314960629921,9.05511811023622,4.330708661417323,1.1811023622047243
E00016685,79.40199335548172,6.644518272425249,7.308970099667774,5.647840531561462,0.9966777408637874
E00016690,81.33802816901408,6.338028169014085,7.394366197183099,3.8732394366197185,1.056338028169014
E00016691,73.92857142857143,10.714285714285714,9.642857142857142,3.9285714285714284,1.7857142857142858
E00016726,75.29411764705883,9.411764705882353,10.0,4.705882352941177,0.5882352941176471
E00016688,72.22222222222223,10.76388888888889,11.11111111111111,5.555555555555555,0.3472222222222222
E00016695,75.34722222222223,8.680555555555555,7.638888888888889,5.902777777777778,2.4305555555555554
E00016705,57.563025210084035,13.865546218487395,19.327731092436974,7.563025210084033,1.680672268907563
E00016710,65.359477124183,14.379084967320262,13.398692810457517,6.5359477124183005,0.32679738562091504
E00016712,65.14285714285714,15.714285714285714,12.285714285714286,5.142857142857143,1.7142857142857142
E00016682,63.87665198237885,18.502202643171806,14.09691629955947,3.0837004405286343,0.44052863436123346
E00016686,74.0506329113924,10.443037974683545,10.126582278481013,4.113924050632911,1.2658227848101267
E00016699,75.97173144876325,9.540636042402827,6.007067137809187,7.420494699646643,1.0600706713780919
