LSOA11CD,Total,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E01003199,1631,1429,0,0,0,0,0,0,0,0,0,15,12,14,59,3,15,15,0,0,0,7,4,0,0,2,3,5,1,4,0,0,0,0,14,11,0,1,0,2,0,0,0,9,12,1,16,0,6,4,1,5,20,1,5,0,0,2,2,1,2,5,0,0,1,1,19,0,6,7,2,0,3,0,0,1,0,0,0,0,0,0,11,0,0,1,1,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0
E01003200,1494,1354,0,0,0,0,0,0,0,0,0,8,2,14,37,5,10,8,0,0,0,0,0,0,1,4,5,2,0,1,0,0,0,1,9,4,0,0,0,5,0,0,0,6,11,4,3,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,2,12,0,24,0,3,8,8,4,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0
E01003201,1591,1368,1,0,0,0,0,0,0,0,0,20,5,26,52,6,8,12,1,3,1,5,0,0,10,2,2,1,0,0,0,0,1,0,17,15,0,1,0,1,0,0,0,1,18,3,1,0,0,1,0,0,15,1,3,0,0,0,0,0,5,6,0,0,0,0,37,12,2,13,2,0,3,4,0,0,1,0,0,0,0,0,24,0,1,8,1,3,0,0,4,4,0,0,2,0,0,1,1,1,2,2,0,0
E01003202,1490,1315,0,0,0,0,0,0,0,0,0,30,10,24,50,14,4,8,1,1,1,1,1,0,3,2,0,2,5,1,1,0,1,4,3,1,1,0,0,1,0,0,0,7,6,3,2,0,0,0,1,1,7,1,0,0,0,0,1,0,2,1,0,0,0,2,23,3,3,6,6,1,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,5,5,0,0,0,0
E01003203,1688,1396,0,0,0,0,0,0,0,0,0,30,10,19,99,11,18,36,0,2,8,4,3,1,4,2,4,2,1,1,2,0,0,0,12,3,5,4,0,0,0,0,0,11,9,5,1,0,1,0,0,0,36,0,3,0,0,5,0,0,0,15,2,0,10,1,36,3,4,22,1,1,1,0,1,2,1,0,0,0,0,0,23,0,0,2,1,0,2,4,1,0,0,2,1,9,1,0,1,1,0,0,0,0
E01003204,1316,1132,0,0,0,0,0,0,0,0,0,24,5,4,54,1,9,11,0,2,0,0,0,2,16,1,6,1,4,1,0,0,0,0,18,14,1,3,0,0,0,0,0,2,11,0,11,0,0,7,3,1,18,0,0,1,0,1,0,0,0,12,0,0,4,0,18,0,2,8,5,0,2,0,0,1,0,0,0,0,0,0,19,0,0,3,0,0,4,2,0,2,5,0,1,0,2,0,0,0,0,0,0,0
E01003205,1283,1029,0,1,1,0,0,0,0,0,0,18,19,6,23,5,1,4,0,4,4,1,0,0,0,1,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,4,8,5,11,0,3,0,8,0,41,2,1,0,0,5,9,0,1,22,0,0,0,1,50,4,21,11,0,0,12,1,0,1,0,0,0,0,0,0,59,6,2,6,0,4,13,1,22,0,1,1,0,1,1,1,1,1,0,0,0,0
E01003206,1475,1233,0,0,0,0,0,0,0,0,0,37,13,23,55,4,13,12,0,0,0,1,0,5,9,3,6,0,0,0,1,0,1,0,21,18,1,2,0,0,0,0,0,1,9,3,1,0,0,1,0,0,49,3,0,0,0,5,0,2,0,37,0,0,0,2,23,2,0,9,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
E01003207,1348,1065,0,0,0,0,0,0,0,0,0,27,18,25,55,7,5,15,2,7,0,4,4,2,0,2,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,7,4,14,1,10,1,1,1,23,5,0,0,0,12,0,0,0,6,0,0,0,0,62,6,13,24,0,0,13,1,2,3,0,0,0,0,0,0,40,2,1,10,0,4,7,11,0,0,0,0,0,3,2,0,3,3,0,0,0,0
E01003209,1923,1595,1,4,4,0,0,0,0,0,0,50,33,56,69,11,12,11,0,0,6,3,1,1,12,0,1,5,3,2,0,0,0,1,2,1,1,0,0,0,0,0,0,6,8,4,14,0,2,5,7,0,20,8,0,0,0,3,0,0,0,6,0,0,3,0,32,6,5,6,3,2,7,1,0,2,0,0,0,0,0,0,29,0,4,7,0,2,6,0,2,0,0,2,0,3,2,1,0,0,0,0,0,0
E01003210,1659,1340,0,2,2,0,0,0,0,0,0,25,15,28,105,9,17,33,0,0,7,5,0,2,0,7,8,5,5,5,0,1,0,1,4,3,0,0,0,1,0,0,0,11,14,4,15,1,0,2,10,2,28,3,0,2,0,8,0,0,7,7,1,0,0,0,29,2,9,3,6,0,9,0,0,0,0,0,0,0,0,0,34,0,2,12,0,1,9,5,2,0,0,0,1,0,1,1,1,1,4,4,0,0
E01003211,1490,1272,0,0,0,0,0,0,0,0,0,31,19,19,80,8,16,26,2,0,4,6,0,8,0,3,2,0,1,3,0,0,0,1,5,0,1,2,0,2,0,0,0,1,13,1,2,0,1,1,0,0,6,3,0,0,0,0,1,0,0,2,0,0,0,0,26,8,1,6,4,0,2,3,2,0,0,0,0,1,1,0,11,0,0,0,0,3,6,0,0,0,0,0,0,0,1,1,2,2,1,1,0,0
E01003212,1905,1653,0,1,1,0,0,0,0,0,0,29,10,19,84,24,11,23,1,0,3,2,0,2,4,3,4,2,0,4,0,0,0,1,14,7,0,6,0,1,0,0,0,6,17,5,11,0,0,5,5,1,11,0,0,1,0,2,2,0,0,3,0,0,2,1,29,3,0,10,6,0,8,1,0,0,1,0,0,0,0,0,14,0,0,0,0,2,3,3,1,1,0,0,0,1,1,2,2,2,0,0,0,0
E01003213,1838,1527,1,1,1,0,0,0,0,0,0,44,17,17,111,18,19,34,1,3,0,8,0,1,7,3,7,5,3,0,1,1,0,0,8,4,2,0,0,2,0,0,0,11,10,2,8,0,0,5,0,3,21,2,3,0,0,6,0,0,2,3,2,2,0,1,42,2,9,14,8,6,1,0,2,0,0,0,0,0,0,0,15,2,0,1,0,5,5,0,0,0,0,1,0,1,0,0,1,1,2,2,0,0
E01003214,1673,1419,0,0,0,0,0,0,0,0,0,28,22,16,70,14,12,16,0,1,2,3,0,12,1,3,1,3,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,5,14,8,11,0,0,1,10,0,36,0,16,0,0,7,3,0,0,9,0,0,1,0,10,1,0,1,0,0,6,0,2,0,0,0,0,1,1,0,25,2,0,6,0,3,5,0,1,0,0,0,0,2,3,3,4,4,1,1,0,0
E01003215,1863,1429,2,1,1,0,0,0,0,0,0,41,22,28,96,13,15,23,6,1,0,2,0,8,4,7,5,8,1,1,1,0,1,0,19,2,4,1,0,12,0,0,0,12,15,5,8,1,3,1,2,1,26,9,1,1,7,5,1,0,0,1,0,1,0,0,139,13,14,57,35,7,11,2,0,0,0,0,0,0,0,0,19,0,1,1,0,0,9,1,0,0,0,0,1,3,1,2,1,1,0,0,0,0
E01003216,1784,1513,0,0,0,0,0,0,0,0,0,22,12,23,72,10,7,26,1,5,0,8,5,1,1,5,1,0,0,0,0,0,1,1,9,8,0,0,0,1,0,0,0,14,10,9,3,0,1,2,0,0,43,4,0,0,0,0,0,0,1,33,0,4,1,0,32,1,0,13,0,5,8,5,0,0,0,0,0,1,1,0,18,1,1,0,0,3,8,3,1,0,1,0,0,0,0,0,2,2,1,1,0,0
E01003217,1578,1361,0,0,0,0,0,0,0,0,0,14,7,3,44,8,2,24,0,0,3,2,0,0,0,4,0,1,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,4,11,4,10,0,2,7,1,0,75,4,0,0,0,1,0,0,1,62,0,2,1,4,19,2,4,7,0,0,3,1,0,2,0,0,0,0,0,0,16,1,0,7,0,3,4,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1
E01003218,1441,1255,2,3,0,0,0,1,0,0,2,17,7,5,29,7,2,2,0,1,5,7,0,0,0,3,2,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,14,1,5,0,0,0,3,2,74,2,0,5,0,12,6,0,0,44,4,0,1,0,6,0,1,3,0,1,0,0,0,0,1,0,0,1,1,0,13,0,2,1,0,0,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
E01003219,1599,1375,0,0,0,0,0,0,0,0,0,13,0,9,41,11,2,12,0,1,4,5,0,0,0,4,1,0,1,0,0,0,0,0,14,14,0,0,0,0,0,0,0,7,20,1,10,0,2,2,6,0,73,2,0,9,0,3,6,0,0,53,0,0,0,0,9,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,25,3,0,0,1,1,5,7,1,0,0,1,0,1,1,4,2,2,0,0,0,0
E01003220,1487,1289,0,0,0,0,0,0,0,0,0,17,9,12,59,3,0,35,0,0,0,6,0,3,4,4,2,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,3,6,3,9,0,0,0,8,1,36,5,0,9,0,2,0,0,0,20,0,0,0,0,12,0,2,3,2,1,2,0,0,0,2,0,0,0,0,0,30,3,0,5,0,1,0,5,0,0,2,0,0,2,3,9,0,0,0,0,0,0
E01003221,1865,1585,0,0,0,0,0,0,0,0,0,27,15,6,60,9,3,12,0,0,10,16,1,4,0,2,1,0,1,1,0,0,0,0,10,5,1,3,0,1,0,0,0,8,17,2,25,0,1,15,9,0,58,13,0,2,4,10,3,0,0,21,0,5,0,0,16,2,0,9,3,0,1,0,0,1,0,0,0,0,0,0,33,0,3,12,0,1,10,2,0,0,1,2,0,0,2,0,1,1,2,2,0,0
E01003222,1582,1388,0,1,1,0,0,0,0,0,0,12,4,0,32,8,4,16,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,9,4,5,0,0,0,0,0,0,7,16,1,13,0,0,5,6,2,57,0,0,1,0,1,0,0,0,54,0,0,1,0,24,3,10,5,4,0,0,0,1,1,0,0,0,0,0,0,16,0,0,1,0,4,5,3,0,0,0,1,1,1,0,0,0,0,2,2,0,0
E01003223,1659,1413,0,0,0,0,0,0,0,0,0,11,6,2,59,13,5,26,0,1,1,6,0,2,1,3,0,0,0,0,1,0,0,0,10,4,3,2,0,1,0,0,0,22,38,4,17,0,4,7,3,3,55,12,0,1,7,3,4,0,0,26,0,0,0,2,6,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,16,0,0,4,0,1,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
E01003224,1584,1314,0,0,0,0,0,0,0,0,0,25,20,7,69,14,5,27,2,1,4,6,0,4,3,2,1,0,0,0,0,0,0,0,6,1,0,4,0,1,0,0,0,8,20,5,6,0,5,1,0,0,63,1,1,2,0,6,3,0,0,46,0,4,0,0,15,1,2,4,0,0,0,0,5,3,0,0,0,1,1,0,21,1,0,5,0,1,0,6,0,0,0,2,3,0,1,2,3,3,1,1,0,0
E01003225,1446,1278,1,0,0,0,0,0,0,0,0,11,5,7,69,13,5,33,0,1,2,4,0,5,1,3,0,1,1,0,0,0,0,0,6,4,1,0,0,1,0,0,0,7,17,3,1,0,0,1,0,0,22,3,2,2,0,3,0,0,0,9,1,0,2,0,9,1,2,2,2,0,1,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,2,2,0,1,0,0,3,2,0,1
E01003226,1645,1414,0,3,2,0,0,1,0,0,0,22,3,10,84,9,7,45,3,0,1,9,0,2,0,6,1,1,0,0,0,0,0,0,5,0,2,0,0,3,0,0,0,2,32,0,5,0,0,4,0,1,27,9,3,1,0,4,1,0,0,8,0,0,0,1,21,7,2,5,2,0,1,2,0,2,0,0,0,0,0,0,14,0,2,0,0,0,1,0,1,3,0,4,0,2,0,1,1,1,2,2,0,0
E01003227,1565,1376,0,2,2,0,0,0,0,0,0,13,13,15,76,10,11,27,2,1,11,0,0,3,6,1,3,0,0,0,0,0,0,1,8,7,1,0,0,0,0,0,0,2,11,6,6,1,0,4,1,0,19,13,0,4,0,0,0,0,0,2,0,0,0,0,10,0,3,0,3,0,1,1,0,2,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,3,3,0,0,0,0
E01003228,1411,1287,0,0,0,0,0,0,0,0,0,28,4,7,51,12,9,13,0,1,1,2,0,0,2,2,1,4,2,1,1,0,0,0,3,0,1,1,0,1,0,0,0,1,4,3,1,0,0,1,0,0,9,1,1,0,0,1,5,0,0,1,0,0,0,0,8,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
E01003229,1485,1247,1,0,0,0,0,0,0,0,0,21,16,18,67,23,5,21,1,0,1,7,1,0,3,0,1,1,0,1,1,0,1,0,8,8,0,0,0,0,0,0,0,2,14,10,10,2,3,1,1,3,34,3,2,0,0,0,0,0,0,23,6,0,0,0,20,2,1,10,0,0,5,1,1,0,0,0,0,0,0,0,15,0,0,0,0,4,4,2,0,0,3,0,0,1,1,0,1,1,1,1,0,0
E01003230,1837,1590,2,0,0,0,0,0,0,0,0,23,7,23,91,12,11,43,0,7,2,2,0,3,0,1,2,6,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,5,6,4,4,0,2,2,0,0,27,1,0,0,0,3,4,0,0,19,0,0,0,0,23,3,1,5,8,0,4,1,1,0,0,0,0,0,0,0,25,1,0,0,0,6,6,0,2,0,0,2,5,1,0,2,2,2,3,3,0,0
E01003231,1510,1226,0,1,1,0,0,0,0,0,0,14,7,38,103,13,10,54,2,4,5,0,0,4,3,1,5,1,0,0,1,0,0,0,7,4,0,2,0,1,0,0,0,1,4,21,10,0,0,8,0,2,40,7,10,4,0,5,0,0,0,7,7,0,0,0,9,0,0,4,3,0,0,0,0,1,1,0,0,0,0,0,26,0,1,5,0,4,2,5,4,0,0,2,2,1,0,0,1,1,2,0,0,2
E01003232,1640,1433,0,0,0,0,0,0,0,0,0,16,10,16,70,12,2,34,1,1,5,4,0,1,1,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,2,1,0,0,1,0,22,3,0,2,0,1,0,0,0,9,7,0,0,0,34,0,3,6,1,0,11,12,0,1,0,0,0,0,0,0,12,0,1,5,0,2,2,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0
E01003233,1611,1365,0,1,1,0,0,0,0,0,0,15,6,11,77,16,9,19,0,0,15,5,0,5,0,2,4,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,21,2,11,1,0,1,9,0,45,7,2,4,5,3,9,0,0,11,0,4,0,0,33,24,0,1,4,0,1,2,0,1,0,0,0,4,4,0,15,1,0,2,3,1,4,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0
E01003235,1233,1137,0,2,0,0,0,2,0,0,0,4,1,6,14,3,1,2,1,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,12,0,2,0,1,1,0,0,19,0,0,3,0,2,0,0,0,14,0,0,0,0,7,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,21,0,0,9,0,3,2,2,0,0,0,3,0,1,0,1,1,1,3,1,1,1
E01003236,1491,1315,0,0,0,0,0,0,0,0,0,3,8,4,61,0,7,14,4,1,6,26,0,0,2,0,0,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,7,19,4,16,0,5,11,0,0,16,0,0,0,0,4,0,0,0,10,0,0,0,2,14,0,2,7,1,2,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,2,2,5,0,1,0,1,0,0,1,3,3,3,2,1,0
E01003237,1395,1225,0,0,0,0,0,0,0,0,0,15,7,3,28,2,2,7,1,0,3,2,2,1,3,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,11,10,10,1,4,5,0,0,64,6,0,0,0,3,8,0,0,40,7,0,0,0,10,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0
E01003238,1321,1174,0,0,0,0,0,0,0,0,0,12,5,4,45,2,2,22,2,1,0,5,1,2,6,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,1,8,0,2,6,0,0,38,1,1,0,0,4,1,0,0,31,0,0,0,0,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,20,0,0,3,3,2,3,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0
E01003239,1362,1231,0,0,0,0,0,0,0,0,0,6,4,16,30,4,3,18,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,6,0,5,0,1,0,37,0,0,0,0,7,0,0,0,30,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1,0,4,3,4,0,2,0,0,1,0,0,0,1,1,1,1,0,0
E01003240,1689,1528,0,1,1,0,0,0,0,0,0,7,8,3,37,2,2,14,6,5,4,1,0,3,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,1,0,0,0,4,15,9,3,0,0,0,2,1,38,1,1,0,0,0,0,0,0,35,0,0,1,0,9,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,18,0,0,6,0,3,3,0,4,1,0,1,0,0,0,0,1,1,1,1,0,0
E01003241,1492,1267,0,0,0,0,0,0,0,0,0,12,10,5,37,12,5,11,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,8,35,2,1,0,0,1,0,0,69,6,0,2,0,3,2,0,0,54,0,2,0,0,13,1,2,7,0,2,1,0,0,0,0,0,0,0,0,0,24,0,0,3,0,3,3,2,0,1,0,2,1,3,3,3,3,3,1,1,0,0
E01003243,1282,1053,0,1,0,0,0,0,0,1,0,16,13,12,42,3,0,21,0,2,0,5,4,0,1,4,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,25,1,13,0,4,6,1,2,61,1,1,1,0,6,3,0,2,44,0,3,0,0,12,0,2,2,1,0,1,4,0,2,0,0,0,0,0,0,22,0,0,0,1,5,2,6,4,2,0,0,1,0,0,1,1,1,1,1,0,0
