LSOA11CD,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E01003328,1718,1074,854,40,0,180,112,39,18,16,39,122,48,4,4,14,52,363,100,190,73,47,5,42
E01003329,1590,989,800,37,0,152,141,55,22,15,49,96,28,5,4,18,41,336,125,155,56,28,7,21
E01003330,1550,832,699,25,2,106,121,55,25,13,28,100,12,9,7,15,57,471,241,156,74,26,11,15
E01003331,1412,785,638,19,4,124,112,46,15,22,29,93,35,0,4,13,41,395,164,190,41,27,5,22
E01003332,1467,833,665,31,1,136,122,44,26,18,34,93,29,7,2,14,41,390,159,180,51,29,1,28
E01003333,1542,903,706,29,11,157,153,55,36,34,28,98,30,16,6,8,38,361,133,157,71,27,3,24
E01003334,1660,943,732,30,5,176,118,39,22,11,46,146,30,6,1,33,76,416,148,181,87,37,12,25
E01003335,1395,720,601,31,0,88,122,56,25,12,29,91,28,15,0,13,35,432,168,199,65,30,7,23
E01003336,1378,435,330,17,0,88,123,46,23,21,33,95,10,6,8,32,39,691,274,325,92,34,9,25
E01003337,1636,478,315,11,0,152,173,57,73,19,24,108,4,9,4,27,64,846,414,289,143,31,1,30
E01003338,1784,580,369,38,6,167,119,46,24,9,40,234,15,3,33,84,99,785,449,227,109,66,21,45
E01003339,1760,903,648,75,2,178,133,35,17,38,43,109,12,0,0,54,43,508,231,164,113,107,60,47
E01003340,1906,1323,946,35,3,339,124,43,17,38,26,110,21,6,7,29,47,266,139,86,41,83,32,51
E01003341,1508,1047,850,34,1,162,131,46,15,24,46,79,15,1,0,43,20,210,58,102,50,41,7,34
E01003342,1641,886,643,26,0,217,140,47,26,19,48,120,12,13,1,59,35,428,197,156,75,67,6,61
E01003343,1356,814,618,44,2,150,114,35,24,22,33,101,8,8,8,33,44,290,120,108,62,37,9,28
E01003344,1731,926,721,36,0,169,126,51,23,18,34,150,19,3,10,75,43,443,183,173,87,86,4,82
E01003345,1714,910,671,30,2,207,116,47,17,24,28,154,9,14,4,74,53,451,172,187,92,83,7,76
E01003346,1537,800,707,21,0,72,96,69,10,4,13,140,17,1,9,10,103,479,188,222,69,22,1,21
E01003347,1735,655,545,10,0,100,153,84,15,22,32,179,7,5,8,12,147,688,326,264,98,60,7,53
E01003348,1459,766,610,24,2,130,124,46,24,13,41,181,17,4,5,13,142,369,139,189,41,19,2,17
E01003349,1412,833,721,14,7,91,98,42,19,20,17,89,22,7,3,9,48,345,130,161,54,47,5,42
E01003350,1412,669,572,17,0,80,108,65,18,7,18,133,8,6,4,12,103,443,164,223,56,59,12,47
E01003351,1463,836,720,21,5,90,101,50,19,13,19,72,6,6,9,0,51,424,222,156,46,30,6,24
E01003352,1816,886,726,23,1,136,129,61,15,26,27,196,32,17,25,25,97,573,262,222,89,32,7,25
E01003353,1740,914,770,23,0,121,98,44,8,13,33,242,32,9,4,21,176,439,187,197,55,47,6,41
E01003354,1675,696,571,24,1,100,93,36,22,24,11,176,19,14,3,26,114,664,255,306,103,46,9,37
E01032564,1312,785,688,18,2,77,87,47,11,6,23,105,4,0,5,14,82,281,140,101,40,54,0,54
E01032565,1392,842,763,17,0,62,81,33,10,9,29,86,8,8,6,6,58,273,98,84,91,110,8,102
E01032579,1460,652,465,24,0,163,96,31,31,13,21,215,15,4,16,78,102,459,309,103,47,38,1,37
E01033320,1496,732,563,23,0,146,111,43,21,14,33,152,33,25,5,21,68,457,154,243,60,44,8,36
E01033322,1267,688,477,33,1,177,92,53,15,7,17,172,48,17,8,11,88,298,114,145,39,17,6,11
E01033324,1597,960,787,42,1,130,101,36,17,22,26,125,13,1,16,64,31,358,174,144,40,53,9,44
E01033325,1205,769,469,54,1,245,46,8,9,12,17,315,206,10,3,67,29,47,37,10,0,28,10,18
E01033327,1527,810,546,25,0,239,97,39,5,15,38,214,57,12,6,77,62,339,129,137,73,67,25,42
E01033341,1303,535,357,20,1,157,125,32,35,16,42,194,54,7,6,69,58,374,139,130,105,75,8,67
