OA11CD,Rural Urban,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E00016786,Total,249,107,87,5,0,15,24,9,6,2,7,20,0,3,1,0,16,95,22,58,15,3,1,2
E00016787,Total,456,142,92,3,1,46,32,12,13,2,5,27,1,3,1,5,17,248,145,45,58,7,3,4
E00016822,Total,301,103,61,5,0,37,6,1,0,0,5,48,5,0,5,11,27,135,72,29,34,9,2,7
E00016824,Total,259,92,55,4,0,33,9,2,1,1,5,38,5,6,0,13,14,114,25,74,15,6,0,6
E00016445,Total,297,171,151,4,0,16,15,5,4,1,5,31,13,4,1,2,11,73,40,28,5,7,1,6
E00016448,Total,332,272,218,15,0,39,24,3,9,6,6,11,1,3,0,5,2,22,9,11,2,3,1,2
E00016452,Total,307,251,191,8,1,51,12,1,2,6,3,24,10,0,0,7,7,17,6,10,1,3,1,2
E00016454,Total,267,223,183,4,1,35,6,4,1,0,1,8,0,2,1,4,1,23,14,5,4,7,4,3
E00016455,Total,234,165,135,7,0,23,23,10,4,3,6,12,6,0,0,5,1,31,8,19,4,3,0,3
E00016446,Total,339,231,174,15,1,41,30,12,2,3,13,25,12,0,0,5,8,44,26,11,7,9,1,8
E00016453,Total,232,133,104,6,0,23,16,8,1,0,7,27,6,5,0,5,11,49,31,15,3,7,5,2
E00016456,Total,281,169,128,14,0,27,24,11,5,6,2,20,4,0,0,0,16,56,25,27,4,12,1,11
E00016457,Total,262,198,136,6,0,56,15,6,3,5,1,11,1,0,0,4,6,36,14,18,4,2,0,2
E00016462,Total,271,212,166,7,0,39,10,2,3,5,0,15,1,0,0,3,11,32,13,15,4,2,0,2
E00173944,Total,253,164,112,6,0,46,20,12,0,2,6,36,7,0,0,11,18,28,16,9,3,5,0,5
E00173945,Total,248,139,104,7,0,28,15,3,5,3,4,27,6,4,1,3,13,62,20,38,4,5,1,4
E00016444,Total,315,212,182,5,0,25,23,8,6,4,5,29,12,7,0,9,1,45,10,29,6,6,0,6
E00016484,Total,362,297,237,7,0,53,15,4,1,2,8,25,7,4,0,5,9,22,6,12,4,3,0,3
E00016485,Total,247,123,103,1,0,19,20,8,4,1,7,15,2,0,0,6,7,76,33,26,17,13,0,13
E00016488,Total,329,255,206,6,0,43,14,1,0,8,5,16,7,0,0,0,9,34,26,8,0,10,5,5
E00016489,Total,571,204,163,3,0,38,90,18,2,3,67,89,16,6,4,4,59,181,17,99,65,7,5,2
E00016443,Total,350,242,206,12,0,24,27,9,3,8,7,10,1,0,0,7,2,70,44,12,14,1,0,1
E00016483,Total,238,160,129,7,0,24,12,8,1,2,1,11,6,0,1,1,3,53,19,25,9,2,1,1
E00016486,Total,382,240,190,7,0,43,26,8,3,7,8,40,6,1,1,14,18,67,31,23,13,9,6,3
E00016487,Total,277,178,142,9,0,27,14,5,2,3,4,19,0,0,6,11,2,66,30,29,7,0,0,0
E00016491,Total,248,169,137,4,0,28,22,11,2,2,7,12,5,1,0,2,4,41,8,29,4,4,3,1
E00016449,Total,269,178,133,3,0,42,17,7,1,3,6,13,3,0,1,4,5,51,17,31,3,10,1,9
E00016450,Total,238,155,105,12,1,37,22,5,4,6,7,37,4,1,0,9,23,22,13,7,2,2,0,2
E00016451,Total,326,195,154,3,0,38,34,28,1,2,3,27,11,3,0,6,7,64,14,40,10,6,1,5
E00016490,Total,278,190,155,11,0,24,10,2,0,4,4,17,7,2,0,2,6,60,28,18,14,1,0,1
E00016492,Total,254,144,113,5,0,26,21,13,0,4,4,11,0,0,0,6,5,76,43,26,7,2,0,2
E00016281,Total,337,130,110,1,0,19,23,12,4,3,4,56,8,1,0,11,36,118,19,79,20,10,0,10
E00016290,Total,320,162,131,7,0,24,31,14,9,4,4,32,3,1,0,3,25,91,29,49,13,4,0,4
E00016292,Total,306,134,97,5,0,32,30,17,7,0,6,45,0,0,5,12,28,89,15,62,12,8,0,8
E00016293,Total,356,108,103,2,0,3,30,16,7,1,6,25,6,0,0,1,18,173,35,98,40,20,0,20
E00016295,Total,351,137,103,5,1,28,26,12,2,8,4,36,9,5,0,4,18,148,34,102,12,4,0,4
E00016258,Total,366,181,153,17,0,11,21,8,5,4,4,26,12,1,11,0,2,135,24,88,23,3,1,2
E00016259,Total,311,176,136,10,4,26,12,1,7,0,4,12,3,1,1,1,6,102,23,60,19,9,0,9
E00016298,Total,425,182,138,15,5,24,34,5,14,2,13,35,8,6,6,2,13,163,40,97,26,11,1,10
E00016299,Total,396,164,134,5,0,25,27,10,7,1,9,54,14,0,0,2,38,127,26,80,21,24,0,24
E00016274,Total,307,146,104,5,0,37,26,15,1,5,5,22,3,4,0,5,10,103,28,50,25,10,0,10
E00016276,Total,372,187,152,6,0,29,29,14,5,1,9,11,0,3,3,0,5,121,40,64,17,24,0,24
E00016277,Total,332,134,111,1,0,22,24,13,2,3,6,32,9,3,0,5,15,122,52,52,18,20,0,20
E00016278,Total,275,120,94,3,0,23,24,8,5,4,7,20,9,2,0,1,8,104,16,80,8,7,0,7
E00016285,Total,268,148,114,7,0,27,24,15,2,5,2,27,2,0,4,3,18,56,15,30,11,13,1,12
E00016256,Total,314,151,132,2,0,17,21,10,5,1,5,14,1,0,1,8,4,124,40,67,17,4,2,2
E00016284,Total,283,101,92,2,0,7,21,13,4,2,2,31,0,0,0,8,23,128,19,79,30,2,1,1
E00016286,Total,378,146,111,8,0,27,49,26,8,3,12,34,1,0,0,7,26,146,22,103,21,3,0,3
E00016296,Total,333,176,131,7,0,38,21,4,7,5,5,26,10,2,0,2,12,109,41,52,16,1,0,1
E00016297,Total,324,133,110,11,0,12,11,4,2,0,5,34,2,2,0,5,25,137,41,82,14,9,4,5
E00016275,Total,391,158,104,6,3,45,46,35,1,4,6,27,9,0,0,2,16,145,40,75,30,15,1,14
E00016279,Total,315,123,97,0,0,26,26,12,4,1,9,53,9,0,7,0,37,102,9,75,18,11,2,9
E00016280,Total,285,139,112,7,0,20,14,5,6,0,3,23,7,1,0,2,13,104,22,75,7,5,4,1
E00016283,Total,350,175,138,8,1,28,28,5,5,6,12,20,3,0,6,1,10,121,32,57,32,6,1,5
E00016287,Total,320,136,94,7,0,35,24,11,3,1,9,24,1,2,1,3,17,129,28,84,17,7,1,6
E00016513,Total,334,170,140,4,0,26,31,14,2,6,9,48,19,7,2,5,15,65,35,24,6,20,1,19
E00016514,Total,223,144,137,1,0,6,7,4,0,3,0,16,2,0,0,5,9,50,15,22,13,6,3,3
E00016515,Total,334,225,189,3,0,33,19,7,4,2,6,14,9,0,0,0,5,68,32,26,10,8,5,3
E00016516,Total,299,168,134,2,0,32,21,2,4,4,11,28,6,3,0,3,16,76,39,26,11,6,0,6
E00016519,Total,235,182,164,2,0,16,5,4,1,0,0,18,6,5,0,0,7,29,10,12,7,1,0,1
E00016521,Total,250,143,125,2,0,16,22,14,3,3,2,14,5,0,4,0,5,49,22,15,12,22,2,20
E00016493,Total,373,193,142,7,0,44,27,17,4,1,5,35,1,7,0,24,3,115,51,46,18,3,0,3
E00016499,Total,285,150,112,4,0,34,13,9,0,1,3,42,4,0,1,4,33,62,28,28,6,18,1,17
E00016502,Total,278,181,147,4,0,30,15,8,0,2,5,19,10,0,4,1,4,31,6,15,10,32,3,29
E00016503,Total,185,148,118,5,0,25,3,0,1,0,2,6,2,0,0,1,3,22,7,9,6,6,1,5
E00016507,Total,244,180,132,5,0,43,7,4,0,0,3,13,0,0,5,1,7,41,25,10,6,3,0,3
E00016540,Total,305,179,154,11,0,14,24,8,3,5,8,42,5,0,6,2,29,53,8,26,19,7,0,7
E00016498,Total,578,356,299,15,0,42,42,17,5,5,15,79,10,3,4,14,48,87,20,49,18,14,0,14
E00016500,Total,291,171,157,1,0,13,15,8,3,1,3,25,4,0,0,0,21,76,39,27,10,4,1,3
E00016505,Total,332,197,166,2,0,29,35,21,0,10,4,13,1,0,0,0,12,76,28,43,5,11,7,4
E00016541,Total,353,259,215,5,0,39,12,7,0,3,2,49,8,0,6,9,26,25,2,21,2,8,0,8
E00016494,Total,324,201,163,4,0,34,24,9,0,6,9,23,3,3,0,5,12,70,34,28,8,6,1,5
E00016495,Total,206,143,112,6,0,25,15,8,3,2,2,18,14,3,0,0,1,27,15,10,2,3,0,3
E00016501,Total,417,259,201,6,0,52,21,10,1,5,5,55,22,5,6,10,12,71,23,36,12,11,1,10
E00016508,Total,348,237,209,1,0,27,23,6,3,4,10,18,5,1,0,5,7,57,14,32,11,13,3,10
E00016511,Total,343,190,153,5,0,32,30,14,4,1,11,46,26,0,0,4,16,64,17,41,6,13,1,12
E00016504,Total,323,220,201,2,0,17,25,6,5,8,6,41,16,8,0,10,7,36,25,9,2,1,0,1
E00016506,Total,355,228,198,3,0,27,13,5,2,1,5,52,12,3,10,5,22,51,14,33,4,11,0,11
E00016509,Total,390,267,240,8,0,19,26,11,2,3,10,32,13,0,1,1,17,44,20,13,11,21,0,21
E00016510,Total,268,217,202,5,0,10,10,3,0,0,7,13,6,0,0,2,5,25,13,10,2,3,0,3
E00016512,Total,331,236,205,10,0,21,15,1,5,3,6,29,6,0,2,4,17,33,11,15,7,18,0,18
E00016750,Total,274,162,139,0,0,23,11,4,0,5,2,23,2,0,6,2,13,76,28,34,14,2,1,1
E00016752,Total,351,203,163,8,0,32,23,7,2,3,11,35,4,4,1,6,20,88,27,50,11,2,0,2
E00016753,Total,267,168,138,7,0,23,29,9,7,0,13,16,1,0,1,2,12,53,29,16,8,1,0,1
E00016758,Total,309,163,130,9,0,24,26,15,2,2,7,21,4,0,1,3,13,95,35,39,21,4,2,2
E00016763,Total,320,177,139,15,0,23,26,12,1,6,7,14,3,0,0,3,8,93,28,57,8,10,0,10
E00016738,Total,419,217,173,2,0,42,55,21,4,3,27,25,4,9,0,4,8,101,21,53,27,21,1,20
E00016739,Total,306,195,162,9,0,24,31,14,6,9,2,10,4,0,0,0,6,61,9,32,20,9,2,7
E00016740,Total,356,192,130,9,0,53,39,13,2,2,22,22,5,1,0,5,11,91,26,40,25,12,2,10
E00016749,Total,318,188,142,8,0,38,41,19,12,1,9,10,1,0,3,0,6,79,29,40,10,0,0,0
E00016755,Total,425,220,157,7,0,56,55,26,6,9,14,29,8,0,0,6,15,113,37,59,17,8,1,7
E00016745,Total,396,225,185,7,0,33,25,7,0,6,12,17,0,0,9,2,6,110,40,45,25,19,1,18
E00016746,Total,351,222,185,8,0,29,27,11,7,4,5,16,0,0,0,5,11,82,19,52,11,4,0,4
E00016751,Total,301,173,139,8,0,26,20,11,4,1,4,19,0,0,5,0,14,81,35,31,15,8,0,8
E00016754,Total,293,156,119,8,0,29,28,11,1,1,15,29,6,1,0,2,20,75,6,56,13,5,1,4
E00016757,Total,258,181,148,11,0,22,24,10,7,4,3,14,3,0,0,6,5,39,8,28,3,0,0,0
E00016732,Total,344,181,148,5,0,28,18,8,2,1,7,41,2,0,1,3,35,99,38,47,14,5,0,5
E00016735,Total,361,216,171,4,0,41,31,16,0,6,9,37,10,8,5,5,9,73,28,31,14,4,1,3
E00016741,Total,266,185,156,7,0,22,13,5,0,0,8,15,5,1,0,6,3,48,16,20,12,5,1,4
E00016742,Total,316,171,138,7,0,26,26,11,6,4,5,32,6,5,1,2,18,79,23,43,13,8,1,7
E00016733,Total,316,201,172,13,0,16,25,12,1,6,6,27,5,0,0,4,18,58,15,35,8,5,0,5
E00016734,Total,278,186,144,5,0,37,20,11,0,0,9,20,6,1,1,1,11,50,19,24,7,2,1,1
E00016743,Total,294,188,150,8,0,30,24,15,3,4,2,23,1,1,9,9,3,57,10,44,3,2,0,2
E00016744,Total,343,212,167,8,0,37,21,9,3,3,6,27,7,4,0,2,14,73,13,44,16,10,1,9
E00016747,Total,251,155,133,5,0,17,20,12,4,3,1,27,1,0,7,9,10,48,12,28,8,1,0,1
E00016261,Total,375,156,116,0,0,40,32,20,7,2,3,21,8,0,0,5,8,144,32,93,19,22,6,16
E00016282,Total,358,151,102,7,1,41,37,18,4,5,10,49,3,19,0,0,27,113,36,62,15,8,0,8
E00016288,Total,437,174,127,5,0,42,39,14,6,7,12,47,4,0,0,12,31,151,64,58,29,26,5,21
E00016289,Total,352,182,133,6,0,43,18,5,0,4,9,47,12,5,1,9,20,103,29,57,17,2,1,1
E00016294,Total,353,167,127,11,0,29,34,16,3,3,12,27,0,10,0,3,14,120,31,77,12,5,0,5
E00016260,Total,353,148,117,12,0,19,39,13,9,5,12,33,5,0,5,0,23,128,21,82,25,5,0,5
E00016262,Total,263,117,83,5,0,29,15,3,2,4,6,28,1,6,0,1,20,98,26,64,8,5,1,4
E00016266,Total,361,129,98,10,0,21,24,17,4,3,0,43,7,0,0,3,33,158,39,107,12,7,1,6
E00016267,Total,273,116,86,8,0,22,12,6,1,4,1,40,15,0,0,2,23,89,31,44,14,16,1,15
E00016271,Total,397,169,140,7,0,22,20,5,5,1,9,45,10,11,4,6,14,147,43,91,13,16,0,16
E00016257,Total,452,175,132,0,0,43,60,24,12,4,20,46,8,0,8,2,28,170,46,96,28,1,0,1
E00016263,Total,234,118,84,4,0,30,23,7,6,6,4,21,7,0,0,8,6,69,22,41,6,3,1,2
E00016265,Total,443,187,129,12,0,46,45,20,5,6,14,53,11,0,0,4,38,156,50,85,21,2,0,2
E00016268,Total,469,174,115,4,0,55,44,22,4,4,14,61,5,15,0,7,34,177,59,73,45,13,2,11
E00016291,Total,364,181,138,9,0,34,41,12,12,7,10,39,5,5,2,5,22,94,21,55,18,9,1,8
E00016264,Total,299,142,92,17,0,33,13,4,0,6,3,41,1,8,6,3,23,93,23,57,13,10,1,9
E00016269,Total,351,141,108,9,0,24,24,11,1,6,6,37,4,5,0,1,27,140,36,80,24,9,1,8
E00016270,Total,300,160,122,1,0,37,21,10,3,4,4,28,4,4,0,8,12,81,24,38,19,10,4,6
E00016272,Total,354,159,110,5,0,44,31,11,1,4,15,54,16,10,0,8,20,96,28,40,28,14,0,14
E00016273,Total,411,176,135,10,0,31,35,14,5,2,14,53,11,17,0,1,24,147,39,80,28,0,0,0
E00016930,Total,577,278,253,8,0,17,37,28,4,0,5,77,7,1,5,4,60,177,67,85,25,8,0,8
E00016946,Total,405,200,176,4,0,20,29,20,1,4,4,37,5,0,4,5,23,131,46,69,16,8,1,7
E00016952,Total,279,156,135,3,0,18,10,6,3,0,1,17,5,0,0,0,12,94,38,37,19,2,0,2
E00016964,Total,276,166,143,6,0,17,20,15,2,0,3,9,0,0,0,1,8,77,37,31,9,4,0,4
E00016929,Total,273,162,140,6,0,16,16,4,4,6,2,16,1,2,0,6,7,78,18,41,19,1,0,1
E00016931,Total,285,165,138,0,7,20,9,5,3,1,0,25,2,5,3,2,13,65,24,27,14,21,3,18
E00016932,Total,287,171,144,3,0,24,25,10,7,2,6,19,6,0,0,0,13,61,20,33,8,11,1,10
E00016954,Total,272,126,112,3,0,11,29,17,3,6,3,17,10,0,0,1,6,90,42,39,9,10,1,9
E00016961,Total,295,209,187,2,0,20,19,6,2,5,6,12,3,0,0,0,9,51,26,21,4,4,0,4
E00016933,Total,476,240,203,6,0,31,36,20,5,2,9,32,5,5,9,0,13,158,81,58,19,10,2,8
E00016953,Total,242,176,161,4,0,11,11,1,2,5,3,3,0,0,0,0,3,48,26,16,6,4,0,4
E00016957,Total,295,144,121,5,5,13,12,6,3,1,2,18,0,1,0,0,17,113,70,37,6,8,4,4
E00016960,Total,247,155,133,5,0,17,14,8,0,4,2,11,1,0,0,0,10,59,27,28,4,8,0,8
E00016966,Total,203,121,102,1,0,18,28,15,9,1,3,8,0,0,0,0,8,46,18,17,11,0,0,0
E00016940,Total,289,80,64,1,0,15,10,6,1,1,2,48,3,4,3,11,27,146,69,53,24,5,0,5
E00016941,Total,374,144,122,3,0,19,20,7,11,1,1,38,5,0,0,12,21,166,64,81,21,6,0,6
E00016942,Total,271,106,92,3,1,10,15,3,2,4,6,30,0,2,0,0,28,116,44,54,18,4,0,4
E00016943,Total,228,107,86,3,0,18,8,2,1,4,1,17,7,8,0,0,2,86,29,43,14,10,2,8
E00016944,Total,315,166,125,12,0,29,16,4,5,6,1,36,3,0,0,3,30,85,17,50,18,12,0,12
E00016945,Total,198,93,82,2,0,9,24,14,2,8,0,7,1,0,0,0,6,65,32,25,8,9,7,2
E00016728,Total,253,98,60,3,0,35,19,17,0,0,2,21,1,7,0,12,1,103,45,36,22,12,0,12
E00016764,Total,280,159,126,1,0,32,32,13,9,1,9,12,2,0,0,5,5,74,36,24,14,3,1,2
E00016766,Total,368,179,139,6,2,32,14,3,0,6,5,29,8,0,6,0,15,143,100,31,12,3,1,2
E00016768,Total,269,136,104,4,0,28,27,16,5,1,5,16,3,0,0,0,13,84,22,41,21,6,0,6
E00016772,Total,340,218,181,5,1,31,23,4,5,7,7,26,10,1,3,4,8,67,19,41,7,6,2,4
E00016737,Total,259,196,158,8,0,30,11,3,1,3,4,7,0,0,5,2,0,44,19,17,8,1,1,0
E00016748,Total,252,146,118,4,0,24,22,13,4,0,5,13,2,0,2,2,7,63,25,28,10,8,1,7
E00016756,Total,276,93,69,6,0,18,17,9,3,2,3,17,1,0,1,1,14,140,66,43,31,9,3,6
E00016760,Total,285,156,116,6,0,34,33,12,6,11,4,30,4,3,0,4,19,60,30,23,7,6,0,6
E00173704,Total,233,128,94,5,0,29,14,3,4,4,3,24,3,0,0,9,12,54,35,11,8,13,4,9
E00173705,Total,136,68,44,2,0,22,8,6,0,1,1,6,1,0,0,0,5,48,17,15,16,6,0,6
E00173707,Total,118,83,70,4,0,9,11,7,0,2,2,12,0,0,0,4,8,11,6,4,1,1,0,1
E00016729,Total,247,189,164,3,0,22,15,6,1,3,5,14,8,0,3,2,1,29,7,19,3,0,0,0
E00016730,Total,331,214,171,9,0,34,27,5,3,11,8,14,1,0,1,3,9,69,26,32,11,7,3,4
E00016759,Total,325,211,166,21,0,24,16,10,1,2,3,37,4,6,6,0,21,58,15,35,8,3,0,3
E00016761,Total,332,212,177,6,0,29,32,10,8,1,13,22,0,0,1,7,14,56,17,33,6,10,2,8
E00016762,Total,311,126,87,4,0,35,30,7,10,7,6,32,22,0,0,3,7,116,38,70,8,7,5,2
E00016765,Total,222,132,104,2,0,26,14,6,2,3,3,12,4,4,0,2,2,57,16,40,1,7,1,6
E00016767,Total,273,164,143,1,0,20,23,5,6,0,12,7,1,0,0,1,5,70,12,39,19,9,2,7
E00016770,Total,144,100,72,3,1,24,12,4,3,1,4,11,1,2,0,1,7,18,3,15,0,3,0,3
E00016771,Total,386,241,195,18,0,28,30,10,6,4,10,21,4,4,5,2,6,83,27,47,9,11,1,10
E00016774,Total,362,200,169,4,1,26,38,22,6,3,7,32,1,8,1,6,16,75,25,42,8,17,0,17
E00016777,Total,373,254,215,16,0,23,23,19,1,1,2,29,7,9,0,1,12,51,11,29,11,16,4,12
E00016731,Total,310,162,128,3,0,31,14,3,4,2,5,17,0,0,6,6,5,117,41,57,19,0,0,0
E00016769,Total,366,175,143,6,0,26,32,12,8,5,7,29,4,6,0,6,13,127,54,42,31,3,0,3
E00016773,Total,277,98,74,6,0,18,30,16,1,3,10,33,9,1,4,2,17,99,39,34,26,17,0,17
E00016775,Total,256,110,66,18,0,26,24,4,3,1,16,25,5,5,2,6,7,94,67,15,12,3,0,3
E00016776,Total,321,199,170,3,0,26,17,6,2,3,6,27,6,2,0,12,7,67,24,33,10,11,5,6
E00016460,Total,331,226,174,6,4,42,20,9,4,2,5,16,4,7,0,4,1,63,20,29,14,6,3,3
E00016463,Total,505,252,166,1,0,85,50,21,5,8,16,40,10,0,1,11,18,152,77,52,23,11,1,10
E00016467,Total,318,250,206,5,0,39,20,8,6,1,5,16,5,0,0,3,8,25,9,12,4,7,7,0
E00016469,Total,306,198,144,11,0,43,17,10,0,4,3,17,5,1,0,5,6,70,36,25,9,4,2,2
E00016471,Total,232,75,53,5,0,17,28,13,10,0,5,30,4,4,6,4,12,85,38,38,9,14,4,10
E00016472,Total,363,184,147,6,0,31,43,18,2,12,11,47,16,2,12,5,12,81,39,33,9,8,0,8
E00016447,Total,295,174,133,3,1,37,20,12,5,2,1,17,3,1,0,2,11,82,45,33,4,2,0,2
E00016458,Total,319,184,148,3,0,33,22,10,6,1,5,26,4,0,1,6,15,84,34,30,20,3,1,2
E00016459,Total,226,194,175,2,0,17,7,0,3,2,2,16,7,1,0,5,3,8,5,1,2,1,0,1
E00016464,Total,292,90,65,7,0,18,36,17,9,1,9,11,1,1,0,4,5,150,84,32,34,5,0,5
E00016465,Total,283,213,172,12,0,29,20,8,1,4,7,13,1,2,1,2,7,35,7,22,6,2,1,1
E00016466,Total,263,199,150,13,0,36,21,12,1,7,1,11,5,0,0,2,4,29,17,10,2,3,1,2
E00016475,Total,219,80,63,6,0,11,19,8,4,2,5,29,4,3,2,10,10,87,39,33,15,4,1,3
E00016476,Total,293,110,84,9,0,17,17,8,1,3,5,28,6,12,0,2,8,130,75,40,15,8,0,8
E00016478,Total,186,130,100,3,0,27,8,2,2,1,3,12,0,6,0,1,5,34,17,8,9,2,0,2
E00016479,Total,252,105,76,2,0,27,21,16,1,1,3,9,0,0,0,6,3,107,57,42,8,10,2,8
E00016480,Total,294,91,76,1,0,14,25,20,0,0,5,31,4,0,3,11,13,135,75,43,17,12,6,6
E00016482,Total,255,78,51,7,0,20,26,8,3,4,11,21,8,1,1,0,11,124,69,25,30,6,4,2
E00016468,Total,217,174,147,5,0,22,8,3,0,3,2,5,2,0,0,2,1,25,15,10,0,5,1,4
E00016470,Total,239,190,168,6,0,16,19,7,4,2,6,5,2,0,0,2,1,24,10,5,9,1,0,1
E00016473,Total,303,181,149,3,0,29,27,5,8,8,6,18,5,0,0,10,3,74,27,31,16,3,2,1
E00016474,Total,253,144,105,9,0,30,15,7,2,3,3,21,4,1,0,3,13,64,12,46,6,9,1,8
E00016477,Total,293,203,164,9,0,30,26,8,5,3,10,10,1,0,0,1,8,53,30,13,10,1,0,1
E00016481,Total,310,181,112,8,0,61,21,9,6,2,4,33,6,0,0,9,18,69,35,20,14,6,1,5
E00016126,Total,316,186,160,5,0,21,20,11,0,4,5,13,4,0,0,0,9,93,22,54,17,4,1,3
E00016127,Total,418,219,174,13,2,30,33,15,8,1,9,10,8,0,0,2,0,156,51,80,25,0,0,0
E00016131,Total,315,180,154,6,0,20,9,6,2,0,1,25,3,0,5,6,11,94,35,44,15,7,0,7
E00016134,Total,256,165,151,2,0,12,17,9,0,1,7,5,1,0,0,4,0,69,32,26,11,0,0,0
E00016140,Total,263,140,104,6,4,26,18,11,4,1,2,19,1,3,1,5,9,82,33,39,10,4,1,3
E00016118,Total,385,198,161,4,0,33,17,10,0,1,6,19,5,0,0,2,12,142,44,81,17,9,0,9
E00016154,Total,270,143,112,6,0,25,19,11,4,0,4,7,2,0,0,1,4,95,39,38,18,6,0,6
E00016155,Total,378,125,79,3,1,42,42,14,7,3,18,40,10,1,6,14,9,156,72,46,38,15,0,15
E00016156,Total,301,134,122,2,0,10,28,10,5,1,12,16,1,0,2,2,11,109,40,56,13,14,2,12
E00016157,Total,344,197,172,3,0,22,16,11,0,1,4,32,5,1,4,0,22,85,28,37,20,14,0,14
E00016112,Total,309,130,102,7,0,21,25,11,8,4,2,24,4,1,0,1,18,123,43,51,29,7,0,7
E00016119,Total,325,176,146,2,0,28,18,7,0,2,9,20,7,0,0,1,12,104,32,56,16,7,0,7
E00016121,Total,261,124,84,1,0,39,13,7,3,0,3,11,0,1,1,0,9,105,36,55,14,8,0,8
E00016123,Total,334,123,99,2,0,22,26,12,0,3,11,34,0,6,0,1,27,146,47,77,22,5,1,4
E00016158,Total,318,144,119,1,0,24,28,21,0,2,5,25,4,1,0,2,18,121,35,75,11,0,0,0
E00016113,Total,390,223,184,5,5,29,37,21,9,3,4,11,1,0,0,1,9,92,21,44,27,27,7,20
E00016120,Total,323,178,156,5,0,17,23,10,2,6,5,24,1,4,0,1,18,90,36,38,16,8,0,8
E00016122,Total,340,167,150,1,0,16,13,6,3,1,3,17,1,0,3,0,13,126,56,55,15,17,5,12
E00016124,Total,293,146,133,1,0,12,21,8,11,0,2,18,3,0,3,3,9,108,61,34,13,0,0,0
E00016125,Total,327,142,115,5,0,22,20,13,3,0,4,46,2,5,0,1,38,98,30,54,14,21,1,20
E00016114,Total,270,133,123,2,0,8,11,3,3,2,3,30,8,0,0,5,17,92,41,39,12,4,0,4
E00016128,Total,355,170,153,2,0,15,34,13,5,8,8,31,0,8,7,2,14,116,33,54,29,4,0,4
E00016130,Total,335,168,148,7,0,13,24,12,5,5,2,27,7,1,0,3,16,101,45,32,24,15,0,15
E00016133,Total,338,170,160,2,0,8,27,16,2,1,8,23,2,1,4,2,14,117,60,45,12,1,0,1
E00016135,Total,330,164,143,8,1,12,18,11,2,2,3,46,4,1,0,7,34,102,41,37,24,0,0,0
E00016948,Total,410,128,116,0,0,12,37,15,6,3,13,47,3,1,0,2,41,184,85,56,43,14,3,11
E00016949,Total,360,118,83,4,0,31,30,26,4,0,0,45,4,0,0,1,40,161,85,61,15,6,2,4
E00016951,Total,354,111,89,0,0,22,47,23,3,9,12,35,0,4,0,8,23,145,76,54,15,16,2,14
E00016955,Total,330,143,119,0,0,24,19,11,1,4,3,34,0,0,3,1,30,114,44,48,22,20,0,20
E00016956,Total,281,155,138,6,0,11,20,9,1,6,4,18,0,0,5,0,13,84,36,45,3,4,0,4
E00016950,Total,302,178,132,3,1,42,16,4,2,0,10,49,0,4,0,0,45,57,6,45,6,2,0,2
E00016967,Total,313,142,118,2,0,22,36,6,11,5,14,46,5,0,0,8,33,78,33,33,12,11,2,9
E00016968,Total,293,152,120,4,0,28,25,14,2,5,4,37,2,0,0,0,35,76,30,42,4,3,0,3
E00016969,Total,266,146,123,4,0,19,24,8,5,2,9,29,8,0,5,1,15,65,27,30,8,2,0,2
E00016971,Total,285,148,117,11,1,19,23,14,4,1,4,20,2,0,0,4,14,93,43,39,11,1,0,1
E00016928,Total,417,146,112,3,0,31,49,23,13,5,8,48,2,1,0,1,44,152,45,83,24,22,5,17
E00016947,Total,317,254,231,9,0,14,17,9,1,1,6,6,0,0,0,6,0,36,22,8,6,4,0,4
E00016958,Total,360,120,109,1,0,10,30,24,4,0,2,41,6,0,4,0,31,142,54,76,12,27,7,20
E00016963,Total,318,149,120,4,0,25,12,9,0,1,2,38,0,5,0,5,28,113,43,56,14,6,0,6
E00016937,Total,401,195,160,3,0,32,26,13,1,2,10,47,5,6,10,1,25,117,48,55,14,16,3,13
E00016959,Total,302,169,138,7,0,24,14,8,2,0,4,39,9,5,5,0,20,72,28,36,8,8,0,8
E00016962,Total,426,202,169,6,0,27,27,14,4,7,2,48,8,0,10,5,25,145,65,50,30,4,1,3
E00016965,Total,314,121,96,2,1,22,29,11,4,11,3,47,10,0,0,16,21,115,57,38,20,2,2,0
E00016970,Total,373,199,163,5,0,31,33,15,4,6,8,15,0,6,0,3,6,124,64,43,17,2,1,1
E00016934,Total,360,157,136,3,0,18,30,12,3,3,12,61,14,0,0,1,46,108,47,49,12,4,2,2
E00016935,Total,410,240,202,5,0,33,22,12,2,5,3,37,6,6,0,4,21,103,48,37,18,8,1,7
