OA11CD,Europe: Total,Europe: United Kingdom: Total,Europe: United Kingdom: England,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom: Scotland,Europe: United Kingdom: Wales,Europe: Great Britain not otherwise specified,Europe: United Kingdom not otherwise specified,Europe: Guernsey,Europe: Jersey,Europe: Channel Islands not otherwise specified,Europe: Isle of Man,Europe: Ireland,Europe: Other Europe: Total,Europe: Other Europe: EU Countries: Total,Europe: Other Europe: EU countries: Member countries in March 2001: Total,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: Rest of Europe: Total,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Other Europe,Africa: Total,Africa: North Africa,Africa: Central and Western Africa: Total,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Other Central and Western Africa,Africa: South and Eastern Africa: Total,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: Africa not otherwise specified,Middle East and Asia: Total,Middle East and Asia: Middle East: Total,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Eastern Asia: Total,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Southern Asia: Total,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: South-East Asia: Total,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: Central Asia,The Americas and the Caribbean: Total,The Americas and the Caribbean: North America: Total,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: Central America,The Americas and the Caribbean: South America,The Americas and the Caribbean: The Caribbean: Total,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Other Caribbean,Antarctica and Oceania: Total,Antarctica and Oceania: Antarctica,Antarctica and Oceania: Australasia: Total,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Other Oceania,Other
E00016451,84.3558282208589,73.61963190184049,72.08588957055214,0.3067484662576687,1.2269938650306749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269938650306749,9.50920245398773,6.748466257668712,4.294478527607362,0.6134969325153374,0.9202453987730062,1.5337423312883436,0.0,0.6134969325153374,0.6134969325153374,2.4539877300613497,0.0,0.6134969325153374,0.3067484662576687,1.5337423312883436,2.7607361963190185,0.6134969325153374,2.147239263803681,4.294478527607362,0.3067484662576687,1.8404907975460123,0.9202453987730062,0.0,0.9202453987730062,2.147239263803681,0.0,0.0,0.6134969325153374,0.9202453987730062,0.6134969325153374,0.0,5.521472392638037,0.3067484662576687,0.0,0.3067484662576687,0.9202453987730062,0.0,0.0,0.9202453987730062,1.5337423312883436,0.0,0.3067484662576687,0.6134969325153374,0.6134969325153374,0.0,1.2269938650306749,0.3067484662576687,0.9202453987730062,1.5337423312883436,5.521472392638037,0.6134969325153374,0.6134969325153374,0.0,0.0,0.6134969325153374,4.294478527607362,3.6809815950920246,0.6134969325153374,0.3067484662576687,0.0,0.3067484662576687,0.3067484662576687,0.0,0.0,0.0
E00016490,82.01438848920863,71.58273381294964,65.46762589928058,0.3597122302158273,2.8776978417266186,2.8776978417266186,0.0,0.0,0.0,0.0,0.0,0.0,2.158273381294964,8.273381294964029,7.194244604316546,6.115107913669065,0.0,0.7194244604316546,0.7194244604316546,4.316546762589928,0.0,0.3597122302158273,1.079136690647482,0.0,0.7194244604316546,0.0,0.3597122302158273,1.079136690647482,0.0,1.079136690647482,7.194244604316546,0.0,4.316546762589928,1.079136690647482,1.7985611510791366,1.4388489208633093,2.8776978417266186,0.0,0.0,1.7985611510791366,0.0,1.079136690647482,0.0,5.755395683453237,0.0,0.0,0.0,0.3597122302158273,0.0,0.0,0.3597122302158273,0.7194244604316546,0.0,0.3597122302158273,0.3597122302158273,0.0,0.0,4.676258992805756,0.7194244604316546,3.9568345323741005,0.0,3.9568345323741005,1.079136690647482,1.079136690647482,0.0,0.0,0.3597122302158273,2.5179856115107913,2.158273381294964,0.3597122302158273,1.079136690647482,0.0,1.079136690647482,0.7194244604316546,0.3597122302158273,0.0,0.0
E00016492,79.5275590551181,68.11023622047244,64.56692913385827,1.1811023622047243,1.1811023622047243,1.1811023622047243,0.0,0.0,0.0,0.0,0.0,0.0,0.3937007874015748,11.023622047244094,10.62992125984252,2.7559055118110236,0.7874015748031497,0.0,0.3937007874015748,0.7874015748031497,0.0,0.7874015748031497,7.874015748031496,0.0,1.968503937007874,0.7874015748031497,5.118110236220472,0.3937007874015748,0.3937007874015748,0.0,9.84251968503937,0.3937007874015748,7.086614173228346,1.5748031496062993,3.543307086614173,1.968503937007874,2.3622047244094486,0.0,0.0,0.3937007874015748,0.0,1.968503937007874,0.0,4.330708661417323,0.7874015748031497,0.0,0.7874015748031497,0.7874015748031497,0.0,0.0,0.7874015748031497,0.7874015748031497,0.0,0.7874015748031497,0.0,0.0,0.0,1.968503937007874,0.3937007874015748,1.5748031496062993,0.0,5.118110236220472,1.1811023622047243,1.1811023622047243,0.0,0.0,0.0,3.937007874015748,3.1496062992125986,0.7874015748031497,1.1811023622047243,0.0,1.1811023622047243,0.7874015748031497,0.3937007874015748,0.0,0.0
E00016281,70.62314540059347,63.50148367952522,60.83086053412463,0.29673590504451036,1.7804154302670623,0.5934718100890207,0.0,0.0,0.0,0.0,0.0,0.0,0.29673590504451036,6.824925816023739,5.044510385756676,3.264094955489614,0.0,0.8902077151335311,0.8902077151335311,0.29673590504451036,0.0,1.1869436201780414,1.7804154302670623,0.0,1.1869436201780414,0.0,0.5934718100890207,1.7804154302670623,0.8902077151335311,0.8902077151335311,6.231454005934718,0.29673590504451036,4.154302670623146,0.29673590504451036,3.857566765578635,0.0,1.7804154302670623,0.0,0.0,0.0,0.29673590504451036,1.4836795252225519,0.0,11.275964391691394,0.0,0.0,0.0,1.4836795252225519,1.1869436201780414,0.0,0.29673590504451036,8.308605341246292,0.0,1.4836795252225519,0.29673590504451036,5.341246290801187,1.1869436201780414,1.4836795252225519,0.8902077151335311,0.5934718100890207,0.0,11.275964391691394,0.5934718100890207,0.29673590504451036,0.29673590504451036,0.0,0.5934718100890207,10.089020771513352,8.308605341246292,1.7804154302670623,0.5934718100890207,0.0,0.5934718100890207,0.5934718100890207,0.0,0.0,0.0
E00016290,82.1875,72.5,72.1875,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.875,7.1875,5.625,2.5,0.9375,0.625,0.625,0.3125,0.0,0.0,3.125,0.3125,0.625,0.0,2.1875,1.5625,0.3125,1.25,4.6875,0.3125,3.4375,0.0,2.5,0.9375,0.9375,0.3125,0.0,0.0,0.0,0.625,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0625,0.0,0.3125,0.3125,2.5,0.9375,0.9375,0.625,0.3125,0.0,8.125,0.0,0.0,0.0,0.3125,2.1875,5.625,4.6875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016292,78.10457516339869,68.95424836601308,67.3202614379085,0.0,0.6535947712418301,0.6535947712418301,0.32679738562091504,0.0,0.0,0.32679738562091504,0.0,0.0,1.3071895424836601,7.516339869281046,6.209150326797386,1.9607843137254901,0.32679738562091504,0.9803921568627451,0.32679738562091504,0.0,0.32679738562091504,0.0,4.248366013071895,0.0,2.6143790849673203,0.9803921568627451,0.6535947712418301,1.3071895424836601,1.3071895424836601,0.0,3.5947712418300655,0.9803921568627451,1.3071895424836601,0.6535947712418301,0.6535947712418301,0.0,1.3071895424836601,0.0,0.0,0.0,0.0,1.3071895424836601,0.0,9.15032679738562,0.0,0.0,0.0,1.9607843137254901,1.9607843137254901,0.0,0.0,5.882352941176471,0.9803921568627451,0.0,0.0,4.901960784313726,0.0,1.3071895424836601,0.0,1.3071895424836601,0.0,9.15032679738562,0.0,0.0,0.0,0.0,0.9803921568627451,8.169934640522875,5.228758169934641,2.9411764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016293,74.43820224719101,67.69662921348315,65.4494382022472,0.0,0.8426966292134831,1.404494382022472,0.0,0.0,0.0,0.0,0.0,0.0,1.1235955056179776,5.617977528089888,5.337078651685394,3.651685393258427,0.8426966292134831,0.0,0.5617977528089888,0.0,0.0,2.247191011235955,1.6853932584269662,0.0,0.0,0.2808988764044944,1.404494382022472,0.2808988764044944,0.0,0.2808988764044944,7.303370786516854,0.0,4.49438202247191,1.1235955056179776,3.3707865168539324,0.0,2.808988764044944,0.2808988764044944,0.5617977528089888,0.0,1.1235955056179776,0.8426966292134831,0.0,3.651685393258427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0898876404494384,0.0,0.8426966292134831,0.0,2.247191011235955,0.0,0.5617977528089888,0.0,0.5617977528089888,0.0,14.325842696629213,0.2808988764044944,0.2808988764044944,0.0,0.0,1.1235955056179776,12.92134831460674,9.831460674157304,3.0898876404494384,0.2808988764044944,0.0,0.2808988764044944,0.0,0.2808988764044944,0.0,0.0
E00016295,77.20797720797721,71.7948717948718,71.7948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8547008547008547,4.5584045584045585,3.7037037037037037,1.1396011396011396,0.2849002849002849,0.2849002849002849,0.2849002849002849,0.0,0.0,0.2849002849002849,2.5641025641025643,0.2849002849002849,1.7094017094017093,0.2849002849002849,0.2849002849002849,0.8547008547008547,0.2849002849002849,0.5698005698005698,5.698005698005698,1.1396011396011396,3.7037037037037037,1.1396011396011396,1.4245014245014245,1.1396011396011396,0.5698005698005698,0.0,0.0,0.5698005698005698,0.0,0.0,0.2849002849002849,6.267806267806268,0.0,0.0,0.0,0.5698005698005698,0.2849002849002849,0.2849002849002849,0.0,5.698005698005698,0.0,1.1396011396011396,0.2849002849002849,3.4188034188034186,0.8547008547008547,0.0,0.0,0.0,0.0,10.826210826210826,0.2849002849002849,0.2849002849002849,0.0,0.0,0.8547008547008547,9.686609686609687,7.977207977207978,1.7094017094017093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016258,84.69945355191257,80.32786885245902,76.77595628415301,1.092896174863388,1.639344262295082,0.819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.819672131147541,3.551912568306011,3.278688524590164,2.73224043715847,0.0,0.546448087431694,0.0,1.639344262295082,0.0,0.546448087431694,0.546448087431694,0.0,0.546448087431694,0.0,0.0,0.273224043715847,0.0,0.273224043715847,3.551912568306011,0.0,1.639344262295082,0.0,1.366120218579235,0.273224043715847,1.9125683060109289,0.0,0.819672131147541,0.0,0.819672131147541,0.273224043715847,0.0,3.0054644808743167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73224043715847,1.639344262295082,0.819672131147541,0.0,0.273224043715847,0.0,0.273224043715847,0.273224043715847,0.0,0.0,8.19672131147541,0.0,0.0,0.0,0.0,1.639344262295082,6.557377049180328,3.8251366120218577,2.73224043715847,0.546448087431694,0.0,0.546448087431694,0.546448087431694,0.0,0.0,0.0
E00016259,83.60128617363344,72.34726688102894,70.09646302250803,0.3215434083601286,1.607717041800643,0.3215434083601286,0.0,0.0,0.0,0.0,0.0,0.0,2.8938906752411575,8.360128617363344,7.717041800643087,4.180064308681672,0.6430868167202572,0.9646302250803859,0.9646302250803859,0.9646302250803859,0.6430868167202572,0.0,3.536977491961415,0.0,0.3215434083601286,1.9292604501607717,1.2861736334405145,0.6430868167202572,0.0,0.6430868167202572,5.466237942122186,0.6430868167202572,3.8585209003215435,0.3215434083601286,2.8938906752411575,0.6430868167202572,0.9646302250803859,0.3215434083601286,0.3215434083601286,0.0,0.3215434083601286,0.0,0.0,3.536977491961415,0.0,0.0,0.0,0.9646302250803859,0.3215434083601286,0.0,0.6430868167202572,2.572347266881029,0.3215434083601286,0.6430868167202572,0.0,0.6430868167202572,0.9646302250803859,0.0,0.0,0.0,0.0,6.430868167202572,0.0,0.0,0.0,0.0,0.6430868167202572,5.787781350482315,5.144694533762058,0.6430868167202572,0.9646302250803859,0.0,0.9646302250803859,0.3215434083601286,0.6430868167202572,0.0,0.0
