OA11CD,United Kingdom,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania,Other
E00016744,74.05247813411079,9.912536443148687,2.9154518950437316,5.830903790087463,6.705539358600583,0.5830903790087464,0.0
E00016747,76.09561752988049,9.163346613545817,2.3904382470119523,7.171314741035856,4.780876494023905,0.398406374501992,0.0
E00016261,68.26666666666667,8.8,9.333333333333334,5.333333333333333,8.0,0.0,0.26666666666667993
E00016282,63.96648044692738,10.614525139664805,9.497206703910615,6.983240223463687,6.983240223463687,1.9553072625698324,0.0
E00016288,60.183066361556065,9.610983981693364,10.526315789473685,7.780320366132723,11.670480549199084,0.2288329519450801,0.0
E00016289,68.18181818181819,9.65909090909091,6.534090909090909,9.659090909090908,5.3977272727272725,0.5681818181818182,1.4210854715202004e-14
E00016294,71.38810198300283,7.365439093484419,6.232294617563739,3.3994334277620397,11.331444759206798,0.28328611898017,1.4210854715202004e-14
E00016260,73.08781869688386,5.38243626062323,3.68271954674221,5.38243626062323,12.181303116147308,0.28328611898017,0.0
E00016262,65.39923954372624,10.64638783269962,7.604562737642586,4.182509505703422,12.167300380228136,0.0,0.0
E00016266,67.03601108033241,8.310249307479225,6.371191135734072,7.202216066481994,10.803324099722992,0.0,0.2770083102493004
E00016267,59.70695970695971,12.454212454212456,8.058608058608058,9.157509157509157,10.256410256410257,0.3663003663003663,0.0
E00016271,72.04030226700252,8.060453400503778,6.297229219143577,5.541561712846348,8.060453400503778,0.0,1.4210854715202004e-14
E00016257,68.58407079646018,9.29203539823009,6.8584070796460175,4.646017699115045,10.176991150442477,0.22123893805309736,0.22123893805310502
E00016263,67.09401709401709,10.683760683760683,6.837606837606837,8.11965811965812,7.264957264957265,0.0,1.4210854715202004e-14
E00016265,62.30248306997743,9.48081264108352,11.060948081264108,9.255079006772009,7.44920993227991,0.22573363431151242,0.22573363431152416
E00016268,63.11300639658849,11.940298507462686,9.594882729211088,8.315565031982942,6.609808102345416,0.42643923240938164,0.0
E00016291,71.7032967032967,9.065934065934066,4.945054945054945,6.043956043956044,7.417582417582418,0.8241758241758241,-1.4210854715202004e-14
E00016264,64.88294314381271,16.387959866220736,3.678929765886288,6.688963210702341,8.02675585284281,0.33444816053511706,0.0
E00016269,73.78917378917379,7.6923076923076925,5.698005698005698,7.122507122507122,5.413105413105413,0.0,0.2849002849002886
E00016270,69.33333333333333,12.666666666666666,5.333333333333333,4.333333333333333,8.0,0.3333333333333333,1.4210854715202004e-14
E00016272,59.03954802259887,18.361581920903955,5.932203389830509,8.757062146892656,7.627118644067797,0.2824858757062147,1.4210854715202004e-14
E00016273,69.82968369829683,10.70559610705596,7.299270072992701,3.1630170316301705,8.75912408759124,0.24330900243309003,0.0
E00016930,71.40381282495667,5.545927209705373,7.625649913344887,8.492201039861351,6.759098786828423,0.1733102253032929,0.0
E00016946,73.33333333333333,5.432098765432099,6.172839506172839,5.679012345679013,9.382716049382717,0.0,0.0
E00016952,74.55197132616487,7.526881720430107,9.31899641577061,3.942652329749104,4.301075268817204,0.35842293906810035,-1.4210854715202004e-14
E00016964,77.17391304347827,7.971014492753623,6.159420289855072,1.8115942028985508,6.884057971014493,0.0,-1.4210854715202004e-14
E00016929,80.21978021978022,6.593406593406594,4.761904761904762,4.761904761904762,3.663003663003663,0.0,0.0
E00016931,72.28070175438596,8.070175438596491,8.771929824561404,5.2631578947368425,5.614035087719298,0.0,-1.4210854715202004e-14
E00016932,78.74564459930313,7.665505226480836,4.878048780487805,4.529616724738676,4.181184668989547,0.0,1.4210854715202004e-14
E00016954,78.30882352941177,5.147058823529411,7.720588235294118,4.044117647058823,4.779411764705882,0.0,0.0
E00016961,77.96610169491525,10.847457627118644,4.406779661016949,3.0508474576271185,3.0508474576271185,0.6779661016949152,0.0
