OA11CD,Quarter,Jobseekers Allowance
E00016807,May-21,0.0
E00016809,May-21,0.0
E00016810,May-21,0.0
E00016784,May-21,0.0
E00016811,May-21,0.0
E00016812,May-21,0.0
E00016816,May-21,0.0
E00016817,May-21,0.0
E00016785,May-21,0.0
E00016786,May-21,0.0
E00016787,May-21,12.0
E00016822,May-21,0.0
E00016824,May-21,0.0
E00016445,May-21,0.0
E00016448,May-21,0.0
E00016452,May-21,0.0
E00016454,May-21,0.0
E00016455,May-21,0.0
E00016446,May-21,0.0
E00016453,May-21,0.0
E00016456,May-21,0.0
E00016457,May-21,6.0
E00016462,May-21,0.0
E00173944,May-21,0.0
E00173945,May-21,0.0
E00016444,May-21,0.0
E00016484,May-21,0.0
E00016485,May-21,5.0
E00016488,May-21,0.0
E00016489,May-21,0.0
E00016443,May-21,0.0
E00016483,May-21,0.0
E00016486,May-21,0.0
E00016487,May-21,0.0
E00016491,May-21,0.0
E00016449,May-21,0.0
E00016450,May-21,0.0
E00016451,May-21,0.0
E00016490,May-21,0.0
E00016492,May-21,0.0
E00016281,May-21,0.0
E00016290,May-21,0.0
E00016292,May-21,0.0
E00016293,May-21,0.0
E00016295,May-21,0.0
E00016258,May-21,0.0
E00016259,May-21,0.0
E00016298,May-21,0.0
E00016299,May-21,6.0
E00016274,May-21,0.0
E00016276,May-21,0.0
E00016277,May-21,0.0
E00016278,May-21,0.0
E00016285,May-21,0.0
E00016256,May-21,0.0
E00016284,May-21,0.0
E00016286,May-21,0.0
E00016296,May-21,0.0
E00016297,May-21,0.0
E00016275,May-21,5.0
E00016279,May-21,0.0
E00016280,May-21,0.0
E00016283,May-21,0.0
E00016287,May-21,0.0
E00016513,May-21,0.0
E00016514,May-21,5.0
E00016515,May-21,0.0
E00016516,May-21,0.0
E00016519,May-21,0.0
E00016521,May-21,0.0
E00016493,May-21,0.0
E00016499,May-21,0.0
E00016502,May-21,0.0
E00016503,May-21,0.0
E00016507,May-21,0.0
E00016540,May-21,0.0
E00016498,May-21,0.0
E00016500,May-21,0.0
E00016505,May-21,0.0
E00016541,May-21,0.0
E00016494,May-21,0.0
E00016495,May-21,0.0
E00016501,May-21,0.0
E00016508,May-21,0.0
E00016511,May-21,0.0
E00016504,May-21,0.0
E00016506,May-21,0.0
E00016509,May-21,0.0
E00016510,May-21,0.0
E00016512,May-21,0.0
E00016750,May-21,0.0
E00016752,May-21,0.0
E00016753,May-21,0.0
E00016758,May-21,0.0
E00016763,May-21,0.0
E00016738,May-21,0.0
E00016739,May-21,0.0
E00016740,May-21,5.0
E00016749,May-21,0.0
E00016755,May-21,0.0
E00016745,May-21,0.0
E00016746,May-21,0.0
E00016751,May-21,0.0
E00016754,May-21,0.0
E00016757,May-21,0.0
E00016732,May-21,0.0
E00016735,May-21,6.0
E00016741,May-21,0.0
E00016742,May-21,0.0
E00016733,May-21,0.0
E00016734,May-21,0.0
E00016743,May-21,0.0
E00016744,May-21,0.0
E00016747,May-21,0.0
E00016261,May-21,0.0
E00016282,May-21,0.0
E00016288,May-21,0.0
E00016289,May-21,0.0
E00016294,May-21,0.0
E00016260,May-21,0.0
E00016262,May-21,7.0
E00016266,May-21,0.0
E00016267,May-21,0.0
E00016271,May-21,6.0
E00016257,May-21,0.0
E00016263,May-21,0.0
E00016265,May-21,0.0
E00016268,May-21,0.0
E00016291,May-21,6.0
E00016264,May-21,0.0
E00016269,May-21,0.0
E00016270,May-21,0.0
E00016272,May-21,0.0
E00016273,May-21,0.0
E00016930,May-21,6.0
E00016946,May-21,6.0
E00016952,May-21,0.0
E00016964,May-21,0.0
E00016929,May-21,5.0
E00016931,May-21,0.0
E00016932,May-21,0.0
E00016954,May-21,0.0
E00016961,May-21,6.0
E00016933,May-21,0.0
E00016953,May-21,0.0
E00016957,May-21,0.0
E00016960,May-21,0.0
E00016966,May-21,0.0
E00016940,May-21,0.0
E00016941,May-21,0.0
E00016942,May-21,0.0
E00016943,May-21,0.0
E00016944,May-21,0.0
E00016945,May-21,0.0
E00016728,May-21,0.0
E00016764,May-21,0.0
E00016766,May-21,6.0
E00016768,May-21,0.0
E00016772,May-21,0.0
E00016737,May-21,0.0
E00016748,May-21,0.0
E00016756,May-21,5.0
E00016760,May-21,0.0
E00173704,May-21,0.0
E00173705,May-21,0.0
E00173707,May-21,0.0
E00016729,May-21,0.0
E00016730,May-21,0.0
E00016759,May-21,0.0
E00016761,May-21,0.0
E00016762,May-21,0.0
E00016765,May-21,0.0
E00016767,May-21,0.0
E00016770,May-21,0.0
E00016771,May-21,6.0
E00016774,May-21,0.0
E00016777,May-21,0.0
E00016731,May-21,0.0
E00016769,May-21,0.0
E00016773,May-21,7.0
E00016775,May-21,0.0
E00016776,May-21,0.0
E00016460,May-21,0.0
E00016463,May-21,5.0
E00016467,May-21,0.0
E00016469,May-21,0.0
E00016471,May-21,6.0
E00016472,May-21,6.0
E00016447,May-21,0.0
E00016458,May-21,5.0
E00016459,May-21,0.0
E00016464,May-21,0.0
E00016465,May-21,0.0
E00016466,May-21,0.0
E00016475,May-21,0.0
E00016476,May-21,0.0
E00016478,May-21,0.0
E00016479,May-21,0.0
E00016480,May-21,0.0
E00016482,May-21,0.0
E00016468,May-21,0.0
E00016470,May-21,0.0
E00016473,May-21,0.0
E00016474,May-21,0.0
E00016477,May-21,0.0
E00016481,May-21,0.0
E00016126,May-21,0.0
E00016127,May-21,5.0
E00016131,May-21,0.0
E00016134,May-21,0.0
E00016140,May-21,0.0
E00016118,May-21,0.0
E00016154,May-21,0.0
E00016155,May-21,0.0
E00016156,May-21,0.0
E00016157,May-21,0.0
E00016112,May-21,0.0
E00016119,May-21,0.0
E00016121,May-21,0.0
E00016123,May-21,0.0
E00016158,May-21,0.0
E00016113,May-21,0.0
E00016120,May-21,0.0
E00016122,May-21,0.0
E00016124,May-21,0.0
E00016125,May-21,0.0
E00016114,May-21,7.0
E00016128,May-21,0.0
E00016130,May-21,0.0
E00016133,May-21,0.0
E00016135,May-21,0.0
E00016948,May-21,0.0
E00016949,May-21,0.0
E00016951,May-21,0.0
E00016955,May-21,0.0
E00016956,May-21,0.0
E00016950,May-21,0.0
E00016967,May-21,0.0
E00016968,May-21,0.0
E00016969,May-21,0.0
E00016971,May-21,0.0
E00016928,May-21,0.0
E00016947,May-21,0.0
E00016958,May-21,8.0
E00016963,May-21,0.0
E00016937,May-21,5.0
E00016959,May-21,0.0
E00016962,May-21,0.0
E00016965,May-21,8.0
E00016970,May-21,0.0
E00016934,May-21,0.0
E00016935,May-21,0.0
E00016936,May-21,0.0
E00016938,May-21,0.0
E00016939,May-21,0.0
E00016496,May-21,0.0
E00016517,May-21,0.0
E00016518,May-21,0.0
E00016523,May-21,0.0
E00016524,May-21,0.0
E00016525,May-21,0.0
E00016497,May-21,0.0
E00016527,May-21,0.0
E00016528,May-21,0.0
E00016531,May-21,0.0
E00016532,May-21,0.0
E00016535,May-21,0.0
E00016520,May-21,0.0
E00016522,May-21,0.0
E00016526,May-21,0.0
E00016529,May-21,0.0
E00016530,May-21,0.0
E00016533,May-21,0.0
E00016534,May-21,0.0
E00016536,May-21,0.0
E00016537,May-21,0.0
E00016538,May-21,0.0
E00016539,May-21,5.0
E00016830,May-21,0.0
E00016839,May-21,0.0
E00016845,May-21,0.0
E00016872,May-21,0.0
E00016873,May-21,0.0
E00016838,May-21,0.0
E00016840,May-21,0.0
E00016847,May-21,7.0
E00016852,May-21,0.0
E00016858,May-21,0.0
E00016874,May-21,0.0
E00016826,May-21,0.0
E00016831,May-21,0.0
E00016832,May-21,0.0
E00016833,May-21,0.0
E00016875,May-21,0.0
E00016828,May-21,0.0
E00016850,May-21,0.0
E00016854,May-21,0.0
E00016855,May-21,0.0
E00016857,May-21,0.0
E00016878,May-21,0.0
E00016827,May-21,0.0
E00016834,May-21,7.0
E00016842,May-21,0.0
E00016856,May-21,0.0
E00016876,May-21,0.0
E00016877,May-21,0.0
E00016115,May-21,0.0
E00016136,May-21,0.0
E00016137,May-21,7.0
E00016138,May-21,0.0
E00016139,May-21,0.0
E00016116,May-21,0.0
E00016129,May-21,5.0
E00016142,May-21,0.0
E00016144,May-21,0.0
E00016145,May-21,0.0
E00016150,May-21,0.0
E00016117,May-21,0.0
E00016132,May-21,0.0
E00016143,May-21,0.0
E00016147,May-21,0.0
E00016153,May-21,0.0
E00016141,May-21,0.0
E00016146,May-21,0.0
E00016148,May-21,0.0
E00016149,May-21,0.0
E00016151,May-21,6.0
E00016152,May-21,6.0
E00016843,May-21,0.0
E00016863,May-21,0.0
E00016868,May-21,0.0
E00016870,May-21,0.0
E00016871,May-21,0.0
E00016848,May-21,0.0
E00016859,May-21,0.0
E00016861,May-21,0.0
E00016862,May-21,0.0
E00016866,May-21,0.0
E00016829,May-21,0.0
E00016851,May-21,0.0
E00016860,May-21,6.0
E00016864,May-21,0.0
E00016867,May-21,0.0
E00016869,May-21,0.0
E00016835,May-21,0.0
E00016837,May-21,0.0
E00016846,May-21,0.0
E00016849,May-21,0.0
E00016865,May-21,0.0
E00016825,May-21,0.0
E00016836,May-21,0.0
E00016841,May-21,0.0
E00016844,May-21,0.0
E00016853,May-21,0.0
E00016350,May-21,0.0
E00016369,May-21,6.0
E00016370,May-21,0.0
E00016371,May-21,0.0
E00016374,May-21,0.0
E00016352,May-21,0.0
E00016373,May-21,5.0
E00016378,May-21,0.0
E00016381,May-21,6.0
E00016382,May-21,0.0
E00016348,May-21,0.0
E00016372,May-21,0.0
E00016375,May-21,0.0
E00016377,May-21,0.0
E00016379,May-21,0.0
E00016349,May-21,0.0
E00016351,May-21,0.0
E00016376,May-21,5.0
E00016383,May-21,0.0
E00016356,May-21,0.0
E00016387,May-21,0.0
E00016393,May-21,0.0
E00165790,May-21,0.0
E00016361,May-21,0.0
E00016363,May-21,0.0
E00016366,May-21,0.0
E00016367,May-21,0.0
E00016368,May-21,0.0
E00016353,May-21,0.0
E00016360,May-21,6.0
E00016380,May-21,0.0
E00016389,May-21,0.0
E00016390,May-21,0.0
E00016392,May-21,0.0
E00016359,May-21,0.0
E00016384,May-21,6.0
E00016385,May-21,0.0
E00016386,May-21,0.0
E00016388,May-21,0.0
E00016346,May-21,0.0
E00016354,May-21,0.0
E00016357,May-21,0.0
E00016358,May-21,0.0
E00016391,May-21,0.0
E00016362,May-21,0.0
E00016364,May-21,0.0
E00016365,May-21,0.0
E00016394,May-21,0.0
E00165789,May-21,0.0
E00016678,May-21,0.0
E00016722,May-21,0.0
E00016724,May-21,0.0
E00016727,May-21,0.0
E00016676,May-21,0.0
E00016685,May-21,0.0
E00016690,May-21,0.0
E00016691,May-21,0.0
E00016726,May-21,0.0
E00016688,May-21,0.0
E00016695,May-21,0.0
E00016705,May-21,0.0
E00016710,May-21,0.0
E00016712,May-21,0.0
E00016682,May-21,0.0
E00016686,May-21,0.0
E00016699,May-21,0.0
E00016702,May-21,0.0
E00016707,May-21,0.0
E00016711,May-21,6.0
E00016696,May-21,0.0
E00016698,May-21,0.0
E00016703,May-21,0.0
E00016713,May-21,6.0
E00165804,May-21,0.0
