OA11CD,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016390,4.385964912280702,4.824561403508772,9.210526315789474,8.333333333333334,7.017543859649122,6.140350877192983,6.140350877192983,13.157894736842104,7.017543859649122,6.578947368421052,3.9473684210526314,7.456140350877193,5.701754385964913,2.192982456140351,1.3157894736842106,2.192982456140351,2.6315789473684212,1.7543859649122806
E00016392,2.93040293040293,7.326007326007326,7.6923076923076925,5.4945054945054945,4.395604395604396,6.593406593406593,6.227106227106227,9.523809523809524,6.95970695970696,8.058608058608058,7.6923076923076925,6.227106227106227,6.593406593406593,3.663003663003663,5.128205128205129,1.098901098901099,1.8315018315018314,2.5641025641025643
E00016359,3.869047619047619,5.654761904761905,5.059523809523809,5.9523809523809526,3.5714285714285716,4.761904761904762,3.869047619047619,8.928571428571429,5.9523809523809526,8.035714285714286,8.630952380952381,7.738095238095238,6.845238095238095,4.761904761904762,4.761904761904762,3.869047619047619,3.5714285714285716,4.166666666666667
E00016384,4.970760233918129,5.2631578947368425,6.140350877192983,3.801169590643275,3.801169590643275,5.847953216374269,4.678362573099415,9.35672514619883,7.60233918128655,5.847953216374269,8.187134502923977,4.678362573099415,7.60233918128655,6.7251461988304095,4.970760233918129,5.555555555555555,3.508771929824561,1.4619883040935673
E00016385,4.112554112554113,5.411255411255412,5.8441558441558445,5.411255411255412,3.6796536796536796,5.8441558441558445,8.225108225108226,9.74025974025974,5.627705627705628,7.359307359307359,7.575757575757576,4.545454545454546,8.658008658008658,6.4935064935064934,4.112554112554113,2.380952380952381,2.5974025974025974,2.380952380952381
E00016386,2.3346303501945527,3.11284046692607,3.501945525291829,1.556420233463035,1.9455252918287937,2.3346303501945527,3.501945525291829,5.836575875486381,7.782101167315175,4.669260700389105,6.22568093385214,6.614785992217898,7.003891050583658,12.84046692607004,9.33852140077821,7.003891050583658,7.392996108949417,7.003891050583658
E00016388,4.014598540145985,6.569343065693431,4.744525547445256,1.8248175182481752,3.6496350364963503,3.6496350364963503,4.37956204379562,7.299270072992701,10.218978102189782,5.839416058394161,9.489051094890511,8.75912408759124,6.569343065693431,4.37956204379562,6.934306569343065,4.014598540145985,5.109489051094891,2.5547445255474455
E00016346,4.56140350877193,8.070175438596491,7.368421052631579,8.421052631578947,5.2631578947368425,5.964912280701754,5.614035087719298,7.719298245614035,7.719298245614035,10.526315789473685,5.964912280701754,7.017543859649122,4.912280701754386,1.7543859649122806,3.8596491228070176,2.1052631578947367,1.4035087719298245,1.7543859649122806
E00016354,9.701492537313433,7.835820895522388,5.970149253731344,4.104477611940299,4.850746268656716,4.850746268656716,7.835820895522388,6.7164179104477615,11.567164179104477,10.82089552238806,5.223880597014926,6.7164179104477615,4.104477611940299,2.2388059701492535,1.8656716417910448,2.2388059701492535,2.2388059701492535,1.1194029850746268
E00016357,8.04953560371517,8.6687306501548,8.359133126934985,4.953560371517028,8.978328173374614,8.6687306501548,8.359133126934985,7.120743034055727,6.811145510835913,6.501547987616099,6.191950464396285,7.120743034055727,3.4055727554179565,1.8575851393188854,2.7863777089783284,1.8575851393188854,0.0,0.30959752321981426
E00016358,10.876132930513595,6.3444108761329305,5.740181268882175,6.3444108761329305,9.667673716012084,5.740181268882175,8.761329305135952,12.084592145015106,7.2507552870090635,5.740181268882175,5.438066465256798,4.531722054380665,1.8126888217522659,2.719033232628399,1.2084592145015105,1.8126888217522659,0.9063444108761329,3.0211480362537766
E00016391,3.7383177570093458,6.853582554517134,6.230529595015576,6.230529595015576,5.29595015576324,3.115264797507788,6.542056074766355,9.657320872274143,9.034267912772586,5.29595015576324,9.345794392523365,8.411214953271028,5.29595015576324,4.361370716510903,2.1806853582554515,2.803738317757009,1.8691588785046729,3.7383177570093458
E00016403,7.837837837837838,13.513513513513514,10.27027027027027,5.405405405405405,5.405405405405405,4.594594594594595,8.108108108108109,8.91891891891892,7.837837837837838,9.72972972972973,5.405405405405405,4.054054054054054,5.135135135135135,0.2702702702702703,0.8108108108108109,0.8108108108108109,1.3513513513513513,0.5405405405405406
E00016437,5.179282868525896,5.9760956175298805,8.764940239043824,7.370517928286852,11.752988047808765,10.159362549800797,7.370517928286852,7.768924302788845,5.179282868525896,7.569721115537849,7.569721115537849,5.776892430278885,3.3864541832669324,0.398406374501992,0.796812749003984,1.1952191235059761,3.3864541832669324,0.398406374501992
E00016439,8.977556109725686,9.226932668329177,6.982543640897756,2.743142144638404,8.229426433915211,8.728179551122194,12.468827930174564,12.219451371571072,8.229426433915211,6.483790523690773,5.236907730673317,2.743142144638404,3.7406483790523692,0.9975062344139651,0.9975062344139651,0.7481296758104738,0.7481296758104738,0.49875311720698257
E00016442,10.869565217391305,12.801932367149758,11.11111111111111,5.797101449275362,5.072463768115942,5.314009661835748,6.038647342995169,7.971014492753623,6.280193236714976,7.971014492753623,7.246376811594203,5.797101449275362,2.657004830917874,1.6908212560386473,1.6908212560386473,1.4492753623188406,0.24154589371980675,0.0
E00016399,6.238185255198488,6.994328922495274,6.238185255198488,11.1531190926276,8.31758034026465,11.531190926275993,9.262759924385634,8.128544423440454,4.3478260869565215,5.293005671077505,5.293005671077505,6.427221172022684,5.293005671077505,4.158790170132325,0.5671077504725898,0.1890359168241966,0.3780718336483932,0.1890359168241966
E00016401,6.4784053156146175,9.800664451827242,10.132890365448505,6.644518272425249,4.983388704318937,7.807308970099668,12.29235880398671,13.953488372093023,7.641196013289036,6.146179401993355,4.152823920265781,3.654485049833887,2.823920265780731,1.8272425249169435,0.4983388704318937,0.33222591362126247,0.6644518272425249,0.16611295681063123
E00016406,4.276315789473684,5.592105263157895,7.565789473684211,13.81578947368421,9.210526315789474,12.171052631578947,10.197368421052632,5.2631578947368425,5.2631578947368425,6.25,6.907894736842105,3.6184210526315788,4.934210526315789,1.644736842105263,0.6578947368421053,0.32894736842105265,0.0,2.3026315789473686
E00016435,4.929577464788732,7.746478873239437,7.042253521126761,8.215962441314554,7.511737089201878,11.971830985915492,9.389671361502348,10.7981220657277,7.746478873239437,6.807511737089202,5.633802816901408,5.39906103286385,2.347417840375587,3.2863849765258215,0.4694835680751174,0.4694835680751174,0.2347417840375587,0.0
E00016412,6.112469437652812,7.334963325183374,6.356968215158925,4.400977995110025,8.557457212713937,9.290953545232274,11.246943765281173,11.491442542787286,4.156479217603912,5.623471882640587,7.579462102689487,5.378973105134475,5.134474327628362,1.7114914425427872,1.7114914425427872,1.7114914425427872,0.7334963325183375,1.466992665036675
E00016414,4.166666666666667,4.8076923076923075,3.8461538461538463,4.487179487179487,8.653846153846153,10.576923076923077,9.935897435897436,8.653846153846153,6.089743589743589,8.012820512820513,8.333333333333334,8.653846153846153,6.089743589743589,2.8846153846153846,0.6410256410256411,2.2435897435897436,0.6410256410256411,1.2820512820512822
E00016418,4.0673211781206176,4.488078541374474,5.329593267882188,3.9270687237026647,9.957924263674615,14.446002805049089,20.47685834502104,11.360448807854137,6.3113604488078545,3.7868162692847123,5.610098176718092,3.9270687237026647,2.9453015427769986,0.8415147265077139,0.9817671809256662,0.5610098176718092,0.8415147265077139,0.1402524544179523
E00016422,4.2,9.4,12.8,9.6,7.4,6.4,7.8,6.6,6.2,6.8,7.6,6.4,3.2,2.2,1.0,1.0,1.0,0.4
E00016395,4.728546409807356,2.8021015761821366,1.0507880910683012,1.926444833625219,9.807355516637479,20.140105078809107,22.76707530647986,10.85814360770578,7.530647985989492,4.028021015761821,3.327495621716287,2.626970227670753,2.276707530647986,1.5761821366024518,1.2259194395796849,1.5761821366024518,0.8756567425569177,0.8756567425569177
E00016404,2.0460358056265986,2.557544757033248,3.580562659846547,2.3017902813299234,13.554987212276215,21.994884910485933,15.089514066496164,8.695652173913043,3.836317135549872,4.092071611253197,4.3478260869565215,5.626598465473146,3.836317135549872,1.7902813299232736,2.0460358056265986,1.7902813299232736,0.7672634271099744,2.0460358056265986
