LSOA11CD,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01003210,969,11,16,11,5,15,8,5,9,7,5,11,11,6,20,10,6,10,2,4,3,7,8,13,16,18,20,15,30,32,29,26,36,22,28,30,24,25,34,15,23,26,24,19,17,21,9,14,13,12,15,8,13,13,11,8,4,7,7,8,5,3,8,7,10,4,6,4,4,1,3,4,6,3,3,2,2,2,1,2,1,1,1,0,0,1,2,1,2,2,0,3
E01003211,770,17,6,10,6,9,4,7,12,6,8,5,8,11,4,4,5,2,1,3,2,5,8,6,17,14,19,17,29,27,29,27,30,17,27,24,18,21,18,12,11,16,9,14,6,15,7,9,7,11,10,13,16,10,10,7,6,9,9,4,4,6,4,4,4,0,2,2,1,2,3,5,3,2,3,6,3,3,1,0,2,7,2,0,2,0,1,1,1,0,0,2
E01003212,1033,7,8,7,12,7,11,10,11,11,14,3,6,7,7,6,6,4,5,9,3,12,18,22,17,31,29,20,41,31,36,43,39,26,24,25,14,14,18,17,11,17,6,17,8,14,9,14,8,6,13,17,10,13,12,13,13,12,14,10,11,10,7,11,15,6,7,8,4,10,4,7,6,8,6,6,4,3,5,0,7,3,2,2,4,1,1,0,1,1,0,5
E01003213,1075,19,25,17,17,14,21,11,17,14,12,11,5,7,6,9,9,7,6,8,16,13,15,21,20,35,35,34,29,36,27,21,22,21,25,23,18,34,28,25,19,17,11,19,16,10,13,15,16,19,14,6,9,11,14,7,7,6,8,3,10,5,8,4,2,2,2,7,2,2,3,7,7,2,4,6,1,3,3,2,2,1,4,2,0,3,0,0,2,1,0,5
E01003214,1018,14,18,17,18,12,14,20,19,16,16,8,9,7,13,7,4,8,7,3,4,14,6,19,11,26,18,22,20,32,19,22,27,28,20,23,21,17,18,17,14,15,12,14,17,9,14,18,13,17,22,19,13,18,10,17,8,13,9,7,14,11,6,6,8,8,6,3,3,2,3,3,4,4,2,2,3,2,4,1,0,4,2,4,2,1,2,1,1,2,4,7
E01003215,1163,13,7,9,15,15,10,16,14,8,9,11,5,4,5,5,10,10,8,22,66,54,68,60,54,40,30,28,24,30,24,23,22,16,21,15,30,25,16,28,25,15,16,13,5,13,11,11,13,13,9,9,7,9,9,5,4,10,4,13,7,6,4,2,2,2,7,4,5,7,7,0,2,3,4,2,1,0,0,1,1,2,2,2,0,1,2,1,0,1,0,1
E01003216,985,13,7,11,13,14,20,18,17,18,15,15,8,8,12,7,13,7,7,11,7,7,5,11,8,11,12,10,16,9,15,24,18,13,18,13,17,15,12,26,18,13,14,23,22,19,12,16,12,20,18,7,8,14,13,9,22,26,34,23,12,7,7,8,6,4,11,8,8,11,9,2,2,8,2,1,0,3,3,2,1,3,0,3,3,0,0,4,3,1,2,7
E01003217,886,13,11,9,11,14,13,12,12,17,5,7,13,14,8,11,9,8,12,7,8,5,6,10,9,7,14,11,14,9,13,5,13,11,5,10,11,22,14,13,11,15,16,12,14,10,11,11,17,10,13,16,9,20,22,15,20,18,16,16,9,8,12,9,8,7,9,6,2,4,11,2,5,3,6,3,4,6,7,4,1,1,3,5,4,3,14,9,2,5,0,6
E01003218,854,15,7,11,8,10,7,9,10,11,7,10,11,13,12,10,16,10,25,12,7,5,10,13,8,6,5,8,8,9,11,8,13,9,9,12,9,17,10,16,16,19,21,14,15,17,10,8,15,12,8,12,18,12,13,10,15,13,14,18,12,14,9,4,11,4,4,9,10,7,6,4,5,7,4,1,2,2,3,4,3,2,6,2,6,3,8,5,2,1,2,5
E01003219,934,14,19,20,8,9,19,5,9,13,7,8,13,7,16,9,8,13,15,9,11,7,12,7,8,6,15,6,13,12,10,8,8,13,13,15,6,10,11,14,15,14,23,15,15,20,10,9,8,15,14,6,13,14,14,15,16,21,15,16,12,11,16,10,13,6,8,6,7,9,2,10,14,11,5,6,4,9,1,4,3,2,8,5,9,4,2,5,2,0,1,15
E01003220,918,11,12,12,10,7,8,9,7,5,6,7,8,4,7,9,14,16,12,15,8,8,7,8,13,14,10,9,7,13,16,15,12,14,17,19,18,24,20,14,25,16,16,10,14,12,12,12,8,9,15,6,12,11,10,16,14,19,15,20,10,17,9,20,17,13,6,10,8,4,2,6,9,5,5,3,3,2,6,3,1,3,6,1,3,0,3,5,2,4,2,13
E01003221,1055,9,15,11,14,7,12,19,21,19,18,8,12,10,12,8,11,8,8,12,3,11,11,12,16,13,11,13,11,15,11,15,15,14,19,22,21,22,16,11,19,27,23,20,19,21,13,5,14,17,9,12,16,16,11,15,12,10,14,14,9,17,9,15,15,13,11,11,10,2,8,4,7,8,12,4,3,6,2,4,5,3,3,7,6,3,5,5,3,2,4,16
E01003222,858,14,14,10,14,8,11,9,13,17,9,12,6,7,11,10,5,9,8,10,7,4,7,11,13,13,4,8,9,9,13,11,16,15,14,16,14,15,15,7,12,14,15,9,12,7,13,11,17,16,17,11,11,9,12,9,19,12,14,13,9,10,19,12,12,13,6,8,2,8,8,9,9,4,4,4,2,4,3,2,2,5,2,6,5,4,2,1,2,2,3,5
E01003223,845,6,3,6,8,4,13,9,12,9,20,9,3,7,3,9,11,9,11,9,7,4,10,12,10,11,15,10,14,15,12,17,17,13,12,13,9,9,9,10,8,13,11,12,14,9,13,9,12,6,16,11,17,14,10,13,10,10,14,22,17,15,13,17,6,6,6,9,7,7,4,9,7,7,8,6,3,6,8,4,4,4,3,4,3,4,5,3,1,5,5,5
E01003224,913,12,6,16,7,13,18,17,24,21,13,14,3,11,10,9,7,8,15,10,11,7,11,8,13,8,11,11,10,11,8,7,15,13,15,9,14,13,20,14,16,19,13,22,16,12,14,11,7,12,11,14,14,13,18,9,8,22,18,9,7,10,10,13,6,5,12,9,6,8,6,7,7,5,7,5,3,5,7,5,5,2,2,1,2,2,2,1,2,2,2,6
E01003225,810,10,9,15,11,16,13,17,6,14,15,9,14,9,7,12,6,7,6,5,4,1,4,5,5,4,9,8,8,9,8,15,16,15,13,18,19,15,21,14,21,22,21,8,16,15,14,10,5,11,16,11,9,9,6,13,6,13,8,16,9,10,8,6,8,4,5,5,8,5,6,4,3,8,3,10,3,1,4,2,5,1,3,5,5,2,2,3,2,3,0,5
E01003226,846,17,18,10,9,11,19,10,6,9,5,10,9,3,6,4,3,4,6,3,9,7,3,10,8,8,14,22,14,14,14,22,19,17,13,24,17,24,21,22,21,16,20,17,12,7,15,14,10,10,13,8,13,10,8,5,8,7,6,11,5,7,10,16,10,8,9,5,8,6,6,10,5,2,5,5,7,6,3,5,0,1,2,1,1,0,0,1,1,0,2,4
E01003227,853,11,7,16,16,11,11,12,7,15,10,11,9,8,12,13,5,11,5,6,5,5,5,9,7,7,7,10,6,10,14,9,15,13,17,16,23,12,23,20,19,12,19,21,21,11,19,18,16,11,13,12,11,8,11,13,9,8,4,9,7,13,9,7,9,10,9,12,9,9,5,3,5,5,4,4,5,7,3,1,2,4,2,4,4,3,1,0,0,2,0,1
E01003228,813,17,16,14,10,9,14,12,10,17,8,7,7,5,6,4,4,3,3,6,6,2,1,4,3,3,8,7,13,13,17,23,21,25,23,29,21,16,23,30,23,19,15,12,16,12,15,8,15,12,11,6,8,7,11,6,3,9,16,10,7,8,8,7,4,4,3,4,5,0,1,6,5,9,5,1,3,4,3,5,3,4,1,0,2,2,0,2,1,3,1,8
E01003229,878,12,10,9,14,10,7,6,15,14,13,14,13,12,6,17,7,5,4,3,3,4,5,6,5,7,11,14,10,13,16,11,21,16,22,20,13,13,17,16,27,23,11,18,17,11,23,15,12,14,11,9,17,9,10,10,9,11,12,7,11,10,9,16,12,15,3,7,3,2,6,4,3,2,4,2,5,2,3,8,6,5,0,3,6,1,6,6,2,0,0,6
E01003230,1046,20,27,16,15,13,14,10,12,21,7,13,15,8,17,14,9,9,7,9,7,5,3,9,7,13,17,21,16,21,15,24,25,21,28,20,30,30,25,23,12,17,21,19,19,16,17,8,14,11,16,19,21,19,13,13,18,11,10,10,15,5,12,9,6,3,8,6,5,6,7,2,6,3,3,3,2,3,3,1,5,2,3,2,0,2,0,0,2,1,0,1
E01003231,830,9,15,10,18,23,13,6,13,10,9,10,8,7,3,10,2,2,3,4,4,5,4,7,9,6,21,24,29,33,23,19,20,19,24,16,13,14,16,9,9,19,10,14,9,15,8,12,14,13,7,8,12,6,9,8,11,12,14,12,7,10,5,7,9,7,2,7,2,4,6,3,1,5,4,1,6,8,1,2,2,3,5,1,2,2,1,0,1,1,0,3
E01003232,1029,16,21,23,14,20,30,42,24,30,12,10,10,8,8,5,9,10,8,4,5,3,8,8,13,8,15,14,10,11,13,12,12,11,9,18,23,21,22,25,22,21,25,29,24,20,8,12,12,13,7,11,7,9,11,10,16,8,12,18,7,12,6,5,6,9,5,17,10,11,12,6,3,5,5,2,6,3,0,7,4,2,0,1,1,1,6,7,4,3,2,1
E01003233,866,22,11,13,20,15,11,13,18,11,10,11,11,12,9,8,7,6,6,9,6,7,4,8,8,9,7,8,8,12,16,15,13,15,10,18,13,17,22,19,18,20,13,15,13,17,17,15,15,10,13,9,10,11,9,12,12,12,15,9,13,4,11,7,7,7,2,9,6,2,4,4,6,5,9,4,8,2,3,3,2,6,5,1,2,2,0,1,2,0,1,5
E01003235,655,6,8,10,7,12,13,17,12,8,9,6,13,4,11,8,5,4,8,6,4,4,12,5,9,8,8,10,8,11,9,8,15,13,10,7,10,10,11,7,12,7,4,10,6,7,5,9,15,7,10,10,12,10,9,7,17,6,7,7,12,12,7,11,6,7,7,5,5,5,3,4,2,6,3,4,6,3,6,3,1,1,2,2,2,2,0,0,0,1,0,4
E01003236,852,12,7,9,7,8,14,12,13,9,14,19,10,11,16,12,15,17,13,5,19,5,6,7,5,6,14,11,9,10,7,9,13,10,12,14,19,21,22,17,20,6,14,17,9,6,18,16,14,17,15,14,8,14,7,16,15,11,11,9,8,15,9,10,8,11,7,7,4,5,7,0,3,6,3,5,3,1,1,2,1,2,5,3,1,1,1,1,1,0,1,4
E01003237,891,14,8,17,2,13,20,12,11,18,14,11,16,11,8,11,11,14,12,5,11,6,9,3,8,6,14,11,9,14,9,21,14,13,19,17,12,16,12,18,11,12,17,11,16,14,5,13,9,18,15,16,18,17,16,17,8,11,11,11,7,9,9,9,5,4,11,8,2,3,7,4,4,1,3,6,4,3,7,2,3,6,4,4,3,5,3,6,4,2,3,4
E01003238,750,9,5,10,7,9,9,6,8,7,16,17,12,15,14,21,7,11,9,4,3,3,8,6,12,9,15,7,4,7,9,14,16,9,22,13,14,19,8,12,9,14,13,13,9,16,10,11,8,12,19,10,14,11,8,12,13,10,9,9,8,12,3,3,6,3,9,5,11,7,3,6,4,4,5,1,3,1,1,1,3,1,2,0,0,1,1,1,1,2,1,5
E01003239,843,6,6,7,15,11,14,11,21,6,9,15,13,7,14,19,9,17,14,19,8,3,6,9,7,6,9,13,14,11,7,8,16,10,9,15,19,14,17,10,16,15,17,11,14,10,7,8,10,17,9,10,12,10,7,12,12,10,11,10,15,11,12,10,4,8,6,9,6,7,5,2,3,4,0,3,6,5,6,3,4,4,2,2,6,6,2,1,0,0,0,19
E01003240,1005,15,8,8,3,11,16,12,18,13,18,15,17,19,16,17,14,10,10,19,7,8,6,13,14,12,12,11,11,10,17,12,18,26,10,12,14,13,22,15,19,14,16,22,8,16,22,17,10,10,21,9,17,10,12,17,11,13,13,14,7,13,13,5,6,7,11,6,4,14,7,5,5,7,14,7,3,5,1,2,4,10,3,6,4,4,4,4,3,0,1,7
E01003241,871,12,4,10,5,11,7,7,9,10,10,8,6,8,10,7,8,7,6,9,8,3,4,6,7,7,9,4,10,11,9,7,13,4,8,12,8,17,16,14,11,12,10,8,5,15,12,12,13,11,8,8,14,13,7,13,13,14,5,10,13,24,12,13,11,16,17,15,12,9,11,9,11,16,12,10,7,3,9,2,14,6,7,9,7,13,5,7,3,3,6,14
E01003243,817,13,15,15,16,11,9,6,11,7,10,15,11,4,11,12,10,14,12,11,13,6,10,6,7,11,14,14,7,11,7,11,17,11,15,8,12,22,13,10,13,13,15,13,8,15,8,9,15,16,16,7,15,11,10,13,12,13,11,12,9,7,5,4,9,5,3,7,4,6,4,4,5,4,2,5,2,1,4,5,2,2,4,5,1,1,2,4,3,4,1,10
E01003244,833,15,16,26,15,10,15,17,18,16,13,20,16,16,11,9,15,11,12,6,6,9,5,7,14,13,14,12,12,15,12,19,16,18,17,15,19,22,11,25,12,14,10,11,11,10,15,10,10,8,12,12,9,9,6,14,9,10,6,8,6,4,3,1,2,4,3,1,1,0,1,0,2,2,2,2,3,0,2,2,2,9,0,6,6,0,0,1,1,0,1,2
E01003245,953,10,10,4,7,11,12,16,17,13,14,15,11,15,12,16,15,23,13,11,12,13,16,11,19,19,16,16,16,11,22,20,19,22,13,11,30,15,31,20,15,17,14,16,9,14,12,14,19,14,15,9,14,11,13,13,12,9,13,14,8,5,8,11,8,7,7,2,4,7,2,1,2,2,1,1,0,1,1,1,1,2,0,2,0,2,0,0,1,0,0,2
E01003246,971,12,6,14,9,7,11,19,11,13,12,8,13,14,16,13,15,12,11,7,14,12,8,16,16,24,17,18,30,23,23,23,22,22,24,26,16,21,17,14,9,15,11,11,12,12,13,10,10,20,14,14,14,13,11,11,7,8,15,15,12,8,11,10,5,4,3,4,4,4,3,6,2,2,3,3,2,3,7,5,2,4,0,1,1,0,1,0,1,1,2,3
E01003247,1093,11,10,14,11,4,11,17,8,17,11,6,7,6,3,6,6,0,6,6,8,13,11,24,37,53,34,32,36,30,47,48,60,34,26,34,21,21,19,12,18,16,15,13,11,12,2,6,11,6,9,9,11,9,8,5,14,6,10,9,7,11,9,3,9,2,2,2,8,5,4,2,4,6,5,7,4,6,9,5,8,1,7,1,1,0,1,2,0,0,1,1
E01003248,867,8,10,8,11,8,11,9,14,19,8,14,17,11,13,16,12,11,5,6,7,8,5,13,17,9,23,21,22,19,15,19,21,17,15,21,16,18,14,15,12,25,19,12,17,9,19,17,7,12,11,15,11,8,9,16,11,12,7,12,7,7,8,7,5,6,4,3,2,2,1,9,6,2,0,2,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,2
E01003249,989,14,12,8,6,8,3,7,6,7,3,8,4,11,14,11,10,13,14,13,11,9,14,12,17,17,16,21,17,21,29,24,23,33,21,26,20,16,25,24,21,21,12,13,10,20,19,12,14,20,14,10,16,13,12,9,12,22,13,12,13,7,7,8,5,10,6,5,4,4,3,4,9,3,5,5,3,3,1,1,2,1,4,1,3,2,1,1,1,1,0,3
E01003250,1930,29,29,28,29,17,24,10,18,21,12,21,15,13,10,15,13,5,14,10,12,10,12,23,42,41,63,66,76,71,84,88,85,62,73,66,60,58,46,37,31,36,32,26,30,23,14,15,17,17,14,14,12,12,15,11,9,14,16,12,12,13,8,3,7,7,9,3,7,6,4,7,8,4,4,6,5,9,6,2,0,1,2,2,1,2,3,5,0,4,1,1
E01003251,1191,23,11,17,15,15,15,22,20,20,15,18,25,18,18,21,19,12,21,18,19,12,16,16,20,21,30,31,31,34,30,26,33,24,23,19,20,13,19,14,16,24,15,13,14,14,17,20,14,16,11,9,11,11,10,12,13,13,18,16,7,6,12,5,6,8,3,3,4,4,1,3,5,6,6,2,1,3,2,2,1,2,3,3,2,1,1,4,0,1,2,1
E01003252,796,10,6,3,14,8,10,17,15,14,12,13,20,18,21,10,11,9,12,10,4,5,5,12,10,6,10,7,12,11,13,14,15,7,10,12,11,16,17,9,11,9,8,8,14,10,14,11,11,6,13,15,15,20,10,14,12,17,10,10,4,11,14,7,15,9,2,3,2,3,2,1,4,5,4,2,2,0,4,2,0,4,1,3,2,2,1,3,3,0,2,2
E01003253,760,9,8,12,5,7,13,8,6,8,13,7,9,7,7,5,8,4,2,2,7,10,7,8,13,13,16,16,14,17,22,23,23,21,20,18,17,15,16,10,9,13,10,12,11,8,17,9,11,8,11,11,7,2,9,9,11,12,7,5,5,6,7,2,4,2,5,11,10,4,5,1,5,0,2,3,4,3,8,4,4,0,1,3,4,1,3,0,4,0,2,9
E01003254,742,8,8,5,8,7,10,8,11,10,9,11,14,3,9,7,7,4,5,0,4,3,5,3,4,4,9,11,9,14,8,7,15,9,10,13,16,17,17,13,16,18,13,11,19,6,11,19,11,17,8,15,12,10,12,12,10,5,7,8,14,11,8,5,5,13,9,4,6,7,12,3,2,8,3,5,10,2,11,8,3,2,3,1,2,3,2,1,1,2,0,1
E01003255,1029,11,19,10,5,7,10,10,7,13,17,6,4,6,7,9,5,7,6,3,2,5,4,3,5,10,11,33,28,30,32,32,29,33,44,23,26,19,26,24,34,24,16,24,12,19,15,21,19,18,11,14,12,15,11,14,12,18,13,6,7,6,9,6,7,6,4,12,2,4,8,6,3,2,7,5,3,1,2,3,2,1,3,1,0,1,0,0,2,2,1,4
E01003256,1144,19,18,19,10,14,17,20,21,20,16,13,15,15,10,19,14,4,6,10,5,13,5,12,8,13,20,18,12,23,23,25,32,29,33,32,20,14,17,20,31,21,18,23,18,16,15,10,18,14,12,17,11,17,15,15,6,12,3,9,14,18,14,10,17,10,10,3,9,4,6,3,7,7,6,4,2,4,2,3,1,8,1,3,2,5,0,3,5,1,3,4
E01003257,864,15,8,11,12,9,9,13,6,11,15,7,10,14,13,11,9,6,6,8,5,5,5,5,6,10,12,13,11,16,10,20,16,17,20,14,12,11,7,18,22,16,9,14,14,19,10,17,11,16,16,14,8,12,10,11,9,9,6,12,9,12,4,8,7,2,5,11,14,7,7,7,2,4,10,5,3,6,5,5,3,3,0,5,6,1,4,3,3,2,3,17
E01003258,729,10,11,5,10,13,10,7,16,16,6,10,17,8,14,14,17,8,13,3,10,10,10,14,9,11,7,11,10,10,13,12,16,19,9,9,10,11,6,20,19,8,6,11,12,9,18,21,13,20,11,10,7,6,9,15,10,11,6,8,8,5,4,2,7,7,3,3,4,2,3,1,0,0,0,0,1,3,2,0,1,0,1,2,0,1,2,0,1,1,0,0
E01003259,929,21,12,17,12,19,9,10,10,12,8,22,6,16,8,9,6,3,6,6,11,3,7,3,5,10,12,9,19,25,13,11,23,29,18,16,17,22,20,18,14,14,22,18,13,22,19,16,14,10,17,12,12,11,13,9,16,18,8,16,14,7,7,5,6,8,7,7,3,1,4,3,4,4,2,8,4,4,2,2,4,5,3,4,3,3,1,1,1,0,2,3
E01003260,942,22,21,33,30,28,19,11,10,9,11,11,6,7,9,3,7,8,7,6,3,2,3,5,4,8,11,9,13,15,12,26,16,29,15,29,13,12,11,17,21,12,11,13,10,16,8,13,10,11,10,17,7,14,15,19,13,17,12,12,11,5,9,5,6,5,8,7,7,5,8,6,8,4,7,4,4,6,4,3,4,8,11,5,0,11,0,2,1,0,0,6
E01003261,779,13,7,5,8,7,11,10,13,9,12,13,8,19,13,4,7,8,8,8,7,2,6,4,11,7,9,11,10,10,10,6,10,11,7,15,8,19,19,10,19,13,11,11,19,23,13,11,9,18,17,7,7,9,9,12,17,5,8,8,14,8,7,5,4,5,6,6,8,9,4,7,13,9,6,3,4,3,2,1,5,1,1,5,3,3,3,4,0,3,2,4
E01003262,824,9,22,9,13,9,19,18,22,22,15,17,5,6,8,12,4,4,7,4,1,9,3,8,7,8,13,10,13,13,14,17,18,18,24,24,14,16,20,18,12,20,21,15,13,9,12,10,21,9,16,9,11,8,7,9,10,9,2,10,10,6,9,6,6,3,3,4,4,4,3,3,2,2,2,5,0,1,5,2,1,1,3,3,1,2,0,1,1,1,2,2
