OA11CD,0-18,19-65,66+
E00016210,15.686274509803921,67.6470588235294,16.666666666666668
E00016239,12.179487179487179,73.71794871794872,14.102564102564102
E00016240,21.88679245283019,75.47169811320755,2.641509433962264
E00016241,23.863636363636363,54.54545454545455,21.59090909090909
E00016245,30.541871921182267,60.59113300492611,8.866995073891626
E00016211,23.952095808383234,68.26347305389221,7.7844311377245505
E00016213,21.164021164021165,73.01587301587301,5.8201058201058204
E00016244,17.105263157894736,76.3157894736842,6.578947368421052
E00016250,22.988505747126435,71.83908045977012,5.172413793103448
E00174011,17.56756756756757,79.72972972972973,2.7027027027027026
E00174032,6.748466257668712,88.95705521472392,4.294478527607362
E00174033,22.916666666666668,68.75,8.333333333333334
E00016216,21.27659574468085,74.46808510638297,4.25531914893617
E00016236,17.647058823529413,78.58823529411765,3.764705882352941
