OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016140,323,22,29,21,16,13,28,34,26,31,24,21,15,12,8,18,4,1,0
E00016118,380,19,18,20,17,17,18,32,31,25,31,26,35,20,20,25,9,8,9
E00016154,314,25,15,33,9,7,18,22,19,32,23,16,12,15,21,12,14,5,16
E00016155,449,25,33,31,24,19,34,42,49,49,41,30,35,10,9,5,0,6,7
E00016156,349,17,27,24,20,16,18,20,26,25,27,25,26,22,18,16,10,6,6
E00016157,384,27,24,39,35,18,21,24,29,31,32,29,21,24,11,3,8,6,2
E00016112,341,29,27,22,17,17,21,19,29,33,27,23,15,13,9,17,7,6,10
E00016119,354,22,28,26,16,11,19,22,31,32,25,29,28,16,14,14,12,7,2
E00016121,271,16,19,18,11,16,10,14,25,27,26,29,24,12,10,4,3,3,4
E00016123,323,25,14,21,24,20,15,9,31,31,23,28,27,12,11,12,10,6,4
E00016158,307,33,16,18,11,12,18,20,22,28,22,30,32,13,8,12,5,3,4
E00016113,394,17,24,33,27,21,13,21,29,34,19,29,33,34,10,10,12,18,10
E00016120,339,23,34,33,18,11,17,23,37,23,23,26,25,21,5,5,6,1,8
E00016122,405,28,37,50,16,16,18,24,50,39,19,27,22,23,13,6,6,7,4
E00016124,333,25,43,47,23,15,6,18,25,24,21,22,16,19,12,4,4,4,5
E00016125,362,24,27,40,35,11,12,28,32,38,22,23,17,14,8,6,6,16,3
E00016114,310,14,23,23,16,15,20,11,27,23,14,35,30,21,17,9,6,4,2
E00016128,332,16,33,27,26,10,13,26,21,28,27,26,25,16,16,7,7,5,3
E00016130,323,22,20,22,13,17,18,21,27,23,28,28,29,19,6,6,9,12,3
E00016133,346,15,36,36,22,12,14,18,37,29,18,32,28,27,13,7,0,1,1
E00016135,323,16,28,21,14,13,13,21,24,25,20,35,24,25,16,15,5,2,6
E00016178,268,25,11,20,15,9,16,22,27,17,27,18,8,12,11,9,10,6,5
E00016179,322,14,18,24,11,14,38,34,41,34,18,25,12,11,12,6,4,3,3
E00016180,284,18,19,11,16,7,19,20,34,21,20,26,15,8,6,22,11,6,5
E00016187,320,34,19,21,13,6,21,36,29,29,19,24,9,11,7,6,15,6,15
E00016189,291,21,26,19,11,6,9,15,22,31,38,24,13,10,13,18,6,7,2
E00016159,325,22,21,17,16,14,24,30,35,28,17,19,10,18,18,14,14,7,1
E00016173,294,16,18,19,12,11,20,28,28,20,23,22,28,13,11,14,7,1,3
E00016176,300,24,22,23,10,4,23,37,27,32,23,28,15,13,2,8,3,3,3
E00016184,237,12,7,3,7,5,18,42,32,18,22,27,8,3,10,8,5,5,5
E00016186,482,21,17,16,16,32,85,78,50,29,47,34,17,8,18,5,7,2,0
E00016188,282,7,15,18,11,15,18,43,24,22,24,15,15,9,11,12,13,4,6
E00016166,198,8,11,11,4,7,29,19,22,13,23,11,13,4,5,5,6,6,1
E00016167,258,18,19,15,10,14,9,13,16,12,23,26,13,14,17,11,12,10,6
E00016171,317,18,10,5,4,25,62,46,41,30,22,14,11,12,4,6,2,3,2
E00016174,300,30,34,14,3,6,13,18,36,29,29,26,15,13,4,7,9,7,7
E00016204,294,18,17,7,6,26,33,25,24,30,23,15,20,9,8,11,6,10,6
E00016206,317,23,15,13,9,30,49,37,29,12,20,20,29,10,10,9,1,1,0
E00016164,324,15,17,24,35,14,27,24,17,23,15,30,26,18,11,8,5,7,8
E00016170,477,31,22,35,24,15,53,61,43,44,45,26,27,19,14,5,8,1,4
E00016175,296,20,15,11,7,10,28,42,19,30,16,18,31,20,9,6,5,4,5
E00016181,306,22,11,12,15,21,41,32,17,23,15,21,19,23,9,12,6,2,5
E00016182,359,23,27,21,18,19,28,36,26,27,19,22,32,24,11,7,10,1,8
E00016160,296,16,17,18,11,9,13,12,21,30,30,19,16,10,14,20,10,12,18
E00016183,246,13,11,9,9,5,27,25,27,27,18,14,13,5,7,14,4,8,10
