OA11CD,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00016184,119,2,1,1,2,2,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2,3,4,6,6,5,1,5,3,5,2,4,2,1,4,2,2,2,2,2,1,0,3,5,3,3,3,0,1,0,1,1,0,0,1,0,0,3,0,2,1,1,2,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
E00016186,255,3,1,2,2,3,4,2,0,1,0,3,0,1,1,3,1,0,1,1,1,1,1,2,7,6,6,14,9,9,8,8,6,8,6,12,5,10,5,8,4,0,3,5,3,2,8,5,2,3,5,2,8,4,4,4,2,2,2,3,3,1,1,2,0,0,1,3,3,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E00016188,143,2,1,1,0,2,2,2,3,0,1,4,0,3,2,1,3,1,3,0,0,1,3,0,0,1,2,1,3,0,1,1,1,8,2,7,3,3,2,1,4,4,2,4,0,4,3,0,1,2,4,3,2,2,1,2,2,2,2,1,2,1,0,1,3,0,0,0,3,0,1,2,0,2,2,0,0,0,2,0,1,0,4,0,0,0,0,0,0,2,0,1
E00016166,87,1,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,5,0,5,4,1,1,2,1,3,2,1,2,5,3,2,0,1,1,2,2,1,3,3,2,1,1,0,1,2,2,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2,0,1,1,0,0,0,0,0,1
E00016167,131,0,0,2,1,4,2,4,4,1,1,1,3,1,1,0,2,2,1,1,0,2,0,3,2,3,2,0,0,1,0,1,4,0,0,1,1,1,1,2,2,1,2,3,1,1,3,2,5,0,2,1,3,3,2,5,1,2,1,1,1,2,1,1,1,3,1,3,1,0,1,1,2,2,1,1,1,1,0,2,0,0,2,1,0,3,1,1,0,0,1,0
E00016171,183,1,1,0,3,2,2,1,1,0,0,0,0,0,3,1,0,1,1,0,1,2,2,1,5,4,6,2,5,9,14,4,1,3,7,5,7,9,4,7,4,5,8,3,2,3,3,1,2,3,4,2,3,2,1,0,0,2,1,2,2,1,2,1,2,0,1,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
E00016174,164,4,2,2,3,4,7,2,1,2,8,1,2,2,3,2,0,1,0,1,0,0,0,0,1,3,2,0,4,3,2,1,1,2,2,2,1,4,4,6,3,2,3,3,5,4,5,4,2,3,1,4,1,4,5,1,0,2,2,3,2,1,1,2,2,2,1,0,0,0,2,0,0,0,1,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1
E00016204,152,4,0,2,1,1,0,2,1,0,4,0,3,0,1,0,1,2,0,1,0,2,1,8,2,5,2,3,5,8,2,2,5,2,2,2,2,1,4,2,1,2,2,2,0,5,2,3,1,3,5,1,1,2,1,3,2,2,2,2,1,2,2,2,0,1,1,5,0,0,0,0,1,3,0,2,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0
E00016206,169,1,4,1,3,3,0,3,0,0,2,1,1,0,3,1,0,3,0,0,2,3,5,7,3,6,5,2,5,9,3,4,4,2,2,5,1,3,7,4,3,1,2,2,0,1,1,3,3,2,3,4,0,1,1,3,4,2,0,4,5,2,2,2,1,1,0,2,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016164,156,1,2,3,0,4,2,3,0,0,4,2,1,3,2,6,3,2,3,5,6,2,2,2,0,2,4,4,4,1,0,4,4,1,3,2,3,0,2,1,2,0,4,0,3,1,2,2,2,3,1,1,2,3,2,5,1,3,2,0,2,2,2,2,2,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
E00016170,232,3,1,2,4,2,2,4,2,2,2,2,3,7,3,2,5,3,0,6,1,2,0,2,2,2,4,5,4,3,6,5,13,1,10,2,3,5,4,6,5,2,6,4,4,2,5,9,6,3,2,2,2,3,2,1,3,5,2,3,1,1,0,3,0,4,0,0,1,2,3,1,1,0,1,1,0,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0
