OA11CD,0-18,19-65,66+
E00016239,14.18918918918919,74.32432432432432,11.486486486486486
E00016240,20.622568093385215,76.4591439688716,2.9182879377431905
E00016241,23.59550561797753,60.1123595505618,16.292134831460675
E00016245,27.486910994764397,65.18324607329843,7.329842931937173
E00016211,22.252747252747252,70.6043956043956,7.142857142857143
E00016213,20.100502512562816,73.11557788944724,6.78391959798995
E00016244,15.123456790123457,76.85185185185185,8.024691358024691
E00016250,21.661721068249257,72.70029673590504,5.637982195845697
E00174011,17.5,80.83333333333333,1.6666666666666667
E00174032,7.865168539325842,87.41573033707866,4.719101123595506
E00174033,26.21359223300971,66.01941747572816,7.766990291262136
E00016216,19.414893617021278,75.79787234042553,4.787234042553192
E00016236,18.639798488664987,77.58186397984886,3.7783375314861463
