LSOA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E01003292,812,65,49,40,47,37,44,90,79,80,69,49,58,43,13,22,15,8,4
E01003293,765,71,38,41,29,33,57,109,82,82,39,52,48,31,8,14,3,11,17
E01003295,938,69,76,57,119,35,54,60,65,83,73,58,86,31,22,19,12,15,4
E01003296,2974,196,140,90,90,247,553,558,398,220,141,130,77,45,32,27,13,10,7
E01003297,829,83,49,30,29,50,123,112,125,63,56,38,37,16,8,3,1,1,5
E01003298,606,42,43,41,34,40,49,62,48,38,41,37,57,20,29,19,5,0,1
E01003299,836,38,49,30,60,86,140,76,89,62,31,55,41,37,6,9,15,9,3
E01003300,652,35,39,62,32,33,53,59,48,52,30,39,45,60,24,16,13,12,0
E01003301,1286,56,74,55,79,127,202,170,121,154,65,48,51,35,22,16,4,4,3
E01003302,785,47,50,47,43,47,50,81,81,54,79,46,41,37,32,16,12,16,6
E01003303,818,34,31,54,43,86,85,108,76,65,51,52,48,36,22,13,11,0,3
E01003304,1155,51,64,48,38,74,122,166,171,117,90,55,47,57,29,6,15,3,2
E01003305,907,53,65,69,50,91,61,83,88,59,44,55,61,38,19,29,13,22,7
E01003307,755,46,47,39,36,27,43,66,82,57,77,57,54,34,25,16,13,13,23
E01003308,910,73,72,61,46,43,78,64,79,61,78,82,59,31,23,18,15,25,2
E01003309,763,56,87,55,43,33,62,62,57,43,59,49,45,15,25,34,19,8,11
E01003310,862,37,46,51,37,39,90,176,80,79,49,51,49,26,18,13,8,4,9
E01003311,843,72,74,61,29,46,50,47,71,77,61,48,52,35,36,32,24,11,17
E01003312,855,55,65,50,29,27,41,84,104,93,81,60,44,28,30,24,25,12,3
E01003313,789,89,65,57,47,32,39,68,70,87,69,45,41,20,28,2,20,3,7
E01003314,919,89,95,68,29,27,53,65,100,98,88,54,47,49,9,21,16,3,8
E01003315,687,44,40,22,15,31,88,96,87,78,54,37,33,18,19,7,5,4,9
E01003316,757,61,53,34,37,38,59,73,98,80,39,39,33,40,17,27,12,15,2
E01003317,1610,297,90,54,67,70,97,222,147,150,113,72,93,43,25,20,14,22,14
E01003318,1123,103,47,45,80,73,111,92,105,92,90,74,79,37,29,20,13,23,10
E01003319,1009,82,73,88,76,42,50,59,110,82,60,78,76,44,34,27,8,10,10
E01003320,638,46,47,36,38,41,38,73,61,64,41,40,46,28,6,11,6,6,10
E01003321,1097,181,63,52,42,65,121,54,95,77,77,81,67,50,33,13,14,4,8
E01003322,823,53,44,46,24,74,63,59,80,67,68,72,79,37,17,12,5,11,12
E01003323,710,56,45,34,45,32,58,72,80,55,55,43,45,38,16,11,13,8,4
E01003324,918,84,47,57,32,41,59,66,129,101,70,64,73,37,28,14,6,7,3
E01003325,898,90,65,91,20,34,53,89,90,96,72,64,47,29,15,15,15,10,3
E01003326,744,65,46,38,26,49,52,51,65,66,47,58,53,45,33,18,9,14,9
E01003327,1083,66,61,47,19,105,174,76,79,140,74,36,49,54,25,19,24,22,13
E01003328,858,53,41,34,30,25,58,86,118,78,71,60,68,37,24,29,19,12,15
E01003329,809,51,70,53,37,44,49,63,74,98,81,58,30,34,22,21,13,3,8
E01003330,741,78,67,67,46,41,32,37,57,52,46,54,38,31,23,31,21,14,6
E01003331,722,34,42,33,54,40,51,69,65,60,48,52,57,30,27,20,17,8,15
E01003332,827,61,25,47,44,31,38,76,131,76,49,74,41,42,37,22,12,13,8
E01003333,815,74,63,40,32,27,72,68,99,114,49,35,42,24,44,14,7,7,4
E01003334,975,86,84,79,21,30,82,114,89,88,71,87,33,32,20,21,17,5,16
E01003335,680,47,54,38,44,34,54,31,43,61,61,51,52,27,28,31,4,7,13
E01003336,734,45,46,66,59,51,30,75,46,39,55,64,56,50,16,15,7,7,7
E01003337,765,84,76,62,29,52,35,125,54,45,52,45,47,15,19,4,11,5,5
E01003338,1028,65,62,63,40,83,90,111,98,83,85,51,45,58,33,24,17,15,5
E01003339,925,39,54,44,34,65,178,144,52,44,65,47,35,35,27,33,19,8,2
E01003340,987,37,35,35,26,155,167,144,98,68,53,37,43,27,22,21,6,7,6
E01003341,744,47,36,47,28,53,76,114,60,50,52,42,39,36,26,9,14,6,9
E01003342,901,82,56,41,16,29,78,168,106,57,80,64,46,30,21,9,4,6,8
E01003343,790,45,32,44,42,33,108,88,46,87,62,44,42,28,27,32,12,8,10
E01003344,819,34,44,32,39,51,87,108,77,87,49,62,62,28,19,15,12,6,7
E01003345,1053,59,56,49,26,75,110,211,103,100,76,42,42,27,20,25,17,9,6
E01003346,819,56,50,74,45,62,38,50,70,56,52,54,60,60,32,15,18,10,17
E01003347,831,77,101,104,73,35,29,57,45,61,64,32,56,33,23,13,6,11,11
E01003348,821,44,69,62,62,47,33,62,74,71,45,74,53,33,44,21,8,7,12
E01003349,807,65,78,96,58,47,46,50,76,63,68,38,39,32,17,6,10,16,2
E01003350,603,29,31,47,46,44,45,36,47,44,40,64,31,35,23,21,2,0,18
E01003351,711,50,64,61,59,32,39,41,43,41,40,68,46,30,34,16,15,15,17
E01003352,1188,88,105,88,70,61,78,81,87,84,96,93,77,57,29,36,21,13,24
E01003353,887,47,57,71,84,50,43,50,75,76,48,54,84,59,20,31,21,11,6
E01003354,1038,77,61,95,81,62,75,80,127,79,65,60,63,46,18,26,4,7,12
E01032564,631,45,53,73,50,27,31,44,36,42,58,41,27,24,13,17,9,35,6
E01032565,842,71,55,100,52,37,35,43,112,56,61,60,39,32,37,20,11,7,14
E01032579,962,68,52,48,39,52,115,152,90,77,74,65,53,37,26,2,7,3,2
E01033320,920,53,52,32,62,30,64,126,110,87,69,55,80,33,20,15,13,13,6
E01033322,789,61,36,28,20,33,72,163,119,89,53,33,25,21,4,4,18,8,2
E01033324,723,51,51,40,23,40,59,100,50,41,47,60,45,32,27,8,22,22,5
E01033325,966,39,19,7,14,71,145,184,219,121,53,35,30,2,4,9,1,11,2
E01033327,1027,48,47,29,16,35,166,229,130,74,71,47,38,36,29,18,3,7,4
E01033341,668,68,74,59,28,27,43,85,56,47,29,47,34,23,19,17,3,2,7
