OA11CD,Total,0-18,19-65,66+
E00016288,214,68,133,13
E00016289,176,52,110,14
E00016294,165,52,101,12
E00016281,174,51,103,20
E00016290,151,48,92,11
E00016292,125,40,74,11
E00016293,140,37,91,12
E00016295,162,55,93,14
E00016258,207,64,124,19
E00016259,163,51,96,16
E00016298,227,61,145,21
E00016299,206,60,131,15
E00016260,169,39,115,15
E00016262,133,39,85,9
E00016266,151,35,99,17
E00016267,160,41,107,12
E00016271,172,45,98,29
E00016274,176,41,113,22
E00016276,192,31,146,15
E00016277,198,55,128,15
E00016278,153,31,111,11
E00016285,147,24,101,22
E00016257,216,70,134,12
E00016263,116,27,78,11
E00016265,261,78,171,12
E00016268,240,60,152,28
E00016291,273,81,160,32
E00016256,163,37,117,9
E00016284,144,36,99,9
E00016286,218,59,142,17
E00016296,166,36,120,10
E00016297,186,49,123,14
E00016264,142,29,83,30
E00016269,175,49,105,21
E00016270,132,19,88,25
E00016272,207,55,129,23
E00016273,189,35,127,27
E00016275,200,70,122,8
E00016279,160,56,96,8
E00016280,148,39,94,15
E00016283,178,53,113,12
E00016287,177,53,107,17
E00016335,112,30,77,5
E00016336,198,50,129,19
E00016339,162,49,92,21
E00016340,158,46,102,10
E00016341,162,55,95,12
E00016300,210,38,161,11
E00016310,121,37,72,12
E00016312,171,50,111,10
E00016343,166,53,96,17
E00016344,211,38,168,5
E00016301,186,43,128,15
E00016302,134,25,99,10
E00016316,194,45,123,26
E00016338,187,36,136,15
E00016342,156,30,112,14
E00016303,203,34,151,18
E00016304,144,30,103,11
E00016313,128,34,92,2
E00016318,139,38,88,13
E00016345,141,30,97,14
E00016307,211,54,139,18
E00016314,140,22,101,17
E00016319,117,23,80,14
E00016321,133,24,97,12
E00016322,197,48,133,16
E00016305,137,39,83,15
E00016306,170,28,121,21
E00016308,186,48,128,10
E00016315,190,47,132,11
E00016317,152,39,100,13
E00016320,144,47,89,8
E00016309,139,25,105,9
E00016323,127,33,85,9
E00016324,196,51,139,6
E00016325,170,26,134,10
E00016327,132,25,94,13
E00016326,154,35,104,15
E00016329,189,42,137,10
E00016332,204,35,144,25
E00016333,117,21,85,11
E00016337,161,42,105,14
E00016311,169,45,112,12
E00016328,137,27,102,8
E00016330,144,22,111,11
E00016331,202,36,137,29
E00016334,267,65,185,17
E00016361,130,30,81,19
E00016363,147,40,97,10
E00016366,133,28,84,21
E00016367,103,30,61,12
E00016368,147,28,101,18
E00016350,169,44,112,13
E00016369,193,67,111,15
E00016370,200,61,123,16
E00016371,154,48,94,12
E00016374,123,29,76,18
E00016352,133,49,76,8
E00016373,159,51,90,18
E00016378,137,43,86,8
E00016381,209,83,111,15
E00016382,143,50,77,16
E00016348,101,31,59,11
E00016372,142,52,86,4
E00016375,119,35,74,10
E00016377,118,43,65,10
E00016379,153,47,95,11
E00016349,164,57,94,13
E00016351,230,65,153,12
E00016376,140,40,88,12
E00016383,165,46,109,10
E00016353,147,45,90,12
E00016360,222,62,145,15
E00016380,148,50,86,12
E00016389,144,53,76,15
E00016390,111,26,76,9
E00016392,132,30,89,13
E00016359,158,29,99,30
E00016384,154,26,102,26
E00016385,235,50,151,34
E00016386,116,14,59,43
E00016388,137,23,87,27
E00016346,134,40,83,11
E00016354,137,43,84,10
E00016357,137,35,93,9
E00016358,157,44,104,9
E00016391,146,32,93,21
E00016403,172,63,105,4
E00016437,242,59,178,5
E00016439,223,58,157,8
E00016442,217,83,121,13
E00016399,253,84,155,14
E00016401,292,102,185,5
E00016406,152,54,88,10
E00016435,211,59,145,7
E00016412,214,46,159,9
E00016414,143,23,111,9
E00016418,375,61,306,8
E00016422,231,84,135,12
E00016395,301,27,270,4
E00016404,208,17,178,13
E00016405,189,22,166,1
E00016408,174,29,143,2
E00016410,176,19,149,8
E00016438,151,20,128,3
E00016402,156,39,104,13
E00016407,108,20,81,7
E00016409,210,65,137,8
E00016411,192,49,138,5
E00016413,174,40,126,8
E00016398,129,23,95,11
E00016431,361,32,312,17
E00016432,221,26,186,9
E00016434,195,50,134,11
E00173943,185,39,131,15
E00173946,26,0,24,2
E00016397,712,80,623,9
E00016433,749,88,621,40
E00016436,209,54,143,12
E00016440,211,48,158,5
E00016441,213,29,171,13
E00016415,213,65,137,11
E00016416,159,40,106,13
E00016419,208,50,144,14
E00016420,190,88,94,8
E00173947,154,29,116,9
E00173948,109,20,87,2
E00016417,154,45,93,16
E00016421,145,49,85,11
E00016423,133,48,78,7
E00016424,139,64,71,4
E00016427,110,34,69,7
E00016396,115,18,80,17
E00016426,145,38,94,13
E00016428,242,31,200,11
E00016429,141,18,87,36
E00016430,136,30,90,16
E00016445,179,44,118,17
E00016448,193,60,105,28
E00016452,168,44,90,34
E00016454,117,32,78,7
E00016455,129,43,72,14
E00016446,222,31,177,14
E00016453,96,15,70,11
E00016456,153,37,110,6
E00016457,164,30,131,3
E00016462,190,35,144,11
E00173944,178,28,143,7
E00173945,163,26,131,6
E00016460,216,54,146,16
E00016463,338,66,262,10
E00016467,185,43,118,24
E00016469,218,42,160,16
E00016471,194,79,106,9
E00016472,238,27,180,31
E00016447,142,28,104,10
E00016458,153,43,102,8
E00016459,131,47,67,17
E00016464,157,37,109,11
E00016465,98,29,47,22
E00016466,146,47,77,22
E00016475,98,35,59,4
E00016476,153,52,94,7
E00016478,117,25,79,13
E00016479,115,35,69,11
E00016480,142,40,94,8
E00016482,139,50,85,4
E00016468,124,30,77,17
E00016470,114,30,78,6
E00016473,174,55,109,10
E00016474,139,31,98,10
E00016477,147,24,111,12
E00016481,224,53,166,5
E00016444,190,62,120,8
E00016484,223,88,114,21
E00016485,185,61,110,14
E00016488,220,97,96,27
E00016489,220,89,114,17
E00016443,168,55,94,19
E00016483,115,29,77,9
E00016486,212,56,138,18
E00016487,121,37,69,15
E00016491,103,25,69,9
E00016449,137,37,91,9
E00016450,117,25,84,8
E00016451,146,38,101,7
E00016490,184,50,124,10
E00016492,137,35,95,7
E00016513,173,56,109,8
E00016514,112,32,62,18
E00016515,174,58,91,25
E00016516,154,57,88,9
E00016519,130,27,92,11
E00016521,131,30,86,15
E00016496,109,35,66,8
E00016517,84,24,53,7
E00016518,142,39,88,15
E00016523,121,26,77,18
E00016524,157,34,109,14
E00016525,105,13,77,15
E00016497,130,54,68,8
E00016527,117,45,67,5
E00016528,110,35,73,2
E00016531,187,67,107,13
E00016532,113,30,75,8
E00016535,132,39,83,10
E00016520,155,46,88,21
E00016522,140,45,81,14
E00016526,132,39,75,18
E00016529,110,30,70,10
E00016530,152,52,86,14
E00016533,185,42,119,24
E00016534,133,33,84,16
E00016536,155,38,104,13
E00016537,145,44,96,5
E00016538,154,35,105,14
E00016539,169,59,92,18
E00016493,180,58,108,14
E00016499,239,78,144,17
E00016502,150,35,107,8
E00016503,114,19,89,6
E00016507,135,34,94,7
E00016540,166,54,96,16
E00016498,301,63,194,44
E00016500,159,50,93,16
E00016505,160,41,109,10
E00016541,162,29,108,25
E00016494,157,29,111,17
E00016495,111,17,87,7
E00016501,236,40,162,34
E00016508,178,31,121,26
E00016511,197,39,144,14
E00016504,167,32,98,37
E00016506,192,45,121,26
E00016509,233,50,139,44
E00016510,140,32,86,22
E00016512,167,35,108,24
E00016573,162,30,118,14
E00016579,148,25,117,6
E00016580,192,31,137,24
E00016581,229,49,174,6
E00016582,233,40,172,21
E00016564,266,41,205,20
E00016567,154,33,118,3
E00016569,234,35,185,14
E00016571,212,26,166,20
E00173700,141,19,114,8
E00173702,114,14,93,7
E00016546,189,42,136,11
E00016547,182,29,140,13
E00016548,167,28,123,16
E00016550,192,41,142,9
E00016583,138,27,98,13
E00016542,179,42,124,13
E00016552,151,33,97,21
E00016554,138,41,82,15
E00016555,163,48,87,28
E00016556,174,38,118,18
E00016543,149,30,107,12
E00016545,140,42,91,7
E00016549,164,44,104,16
E00016551,202,62,120,20
E00016553,171,42,120,9
E00016558,123,22,98,3
E00016561,146,20,115,11
E00016566,180,26,130,24
E00016568,177,39,124,14
E00016572,144,26,107,11
E00016575,112,22,87,3
E00016557,103,27,67,9
E00016559,199,28,154,17
E00016560,157,24,122,11
E00016562,141,29,92,20
E00016563,205,55,133,17
E00016565,141,23,107,11
E00016544,167,32,104,31
E00016574,148,37,97,14
E00016576,170,29,122,19
E00016577,181,47,114,20
E00016578,142,33,93,16
E00016613,225,59,145,21
E00016614,222,66,143,13
E00016615,169,44,101,24
E00016618,138,43,83,12
E00016621,148,55,82,11
E00016609,132,32,81,19
E00016617,202,54,129,19
E00016619,153,35,85,33
E00016620,168,42,104,22
E00016622,139,41,92,6
E00016584,375,79,276,20
E00016596,192,54,131,7
E00016598,296,42,223,31
E00016623,214,28,180,6
E00174036,116,18,87,11
E00174038,176,26,135,15
E00016585,193,30,146,17
E00016593,257,80,153,24
E00016600,204,73,113,18
E00016602,166,59,89,18
E00016624,146,26,111,9
E00016625,186,40,125,21
E00016587,246,52,163,31
E00016594,177,31,129,17
E00016605,284,62,204,18
E00016608,107,26,77,4
E00016626,204,48,132,24
E00016588,216,48,154,14
E00016592,254,58,170,26
E00016604,158,41,101,16
E00016611,138,25,103,10
