OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016222,176,11,10,7,6,11,20,31,25,14,10,9,7,5,5,3,2,0,0
E00016224,145,5,10,6,3,5,13,18,31,12,13,11,5,5,3,0,5,0,0
E00016226,163,18,11,9,1,6,13,24,21,21,9,6,7,3,2,4,6,1,1
E00016227,194,10,8,3,4,17,25,38,30,21,9,6,6,7,4,2,4,0,0
E00016228,199,11,13,13,10,13,12,28,23,16,16,17,5,3,7,3,5,2,2
E00016229,209,10,14,7,9,6,33,28,24,13,15,15,8,10,7,4,3,3,0
E00016230,155,11,13,8,5,5,10,23,14,13,16,13,9,8,3,0,0,4,0
E00016231,154,5,14,8,7,10,16,13,12,11,21,16,6,5,4,2,1,2,1
E00016232,174,9,11,11,5,9,19,16,22,14,24,10,5,7,7,1,1,1,2
E00016233,177,13,22,11,17,15,11,12,13,13,10,16,6,8,3,4,0,0,3
E00016209,238,17,11,6,24,39,38,19,20,17,11,11,11,5,4,4,0,1,0
E00016235,165,8,7,4,8,15,40,21,22,13,6,7,6,3,1,2,0,2,0
E00016238,193,14,6,4,5,18,49,18,28,13,7,8,4,5,4,4,4,0,2
E00173941,206,20,4,4,20,97,14,12,13,7,4,2,1,1,0,4,1,1,1
E00173942,175,22,4,3,7,40,24,20,23,12,4,4,4,4,0,2,1,0,1
E00016261,194,10,9,18,13,12,19,10,12,12,17,17,17,8,8,6,1,3,2
E00016282,232,22,17,5,28,13,8,16,13,32,21,13,11,13,9,3,1,5,2
E00016288,214,21,19,12,19,12,4,10,14,24,26,17,11,12,4,5,2,2,0
E00016289,176,14,19,11,9,9,6,11,12,14,10,25,13,8,6,1,4,4,0
E00016294,165,13,16,13,12,5,13,12,10,12,4,21,9,13,5,2,2,2,1
E00016281,174,23,10,9,10,7,7,16,13,16,17,13,8,4,5,8,3,1,4
E00016290,151,10,18,9,12,5,7,12,13,17,10,12,7,7,3,2,2,4,1
E00016292,125,15,8,11,8,6,6,8,12,8,6,10,9,5,3,1,3,4,2
E00016293,140,14,9,9,7,9,7,9,9,10,15,8,14,7,6,2,0,5,0
E00016295,162,22,11,13,10,10,6,14,9,10,14,7,13,8,6,4,1,3,1
E00016258,207,19,21,16,11,9,12,12,19,23,18,15,7,5,9,5,1,2,3
E00016259,163,11,18,11,12,8,5,8,19,15,11,10,12,6,5,5,3,3,1
E00016298,227,20,20,11,13,16,10,17,12,23,18,17,16,13,10,5,3,2,1
E00016299,206,11,20,10,22,14,7,12,20,18,22,11,16,6,6,5,3,2,1
E00016260,169,14,7,10,10,13,12,12,16,10,14,10,17,8,4,4,2,3,3
E00016262,133,15,9,8,7,11,6,6,8,13,21,9,7,4,2,4,2,0,1
E00016266,151,10,11,10,5,9,8,11,16,9,13,9,13,8,6,6,2,1,4
E00016267,160,13,8,8,18,21,10,2,17,10,16,8,14,3,4,4,2,1,1
E00016271,172,14,8,15,8,14,13,7,10,14,8,10,13,8,4,10,4,10,2
E00016274,176,15,8,10,9,8,11,9,25,21,11,12,7,7,3,3,3,10,4
E00016276,192,11,11,4,6,7,11,25,26,22,21,8,16,7,6,6,1,4,0
E00016277,198,18,12,19,6,10,12,21,24,17,12,10,12,10,1,5,5,4,0
E00016278,153,11,9,6,7,11,6,17,22,23,8,6,9,5,6,2,1,3,1
E00016285,147,8,3,7,6,8,6,14,17,11,11,9,11,12,7,7,4,4,2
E00016257,216,31,16,13,14,13,11,14,19,18,13,18,13,9,6,5,2,1,0
E00016263,116,9,7,3,8,8,7,15,11,11,7,4,2,11,5,5,0,0,3
E00016265,261,31,23,15,13,11,16,24,22,28,23,13,15,14,4,6,0,2,1
E00016268,240,19,12,14,17,16,17,15,18,21,14,12,15,18,14,5,6,4,3
E00016291,273,33,24,18,7,13,11,18,36,22,27,5,15,9,14,6,2,4,9
E00016256,163,7,14,9,9,10,10,17,21,11,12,14,12,8,0,2,3,3,1
E00016284,144,7,14,11,6,4,6,14,17,14,11,11,11,7,5,5,0,1,0
E00016286,218,14,19,10,17,12,12,12,15,27,17,15,24,7,9,3,4,1,0
E00016296,166,9,11,8,10,12,11,19,13,16,8,16,13,10,3,2,1,1,3
E00016297,186,6,16,11,21,8,10,13,9,19,14,12,19,9,10,3,2,2,2
E00016264,142,9,5,14,1,7,9,6,8,16,6,10,12,9,6,7,5,8,4
E00016269,175,10,7,17,20,18,5,6,6,7,17,16,14,11,2,10,3,1,5
E00016270,132,5,5,5,4,10,14,3,8,9,10,9,14,9,4,8,7,2,6
E00016272,207,20,11,13,13,10,14,10,10,21,21,17,11,11,4,5,5,5,6
E00016273,189,16,10,3,6,12,16,15,15,10,17,9,18,12,8,7,8,3,4
E00016275,200,27,12,16,16,5,7,14,20,17,16,15,15,9,5,1,3,1,1
E00016279,160,10,6,14,32,5,10,11,15,9,13,8,7,11,3,3,1,0,2
E00016280,148,15,5,8,12,7,8,14,11,12,12,9,13,5,6,2,6,1,2
E00016283,178,15,15,18,6,6,7,12,15,20,10,15,14,9,7,4,2,3,0
E00016287,177,19,14,14,6,11,12,12,9,16,14,15,9,8,7,7,4,0,0
E00016335,112,14,10,6,0,1,12,10,15,17,9,2,3,8,1,0,4,0,0
E00016336,198,11,22,12,6,5,7,21,17,21,17,20,15,5,6,3,3,6,1
E00016339,162,16,18,10,7,5,2,6,20,15,12,11,9,10,8,2,7,1,3
E00016340,158,15,20,8,4,7,4,6,24,19,12,11,9,9,3,4,1,1,1
E00016341,162,15,23,13,4,2,5,2,29,25,9,11,9,3,4,4,4,0,0
E00016300,210,18,13,4,4,16,18,25,37,21,12,9,12,9,5,4,0,2,1
E00016310,121,14,12,6,5,10,8,5,10,9,12,4,5,8,6,4,1,1,1
E00016312,171,18,15,10,8,8,9,18,23,18,11,11,6,5,7,3,0,1,0
E00016343,166,21,19,5,9,6,9,9,18,17,15,3,8,8,7,8,3,0,1
E00016344,211,17,11,8,2,20,19,26,30,31,14,13,9,6,3,0,0,1,1
E00016301,186,17,17,8,2,4,15,18,19,25,16,15,7,8,3,1,3,5,3
E00016302,134,8,5,5,8,6,6,24,19,9,13,12,5,4,4,2,2,2,0
E00016316,194,11,10,15,13,9,13,26,18,12,16,12,6,4,12,8,4,1,4
E00016338,187,15,8,10,4,10,19,15,18,20,14,6,11,21,5,3,0,3,5
E00016342,156,14,5,7,4,9,8,16,18,16,10,14,17,3,3,3,3,3,3
E00016303,203,15,9,5,7,4,17,30,23,25,21,16,8,4,6,5,3,4,1
E00016304,144,13,11,3,3,2,6,15,24,17,20,7,9,2,5,3,2,2,0
E00016313,128,16,15,1,2,1,3,25,25,14,9,4,6,5,1,0,0,0,1
E00016318,139,18,16,3,1,3,4,18,14,21,7,11,5,5,1,7,2,3,0
E00016345,141,9,12,5,4,1,10,14,22,18,14,12,3,2,3,3,3,1,5
E00016307,211,11,17,10,18,12,13,18,19,18,14,20,8,12,8,5,3,0,5
E00016314,140,5,3,7,8,8,13,20,12,10,9,8,7,11,4,7,5,1,2
E00016319,117,7,7,3,8,9,9,5,7,10,12,9,9,6,5,2,3,3,3
E00016321,133,6,7,4,10,10,14,15,13,7,9,11,6,8,2,4,6,0,1
E00016322,197,13,16,8,12,9,7,18,23,21,17,15,15,7,3,7,3,3,0
E00016305,137,8,19,6,6,7,12,18,12,12,9,6,7,0,6,4,2,1,2
E00016306,170,10,8,2,8,10,12,30,17,6,9,17,15,4,6,4,6,3,3
E00016308,186,14,19,7,9,8,11,33,21,16,11,9,12,5,4,4,2,0,1
E00016315,190,14,17,5,12,8,13,29,22,20,9,11,15,4,2,2,2,3,2
E00016317,152,11,14,10,5,7,14,14,18,16,11,10,6,2,4,5,3,0,2
E00016320,144,21,14,5,8,6,9,18,15,16,4,10,4,5,3,3,3,0,0
E00016309,139,7,6,7,8,7,24,11,12,12,11,10,12,3,3,2,1,0,3
E00016323,127,6,15,7,5,8,17,12,10,11,9,8,5,5,1,2,3,1,2
E00016324,196,13,17,10,11,15,25,18,21,23,11,11,10,3,3,1,2,1,1
E00016325,170,9,7,7,4,6,30,26,19,14,12,10,6,7,9,2,2,0,0
E00016327,132,7,12,4,4,12,13,10,16,15,9,7,4,5,4,2,3,2,3
E00016326,154,17,7,7,8,4,8,14,24,14,8,10,10,8,4,2,6,1,2
E00016329,189,19,9,9,7,7,14,8,34,18,14,19,13,7,4,5,1,1,0
E00016332,204,10,13,10,3,7,14,15,28,23,8,20,15,12,7,9,2,2,6
E00016333,117,8,9,3,2,4,10,8,16,10,5,15,12,3,3,4,1,1,3
E00016337,161,12,13,11,8,14,8,6,14,10,15,18,8,10,3,4,4,2,1
E00016311,169,11,11,14,9,7,3,19,22,19,13,9,8,11,2,2,4,3,2
E00016328,137,8,7,8,4,3,7,17,22,25,8,7,7,6,2,2,2,1,1
E00016330,144,6,12,3,1,6,10,16,17,25,15,10,6,5,5,2,1,1,3
E00016331,202,11,14,7,6,5,18,10,27,30,11,13,11,10,12,2,7,5,3
E00016334,267,16,27,14,10,6,17,20,24,56,17,15,12,14,7,1,3,4,4
E00016361,130,6,12,7,6,8,13,12,5,9,15,6,9,1,9,5,3,1,3
E00016363,147,8,18,8,7,7,16,14,7,6,12,15,8,11,5,0,1,1,3
E00016366,133,4,9,8,7,13,9,10,10,12,9,6,8,6,7,6,4,1,4
E00016367,103,7,12,5,6,3,5,8,11,12,5,8,5,4,0,5,6,1,0
E00016368,147,7,6,8,10,6,15,10,11,8,9,15,12,7,12,5,1,1,4
E00016350,169,13,12,13,8,7,11,10,25,12,12,14,11,7,2,4,3,4,1
E00016369,193,17,17,20,15,12,4,9,18,18,15,17,12,3,4,7,3,1,1
E00016370,200,29,12,13,8,7,12,12,32,19,14,7,7,10,7,3,2,5,1
E00016371,154,17,11,13,8,11,7,4,18,21,9,10,7,5,2,0,6,3,2
E00016374,123,9,5,8,7,5,8,6,15,16,6,10,6,3,2,8,4,3,2
E00016352,133,14,15,12,9,7,3,9,9,11,11,9,8,6,5,3,0,1,1
E00016373,159,15,15,11,13,6,6,14,7,13,10,14,10,6,7,2,3,1,6
E00016378,137,11,15,8,11,7,5,8,8,3,19,11,8,12,7,2,2,0,0
E00016381,209,22,27,21,14,11,8,9,19,12,16,10,11,12,10,2,0,3,2
E00016382,143,14,22,11,4,6,7,6,8,9,9,11,11,9,1,2,7,1,5
E00016348,101,6,9,7,9,1,5,10,12,12,6,2,5,6,1,3,2,3,2
E00016372,142,10,20,13,11,5,7,10,18,12,9,9,9,4,2,1,0,1,1
E00016375,119,8,12,10,6,4,8,8,15,7,11,7,10,3,3,2,2,2,1
E00016377,118,6,17,11,10,3,6,11,6,13,4,9,7,5,0,7,2,1,0
E00016379,153,5,11,19,14,7,6,11,11,11,11,13,16,7,2,2,2,4,1
E00016349,164,12,13,22,10,6,7,12,12,11,16,17,8,4,5,5,3,1,0
E00016351,230,18,10,24,14,11,10,25,18,15,16,22,19,15,4,4,4,0,1
E00016376,140,9,11,11,11,11,7,7,12,8,17,10,7,6,3,4,3,1,2
