OA11CD,Total,0-18,19-65,66+
E00016421,297,89,188,20
E00016423,310,104,189,17
E00016424,317,122,182,13
E00016427,223,70,137,16
E00016396,230,36,163,31
E00016426,295,71,194,30
E00016428,465,70,369,26
E00016429,272,33,173,66
E00016430,277,65,181,31
E00016445,330,70,229,31
E00016448,371,91,220,60
E00016452,313,73,180,60
E00016454,259,65,170,24
E00016455,255,68,160,27
E00016446,410,59,318,33
E00016453,207,33,150,24
E00016456,306,70,216,20
E00016457,315,50,257,8
E00016462,347,66,257,24
E00173944,315,48,253,14
E00173945,295,38,247,10
E00016460,415,116,272,27
E00016463,613,139,455,19
E00016467,338,66,220,52
E00016469,401,85,291,25
E00016471,376,137,221,18
E00016472,390,48,281,61
E00016447,297,65,209,23
E00016458,306,74,212,20
E00016459,273,81,145,47
E00016464,303,76,206,21
E00016465,211,55,98,58
E00016466,301,73,171,57
E00016475,205,69,126,10
E00016476,322,97,209,16
E00016478,199,41,141,17
E00016479,232,74,144,14
E00016480,257,75,172,10
E00016482,278,89,181,8
E00016468,251,59,158,34
E00016470,264,64,182,18
E00016473,377,110,239,28
E00016474,266,59,184,23
E00016477,270,44,201,25
E00016481,423,99,314,10
E00016444,390,100,257,33
E00016484,428,146,235,47
E00016485,356,116,208,32
E00016488,406,146,203,57
E00016489,400,147,214,39
E00016443,334,95,189,50
E00016483,243,54,162,27
E00016486,434,112,283,39
E00016487,267,76,154,37
E00016491,220,48,146,26
E00016449,298,84,194,20
E00016450,243,49,180,14
E00016451,319,91,210,18
E00016490,386,108,257,21
E00016492,299,78,198,23
E00016513,339,98,221,20
E00016514,230,59,135,36
E00016515,359,93,204,62
E00016516,329,103,206,20
E00016519,264,53,189,22
E00016521,274,70,177,27
E00016496,261,72,165,24
E00016517,207,51,139,17
E00016518,292,68,183,41
E00016523,242,53,157,32
E00016524,337,78,221,38
E00016525,213,22,127,64
E00016497,272,89,169,14
E00016527,235,75,149,11
E00016528,223,65,153,5
E00016531,382,108,242,32
E00016532,234,51,169,14
E00016535,267,74,177,16
E00016520,317,85,189,43
E00016522,298,78,180,40
E00016526,279,66,164,49
E00016529,241,57,154,30
E00016530,318,103,179,36
E00016533,333,73,214,46
E00016534,267,58,170,39
E00016536,308,75,193,40
E00016537,294,88,184,22
E00016538,321,76,217,28
E00016539,344,103,194,47
E00016493,355,106,216,33
E00016499,487,146,296,45
E00016502,276,56,198,22
E00016503,221,36,168,17
E00016507,261,65,176,20
E00016540,328,84,204,40
E00016498,615,128,410,77
E00016500,327,98,196,33
E00016505,364,97,236,31
E00016541,354,61,228,65
E00016494,338,74,228,36
E00016495,201,34,154,13
E00016501,481,90,310,81
E00016508,360,75,223,62
E00016511,390,78,275,37
E00016504,302,58,178,66
E00016506,360,84,222,54
E00016509,444,87,272,85
E00016510,264,63,160,41
E00016512,318,62,207,49
E00016573,344,69,244,31
E00016579,276,38,220,18
E00016580,416,67,300,49
E00016581,523,107,388,28
E00016582,507,77,384,46
E00016564,465,82,336,47
E00016567,271,68,193,10
E00016569,421,80,306,35
E00016571,387,58,280,49
E00173700,233,35,178,20
E00173702,210,32,162,16
E00016546,363,77,261,25
E00016547,364,64,266,34
E00016548,360,68,253,39
E00016550,375,81,267,27
E00016583,269,48,183,38
E00016542,353,81,235,37
E00016552,332,70,220,42
E00016554,277,70,180,27
E00016555,340,79,179,82
E00016556,357,80,237,40
E00016543,337,62,251,24
E00016545,375,115,235,25
E00016549,369,104,228,37
E00016551,450,126,267,57
E00016553,370,105,240,25
E00016558,246,42,193,11
E00016561,295,41,229,25
E00016566,333,55,240,38
E00016568,355,75,250,30
E00016572,295,50,224,21
E00016575,238,38,190,10
E00016557,215,55,144,16
E00016559,384,60,299,25
E00016560,315,49,244,22
E00016562,313,61,215,37
E00016563,439,107,295,37
E00016565,297,48,223,26
E00016544,380,66,250,64
E00016574,296,56,201,39
E00016576,332,64,237,31
E00016577,387,91,258,38
E00016578,271,53,185,33
E00016613,422,106,261,55
E00016614,433,122,270,41
E00016615,349,92,213,44
E00016618,300,89,183,28
E00016621,272,83,170,19
E00016609,274,59,172,43
E00016617,381,99,233,49
E00016619,310,69,179,62
E00016620,326,80,198,48
E00016622,275,66,187,22
E00016584,691,143,507,41
E00016596,386,103,265,18
E00016598,556,92,401,63
E00016623,412,58,343,11
E00174036,238,29,186,23
E00174038,391,65,293,33
E00016585,378,68,275,35
E00016593,472,132,287,53
E00016600,402,115,239,48
E00016602,322,95,190,37
E00016624,283,46,215,22
E00016625,366,65,250,51
E00016587,464,100,308,56
E00016594,343,70,244,29
E00016605,547,117,397,33
E00016608,208,52,138,18
E00016626,373,92,228,53
E00016588,421,94,280,47
E00016592,531,131,329,71
E00016604,308,71,191,46
E00016611,244,43,185,16
E00016612,181,48,104,29
E00016616,354,72,267,15
E00016589,326,72,198,56
E00016595,370,131,220,19
E00016597,168,41,92,35
E00016599,355,97,235,23
E00016601,361,112,217,32
E00016607,196,33,122,41
E00016590,406,86,270,50
E00016591,349,85,222,42
E00016603,512,122,322,68
E00016606,466,134,285,47
E00016610,358,106,225,27
E00016635,564,81,449,34
E00016640,342,67,181,94
E00016641,461,126,303,32
E00016642,475,104,315,56
E00016643,338,48,198,92
E00016630,388,55,300,33
E00016647,337,86,236,15
E00016648,294,53,222,19
E00016649,256,46,175,35
E00016651,432,106,301,25
E00016629,377,89,244,44
E00016650,245,50,179,16
E00016652,262,77,142,43
E00016654,240,74,152,14
E00016657,259,64,177,18
E00016653,313,77,205,31
E00016655,367,84,272,11
E00016656,326,76,218,32
E00016662,247,55,172,20
E00016664,347,72,245,30
E00016631,326,68,234,24
E00016658,294,60,216,18
E00016659,276,67,187,22
E00016660,350,80,228,42
E00016663,347,61,266,20
E00016632,579,201,353,25
E00016666,327,67,228,32
E00016667,418,126,254,38
E00016669,280,85,173,22
E00016673,341,80,210,51
E00016633,382,68,288,26
E00016636,699,49,643,7
E00016638,2531,412,2092,27
E00016639,1067,304,723,40
E00016674,441,107,306,28
E00174018,632,48,582,2
E00174019,202,31,148,23
E00174021,114,19,92,3
E00016680,247,35,190,22
E00016716,330,72,256,2
E00016717,204,46,158,0
E00016719,356,106,240,10
E00016720,300,69,228,3
E00016725,212,47,162,3
E00016678,291,71,193,27
E00016722,354,124,207,23
E00016724,296,43,244,9
E00016727,325,64,223,38
E00016706,348,62,264,22
E00016708,288,64,209,15
E00016709,378,85,267,26
E00016714,335,76,237,22
E00016715,349,69,263,17
E00016676,295,77,186,32
E00016685,308,76,200,32
E00016690,270,43,196,31
E00016691,261,52,192,17
E00016726,172,49,111,12
E00016675,137,24,106,7
E00016677,866,89,761,16
E00016683,290,58,226,6
E00016697,343,91,234,18
E00173940,325,73,231,21
E00173949,445,107,327,11
E00016684,274,53,199,22
E00016687,189,34,148,7
E00016694,396,110,277,9
E00016718,274,69,155,50
E00016721,228,47,153,28
E00016723,249,49,173,27
E00016688,267,69,163,35
E00016695,253,46,167,40
E00016705,311,40,265,6
E00016710,356,80,262,14
E00016712,371,51,309,11
E00016682,183,25,156,2
E00016686,346,80,247,19
E00016699,292,62,206,24
E00016702,402,57,313,32
