OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016214,212,7,10,4,6,26,34,32,22,9,5,13,9,11,8,9,4,2,1
E00016215,154,6,13,6,3,6,20,23,12,7,10,13,8,11,8,3,2,1,2
E00016217,192,10,11,4,7,13,20,28,8,14,8,16,17,11,4,8,7,3,3
E00016237,178,8,4,6,4,28,39,23,9,7,9,8,6,8,5,7,3,4,0
E00016247,148,6,10,6,4,6,22,26,10,14,9,7,13,3,5,4,2,0,1
E00016253,149,4,9,3,3,21,22,25,13,11,9,8,7,5,3,2,1,2,1
E00016218,114,10,7,5,3,2,19,24,14,8,9,4,3,3,1,2,0,0,0
E00016222,163,17,12,6,1,6,16,21,26,11,16,9,7,5,3,2,1,4,0
E00016224,148,12,13,3,4,5,20,13,23,12,17,8,6,2,2,3,2,3,0
E00016226,182,21,19,9,14,21,13,16,15,15,10,5,8,3,2,5,2,2,2
E00016227,267,15,8,5,14,61,66,22,26,9,10,7,4,3,4,9,1,0,3
E00016228,201,17,16,10,10,9,27,16,20,18,15,14,6,5,4,5,5,1,3
E00016229,227,14,10,7,4,18,24,35,21,21,21,12,16,3,7,5,0,2,7
E00016230,203,19,20,11,5,15,25,18,21,5,18,12,8,10,2,2,4,2,6
E00016231,188,15,18,6,3,22,18,19,10,15,11,12,12,10,4,1,2,6,4
E00016232,191,16,14,14,5,10,19,23,22,11,12,19,7,9,0,4,3,3,0
E00016233,209,15,23,6,9,11,25,25,13,15,22,22,8,7,4,3,1,0,0
E00016209,252,12,18,13,16,29,21,23,36,22,19,11,13,6,6,1,0,3,3
E00016235,162,12,6,2,8,16,32,20,25,9,11,9,6,1,1,3,0,1,0
E00016238,189,10,10,7,6,18,21,23,22,12,13,8,8,5,14,5,3,3,1
E00173941,347,15,15,0,71,161,23,14,13,6,8,4,6,2,7,1,0,0,1
E00173942,213,10,8,8,15,52,39,17,28,13,6,7,5,2,2,1,0,0,0
E00016261,202,8,14,11,6,8,17,14,12,20,19,13,30,6,12,4,1,1,6
E00016282,211,11,17,10,8,5,13,19,24,15,17,9,24,12,10,3,1,5,8
E00016288,248,22,29,12,14,10,14,18,22,34,16,10,23,8,12,3,1,0,0
E00016289,173,10,19,13,11,12,9,19,13,16,11,14,14,3,4,1,2,2,0
E00016294,151,7,9,4,6,7,9,16,17,6,15,5,26,3,9,4,4,1,3
E00016281,185,9,15,10,13,8,10,9,21,8,17,13,14,12,4,2,8,2,10
E00016290,180,15,16,11,7,6,13,9,12,19,15,16,11,6,8,2,3,6,5
E00016292,149,11,9,11,7,3,7,9,16,9,8,13,16,10,6,3,4,2,5
E00016293,181,11,6,10,8,10,20,8,10,11,11,21,17,10,5,6,4,4,9
E00016295,191,12,13,11,9,10,11,9,12,20,11,19,21,6,9,6,3,2,7
E00016258,223,14,8,19,14,9,14,17,18,21,11,15,16,15,11,4,4,6,7
E00016259,162,13,10,5,12,4,8,8,12,22,7,12,17,3,10,7,2,2,8
E00016298,250,11,18,19,19,15,13,16,16,26,18,17,20,14,10,3,2,7,6
E00016299,219,13,8,13,25,14,6,10,22,17,17,21,19,10,5,7,6,4,2
E00016260,196,17,9,12,9,9,13,10,8,16,12,11,21,19,12,5,8,2,3
E00016262,141,14,6,7,7,3,11,8,10,12,11,11,10,3,4,12,1,4,7
E00016266,199,10,8,15,18,9,7,11,17,23,10,16,17,13,5,9,3,5,3
E00016267,168,17,9,8,11,8,9,14,9,19,10,7,10,8,3,10,5,8,3
E00016271,230,12,21,11,11,11,16,14,12,17,13,17,22,13,8,10,4,9,9
E00016274,203,11,10,12,16,17,10,16,25,11,9,11,21,11,7,4,1,2,9
E00016276,202,11,4,6,11,11,13,22,24,19,12,12,10,16,4,5,8,2,12
E00016277,189,11,9,8,11,7,15,15,16,14,12,13,24,14,6,7,2,5,0
E00016278,168,13,7,8,12,10,8,13,14,15,9,9,10,19,7,8,1,2,3
E00016285,156,6,5,1,15,5,9,11,22,9,14,10,13,16,6,4,3,2,5
E00016257,197,6,19,9,10,13,7,8,21,21,10,14,13,17,7,9,3,3,7
E00016263,112,6,7,4,2,9,11,14,8,9,4,6,9,7,6,1,2,1,6
E00016265,236,11,19,9,8,11,10,20,28,20,22,20,12,12,7,11,4,4,8
E00016268,227,9,14,13,6,15,9,17,11,32,6,17,15,21,11,10,7,9,5
E00016291,283,24,30,15,16,15,24,26,21,28,16,13,10,12,11,4,4,5,9
E00016256,172,6,15,8,8,8,10,12,11,10,14,9,18,13,4,9,4,7,6
E00016284,139,8,12,6,4,8,6,11,12,13,15,7,7,12,7,4,1,4,2
E00016286,208,22,6,12,14,11,9,17,14,13,13,20,19,12,7,8,5,4,2
E00016296,139,6,8,9,6,5,9,18,9,8,21,7,9,11,7,2,1,2,1
E00016297,200,18,18,11,7,16,9,14,17,13,11,9,14,18,7,7,2,5,4
E00016264,164,3,11,5,9,8,11,14,9,11,11,9,15,9,10,9,8,5,7
E00016269,182,5,11,9,18,12,9,12,6,15,19,17,16,9,8,5,6,2,3
E00016270,148,5,7,6,10,9,17,8,4,7,6,13,16,11,5,11,5,2,6
E00016272,176,8,23,6,5,9,10,14,12,19,8,13,14,9,5,7,2,6,6
E00016273,175,6,11,5,5,9,19,24,14,7,12,13,12,19,5,5,4,3,2
E00016275,214,14,26,10,12,8,12,15,20,28,12,13,14,7,9,3,8,1,2
E00016279,171,9,21,8,5,9,12,10,14,19,10,16,9,7,8,3,5,5,1
E00016280,133,6,8,6,11,5,7,8,11,7,8,14,13,8,3,6,6,2,4
E00016283,195,13,23,7,9,13,9,16,18,17,13,15,13,9,11,3,3,0,3
E00016287,200,12,15,16,14,12,11,10,14,11,12,10,15,13,10,16,3,1,5
E00016335,113,9,2,6,4,4,7,11,11,14,2,5,12,5,5,6,3,2,5
E00016336,179,16,11,6,2,5,11,19,16,19,11,17,9,9,10,6,4,5,3
E00016339,179,8,20,16,10,4,8,20,21,11,13,9,12,6,7,8,4,0,2
E00016340,185,18,15,13,8,4,10,16,22,20,18,11,10,7,0,4,2,5,2
E00016341,154,10,17,10,4,2,6,11,20,18,12,6,9,9,7,4,2,4,3
E00016300,129,15,4,2,2,7,12,20,20,13,8,8,3,6,4,1,3,0,1
E00016310,121,9,7,6,4,6,10,5,9,12,9,6,10,8,8,6,3,0,3
E00016312,167,13,10,8,5,5,14,20,22,11,18,9,5,11,5,7,4,0,0
E00016343,182,15,16,9,4,6,12,14,20,16,10,9,11,12,8,7,8,3,2
E00016344,247,13,12,7,10,12,30,36,34,20,17,12,8,14,9,6,3,2,2
E00016301,222,23,16,11,5,11,14,16,22,31,23,15,9,4,9,6,3,3,1
E00016302,145,9,3,12,4,5,9,24,18,11,14,10,4,9,2,5,2,3,1
E00016316,161,8,11,10,8,5,7,13,18,15,13,7,8,10,15,6,4,2,1
E00016338,179,8,9,9,6,7,9,12,22,14,15,12,11,18,11,2,6,7,1
E00016342,146,13,16,11,9,5,8,5,17,13,12,11,5,7,7,2,3,2,0
E00016303,208,11,11,10,9,5,18,32,18,19,19,14,11,7,3,6,7,3,5
E00016304,177,11,12,3,6,4,10,26,33,15,11,10,13,7,5,6,1,2,2
E00016313,128,14,10,4,3,3,10,22,25,9,9,4,3,6,0,1,3,1,1
E00016318,160,17,18,7,2,1,7,20,22,15,10,6,9,6,5,7,3,2,3
E00016345,140,13,10,5,2,0,13,21,15,16,12,4,9,5,0,6,4,1,4
E00016307,206,13,17,17,4,5,13,17,11,27,18,12,11,12,5,4,10,4,6
E00016314,152,9,8,11,5,5,11,20,10,9,12,11,7,14,8,1,3,3,5
E00016319,121,5,8,5,2,3,12,9,5,7,14,7,9,15,4,5,2,2,7
E00016321,170,7,10,11,5,6,18,21,21,15,14,8,13,13,1,1,5,0,1
E00016322,229,21,12,18,6,8,10,23,39,22,17,17,10,8,3,4,4,6,1
E00016305,142,10,11,9,9,1,9,18,19,11,7,7,8,9,5,3,4,2,0
E00016306,171,12,9,8,10,8,19,25,12,6,8,19,11,6,7,4,2,5,0
E00016308,201,20,9,18,7,7,20,18,34,18,11,20,7,1,3,3,2,2,1
E00016315,225,26,8,12,9,11,19,26,20,23,14,15,17,13,7,2,2,0,1
E00016317,151,6,18,14,4,7,10,12,15,16,14,8,9,3,6,4,3,0,2
E00016320,156,17,9,6,2,3,13,19,20,18,12,16,12,3,4,1,1,0,0
E00016309,152,8,6,7,3,7,18,23,12,12,7,9,18,7,3,3,3,5,1
E00016323,136,8,7,7,2,5,22,16,9,9,8,9,7,10,4,5,5,2,1
E00016324,197,18,10,9,7,10,34,17,10,16,13,17,16,7,4,2,3,3,1
E00016325,173,18,11,9,1,6,33,21,15,14,15,2,9,7,6,2,3,0,1
E00016327,172,23,17,6,2,3,23,21,15,16,11,6,6,7,4,2,5,3,2
E00016326,199,19,36,8,5,4,11,9,27,23,7,9,11,9,8,6,4,0,3
E00016329,227,22,26,15,8,6,18,13,28,27,17,10,12,5,11,2,3,0,4
E00016332,250,27,35,4,8,13,13,16,30,23,10,6,13,9,20,6,4,4,9
E00016333,147,15,10,6,5,7,12,17,12,18,9,7,11,5,4,1,5,0,3
E00016337,206,11,31,8,10,10,9,7,16,28,9,16,14,10,12,6,4,1,4
E00016311,164,13,11,9,10,7,10,11,13,18,17,9,11,8,7,5,2,2,1
E00016328,148,18,15,7,2,5,5,17,21,14,8,8,10,6,2,1,2,6,1
E00016330,118,14,6,6,3,3,8,10,11,12,11,4,10,6,5,4,3,2,0
E00016331,194,12,12,15,11,11,8,18,20,15,10,12,16,7,2,10,8,4,3
E00016334,242,24,19,14,8,10,20,15,24,19,24,18,14,9,7,8,3,2,4
E00016361,116,8,12,2,8,10,8,11,7,6,4,9,9,5,4,5,6,1,1
E00016363,170,10,17,11,6,11,11,13,14,5,16,14,16,12,5,5,1,3,0
E00016366,137,12,8,14,8,6,8,6,9,8,13,8,10,10,6,2,5,1,3
E00016367,91,7,11,5,1,3,10,13,8,4,4,9,2,6,2,2,3,1,0
E00016368,141,6,11,10,4,8,9,10,12,11,9,8,12,10,8,5,4,3,1
E00016350,163,9,13,6,13,9,8,8,18,5,22,16,10,12,4,3,3,3,1
E00016369,195,4,12,20,17,6,15,9,21,17,21,9,16,11,6,3,1,4,3
E00016370,191,13,17,14,11,5,9,18,23,11,16,16,11,11,8,5,0,3,0
E00016371,168,8,18,15,17,3,13,12,22,12,9,11,8,9,3,3,2,0,3
E00016374,135,9,2,13,11,6,6,11,15,7,12,7,9,10,9,3,2,2,1
E00016352,140,3,19,12,9,4,12,11,11,11,12,10,5,7,6,1,1,2,4
E00016373,206,10,20,14,14,7,16,13,16,12,15,21,12,4,8,7,3,3,11
E00016378,198,17,14,10,12,9,11,18,13,19,12,23,7,6,10,2,6,6,3
E00016381,208,14,19,12,9,4,11,24,20,18,12,18,12,12,4,4,5,6,4
E00016382,139,10,3,9,9,8,7,18,9,10,9,12,12,7,3,4,4,5,0
E00016348,124,6,11,13,4,4,6,12,12,5,6,7,10,9,8,5,3,1,2
E00016372,192,11,12,20,11,13,9,18,16,18,13,14,12,5,13,0,2,3,2
E00016375,116,4,10,12,6,6,6,17,6,12,13,9,9,1,3,1,1,0,0
E00016377,155,10,6,17,7,7,10,9,15,17,14,12,9,6,5,8,1,0,2
E00016379,163,9,7,17,6,8,11,18,13,13,14,13,9,6,6,6,2,0,5
E00016349,214,14,14,18,19,10,16,10,25,14,15,14,9,13,7,2,5,5,4
E00016351,260,16,22,17,12,7,14,26,24,21,10,14,22,15,7,6,9,9,9
E00016376,179,8,13,15,15,7,11,10,11,24,9,11,6,15,7,2,6,4,5
E00016383,190,7,12,18,21,7,13,12,16,8,17,12,21,2,12,2,4,2,4
E00016353,174,10,11,10,12,13,11,14,13,16,9,14,7,12,5,9,3,4,1
E00016360,251,14,24,10,11,12,18,23,20,18,25,17,10,7,16,8,5,8,5
E00016380,152,4,10,20,6,5,11,12,16,11,11,8,13,7,4,6,1,4,3
E00016389,170,7,17,22,10,8,5,16,11,14,16,11,11,1,6,8,2,4,1
E00016390,117,6,6,10,13,9,8,3,14,6,7,6,9,6,5,1,2,3,3
E00016392,141,4,9,12,8,6,8,10,9,11,12,9,8,11,6,6,2,4,6
E00016359,178,8,11,7,13,5,10,6,15,8,15,11,15,14,7,9,7,8,9
E00016384,188,10,11,15,6,8,9,6,12,16,13,9,9,15,15,12,9,8,5
E00016385,227,10,10,10,15,6,13,23,19,8,15,15,10,26,19,10,9,4,5
E00016386,141,5,3,3,2,3,4,4,10,6,6,9,9,11,15,16,6,13,16
E00016388,137,9,8,4,2,5,7,5,10,12,7,11,12,10,8,11,4,9,3
E00016346,151,7,9,10,14,4,8,8,13,12,18,10,12,6,5,4,2,4,5
E00016354,131,12,7,5,7,6,9,15,10,13,14,8,6,4,3,4,2,5,1
E00016357,186,23,11,16,11,14,18,15,15,11,10,10,14,5,3,6,4,0,0
E00016358,174,23,8,9,13,9,12,16,15,13,13,9,8,4,6,3,2,2,9
E00016391,175,5,8,13,15,7,6,8,17,15,9,19,17,11,7,3,4,2,9
E00016403,198,14,26,21,12,9,12,23,19,18,17,7,6,4,1,0,3,5,1
E00016437,260,18,15,22,20,21,28,17,21,12,17,22,18,3,2,3,3,16,2
E00016439,178,22,14,11,5,12,15,26,26,13,7,9,5,6,1,2,2,0,2
E00016442,197,28,24,18,13,6,10,19,23,13,14,12,10,1,2,3,1,0,0
E00016399,276,11,19,15,25,27,23,22,24,16,24,20,20,15,10,1,1,2,1
E00016401,310,16,29,28,21,19,20,36,50,23,22,15,13,6,3,3,1,4,1
E00016406,152,5,6,11,15,19,17,8,11,12,11,13,8,12,2,1,0,0,1
E00016435,215,10,18,15,13,13,21,19,26,19,17,12,15,6,7,2,2,0,0
E00016412,195,14,16,12,7,9,23,19,18,6,14,14,13,10,4,5,6,0,5
E00016414,169,7,8,8,7,18,21,18,10,13,15,10,12,7,5,2,6,0,2
E00016418,338,15,16,19,15,29,49,58,33,23,17,19,17,12,3,5,4,3,1
E00016422,269,12,26,25,30,20,18,22,16,19,21,20,15,9,6,4,3,3,0
E00016395,270,13,9,4,6,29,48,61,20,19,6,7,6,11,9,7,8,4,3
E00016404,183,4,6,10,1,24,40,29,10,9,3,11,10,7,4,5,7,3,0
E00016405,166,6,9,1,5,26,26,30,16,7,3,8,11,5,5,4,3,0,1
E00016408,179,10,23,3,8,26,21,22,16,13,10,9,8,4,1,3,2,0,0
E00016410,168,11,10,7,4,20,24,24,16,11,4,4,8,6,2,5,10,1,1
E00016438,127,6,7,3,2,13,20,36,13,8,8,3,3,1,0,0,2,2,0
E00016402,151,13,15,13,5,7,17,11,7,14,13,10,10,6,1,3,1,1,4
E00016407,103,5,7,6,3,5,20,15,13,11,6,6,3,1,1,1,0,0,0
E00016409,231,4,18,16,19,15,18,20,23,22,25,18,12,9,3,9,0,0,0
E00016411,199,14,9,22,7,11,27,25,23,18,13,9,9,10,2,0,0,0,0
E00016413,183,9,12,14,7,14,18,22,9,17,9,16,15,7,5,6,1,1,1
E00016398,136,8,3,4,5,13,12,16,11,9,6,16,13,7,3,6,0,2,2
E00016431,237,9,4,3,8,15,34,46,29,23,10,10,16,12,7,8,2,0,1
E00016432,186,7,4,8,9,11,31,28,19,13,15,4,15,8,2,4,1,6,1
E00016434,217,10,8,17,25,18,12,19,16,16,18,19,18,5,6,5,4,1,0
E00173943,187,14,5,16,14,11,12,14,25,14,28,10,9,4,4,2,2,2,1
