LSOA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E01003285,989,59,60,60,45,35,62,107,96,81,93,61,52,35,40,26,29,26,22
E01003286,906,46,63,83,46,37,38,80,82,70,55,67,54,41,27,35,31,23,28
E01003287,1021,97,72,58,38,29,38,80,101,91,94,65,69,56,46,29,36,13,9
E01003288,1101,58,45,46,47,55,132,113,87,63,76,54,54,70,56,34,37,25,49
E01003290,830,58,38,25,20,45,119,94,69,93,64,30,32,59,25,21,12,12,14
E01003291,713,59,56,28,30,27,61,63,75,53,38,55,39,40,25,13,20,12,19
E01003292,788,64,38,28,42,34,72,78,96,73,48,58,63,27,15,25,7,13,7
E01003293,828,76,31,21,45,37,64,87,70,88,58,70,52,50,16,13,14,15,21
E01003295,1007,65,94,51,56,43,53,100,121,69,68,48,84,50,26,37,18,5,19
E01003296,3094,226,127,116,106,371,568,487,345,224,151,126,92,67,29,19,24,9,7
E01003297,820,41,28,91,40,77,129,119,71,64,77,36,16,6,5,2,4,8,6
E01003298,660,31,37,38,46,62,61,60,42,56,43,46,52,34,10,23,11,1,7
E01003299,862,70,48,35,41,69,92,82,81,81,59,56,48,28,24,18,20,8,2
E01003300,654,41,40,34,25,54,56,66,34,48,53,47,46,40,23,15,15,10,7
E01003301,1120,43,74,29,85,179,177,119,105,84,64,39,53,30,10,10,4,9,6
E01003302,825,41,58,59,32,58,92,90,67,74,48,54,48,30,29,15,16,12,2
E01003303,740,35,27,37,56,124,87,89,42,47,46,33,34,14,24,19,16,1,9
E01003304,1071,59,55,45,37,69,131,197,114,75,64,59,48,42,27,16,19,5,9
E01003305,1061,58,84,60,59,90,86,97,94,104,55,52,67,51,27,19,18,11,29
E01003307,807,58,49,43,27,17,55,74,83,76,50,61,51,61,39,16,19,15,13
E01003308,1029,53,61,76,41,42,48,96,93,82,144,76,56,42,35,34,13,15,22
E01003309,789,40,49,49,52,71,59,64,77,51,65,56,40,21,35,25,10,7,18
E01003310,861,38,63,53,20,47,69,169,91,86,45,36,60,25,25,15,7,5,7
E01003311,877,59,86,55,31,34,38,52,71,71,67,56,72,45,36,33,31,23,17
E01003312,900,62,61,45,38,67,46,89,76,64,64,75,52,41,41,28,17,25,9
E01003313,728,54,42,57,34,34,51,64,102,49,47,39,67,40,17,10,12,2,7
E01003314,909,70,61,52,37,30,48,111,125,100,73,43,49,41,24,22,8,4,11
E01003315,706,40,66,35,11,30,77,99,81,44,66,36,33,18,25,13,14,16,2
E01003316,766,57,51,32,28,31,47,84,90,69,50,54,44,37,32,21,17,9,13
E01003317,1370,112,120,47,42,61,116,247,160,100,102,62,57,41,25,35,14,12,17
E01003318,893,61,95,62,41,33,77,86,78,84,46,66,59,33,11,10,9,17,25
E01003319,1010,88,48,65,74,36,65,114,89,71,38,81,67,45,30,26,20,18,35
E01003320,732,54,37,34,43,33,45,58,69,65,48,68,69,43,32,7,9,13,5
E01003321,935,58,48,48,33,51,141,68,64,64,80,65,85,35,27,21,15,14,18
E01003322,722,52,44,43,40,29,49,48,63,61,60,62,44,37,28,15,12,15,20
