OA11CD,Total,0-18,19-65,66+
E00016375,116,32,79,5
E00016377,155,40,100,15
E00016379,163,38,108,17
E00016349,214,61,131,22
E00016351,260,66,155,39
E00016376,179,50,106,23
E00016383,190,56,113,21
E00016353,174,41,112,21
E00016360,251,57,155,39
E00016380,152,40,95,17
E00016389,170,55,98,17
E00016390,117,34,71,12
E00016392,141,32,85,24
E00016359,178,37,105,36
E00016384,188,41,102,45
E00016385,227,43,142,42
E00016386,141,11,67,63
E00016388,137,22,81,34
E00016346,151,37,94,20
E00016354,131,30,87,14
E00016357,186,59,114,13
E00016358,174,48,105,21
E00016391,175,39,112,24
E00016403,198,71,118,9
E00016437,260,73,161,26
E00016439,178,52,120,6
E00016442,197,81,111,5
E00016399,276,66,200,10
E00016401,310,92,206,12
E00016406,152,35,114,3
E00016435,215,52,153,10
E00016412,195,47,129,19
E00016414,169,28,126,15
E00016418,338,61,261,16
E00016422,269,87,168,14
E00016395,270,29,211,30
E00016404,183,21,143,19
E00016405,166,19,135,12
E00016408,179,43,130,6
E00016410,168,30,119,19
E00016438,127,18,105,4
E00016402,151,45,96,10
E00016407,103,20,81,2
E00016409,231,55,164,12
E00016411,199,51,148,0
E00016413,183,40,131,12
E00016398,136,18,105,13
E00016431,237,21,200,16
E00016432,186,28,146,12
E00016434,217,56,146,15
E00173943,187,47,130,10
E00173946,26,2,20,4
E00016397,667,102,549,16
E00016433,737,93,599,45
E00016436,177,50,120,7
E00016440,166,47,117,2
E00016441,183,41,119,23
E00016415,216,52,146,18
E00016416,208,43,151,14
E00016419,233,83,136,14
E00016420,247,88,148,11
E00173947,187,60,122,5
E00173948,100,17,82,1
E00016417,176,43,113,20
E00016421,152,40,103,9
E00016423,177,56,111,10
E00016424,178,58,111,9
E00016427,113,36,68,9
E00016396,115,18,83,14
E00016426,150,33,100,17
E00016428,223,39,169,15
E00016429,131,15,86,30
E00016430,141,35,91,15
E00016445,151,26,111,14
E00016448,178,31,115,32
E00016452,145,29,90,26
E00016454,142,33,92,17
