OA11CD,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00016133,176,1,2,1,1,2,2,0,2,4,3,6,0,0,5,2,2,2,5,2,3,2,1,1,0,3,2,1,0,0,2,2,1,3,2,2,4,1,2,5,4,3,1,7,4,2,2,2,3,5,1,0,3,7,6,4,2,5,3,3,5,2,3,2,2,2,3,2,0,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E00016135,165,1,1,1,0,2,2,4,0,1,5,1,2,4,2,1,1,0,2,1,1,0,0,1,2,1,0,1,2,2,0,2,2,2,3,2,2,2,2,3,2,3,3,4,1,2,4,2,0,3,4,5,3,3,3,8,2,0,7,2,3,2,1,5,4,0,3,2,2,1,3,2,2,3,0,2,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,2
E00016178,158,1,5,2,1,4,2,2,2,1,0,2,1,4,2,2,1,5,1,0,0,0,0,1,2,1,2,1,2,3,3,2,4,0,3,4,3,3,6,2,1,4,1,0,3,2,4,3,3,4,3,4,2,3,1,0,1,2,0,0,2,3,0,1,2,1,2,1,2,1,0,2,0,2,0,2,4,0,1,3,1,1,0,2,1,0,0,0,0,0,0,3
E00016179,174,1,0,2,2,2,1,3,1,3,3,4,0,4,3,3,0,0,1,2,2,2,0,1,1,2,4,1,2,6,6,3,6,3,4,1,6,3,5,4,4,5,4,6,4,4,1,3,1,1,2,2,3,3,2,4,0,1,0,3,2,1,3,2,1,1,1,0,1,1,0,2,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,1,1
E00016180,151,4,2,2,0,1,3,3,4,1,2,0,4,1,4,1,0,1,2,2,1,0,2,1,0,1,1,3,0,1,2,2,2,2,3,4,3,2,4,5,3,2,2,5,2,2,2,1,2,1,2,3,3,0,2,4,1,2,0,2,3,1,0,1,0,0,0,1,1,1,0,0,1,7,3,2,0,1,3,1,3,0,1,0,2,0,1,0,1,0,0,0
E00016187,178,7,8,1,4,2,2,1,3,2,0,3,4,1,1,3,2,2,0,3,1,1,0,0,1,1,0,3,3,0,4,3,4,2,4,5,1,5,0,3,4,3,7,4,3,0,4,2,0,3,1,4,2,3,3,1,0,0,3,1,0,1,3,1,0,0,0,1,1,2,0,0,0,2,0,1,1,4,2,3,1,1,1,0,0,2,0,1,1,1,3,7
E00016189,153,1,1,3,3,2,3,3,5,4,2,5,0,2,1,1,1,0,3,1,1,1,2,1,0,1,0,2,1,0,0,3,2,0,3,1,3,2,0,3,3,6,4,3,4,2,4,5,3,3,1,4,2,1,1,3,2,1,2,1,1,1,1,0,2,1,0,3,3,2,0,0,1,1,6,3,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1
E00016159,161,2,3,3,0,4,0,3,3,3,0,2,3,1,2,1,3,2,0,4,1,1,0,1,1,3,1,3,2,5,3,3,5,1,2,4,3,3,2,3,2,6,1,1,2,4,3,1,1,0,2,0,3,1,1,1,1,2,0,0,2,4,2,1,3,2,1,2,2,3,1,1,2,1,0,2,3,2,1,1,1,3,0,2,0,0,0,0,0,0,0,1
E00016173,161,1,1,3,1,3,3,1,1,1,5,3,2,3,2,2,0,1,1,1,2,1,1,1,1,1,0,0,3,2,2,3,5,0,4,2,3,3,3,3,3,2,3,4,3,1,0,4,6,4,1,4,4,3,1,2,1,2,3,4,3,2,2,3,2,0,1,0,0,1,1,2,3,2,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0
E00016176,147,2,2,1,0,4,1,0,4,3,0,6,1,4,5,1,1,3,2,2,0,0,0,0,1,0,3,1,1,2,3,3,3,6,3,8,4,0,0,3,4,2,2,3,3,2,0,2,6,1,2,1,3,3,1,2,2,3,3,1,0,1,1,2,2,1,1,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0
E00016184,118,0,1,1,1,1,1,0,1,1,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,2,0,4,3,1,4,2,8,3,3,4,2,3,2,4,2,3,1,0,3,0,5,0,3,2,5,2,2,4,1,1,1,2,0,1,1,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,1,0,2,2,0,0,0,1,0,2,0,2,1,0,1,0
E00016186,227,3,3,1,1,2,1,2,2,2,3,1,2,2,1,2,1,3,5,1,2,1,3,2,4,5,9,10,6,9,5,6,12,9,7,4,4,4,6,2,2,2,4,4,5,1,7,6,4,5,2,1,5,1,1,4,0,2,2,1,0,1,1,0,1,1,1,1,0,2,3,0,3,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
E00016188,139,0,0,1,0,0,1,3,0,2,1,3,0,2,2,1,2,0,2,0,0,1,2,3,1,3,2,1,2,3,3,4,4,5,5,6,3,1,2,3,2,3,1,1,3,0,2,1,3,4,4,1,1,1,1,1,1,1,1,3,0,1,0,0,2,1,1,3,0,2,1,2,2,1,0,1,2,1,1,4,2,0,0,0,0,0,0,0,0,0,1,2
E00016166,111,0,1,2,1,0,3,2,2,1,2,0,2,0,4,3,1,0,0,0,0,2,0,0,2,2,2,2,3,5,3,0,4,2,3,2,3,1,1,2,2,0,4,0,1,2,1,3,6,0,2,1,1,2,0,2,2,0,1,1,1,0,1,2,0,0,3,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
E00016167,127,3,3,2,2,1,2,0,2,2,1,5,0,0,2,2,2,0,0,0,2,0,1,0,2,1,2,0,0,3,1,1,2,2,1,1,1,1,3,1,3,1,2,0,0,1,2,2,3,0,4,0,2,3,3,4,2,1,0,3,1,2,1,0,1,2,1,3,1,4,2,1,2,0,1,0,2,0,4,1,1,1,0,1,2,0,0,0,0,0,0,3
E00016171,134,2,1,3,2,3,1,1,0,3,1,0,0,0,0,1,0,0,0,0,1,1,0,6,2,2,4,6,7,3,6,4,5,7,4,6,3,3,2,1,1,1,2,2,2,2,0,3,3,1,2,1,1,2,1,1,1,2,0,0,1,1,3,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0
E00016174,136,3,3,2,3,4,4,2,6,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,4,4,3,4,4,3,4,4,2,2,2,2,7,0,1,4,2,3,4,1,1,2,2,1,1,1,1,2,0,3,0,0,1,0,0,0,0,0,1,0,3,1,1,0,1,2,2,1,0,0,2,1,0,0,1,2,0,3
E00016204,142,1,2,3,1,3,2,3,1,3,1,0,0,1,1,1,1,0,0,1,0,2,4,1,0,1,1,0,2,4,6,2,1,3,4,2,2,5,3,3,1,4,2,5,5,3,1,3,2,2,1,1,3,1,2,0,2,1,3,2,3,1,0,0,0,1,0,0,1,0,1,1,1,0,2,1,0,0,3,0,1,1,1,2,1,2,1,1,0,0,1,1
E00016206,148,2,1,4,2,2,1,2,2,4,1,3,0,0,1,3,1,1,1,1,0,1,1,2,1,1,7,5,0,9,4,5,3,4,5,3,2,3,1,4,1,3,2,0,1,0,0,4,0,0,4,0,5,1,4,1,3,3,3,1,4,0,2,0,0,0,2,1,0,1,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
E00016164,168,0,1,2,2,0,2,1,0,3,2,0,2,4,3,1,1,3,2,2,8,1,1,2,0,2,4,2,4,1,3,1,4,2,2,1,1,3,1,2,2,1,1,4,4,5,1,0,4,0,0,3,3,2,3,6,8,7,2,1,0,4,3,0,2,0,1,2,0,2,4,0,1,0,1,2,1,0,1,1,0,0,2,1,2,1,0,0,1,0,0,3
E00016170,245,3,3,6,5,2,3,3,1,2,1,6,3,3,2,4,4,0,3,2,0,0,3,1,1,2,5,5,8,3,10,7,5,7,3,8,5,4,4,3,4,7,6,4,4,5,4,6,1,3,6,2,3,2,6,3,4,1,2,4,2,3,0,2,5,1,2,3,1,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1
E00016175,154,1,7,2,1,0,2,0,3,0,1,0,0,0,2,3,0,1,1,1,0,1,1,0,3,1,3,2,2,3,3,4,5,2,5,3,1,1,0,3,1,4,0,4,4,4,1,0,3,2,1,3,3,0,3,0,5,5,5,6,1,3,1,2,3,5,1,0,2,0,1,1,1,2,1,0,0,0,1,2,0,1,0,0,1,0,2,0,0,0,0,1
E00016181,154,5,3,0,1,3,1,1,0,3,1,2,0,2,0,1,1,0,2,1,1,0,3,2,4,2,3,2,6,3,8,3,4,2,4,0,1,1,1,1,1,1,3,4,0,1,3,0,0,1,3,3,1,4,2,4,5,1,1,1,5,1,0,2,6,3,2,2,0,0,0,1,2,5,0,2,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0
