"date","geography","geography code","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"2011","E00016385","E00016385","Total",304,104,41,36,8,23,67,25
"2011","E00016386","E00016386","Total",183,64,29,24,1,18,41,6
"2011","E00016387","E00016387","Total",263,75,50,40,3,26,51,18
"2011","E00016388","E00016388","Total",260,65,27,46,13,24,66,19
"2011","E00016389","E00016389","Total",212,76,44,35,4,11,25,17
"2011","E00016390","E00016390","Total",168,53,29,20,1,14,41,10
"2011","E00016391","E00016391","Total",241,51,35,33,8,27,70,17
"2011","E00016392","E00016392","Total",216,61,32,39,4,30,32,18
"2011","E00016393","E00016393","Total",231,68,35,37,8,15,51,17
"2011","E00016394","E00016394","Total",220,80,27,24,6,27,41,15
"2011","E00016395","E00016395","Total",244,44,19,26,3,31,86,35
"2011","E00016396","E00016396","Total",226,68,43,38,0,13,43,21
"2011","E00016397","E00016397","Total",422,44,20,27,2,27,267,35
"2011","E00016398","E00016398","Total",215,38,36,30,2,24,69,16
"2011","E00016399","E00016399","Total",307,87,54,49,9,33,53,22
"2011","E00016401","E00016401","Total",250,37,23,21,3,19,126,21
"2011","E00016402","E00016402","Total",219,55,23,28,4,30,57,22
"2011","E00016403","E00016403","Total",236,31,37,36,3,16,89,24
"2011","E00016404","E00016404","Total",321,50,18,34,4,46,129,40
"2011","E00016405","E00016405","Total",277,33,32,25,4,32,113,38
"2011","E00016406","E00016406","Total",211,52,39,27,2,16,61,14
"2011","E00016407","E00016407","Total",216,15,23,28,5,14,97,34
"2011","E00016408","E00016408","Total",138,5,3,19,2,7,84,18
"2011","E00016409","E00016409","Total",262,62,30,46,5,19,68,32
"2011","E00016410","E00016410","Total",298,42,21,26,3,34,131,41
"2011","E00016411","E00016411","Total",291,25,28,30,3,34,138,33
"2011","E00016412","E00016412","Total",302,59,33,36,3,24,99,48
"2011","E00016413","E00016413","Total",237,61,26,24,2,30,54,40
"2011","E00016414","E00016414","Total",288,68,27,42,4,37,80,30
"2011","E00016415","E00016415","Total",265,63,45,38,6,23,55,35
"2011","E00016416","E00016416","Total",182,42,34,26,1,21,39,19
"2011","E00016417","E00016417","Total",247,68,30,38,4,25,61,21
"2011","E00016418","E00016418","Total",314,51,33,45,3,22,138,22
"2011","E00016419","E00016419","Total",261,69,48,43,2,30,47,22
"2011","E00016420","E00016420","Total",225,71,31,34,1,17,39,32
"2011","E00016421","E00016421","Total",211,73,27,26,2,17,43,23
"2011","E00016422","E00016422","Total",232,61,40,37,3,28,41,22
"2011","E00016423","E00016423","Total",242,55,39,32,1,26,57,32
"2011","E00016424","E00016424","Total",216,50,41,39,4,28,37,17
"2011","E00016426","E00016426","Total",224,52,22,21,1,28,69,31
"2011","E00016427","E00016427","Total",167,45,28,22,0,15,31,26
"2011","E00016428","E00016428","Total",280,38,34,21,2,40,108,37
"2011","E00016429","E00016429","Total",228,32,23,20,2,22,116,13
"2011","E00016430","E00016430","Total",209,57,23,23,7,23,46,30
"2011","E00016431","E00016431","Total",204,45,31,23,2,26,57,20
"2011","E00016432","E00016432","Total",315,53,32,31,1,38,130,30
"2011","E00016433","E00016433","Total",259,72,25,26,3,22,81,30
"2011","E00016434","E00016434","Total",296,67,42,56,0,32,78,21
"2011","E00016435","E00016435","Total",297,66,42,51,6,32,64,36
"2011","E00016436","E00016436","Total",162,32,19,21,1,15,61,13
"2011","E00016437","E00016437","Total",346,66,49,48,2,42,87,52
"2011","E00016438","E00016438","Total",221,10,11,20,0,14,123,43
"2011","E00016439","E00016439","Total",291,47,24,33,5,41,107,34
"2011","E00016440","E00016440","Total",232,41,33,42,1,22,63,30
"2011","E00016441","E00016441","Total",352,60,41,55,4,31,134,27
"2011","E00016442","E00016442","Total",226,38,30,24,2,29,76,27
"2011","E00016443","E00016443","Total",254,18,14,38,8,25,141,10
"2011","E00016444","E00016444","Total",241,25,27,22,2,23,127,15
"2011","E00016445","E00016445","Total",247,37,11,20,2,22,140,15
"2011","E00016446","E00016446","Total",294,30,23,25,4,24,169,19
"2011","E00016447","E00016447","Total",231,40,28,23,3,18,101,18
"2011","E00016448","E00016448","Total",266,23,23,34,4,27,137,18
"2011","E00016449","E00016449","Total",216,29,22,23,3,19,100,20
"2011","E00016450","E00016450","Total",200,17,21,23,2,22,98,17
"2011","E00016451","E00016451","Total",242,22,21,20,3,25,133,18
"2011","E00016452","E00016452","Total",252,32,11,21,6,18,144,20
"2011","E00016453","E00016453","Total",186,19,19,18,1,18,93,18
"2011","E00016454","E00016454","Total",211,27,18,18,4,10,118,16
"2011","E00016455","E00016455","Total",201,27,14,24,4,20,102,10
"2011","E00016456","E00016456","Total",233,32,14,25,3,25,128,6
"2011","E00016457","E00016457","Total",226,17,12,12,0,25,136,24
"2011","E00016458","E00016458","Total",242,33,20,34,6,20,117,12
"2011","E00016459","E00016459","Total",182,18,9,16,0,10,124,5
"2011","E00016460","E00016460","Total",267,51,40,33,1,22,105,15
"2011","E00016462","E00016462","Total",230,10,16,20,1,17,148,18
"2011","E00016463","E00016463","Total",418,57,42,39,1,61,188,30
"2011","E00016464","E00016464","Total",201,39,32,35,1,26,51,17
"2011","E00016465","E00016465","Total",249,105,16,22,2,15,60,29
"2011","E00016466","E00016466","Total",220,24,16,35,3,27,111,4
"2011","E00016467","E00016467","Total",260,25,24,29,5,30,126,21
"2011","E00016468","E00016468","Total",180,25,17,19,3,22,87,7
"2011","E00016469","E00016469","Total",251,40,25,18,3,27,114,24
"2011","E00016470","E00016470","Total",188,31,16,25,2,8,98,8
"2011","E00016471","E00016471","Total",158,25,19,23,5,20,51,15
"2011","E00016472","E00016472","Total",319,68,19,33,2,38,124,35
"2011","E00016473","E00016473","Total",240,39,22,34,3,23,108,11
"2011","E00016474","E00016474","Total",203,27,25,24,4,16,82,25
"2011","E00016475","E00016475","Total",152,34,26,17,0,20,39,16
"2011","E00016476","E00016476","Total",211,41,32,30,2,27,62,17
"2011","E00016477","E00016477","Total",244,34,29,18,3,22,124,14
"2011","E00016478","E00016478","Total",155,37,10,16,4,6,70,12
"2011","E00016479","E00016479","Total",176,31,36,30,0,13,51,15
"2011","E00016480","E00016480","Total",201,37,30,47,2,24,45,16
"2011","E00016481","E00016481","Total",266,26,23,32,3,21,134,27
"2011","E00016482","E00016482","Total",173,34,17,30,1,19,51,21
"2011","E00016483","E00016483","Total",195,25,18,22,0,19,102,9
"2011","E00016484","E00016484","Total",306,29,18,42,3,34,163,17
"2011","E00016485","E00016485","Total",195,47,30,32,4,16,52,14
"2011","E00016486","E00016486","Total",296,33,40,35,4,44,116,24
"2011","E00016487","E00016487","Total",217,40,17,28,3,34,79,16
"2011","E00016488","E00016488","Total",242,24,22,24,4,21,118,29
"2011","E00016489","E00016489","Total",334,29,56,22,4,57,147,19
"2011","E00016490","E00016490","Total",215,15,11,13,5,20,128,23
"2011","E00016491","E00016491","Total",208,26,21,20,4,28,97,12
"2011","E00016492","E00016492","Total",189,34,22,25,2,12,69,25
"2011","E00016493","E00016493","Total",307,63,38,31,6,30,98,41
"2011","E00016494","E00016494","Total",279,24,30,33,5,28,138,21
"2011","E00016495","E00016495","Total",167,15,22,17,4,22,69,18
"2011","E00016496","E00016496","Total",207,24,42,30,3,15,71,22
"2011","E00016497","E00016497","Total",210,46,22,25,2,31,61,23
"2011","E00016498","E00016498","Total",470,96,65,49,9,66,148,37
"2011","E00016499","E00016499","Total",247,50,22,32,7,30,77,29
"2011","E00016500","E00016500","Total",222,66,35,24,4,26,56,11
"2011","E00016501","E00016501","Total",325,55,51,52,5,32,110,20
"2011","E00016502","E00016502","Total",210,39,24,37,7,18,70,15
"2011","E00016503","E00016503","Total",169,17,14,20,1,20,77,20
"2011","E00016504","E00016504","Total",264,58,29,30,3,31,103,10
"2011","E00016505","E00016505","Total",250,57,34,33,5,29,81,11
"2011","E00016506","E00016506","Total",289,45,50,36,14,34,91,19
"2011","E00016507","E00016507","Total",200,31,29,26,4,21,76,13
"2011","E00016508","E00016508","Total",287,44,37,42,7,33,91,33
"2011","E00016509","E00016509","Total",332,81,44,48,5,36,99,19
"2011","E00016510","E00016510","Total",223,45,32,28,7,38,67,6
"2011","E00016511","E00016511","Total",278,45,37,47,11,31,85,22
"2011","E00016512","E00016512","Total",265,37,33,35,7,31,105,17
"2011","E00016513","E00016513","Total",254,48,39,32,7,24,83,21
"2011","E00016514","E00016514","Total",185,42,25,24,4,17,47,26
"2011","E00016515","E00016515","Total",256,72,27,34,4,15,82,22
"2011","E00016516","E00016516","Total",197,48,27,33,2,26,49,12
"2011","E00016517","E00016517","Total",176,35,27,31,2,25,45,11
"2011","E00016518","E00016518","Total",228,61,28,46,5,21,56,11
"2011","E00016519","E00016519","Total",191,36,20,24,4,21,76,10
"2011","E00016520","E00016520","Total",207,74,28,24,6,21,34,20
"2011","E00016521","E00016521","Total",201,62,29,28,5,19,40,18
"2011","E00016522","E00016522","Total",221,72,31,22,3,30,50,13
"2011","E00016523","E00016523","Total",209,50,30,21,1,22,67,18
"2011","E00016524","E00016524","Total",262,44,35,42,11,27,82,21
"2011","E00016525","E00016525","Total",216,71,14,35,6,23,45,22
"2011","E00016526","E00016526","Total",228,78,34,31,7,19,46,13
"2011","E00016527","E00016527","Total",176,22,27,28,2,17,57,23
