OA11CD,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016345,14.285714285714286,5.357142857142857,8.482142857142858,3.125,9.375,55.80357142857143,3.5714285714285716
E00016346,29.743589743589745,22.05128205128205,13.846153846153847,2.5641025641025643,11.282051282051283,12.820512820512821,7.6923076923076925
E00016348,22.285714285714285,16.0,20.0,0.5714285714285714,8.0,21.714285714285715,11.428571428571429
E00016349,28.310502283105023,14.61187214611872,21.004566210045663,0.91324200913242,10.502283105022832,17.35159817351598,7.30593607305936
E00016350,22.17898832684825,19.06614785992218,16.731517509727627,1.9455252918287937,11.673151750972762,20.233463035019454,8.171206225680933
E00016351,26.17801047120419,16.75392670157068,18.06282722513089,2.6178010471204187,9.162303664921465,18.848167539267017,8.37696335078534
E00016352,33.9622641509434,14.150943396226415,17.452830188679247,2.358490566037736,9.433962264150944,15.566037735849056,7.0754716981132075
E00016353,30.042918454935624,14.163090128755364,14.592274678111588,1.2875536480686696,12.446351931330472,20.17167381974249,7.296137339055794
E00016354,42.69662921348315,14.606741573033707,9.55056179775281,5.617977528089888,4.49438202247191,16.853932584269664,6.179775280898877
E00016356,26.666666666666668,18.823529411764707,12.156862745098039,2.3529411764705883,10.980392156862745,16.862745098039216,12.156862745098039
E00016357,31.196581196581196,16.666666666666668,16.23931623931624,2.9914529914529915,10.256410256410257,15.811965811965813,6.837606837606837
E00016358,30.434782608695652,13.043478260869565,11.594202898550725,0.966183574879227,5.314009661835748,24.63768115942029,14.009661835748792
E00016359,30.96234309623431,10.878661087866108,13.389121338912133,2.928870292887029,8.368200836820083,23.84937238493724,9.623430962343097
E00016360,26.112759643916913,12.462908011869436,15.43026706231454,1.4836795252225519,13.353115727002967,23.44213649851632,7.71513353115727
E00016361,28.10810810810811,22.16216216216216,12.432432432432432,3.7837837837837838,9.18918918918919,18.91891891891892,5.405405405405405
E00016362,32.510288065843625,19.753086419753085,14.40329218106996,2.05761316872428,9.053497942386832,19.34156378600823,2.880658436213992
E00016363,25.88235294117647,20.0,13.333333333333334,1.9607843137254901,10.196078431372548,23.137254901960784,5.490196078431373
E00016364,33.333333333333336,16.666666666666668,15.238095238095237,3.3333333333333335,14.285714285714286,11.904761904761905,5.238095238095238
E00016365,42.857142857142854,11.180124223602485,11.801242236024844,1.2422360248447204,7.453416149068323,16.149068322981368,9.316770186335404
E00016366,23.557692307692307,15.865384615384615,19.23076923076923,0.9615384615384616,11.538461538461538,22.596153846153847,6.25
E00016367,35.714285714285715,12.857142857142858,9.285714285714286,5.714285714285714,10.0,20.714285714285715,5.714285714285714
E00016368,18.58407079646018,12.831858407079647,17.699115044247787,3.0973451327433628,10.619469026548673,31.41592920353982,5.752212389380531
E00016369,34.8936170212766,12.340425531914894,17.4468085106383,0.425531914893617,5.531914893617022,21.27659574468085,8.085106382978724
E00016370,31.620553359683793,11.462450592885375,13.438735177865613,0.7905138339920948,11.067193675889328,23.320158102766797,8.300395256916996
