OA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016346,195,58,43,27,5,22,25,15
E00016348,175,39,28,35,1,14,38,20
E00016349,219,62,32,46,2,23,38,16
E00016350,257,57,49,43,5,30,52,21
E00016351,382,100,64,69,10,35,72,32
E00016352,212,72,30,37,5,20,33,15
E00016353,233,70,33,34,3,29,47,17
E00016354,178,76,26,17,10,8,30,11
E00016356,255,68,48,31,6,28,43,31
E00016357,234,73,39,38,7,24,37,16
E00016358,207,63,27,24,2,11,51,29
E00016359,239,74,26,32,7,20,57,23
E00016360,337,88,42,52,5,45,79,26
E00016361,185,52,41,23,7,17,35,10
E00016362,243,79,48,35,5,22,47,7
E00016363,255,66,51,34,5,26,59,14
E00016364,210,70,35,32,7,30,25,11
E00016365,161,69,18,19,2,12,26,15
E00016366,208,49,33,40,2,24,47,13
E00016367,140,50,18,13,8,14,29,8
E00016368,226,42,29,40,7,24,71,13
E00016369,235,82,29,41,1,13,50,19
E00016370,253,80,29,34,2,28,59,21
E00016371,200,65,29,31,4,12,49,10
E00016372,220,62,29,39,5,26,29,30
E00016373,230,84,21,33,4,20,51,17
E00016374,204,57,44,33,10,19,19,22
E00016375,190,40,33,29,3,15,55,15
E00016376,204,68,26,34,3,19,37,17
E00016377,207,68,38,27,7,20,29,18
E00016378,217,72,33,29,4,22,40,17
E00016379,227,81,27,36,5,24,40,14
E00016380,181,69,23,28,0,16,34,11
E00016381,244,63,45,38,2,20,50,26
E00016382,192,78,26,22,3,18,36,9
E00016383,243,78,28,37,4,33,44,19
E00016384,267,50,30,42,4,30,84,27
E00016385,304,104,41,36,8,23,67,25
E00016386,183,64,29,24,1,18,41,6
E00016387,263,75,50,40,3,26,51,18
E00016388,260,65,27,46,13,24,66,19
E00016389,212,76,44,35,4,11,25,17
E00016390,168,53,29,20,1,14,41,10
E00016391,241,51,35,33,8,27,70,17
E00016392,216,61,32,39,4,30,32,18
E00016393,231,68,35,37,8,15,51,17
E00016394,220,80,27,24,6,27,41,15
E00016395,244,44,19,26,3,31,86,35
E00016396,226,68,43,38,0,13,43,21
E00016397,422,44,20,27,2,27,267,35
E00016398,215,38,36,30,2,24,69,16
E00016399,307,87,54,49,9,33,53,22
E00016401,250,37,23,21,3,19,126,21
E00016402,219,55,23,28,4,30,57,22
E00016403,236,31,37,36,3,16,89,24
E00016404,321,50,18,34,4,46,129,40
E00016405,277,33,32,25,4,32,113,38
E00016406,211,52,39,27,2,16,61,14
E00016407,216,15,23,28,5,14,97,34
E00016408,138,5,3,19,2,7,84,18
E00016409,262,62,30,46,5,19,68,32
E00016410,298,42,21,26,3,34,131,41
E00016411,291,25,28,30,3,34,138,33
E00016412,302,59,33,36,3,24,99,48
E00016413,237,61,26,24,2,30,54,40
E00016414,288,68,27,42,4,37,80,30
E00016415,265,63,45,38,6,23,55,35
E00016416,182,42,34,26,1,21,39,19
E00016417,247,68,30,38,4,25,61,21
E00016418,314,51,33,45,3,22,138,22
E00016419,261,69,48,43,2,30,47,22
E00016420,225,71,31,34,1,17,39,32
E00016421,211,73,27,26,2,17,43,23
E00016422,232,61,40,37,3,28,41,22
E00016423,242,55,39,32,1,26,57,32
E00016424,216,50,41,39,4,28,37,17
E00016426,224,52,22,21,1,28,69,31
E00016427,167,45,28,22,0,15,31,26
E00016428,280,38,34,21,2,40,108,37
E00016429,228,32,23,20,2,22,116,13
E00016430,209,57,23,23,7,23,46,30
E00016431,204,45,31,23,2,26,57,20
E00016432,315,53,32,31,1,38,130,30
E00016433,259,72,25,26,3,22,81,30
E00016434,296,67,42,56,0,32,78,21
E00016435,297,66,42,51,6,32,64,36
E00016436,162,32,19,21,1,15,61,13
E00016437,346,66,49,48,2,42,87,52
E00016438,221,10,11,20,0,14,123,43
E00016439,291,47,24,33,5,41,107,34
E00016440,232,41,33,42,1,22,63,30
E00016441,352,60,41,55,4,31,134,27
E00016442,226,38,30,24,2,29,76,27
E00016443,254,18,14,38,8,25,141,10
E00016444,241,25,27,22,2,23,127,15
E00016445,247,37,11,20,2,22,140,15
E00016446,294,30,23,25,4,24,169,19
E00016447,231,40,28,23,3,18,101,18
E00016448,266,23,23,34,4,27,137,18
E00016449,216,29,22,23,3,19,100,20
E00016450,200,17,21,23,2,22,98,17
E00016451,242,22,21,20,3,25,133,18
E00016452,252,32,11,21,6,18,144,20
E00016453,186,19,19,18,1,18,93,18
E00016454,211,27,18,18,4,10,118,16
E00016455,201,27,14,24,4,20,102,10
E00016456,233,32,14,25,3,25,128,6
E00016457,226,17,12,12,0,25,136,24
E00016458,242,33,20,34,6,20,117,12
E00016459,182,18,9,16,0,10,124,5
E00016460,267,51,40,33,1,22,105,15
E00016462,230,10,16,20,1,17,148,18
E00016463,418,57,42,39,1,61,188,30
E00016464,201,39,32,35,1,26,51,17
E00016465,249,105,16,22,2,15,60,29
E00016466,220,24,16,35,3,27,111,4
E00016467,260,25,24,29,5,30,126,21
E00016468,180,25,17,19,3,22,87,7
E00016469,251,40,25,18,3,27,114,24
E00016470,188,31,16,25,2,8,98,8
E00016471,158,25,19,23,5,20,51,15
E00016472,319,68,19,33,2,38,124,35
E00016473,240,39,22,34,3,23,108,11
E00016474,203,27,25,24,4,16,82,25
E00016475,152,34,26,17,0,20,39,16
E00016476,211,41,32,30,2,27,62,17
E00016477,244,34,29,18,3,22,124,14
E00016478,155,37,10,16,4,6,70,12
E00016479,176,31,36,30,0,13,51,15
E00016480,201,37,30,47,2,24,45,16
E00016481,266,26,23,32,3,21,134,27
E00016482,173,34,17,30,1,19,51,21
E00016483,195,25,18,22,0,19,102,9
E00016484,306,29,18,42,3,34,163,17
E00016485,195,47,30,32,4,16,52,14
E00016486,296,33,40,35,4,44,116,24
E00016487,217,40,17,28,3,34,79,16
E00016488,242,24,22,24,4,21,118,29
E00016489,334,29,56,22,4,57,147,19
E00016490,215,15,11,13,5,20,128,23
E00016491,208,26,21,20,4,28,97,12
E00016492,189,34,22,25,2,12,69,25
E00016493,307,63,38,31,6,30,98,41
