OA11CD,Detached houses,Semi-detached houses,Terraced,Flats,Caravan or mobile
E00016179,0.0,0.0,7.03125,92.96875,0.0
E00016180,2.2058823529411766,11.764705882352942,13.970588235294118,72.05882352941177,0.0
E00016187,3.8461538461538463,16.153846153846153,16.923076923076923,63.07692307692308,0.0
E00016189,0.0,3.076923076923077,69.23076923076923,27.692307692307693,0.0
E00016166,3.883495145631068,15.533980582524272,2.912621359223301,77.66990291262135,0.0
E00016167,7.142857142857143,14.285714285714286,46.03174603174603,32.53968253968254,0.0
E00016171,0.0,2.5,13.75,83.75,0.0
E00016174,7.8125,8.59375,58.59375,25.0,0.0
E00016204,0.704225352112676,0.704225352112676,7.746478873239437,90.84507042253522,0.0
E00016206,8.94308943089431,11.382113821138212,9.75609756097561,69.91869918699187,0.0
E00016160,9.848484848484848,9.090909090909092,69.6969696969697,11.363636363636363,0.0
E00016183,3.3057851239669422,5.785123966942149,28.925619834710744,61.98347107438016,0.0
E00016185,10.169491525423728,13.559322033898304,22.88135593220339,53.389830508474574,0.0
E00016191,14.516129032258064,12.903225806451612,20.161290322580644,51.61290322580645,0.8064516129032258
E00016195,7.575757575757576,7.575757575757576,40.15151515151515,44.696969696969695,0.0
