"date","geography","geography code","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"2011","E00004410","E00004410","Total",120,29,45,39,6,1
"2011","E00004415","E00004415","Total",139,25,53,55,6,0
"2011","E00004419","E00004419","Total",126,10,39,71,6,0
"2011","E00004422","E00004422","Total",92,13,26,51,2,0
"2011","E00004428","E00004428","Total",131,11,49,63,7,1
"2011","E00004430","E00004430","Total",125,3,10,103,5,4
"2011","E00004402","E00004402","Total",127,34,32,55,5,1
"2011","E00004420","E00004420","Total",112,45,30,30,6,1
"2011","E00004424","E00004424","Total",117,22,40,49,6,0
"2011","E00004425","E00004425","Total",140,45,42,45,8,0
"2011","E00004426","E00004426","Total",143,33,37,65,7,1
"2011","E00004427","E00004427","Total",117,66,33,18,0,0
"2011","E00004403","E00004403","Total",128,52,43,33,0,0
"2011","E00004405","E00004405","Total",128,41,50,34,3,0
"2011","E00004406","E00004406","Total",117,34,47,31,5,0
"2011","E00004407","E00004407","Total",118,49,40,28,1,0
"2011","E00004408","E00004408","Total",106,52,27,26,0,1
"2011","E00004413","E00004413","Total",101,27,36,35,3,0
"2011","E00004483","E00004483","Total",114,36,21,49,6,2
"2011","E00004485","E00004485","Total",123,20,40,54,8,1
"2011","E00004513","E00004513","Total",102,40,24,34,3,1
"2011","E00004514","E00004514","Total",116,49,19,42,5,1
"2011","E00004516","E00004516","Total",133,43,42,41,7,0
"2011","E00004484","E00004484","Total",112,27,37,41,7,0
"2011","E00004488","E00004488","Total",82,20,15,39,8,0
"2011","E00004512","E00004512","Total",120,6,46,55,9,4
"2011","E00004515","E00004515","Total",121,17,35,60,8,1
"2011","E00004518","E00004518","Total",116,11,29,65,11,0
"2011","E00004519","E00004519","Total",112,32,33,38,8,1
"2011","E00004575","E00004575","Total",184,13,20,135,16,0
"2011","E00004578","E00004578","Total",154,4,24,111,14,1
"2011","E00004580","E00004580","Total",151,5,30,100,15,1
"2011","E00004581","E00004581","Total",101,12,37,42,10,0
"2011","E00004582","E00004582","Total",127,24,29,67,5,2
"2011","E00004593","E00004593","Total",229,21,40,139,25,4
"2011","E00004587","E00004587","Total",121,14,28,63,13,3
"2011","E00004589","E00004589","Total",125,30,40,49,5,1
"2011","E00004590","E00004590","Total",99,14,25,51,7,2
"2011","E00004592","E00004592","Total",99,17,28,46,7,1
"2011","E00004595","E00004595","Total",104,20,29,47,7,1
"2011","E00004596","E00004596","Total",108,16,46,39,7,0
"2011","E00004576","E00004576","Total",140,14,37,61,26,2
"2011","E00004577","E00004577","Total",124,22,37,52,11,2
"2011","E00004579","E00004579","Total",105,18,26,48,12,1
"2011","E00004583","E00004583","Total",142,30,30,68,12,2
"2011","E00004584","E00004584","Total",171,19,24,106,22,0
"2011","E00004323","E00004323","Total",96,8,30,43,13,2
"2011","E00004328","E00004328","Total",95,31,39,19,1,5
"2011","E00004353","E00004353","Total",137,37,76,23,1,0
"2011","E00004354","E00004354","Total",108,47,31,27,1,2
"2011","E00004358","E00004358","Total",114,29,39,36,8,2
"2011","E00004324","E00004324","Total",122,36,37,40,8,1
"2011","E00004325","E00004325","Total",113,24,30,53,6,0
"2011","E00004330","E00004330","Total",146,14,58,68,5,1
"2011","E00004355","E00004355","Total",122,36,32,47,6,1
"2011","E00004361","E00004361","Total",99,38,28,28,4,1
"2011","E00004327","E00004327","Total",140,26,51,55,8,0
"2011","E00004329","E00004329","Total",124,20,35,55,14,0
"2011","E00004356","E00004356","Total",121,35,43,39,4,0
"2011","E00004357","E00004357","Total",118,43,43,23,9,0
"2011","E00004360","E00004360","Total",118,26,50,36,6,0
"2011","E00004322","E00004322","Total",114,53,42,18,1,0
