"date","geography","geography code","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"2011","E00008983","E00008983","Total",135,21,43,62,9,0
"2011","E00008993","E00008993","Total",112,12,33,49,16,2
"2011","E00008995","E00008995","Total",145,15,36,71,21,2
"2011","E00008997","E00008997","Total",161,24,49,76,8,4
"2011","E00008999","E00008999","Total",161,5,31,91,29,5
"2011","E00008649","E00008649","Total",121,9,35,55,18,4
"2011","E00008650","E00008650","Total",149,19,44,71,10,5
"2011","E00008651","E00008651","Total",118,26,36,43,9,4
"2011","E00008654","E00008654","Total",106,45,32,22,6,1
"2011","E00008656","E00008656","Total",105,28,39,32,6,0
"2011","E00008980","E00008980","Total",118,28,24,51,10,5
"2011","E00008990","E00008990","Total",117,10,27,62,17,1
"2011","E00008991","E00008991","Total",142,16,21,78,24,3
"2011","E00008994","E00008994","Total",133,20,40,60,10,3
"2011","E00009117","E00009117","Total",130,46,49,27,8,0
"2011","E00009118","E00009118","Total",135,41,46,37,10,1
"2011","E00009144","E00009144","Total",183,33,47,86,12,5
"2011","E00009146","E00009146","Total",141,28,35,61,15,2
"2011","E00009147","E00009147","Total",107,32,39,30,4,2
"2011","E00009115","E00009115","Total",167,29,37,84,15,2
"2011","E00009116","E00009116","Total",116,19,18,55,22,2
"2011","E00009142","E00009142","Total",124,8,35,61,16,4
"2011","E00009143","E00009143","Total",218,17,44,117,38,2
"2011","E00009145","E00009145","Total",120,3,21,73,22,1
"2011","E00009119","E00009119","Total",161,19,41,81,18,2
"2011","E00009121","E00009121","Total",135,26,38,55,15,1
"2011","E00009123","E00009123","Total",187,20,54,93,17,3
"2011","E00009124","E00009124","Total",159,17,27,95,16,4
"2011","E00008801","E00008801","Total",135,19,27,70,16,3
"2011","E00008818","E00008818","Total",149,11,41,67,26,4
"2011","E00008821","E00008821","Total",134,10,26,74,18,6
"2011","E00008822","E00008822","Total",141,7,36,79,16,3
"2011","E00008824","E00008824","Total",137,5,34,71,22,5
"2011","E00008798","E00008798","Total",174,17,20,102,25,10
"2011","E00008802","E00008802","Total",123,8,39,58,14,4
"2011","E00008803","E00008803","Total",163,13,32,85,28,5
"2011","E00008827","E00008827","Total",125,7,8,90,17,3
"2011","E00176270","E00176270","Total",137,8,23,84,19,3
"2011","E00008792","E00008792","Total",177,16,35,87,28,11
"2011","E00008794","E00008794","Total",144,14,34,73,17,6
"2011","E00008808","E00008808","Total",172,17,33,91,26,5
"2011","E00008815","E00008815","Total",135,25,30,58,19,3
"2011","E00008793","E00008793","Total",176,12,35,110,14,5
"2011","E00008795","E00008795","Total",166,17,27,98,20,4
"2011","E00008799","E00008799","Total",182,24,47,88,20,3
"2011","E00008823","E00008823","Total",125,5,30,60,20,10
"2011","E00008825","E00008825","Total",135,7,23,76,24,5
"2011","E00008796","E00008796","Total",204,25,39,104,28,8
"2011","E00008807","E00008807","Total",153,22,30,82,17,2
"2011","E00176250","E00176250","Total",179,8,24,117,21,9
"2011","E00176332","E00176332","Total",89,8,12,51,16,2
"2011","E00008797","E00008797","Total",235,15,52,138,22,8
"2011","E00008804","E00008804","Total",140,16,26,86,10,2
"2011","E00008806","E00008806","Total",226,13,46,137,24,6
"2011","E00008966","E00008966","Total",136,27,34,52,17,6
"2011","E00008967","E00008967","Total",107,40,26,33,7,1
"2011","E00008968","E00008968","Total",108,31,23,42,8,4
"2011","E00008970","E00008970","Total",119,8,21,67,19,4
"2011","E00008971","E00008971","Total",150,53,26,52,12,7
"2011","E00008942","E00008942","Total",205,34,52,92,22,5
"2011","E00008949","E00008949","Total",132,21,41,54,13,3
"2011","E00008952","E00008952","Total",177,29,38,88,19,3
"2011","E00008953","E00008953","Total",142,36,37,48,17,4
"2011","E00008943","E00008943","Total",192,41,40,80,22,9
"2011","E00008950","E00008950","Total",196,42,49,80,20,5
"2011","E00008951","E00008951","Total",118,35,30,44,7,2
"2011","E00008954","E00008954","Total",150,32,41,58,16,3
"2011","E00008944","E00008944","Total",228,44,58,102,14,10
"2011","E00008945","E00008945","Total",202,49,40,87,19,7
"2011","E00008956","E00008956","Total",141,17,28,69,19,8
"2011","E00008946","E00008946","Total",183,45,34,83,18,3
"2011","E00008955","E00008955","Total",230,11,28,149,39,3
"2011","E00008957","E00008957","Total",170,22,41,91,14,2
"2011","E00008958","E00008958","Total",154,19,38,79,15,3
"2011","E00008658","E00008658","Total",101,25,37,31,3,5
"2011","E00008663","E00008663","Total",133,22,34,54,19,4
"2011","E00008667","E00008667","Total",148,13,29,91,15,0
"2011","E00008670","E00008670","Total",123,20,42,55,6,0
"2011","E00008674","E00008674","Total",202,19,46,118,18,1
"2011","E00008655","E00008655","Total",159,18,43,77,18,3
"2011","E00008660","E00008660","Total",132,24,33,62,10,3
"2011","E00008661","E00008661","Total",206,25,69,101,10,1
"2011","E00008664","E00008664","Total",121,27,30,51,11,2
"2011","E00008668","E00008668","Total",136,31,33,59,11,2
"2011","E00008648","E00008648","Total",124,28,30,50,15,1
"2011","E00008665","E00008665","Total",129,1,30,77,14,7
"2011","E00008669","E00008669","Total",110,23,37,47,1,2
"2011","E00008671","E00008671","Total",147,15,33,80,16,3
"2011","E00008675","E00008675","Total",135,10,25,78,13,9
"2011","E00008677","E00008677","Total",140,9,36,84,11,0
"2011","E00008666","E00008666","Total",201,19,48,104,25,5
"2011","E00008672","E00008672","Total",130,22,41,55,11,1
"2011","E00008673","E00008673","Total",128,46,43,31,8,0
"2011","E00008678","E00008678","Total",122,11,40,55,11,5
"2011","E00008681","E00008681","Total",146,12,19,95,19,1
"2011","E00008682","E00008682","Total",171,19,36,103,10,3
"2011","E00008925","E00008925","Total",88,12,17,37,15,7
"2011","E00008935","E00008935","Total",137,21,40,58,15,3
"2011","E00008936","E00008936","Total",83,11,22,38,11,1
"2011","E00008938","E00008938","Total",85,8,18,41,12,6
"2011","E00008940","E00008940","Total",80,4,24,42,7,3
"2011","E00176227","E00176227","Total",82,6,26,35,14,1
"2011","E00176267","E00176267","Total",162,16,29,83,28,6
"2011","E00008908","E00008908","Total",189,14,34,111,24,6
"2011","E00008910","E00008910","Total",103,14,26,49,11,3
"2011","E00008911","E00008911","Total",112,11,32,49,16,4
"2011","E00008912","E00008912","Total",124,26,31,46,17,4
"2011","E00008914","E00008914","Total",100,12,4,72,9,3
"2011","E00008913","E00008913","Total",136,12,13,84,25,2
"2011","E00008916","E00008916","Total",128,23,22,70,9,4
"2011","E00008918","E00008918","Total",139,10,25,72,24,8
"2011","E00008919","E00008919","Total",152,11,31,83,22,5
"2011","E00008920","E00008920","Total",115,22,20,49,21,3
"2011","E00176226","E00176226","Total",158,19,34,64,30,11
"2011","E00176229","E00176229","Total",126,14,33,58,19,2
"2011","E00176230","E00176230","Total",126,28,26,49,21,2
"2011","E00176231","E00176231","Total",82,3,26,35,15,3
"2011","E00008676","E00008676","Total",117,15,34,47,18,3
"2011","E00008679","E00008679","Total",126,7,21,67,23,8
"2011","E00008680","E00008680","Total",138,15,25,81,15,2
"2011","E00008683","E00008683","Total",114,6,22,67,16,3
"2011","E00008684","E00008684","Total",129,14,27,63,21,4
"2011","E00008691","E00008691","Total",153,30,23,83,13,4
"2011","E00008692","E00008692","Total",176,34,44,75,18,5
"2011","E00008694","E00008694","Total",152,18,53,64,15,2
"2011","E00008695","E00008695","Total",171,31,36,85,15,4
"2011","E00176299","E00176299","Total",149,5,25,84,26,9
"2011","E00176313","E00176313","Total",142,2,22,94,17,7
"2011","E00009120","E00009120","Total",203,14,44,123,18,4
"2011","E00009122","E00009122","Total",178,27,45,91,14,1
"2011","E00009125","E00009125","Total",148,3,25,101,18,1
"2011","E00009126","E00009126","Total",130,14,25,72,16,3
"2011","E00009127","E00009127","Total",140,5,31,86,14,4
"2011","E00009130","E00009130","Total",133,2,32,76,20,3
"2011","E00009113","E00009113","Total",164,10,28,96,23,7
"2011","E00009129","E00009129","Total",135,25,40,55,12,3
"2011","E00009131","E00009131","Total",191,45,39,80,21,6
"2011","E00009132","E00009132","Total",169,11,24,96,31,7
"2011","E00009135","E00009135","Total",141,8,41,75,14,3
"2011","E00009136","E00009136","Total",131,7,29,57,34,4
"2011","E00009114","E00009114","Total",141,30,40,57,12,2
"2011","E00009128","E00009128","Total",158,14,29,88,23,4
"2011","E00009133","E00009133","Total",131,27,33,55,16,0
"2011","E00009137","E00009137","Total",143,7,29,87,18,2
"2011","E00176271","E00176271","Total",163,4,33,101,22,3
"2011","E00176298","E00176298","Total",126,7,23,60,28,8
"2011","E00009134","E00009134","Total",132,21,39,55,14,3
"2011","E00009138","E00009138","Total",121,39,29,39,11,3
"2011","E00009140","E00009140","Total",126,26,32,59,7,2
"2011","E00009141","E00009141","Total",104,12,23,54,15,0
"2011","E00008611","E00008611","Total",159,27,43,72,14,3
"2011","E00008634","E00008634","Total",127,23,38,50,11,5
"2011","E00008636","E00008636","Total",200,11,41,108,33,7
"2011","E00008641","E00008641","Total",94,26,21,32,13,2
"2011","E00008642","E00008642","Total",121,14,48,44,13,2
"2011","E00008906","E00008906","Total",111,29,18,46,16,2
"2011","E00008907","E00008907","Total",107,10,27,54,14,2
"2011","E00008930","E00008930","Total",84,23,21,30,7,3
"2011","E00008937","E00008937","Total",133,20,39,50,20,4
"2011","E00008939","E00008939","Total",134,36,45,33,16,4
"2011","E00008909","E00008909","Total",113,27,35,37,10,4
"2011","E00008915","E00008915","Total",117,29,17,56,13,2
"2011","E00008917","E00008917","Total",153,26,45,63,16,3
"2011","E00008922","E00008922","Total",121,27,25,53,11,5
"2011","E00008924","E00008924","Total",142,38,43,40,15,6
"2011","E00008921","E00008921","Total",142,25,29,63,21,4
"2011","E00008923","E00008923","Total",133,28,34,44,19,8
"2011","E00008926","E00008926","Total",113,32,26,39,15,1
"2011","E00008928","E00008928","Total",112,31,30,45,5,1
"2011","E00008712","E00008712","Total",179,12,41,102,23,1
"2011","E00008714","E00008714","Total",184,10,44,95,27,8
"2011","E00008717","E00008717","Total",109,2,27,52,21,7
"2011","E00008718","E00008718","Total",167,15,44,76,26,6
"2011","E00176258","E00176258","Total",229,2,55,117,39,16
"2011","E00176277","E00176277","Total",90,0,16,61,13,0
"2011","E00008713","E00008713","Total",120,6,36,56,17,5
"2011","E00008715","E00008715","Total",103,5,28,61,7,2
"2011","E00008716","E00008716","Total",97,0,30,50,16,1
"2011","E00008719","E00008719","Total",137,8,36,66,26,1
"2011","E00008720","E00008720","Total",175,12,40,89,30,4
"2011","E00008775","E00008775","Total",125,7,28,63,22,5
"2011","E00008776","E00008776","Total",146,14,35,70,23,4
"2011","E00008777","E00008777","Total",132,15,25,66,23,3
"2011","E00008780","E00008780","Total",116,19,27,52,14,4
"2011","E00008781","E00008781","Total",135,6,31,65,27,6
"2011","E00008778","E00008778","Total",113,9,31,51,20,2
"2011","E00008779","E00008779","Total",191,8,32,112,32,7
"2011","E00008783","E00008783","Total",125,4,38,60,23,0
"2011","E00008784","E00008784","Total",99,3,32,39,19,6
"2011","E00008787","E00008787","Total",119,4,24,75,11,5
"2011","E00008791","E00008791","Total",237,12,50,136,29,10
"2011","E00008756","E00008756","Total",237,20,38,139,35,5
"2011","E00008757","E00008757","Total",142,18,31,58,30,5
"2011","E00008758","E00008758","Total",114,14,21,61,13,5
"2011","E00008782","E00008782","Total",93,10,15,60,7,1
"2011","E00008785","E00008785","Total",83,14,24,34,9,2
"2011","E00008786","E00008786","Total",81,3,7,52,12,7
"2011","E00008761","E00008761","Total",211,14,27,140,23,7
"2011","E00008764","E00008764","Total",133,12,31,64,22,4
"2011","E00008765","E00008765","Total",244,21,44,153,23,3
"2011","E00008766","E00008766","Total",137,5,11,97,19,5
"2011","E00008789","E00008789","Total",144,15,36,74,16,3
"2011","E00008609","E00008609","Total",126,8,35,70,13,0
"2011","E00008621","E00008621","Total",124,12,28,62,18,4
"2011","E00008626","E00008626","Total",129,4,36,59,26,4
"2011","E00008627","E00008627","Total",104,5,35,46,11,7
"2011","E00008630","E00008630","Total",98,8,19,63,7,1
"2011","E00008633","E00008633","Total",188,26,19,118,21,4
"2011","E00176269","E00176269","Total",144,19,26,81,13,5
"2011","E00176274","E00176274","Total",120,6,33,59,18,4
"2011","E00008635","E00008635","Total",213,21,44,119,25,4
"2011","E00008637","E00008637","Total",171,9,42,98,18,4
"2011","E00008638","E00008638","Total",155,10,43,77,20,5
"2011","E00008639","E00008639","Total",184,12,23,117,31,1
"2011","E00008640","E00008640","Total",126,30,29,55,10,2
"2011","E00008759","E00008759","Total",195,6,43,114,28,4
"2011","E00008760","E00008760","Total",159,25,39,63,30,2
"2011","E00008763","E00008763","Total",153,12,27,90,20,4
"2011","E00008788","E00008788","Total",147,11,25,90,17,4
"2011","E00008790","E00008790","Total",111,6,30,54,18,3
"2011","E00008762","E00008762","Total",172,12,42,95,21,2
"2011","E00008767","E00008767","Total",149,15,40,78,11,5
"2011","E00008768","E00008768","Total",206,5,39,134,22,6
"2011","E00008769","E00008769","Total",136,2,28,66,37,3
"2011","E00008770","E00008770","Total",157,18,34,81,18,6
"2011","E00009190","E00009190","Total",122,10,36,45,22,9
"2011","E00009195","E00009195","Total",160,16,36,89,17,2
"2011","E00009198","E00009198","Total",96,17,44,23,12,0
"2011","E00009202","E00009202","Total",71,4,32,31,3,1
"2011","E00009206","E00009206","Total",86,6,15,55,9,1
"2011","E00009191","E00009191","Total",183,22,35,100,22,4
"2011","E00009192","E00009192","Total",156,18,49,59,27,3
"2011","E00176326","E00176326","Total",128,10,35,55,24,4
"2011","E00009203","E00009203","Total",85,16,32,27,8,2
"2011","E00009205","E00009205","Total",56,4,5,43,4,0
"2011","E00009208","E00009208","Total",99,20,27,36,13,3
"2011","E00009209","E00009209","Total",121,10,28,61,18,4
"2011","E00009210","E00009210","Total",184,15,37,104,23,5
"2011","E00009217","E00009217","Total",110,20,23,60,6,1
"2011","E00009194","E00009194","Total",202,8,55,95,33,11
"2011","E00009197","E00009197","Total",113,2,33,59,18,1
"2011","E00009204","E00009204","Total",178,20,35,96,24,3
"2011","E00009207","E00009207","Total",154,17,38,75,21,3
"2011","E00176262","E00176262","Total",136,8,30,69,21,8
"2011","E00176314","E00176314","Total",96,4,18,62,11,1
"2011","E00176315","E00176315","Total",98,7,25,45,18,3
"2011","E00008612","E00008612","Total",132,18,22,70,16,6
"2011","E00008615","E00008615","Total",155,8,21,88,26,12
"2011","E00008618","E00008618","Total",181,4,34,89,48,6
"2011","E00008619","E00008619","Total",141,4,36,66,30,5
"2011","E00176316","E00176316","Total",99,11,13,58,14,3
"2011","E00176335","E00176335","Total",47,2,5,33,6,1
"2011","E00176336","E00176336","Total",108,6,22,67,13,0
"2011","E00008616","E00008616","Total",176,20,34,92,27,3
"2011","E00008617","E00008617","Total",113,19,21,49,20,4
"2011","E00008622","E00008622","Total",142,2,24,84,27,5
"2011","E00008623","E00008623","Total",114,8,21,59,21,5
"2011","E00008624","E00008624","Total",115,13,37,48,12,5
"2011","E00008646","E00008646","Total",141,3,19,93,22,4
"2011","E00008625","E00008625","Total",137,15,27,62,23,10
"2011","E00008628","E00008628","Total",124,15,21,58,26,4
"2011","E00008629","E00008629","Total",143,5,46,60,23,9
"2011","E00008631","E00008631","Total",127,7,23,77,16,4
"2011","E00008632","E00008632","Total",165,1,45,95,18,6
"2011","E00008610","E00008610","Total",142,21,34,65,17,5
"2011","E00008613","E00008613","Total",150,32,26,71,16,5
"2011","E00008620","E00008620","Total",105,16,26,47,14,2
"2011","E00008643","E00008643","Total",128,16,32,62,16,2
"2011","E00008644","E00008644","Total",136,48,31,47,8,2
"2011","E00009179","E00009179","Total",135,1,32,70,28,4
"2011","E00009180","E00009180","Total",144,15,19,96,9,5
"2011","E00009181","E00009181","Total",151,11,35,67,31,7
"2011","E00009182","E00009182","Total",141,5,35,78,20,3
"2011","E00009183","E00009183","Total",134,6,20,66,36,6
"2011","E00009196","E00009196","Total",85,17,17,42,9,0
"2011","E00009212","E00009212","Total",98,7,25,47,16,3
"2011","E00009213","E00009213","Total",202,8,46,102,30,16
"2011","E00009214","E00009214","Total",78,25,16,27,9,1
"2011","E00009218","E00009218","Total",113,8,24,57,18,6
"2011","E00009219","E00009219","Total",100,4,27,50,17,2
"2011","E00008696","E00008696","Total",143,19,40,71,10,3
"2011","E00008700","E00008700","Total",139,15,35,67,20,2
"2011","E00008702","E00008702","Total",135,9,33,76,15,2
"2011","E00176272","E00176272","Total",122,10,25,69,15,3
"2011","E00176280","E00176280","Total",101,11,20,58,12,0
"2011","E00176301","E00176301","Total",118,6,8,87,14,3
"2011","E00176323","E00176323","Total",103,10,11,66,14,2
"2011","E00176324","E00176324","Total",113,1,18,80,14,0
"2011","E00176325","E00176325","Total",116,9,22,75,7,3
"2011","E00008686","E00008686","Total",194,26,45,101,22,0
"2011","E00008704","E00008704","Total",96,11,27,52,6,0
"2011","E00008705","E00008705","Total",153,21,40,74,13,5
"2011","E00008706","E00008706","Total",133,16,31,63,21,2
"2011","E00008709","E00008709","Total",167,37,49,59,17,5
"2011","E00008771","E00008771","Total",68,6,17,33,10,2
"2011","E00008772","E00008772","Total",155,26,36,77,16,0
"2011","E00008773","E00008773","Total",97,10,26,45,10,6
"2011","E00008774","E00008774","Total",102,9,25,58,5,5
"2011","E00176300","E00176300","Total",110,8,27,64,9,2
"2011","E00176319","E00176319","Total",118,22,31,48,16,1
"2011","E00176328","E00176328","Total",92,10,28,40,9,5
"2011","E00009047","E00009047","Total",127,15,30,56,23,3
"2011","E00009049","E00009049","Total",152,41,36,57,16,2
"2011","E00009057","E00009057","Total",122,11,38,54,16,3
"2011","E00009058","E00009058","Total",107,22,24,47,11,3
"2011","E00009064","E00009064","Total",132,49,32,44,6,1
"2011","E00009051","E00009051","Total",120,32,17,63,7,1
"2011","E00009053","E00009053","Total",166,37,50,68,11,0
"2011","E00009054","E00009054","Total",68,6,16,36,9,1
"2011","E00009056","E00009056","Total",136,20,51,53,11,1
"2011","E00009067","E00009067","Total",194,27,51,92,23,1
"2011","E00008685","E00008685","Total",137,17,35,63,19,3
"2011","E00008687","E00008687","Total",96,22,31,29,12,2
"2011","E00008689","E00008689","Total",140,14,27,79,17,3
"2011","E00008707","E00008707","Total",169,24,45,78,18,4
"2011","E00008710","E00008710","Total",119,27,25,63,4,0
"2011","E00008711","E00008711","Total",125,23,20,58,19,5
"2011","E00008723","E00008723","Total",116,8,21,61,21,5
"2011","E00008724","E00008724","Total",250,30,61,113,39,7
"2011","E00008725","E00008725","Total",140,23,32,72,11,2
"2011","E00008728","E00008728","Total",113,19,45,45,3,1
"2011","E00008736","E00008736","Total",163,42,43,63,13,2
"2011","E00008722","E00008722","Total",133,25,44,54,8,2
"2011","E00008726","E00008726","Total",127,44,45,31,7,0
"2011","E00008727","E00008727","Total",136,30,30,60,14,2
"2011","E00008750","E00008750","Total",139,34,44,49,9,3
"2011","E00008753","E00008753","Total",141,39,38,58,5,1
"2011","E00008721","E00008721","Total",156,32,47,66,10,1
"2011","E00008752","E00008752","Total",123,8,47,54,11,3
"2011","E00008754","E00008754","Total",157,28,41,70,17,1
"2011","E00176302","E00176302","Total",79,3,15,45,15,1
"2011","E00176303","E00176303","Total",129,27,36,54,11,1
"2011","E00176320","E00176320","Total",92,9,25,48,10,0
"2011","E00176321","E00176321","Total",81,4,23,37,15,2
"2011","E00176322","E00176322","Total",97,0,17,68,12,0
"2011","E00176330","E00176330","Total",73,5,23,34,9,2
"2011","E00009062","E00009062","Total",147,1,30,92,22,2
"2011","E00009063","E00009063","Total",144,5,33,69,34,3
"2011","E00176216","E00176216","Total",95,9,24,43,16,3
"2011","E00176217","E00176217","Total",108,4,27,64,13,0
"2011","E00176218","E00176218","Total",119,1,29,77,11,1
"2011","E00008698","E00008698","Total",122,15,24,59,20,4
"2011","E00008699","E00008699","Total",205,19,43,114,27,2
"2011","E00176219","E00176219","Total",129,3,27,79,18,2
"2011","E00176220","E00176220","Total",129,4,14,82,22,7
"2011","E00008708","E00008708","Total",147,27,38,67,12,3
"2011","E00176221","E00176221","Total",134,1,29,82,21,1
"2011","E00176287","E00176287","Total",82,6,20,49,6,1
"2011","E00176288","E00176288","Total",177,16,43,105,11,2
"2011","E00176289","E00176289","Total",157,9,16,114,15,3
"2011","E00009048","E00009048","Total",163,9,13,110,26,5
"2011","E00009050","E00009050","Total",170,20,35,87,22,6
"2011","E00176259","E00176259","Total",71,5,8,45,11,2
"2011","E00176265","E00176265","Total",74,18,19,30,5,2
"2011","E00176279","E00176279","Total",136,3,10,105,16,2
"2011","E00009154","E00009154","Total",131,7,36,68,20,0
"2011","E00009155","E00009155","Total",151,25,48,60,17,1
"2011","E00009165","E00009165","Total",147,18,27,87,12,3
"2011","E00009174","E00009174","Total",118,9,23,68,18,0
"2011","E00009175","E00009175","Total",182,14,67,85,16,0
"2011","E00009176","E00009176","Total",128,31,32,56,7,2
"2011","E00009148","E00009148","Total",162,15,65,64,17,1
"2011","E00009160","E00009160","Total",162,23,28,91,17,3
"2011","E00009184","E00009184","Total",131,3,13,84,24,7
"2011","E00009185","E00009185","Total",124,24,30,55,13,2
"2011","E00009186","E00009186","Total",136,23,38,40,24,11
"2011","E00009157","E00009157","Total",109,25,26,53,5,0
"2011","E00009162","E00009162","Total",118,17,18,68,14,1
"2011","E00009163","E00009163","Total",101,13,33,38,13,4
"2011","E00009168","E00009168","Total",89,7,12,58,11,1
"2011","E00009187","E00009187","Total",104,17,14,64,8,1
"2011","E00009188","E00009188","Total",105,44,22,30,8,1
"2011","E00009199","E00009199","Total",116,15,32,50,14,5
"2011","E00009200","E00009200","Total",167,20,47,89,10,1
"2011","E00009216","E00009216","Total",159,22,45,74,16,2
"2011","E00009223","E00009223","Total",85,40,21,19,3,2
"2011","E00176268","E00176268","Total",57,4,12,35,5,1
"2011","E00176286","E00176286","Total",106,28,39,33,6,0
"2011","E00176334","E00176334","Total",122,7,4,103,7,1
"2011","E00009201","E00009201","Total",120,28,21,54,12,5
"2011","E00009215","E00009215","Total",238,10,53,140,32,3
"2011","E00009221","E00009221","Total",69,13,17,31,6,2
"2011","E00009222","E00009222","Total",98,5,21,56,14,2
"2011","E00176285","E00176285","Total",155,30,44,58,20,3
"2011","E00009156","E00009156","Total",218,12,63,115,26,2
"2011","E00009171","E00009171","Total",85,16,23,34,8,4
"2011","E00009172","E00009172","Total",113,9,49,46,8,1
"2011","E00009177","E00009177","Total",120,41,43,34,2,0
"2011","E00009178","E00009178","Total",129,11,38,70,10,0
"2011","E00009149","E00009149","Total",113,12,22,60,17,2
"2011","E00009159","E00009159","Total",128,12,27,66,20,3
"2011","E00009164","E00009164","Total",176,11,46,102,16,1
"2011","E00009166","E00009166","Total",228,1,45,152,25,5
"2011","E00176222","E00176222","Total",127,2,32,78,15,0
"2011","E00176223","E00176223","Total",169,6,32,105,22,4
"2011","E00009152","E00009152","Total",165,13,45,81,24,2
"2011","E00009161","E00009161","Total",117,11,23,62,16,5
"2011","E00009167","E00009167","Total",94,7,28,39,17,3
"2011","E00009170","E00009170","Total",128,13,36,47,28,4
"2011","E00009173","E00009173","Total",127,18,20,61,23,5
"2011","E00009151","E00009151","Total",162,10,45,84,22,1
"2011","E00009153","E00009153","Total",99,25,38,25,10,1
"2011","E00009158","E00009158","Total",135,11,51,56,14,3
"2011","E00009169","E00009169","Total",106,26,36,41,2,1
"2011","E00009065","E00009065","Total",189,16,36,116,18,3
"2011","E00176251","E00176251","Total",106,6,18,66,16,0
"2011","E00176266","E00176266","Total",150,4,31,98,15,2
"2011","E00176304","E00176304","Total",106,2,33,63,8,0
"2011","E00176317","E00176317","Total",112,2,28,70,11,1
"2011","E00176331","E00176331","Total",100,4,27,58,11,0
"2011","E00009069","E00009069","Total",123,8,27,64,20,4
"2011","E00009073","E00009073","Total",147,12,36,66,31,2
"2011","E00009076","E00009076","Total",232,11,49,154,16,2
"2011","E00176333","E00176333","Total",159,10,27,93,25,4
"2011","E00008830","E00008830","Total",108,8,19,62,14,5
"2011","E00008831","E00008831","Total",131,9,24,69,23,6
"2011","E00008838","E00008838","Total",146,20,37,71,14,4
"2011","E00176247","E00176247","Total",74,10,8,39,15,2
"2011","E00008850","E00008850","Total",154,2,37,84,28,3
"2011","E00008851","E00008851","Total",122,6,38,48,24,6
"2011","E00008852","E00008852","Total",167,5,44,97,21,0
"2011","E00008860","E00008860","Total",161,21,35,77,25,3
"2011","E00176241","E00176241","Total",98,3,22,57,14,2
"2011","E00176242","E00176242","Total",173,9,43,106,14,1
"2011","E00008828","E00008828","Total",155,11,38,92,13,1
"2011","E00008840","E00008840","Total",185,16,33,102,32,2
"2011","E00008841","E00008841","Total",140,11,39,68,19,3
"2011","E00008844","E00008844","Total",138,9,34,66,24,5
"2011","E00008848","E00008848","Total",141,10,23,68,30,10
"2011","E00009052","E00009052","Total",140,19,21,72,19,9
"2011","E00009060","E00009060","Total",136,8,23,69,28,8
"2011","E00009066","E00009066","Total",135,12,41,50,23,9
"2011","E00009068","E00009068","Total",121,19,28,58,10,6
"2011","E00009071","E00009071","Total",160,28,35,71,20,6
"2011","E00009045","E00009045","Total",130,22,22,69,15,2
"2011","E00009070","E00009070","Total",93,12,19,39,20,3
"2011","E00009072","E00009072","Total",129,26,32,58,11,2
"2011","E00009075","E00009075","Total",138,21,20,68,25,4
"2011","E00009079","E00009079","Total",109,9,33,53,8,6
"2011","E00009046","E00009046","Total",155,25,12,98,17,3
"2011","E00009074","E00009074","Total",147,14,23,85,20,5
"2011","E00009077","E00009077","Total",197,19,49,82,41,6
"2011","E00009078","E00009078","Total",145,9,23,83,23,7
"2011","E00008731","E00008731","Total",128,18,27,69,11,3
"2011","E00008739","E00008739","Total",166,9,48,82,21,6
"2011","E00176224","E00176224","Total",73,12,22,22,13,4
"2011","E00176233","E00176233","Total",117,7,25,61,19,5
"2011","E00176234","E00176234","Total",266,3,111,128,24,0
"2011","E00176235","E00176235","Total",181,4,71,83,22,1
"2011","E00176236","E00176236","Total",129,9,39,73,7,1
"2011","E00008729","E00008729","Total",139,8,49,57,22,3
"2011","E00008732","E00008732","Total",124,3,32,57,27,5
"2011","E00008734","E00008734","Total",108,13,38,42,12,3
"2011","E00008735","E00008735","Total",157,0,42,79,26,10
"2011","E00008737","E00008737","Total",159,3,41,84,26,5
"2011","E00008740","E00008740","Total",88,3,44,40,1,0
"2011","E00008742","E00008742","Total",175,9,33,102,27,4
"2011","E00008743","E00008743","Total",151,8,43,74,23,3
"2011","E00176237","E00176237","Total",114,10,26,58,17,3
"2011","E00176238","E00176238","Total",102,4,31,57,9,1
"2011","E00176239","E00176239","Total",177,4,48,115,9,1
"2011","E00176240","E00176240","Total",95,1,20,55,15,4
"2011","E00176253","E00176253","Total",88,2,19,56,10,1
"2011","E00176257","E00176257","Total",145,9,25,86,21,4
"2011","E00008744","E00008744","Total",117,9,23,71,12,2
"2011","E00008745","E00008745","Total",203,12,49,114,26,2
"2011","E00008746","E00008746","Total",151,8,32,83,23,5
"2011","E00008747","E00008747","Total",124,9,25,68,19,3
"2011","E00008748","E00008748","Total",129,22,21,61,22,3
"2011","E00008832","E00008832","Total",128,15,25,57,28,3
"2011","E00008839","E00008839","Total",157,22,41,67,21,6
"2011","E00008842","E00008842","Total",93,3,19,55,14,2
"2011","E00008847","E00008847","Total",103,10,33,43,15,2
"2011","E00176248","E00176248","Total",119,9,28,64,16,2
"2011","E00176249","E00176249","Total",116,6,28,71,8,3
