OA11CD,One person household,One family household,Other household types
E00016642,44.26229508196721,37.704918032786885,18.0327868852459
E00016643,52.38095238095238,29.931972789115648,17.687074829931973
E00016630,41.44736842105263,44.078947368421055,14.473684210526315
E00016647,37.086092715231786,40.397350993377486,22.516556291390728
E00016648,39.705882352941174,32.35294117647059,27.941176470588236
E00016649,48.55072463768116,32.608695652173914,18.840579710144926
E00016651,25.0,63.513513513513516,11.486486486486486
E00016629,26.41509433962264,57.861635220125784,15.723270440251572
E00016650,40.98360655737705,43.442622950819676,15.573770491803279
E00016652,48.06201550387597,40.310077519379846,11.627906976744185
E00016654,36.8421052631579,53.38345864661654,9.774436090225564
E00016657,42.44604316546763,52.51798561151079,5.0359712230215825
E00016633,37.61467889908257,38.53211009174312,23.853211009174313
E00016636,51.8796992481203,38.34586466165413,9.774436090225564
E00016638,47.61904761904762,34.523809523809526,17.857142857142858
E00016639,36.5,55.5,8.0
E00016674,37.704918032786885,45.90163934426229,16.39344262295082
E00174018,56.41025641025641,33.333333333333336,10.256410256410257
E00174019,41.666666666666664,40.476190476190474,17.857142857142858
E00174021,43.63636363636363,41.81818181818182,14.545454545454545
E00016628,34.22818791946309,47.651006711409394,18.120805369127517
E00016637,36.597938144329895,43.29896907216495,20.103092783505154
E00174024,38.59649122807018,35.08771929824562,26.31578947368421
E00174029,34.82142857142857,40.17857142857143,25.0
E00174030,45.45454545454545,42.72727272727273,11.818181818181818
E00016644,26.442307692307693,56.25,17.307692307692307
E00016645,39.411764705882355,47.05882352941177,13.529411764705882
E00016646,29.479768786127167,56.64739884393064,13.872832369942197
E00016584,28.326180257510728,47.63948497854077,24.034334763948497
E00016596,24.603174603174605,56.34920634920635,19.047619047619047
E00016598,38.59649122807018,46.05263157894737,15.350877192982455
E00016623,45.08670520231214,39.30635838150289,15.606936416184972
E00174036,41.23711340206186,41.23711340206186,17.52577319587629
E00174038,37.36842105263158,36.8421052631579,25.789473684210527
E00016585,41.791044776119406,47.76119402985075,10.447761194029852
E00016593,48.36065573770492,44.67213114754098,6.967213114754099
E00016600,22.22222222222222,72.22222222222223,5.555555555555555
E00016602,25.56390977443609,70.67669172932331,3.7593984962406015
E00016624,42.63565891472868,48.83720930232558,8.527131782945736
E00016625,28.776978417266186,58.273381294964025,12.949640287769784
E00016587,29.891304347826086,55.43478260869565,14.673913043478262
E00016594,32.48407643312102,55.4140127388535,12.101910828025478
E00016605,29.834254143646408,52.48618784530387,17.679558011049725
E00016608,28.571428571428573,56.043956043956044,15.384615384615385
E00016626,25.925925925925927,62.22222222222222,11.851851851851851
