OA11CD,Rural Urban,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of all cars or vans in the area
E00016818,Total,130,67,45,15,3,0,84
E00016819,Total,112,52,39,16,3,2,89
E00016778,Total,140,77,54,9,0,0,72
E00016788,Total,117,59,49,6,2,1,71
E00016791,Total,125,72,46,6,1,0,61
E00016800,Total,112,70,34,5,1,2,55
E00016820,Total,106,70,26,9,1,0,47
E00016823,Total,122,59,56,7,0,0,70
E00016300,Total,148,87,54,3,4,0,72
E00016310,Total,91,23,54,11,3,0,85
E00016312,Total,140,67,51,19,1,2,100
E00016343,Total,137,30,76,23,6,2,148
E00016344,Total,193,96,74,22,1,0,121
E00016301,Total,162,51,86,19,4,2,147
E00016302,Total,120,48,60,12,0,0,84
E00016316,Total,119,25,60,26,5,3,139
E00016338,Total,169,60,92,12,5,0,131
E00016342,Total,108,40,49,15,1,3,96
E00016303,Total,162,68,78,15,1,0,111
E00016304,Total,156,69,73,14,0,0,101
E00016313,Total,106,56,38,9,2,1,66
E00016318,Total,127,43,68,14,2,0,102
E00016345,Total,122,43,64,11,4,0,98
E00016307,Total,166,98,53,12,3,0,86
E00016314,Total,129,74,43,10,1,1,70
E00016319,Total,120,74,41,4,0,1,53
E00016321,Total,159,97,42,17,2,1,86
E00016322,Total,168,91,69,7,1,0,86
E00016305,Total,116,57,46,10,3,0,75
E00016306,Total,170,98,56,14,2,0,90
E00016308,Total,145,75,60,10,0,0,80
E00016315,Total,194,94,82,14,4,0,122
E00016317,Total,119,41,60,12,5,1,111
E00016320,Total,122,43,70,9,0,0,88
E00016779,Total,88,41,37,8,2,0,59
E00016789,Total,144,50,68,22,4,0,124
E00016797,Total,144,36,72,31,4,1,150
E00016798,Total,152,87,44,18,2,1,91
E00016821,Total,160,72,62,23,1,2,119
E00016780,Total,156,87,61,7,0,1,79
E00016782,Total,174,95,63,13,2,1,99
E00016790,Total,91,67,19,5,0,0,29
E00016792,Total,170,134,32,4,0,0,40
E00016795,Total,114,49,57,6,2,0,75
E00016783,Total,154,78,61,13,2,0,93
E00016802,Total,161,73,69,18,1,0,108
E00016807,Total,194,121,59,11,2,1,91
E00016809,Total,157,79,64,12,2,0,94
E00016810,Total,144,77,50,14,3,0,87
E00016784,Total,123,67,40,15,1,0,73
E00016811,Total,134,74,45,11,4,0,79
E00016812,Total,117,48,55,10,4,0,87
E00016816,Total,104,58,40,6,0,0,52
E00016817,Total,115,55,44,12,2,2,83
E00016785,Total,110,79,26,4,0,1,38
E00016786,Total,98,40,52,4,1,1,67
E00016787,Total,274,197,73,3,0,1,83
E00016822,Total,129,77,45,5,0,2,65
E00016824,Total,102,52,42,7,1,0,59
E00016445,Total,128,47,71,10,0,0,91
E00016448,Total,124,21,64,30,9,0,151
E00016452,Total,118,24,51,37,4,2,145
E00016454,Total,119,44,49,24,2,0,103
E00016455,Total,113,44,57,11,1,0,82
E00016446,Total,167,87,72,6,1,1,91
E00016453,Total,120,66,45,7,2,0,65
E00016456,Total,128,58,58,10,1,1,85
E00016457,Total,135,77,50,7,1,0,67
E00016462,Total,149,79,60,8,2,0,82
E00173944,Total,131,85,43,2,1,0,50
E00173945,Total,134,89,39,6,0,0,51
E00016444,Total,111,31,48,23,7,2,129
E00016484,Total,136,30,66,33,7,0,153
E00016485,Total,117,75,36,4,2,0,50
E00016488,Total,113,20,67,21,4,1,126
E00016489,Total,204,59,123,18,4,0,171
E00016443,Total,129,30,71,25,3,0,130
E00016483,Total,110,51,49,8,2,0,71
E00016486,Total,137,37,70,24,5,1,138
E00016487,Total,123,51,50,13,7,2,110
E00016491,Total,120,43,61,10,6,0,99
E00016449,Total,127,64,49,11,3,0,80
E00016450,Total,122,77,38,5,2,0,54
E00016451,Total,129,52,50,19,8,0,112
E00016490,Total,131,52,62,10,6,1,106
E00016492,Total,115,63,45,6,0,1,63
E00016281,Total,135,43,71,20,1,0,114
E00016290,Total,122,48,57,14,3,0,94
E00016292,Total,107,34,54,13,5,1,100
E00016293,Total,123,39,52,30,2,0,118
E00016295,Total,135,37,77,15,4,2,128
E00016258,Total,132,35,63,28,5,1,138
E00016259,Total,130,52,55,20,2,1,105
E00016298,Total,139,26,70,33,6,4,170
E00016299,Total,138,42,68,25,2,1,128
E00016274,Total,116,47,52,15,2,0,88
E00016276,Total,150,83,59,6,1,1,78
E00016277,Total,124,49,55,13,5,2,104
E00016278,Total,104,37,44,17,5,1,97
E00016285,Total,110,42,46,20,2,0,92
E00016256,Total,121,41,56,22,2,0,106
E00016284,Total,114,32,44,27,8,3,135
E00016286,Total,136,37,68,26,4,1,136
E00016296,Total,120,44,56,14,5,1,103
E00016297,Total,138,59,54,20,4,1,110
E00016275,Total,159,77,63,13,3,3,111
E00016279,Total,112,37,51,16,7,1,108
E00016280,Total,102,28,52,20,2,0,98
E00016283,Total,135,37,80,12,4,2,124
E00016287,Total,118,40,51,24,3,0,108
E00016513,Total,131,49,60,15,6,1,112
E00016514,Total,125,72,43,10,0,0,63
E00016515,Total,129,55,46,21,0,7,117
E00016516,Total,111,51,49,8,2,1,75
E00016519,Total,112,38,50,17,6,1,106
E00016521,Total,131,68,54,8,1,0,73
E00016493,Total,161,64,86,11,0,0,108
E00016499,Total,119,31,53,25,8,2,135
E00016502,Total,107,34,51,20,0,2,99
E00016503,Total,109,46,55,8,0,0,71
E00016507,Total,103,33,53,15,2,0,89
E00016540,Total,119,29,58,27,4,1,128
E00016498,Total,227,61,109,48,6,3,235
E00016500,Total,127,68,43,10,4,2,83
E00016505,Total,156,85,56,14,1,0,87
E00016541,Total,137,22,68,33,10,4,182
E00016494,Total,156,56,71,25,4,0,133
E00016495,Total,109,40,58,11,0,0,80
E00016501,Total,149,27,69,39,13,1,190
E00016508,Total,139,31,68,31,9,0,157
E00016511,Total,125,29,57,29,9,1,146
E00016504,Total,115,6,54,40,7,8,188
E00016506,Total,133,11,75,39,8,0,177
E00016509,Total,158,28,70,40,15,5,215
E00016510,Total,107,15,52,32,4,4,150
E00016512,Total,124,29,53,32,7,3,151
E00016750,Total,116,46,53,17,0,0,87
E00016752,Total,130,34,64,23,7,2,141
E00016753,Total,108,40,52,15,1,0,85
E00016758,Total,141,80,51,8,2,0,73
E00016763,Total,132,49,61,19,3,0,108
E00016738,Total,172,80,69,16,4,3,125
E00016739,Total,119,42,60,14,3,0,97
E00016740,Total,140,52,76,10,2,0,102
E00016749,Total,127,46,65,14,2,0,99
E00016755,Total,176,94,56,23,3,0,111
E00016745,Total,160,53,90,15,2,0,126
E00016746,Total,148,62,64,20,2,0,110
E00016751,Total,127,56,52,17,1,1,93
E00016754,Total,131,53,62,15,1,0,95
E00016757,Total,117,34,64,16,2,1,108
E00016732,Total,165,93,58,14,0,0,86
E00016735,Total,152,58,73,18,2,1,120
E00016741,Total,132,64,54,12,1,1,85
E00016742,Total,150,72,66,11,1,0,91
E00016733,Total,130,43,65,16,6,0,115
E00016734,Total,118,43,62,11,1,1,91
E00016743,Total,117,36,59,17,4,1,109
E00016744,Total,130,43,59,23,5,0,120
E00016747,Total,114,66,42,5,1,0,55
E00016261,Total,119,35,61,20,1,2,112
E00016282,Total,145,57,63,20,5,0,118
E00016288,Total,179,63,97,16,2,1,139
E00016289,Total,125,49,54,19,3,0,101
E00016294,Total,121,35,47,29,9,1,136
E00016260,Total,139,35,70,24,8,2,157
E00016262,Total,110,41,51,17,0,1,89
E00016266,Total,132,35,63,25,7,2,142
E00016267,Total,102,31,47,20,3,1,100
E00016271,Total,148,33,75,29,9,2,168
E00016257,Total,147,48,71,25,2,1,131
E00016263,Total,99,42,35,16,5,1,86
E00016265,Total,186,72,93,17,2,2,142
E00016268,Total,170,65,64,30,10,1,159
E00016291,Total,167,97,52,14,4,0,92
E00016264,Total,115,22,55,31,4,3,142
E00016269,Total,125,31,57,32,4,1,137
E00016270,Total,100,20,41,25,11,3,137
E00016272,Total,131,43,55,27,5,1,128
E00016273,Total,132,34,50,30,15,3,167
E00016930,Total,216,63,105,39,3,6,219
E00016946,Total,149,58,59,21,9,2,136
E00016952,Total,119,64,44,9,2,0,68
E00016964,Total,114,50,47,13,2,2,89
E00016929,Total,111,46,50,9,4,2,90
E00016931,Total,103,42,52,8,1,0,71
E00016932,Total,110,52,45,12,1,0,72
E00016954,Total,93,41,41,10,1,0,64
E00016961,Total,124,53,51,14,5,1,99
E00016933,Total,168,55,83,22,8,0,151
E00016953,Total,130,79,43,8,0,0,59
E00016957,Total,110,39,55,15,1,0,88
E00016960,Total,107,53,45,8,1,0,64
E00016966,Total,77,25,40,11,1,0,65
E00016940,Total,101,34,42,22,3,0,95
E00016941,Total,134,35,71,21,5,2,136
E00016942,Total,118,38,60,17,3,0,103
E00016943,Total,123,61,49,12,1,0,76
E00016944,Total,118,32,62,18,5,1,117
E00016945,Total,107,42,54,11,0,0,76
E00016728,Total,113,65,35,8,5,0,66
E00016764,Total,110,58,34,16,1,1,73
E00016766,Total,139,77,46,11,2,3,87
E00016768,Total,143,87,46,8,2,0,68
E00016772,Total,140,60,64,14,2,0,98
E00016737,Total,113,57,35,19,1,1,80
E00016748,Total,132,82,40,9,1,0,61
E00016756,Total,115,63,49,2,1,0,56
E00016760,Total,145,98,37,9,0,1,59
E00173704,Total,112,77,29,5,0,1,43
E00173705,Total,66,37,25,4,0,0,33
