OA11CD,No cars or vans,One car or van,Two cars or vans,Three cars or vans,Four cars or vans
E00016790,73.62637362637362,20.87912087912088,5.4945054945054945,0.0,0.0
E00016792,78.82352941176471,18.823529411764707,2.3529411764705883,0.0,0.0
E00016795,42.98245614035088,50.0,5.2631578947368425,1.7543859649122806,0.0
E00016783,50.64935064935065,39.61038961038961,8.441558441558442,1.2987012987012987,0.0
E00016802,45.3416149068323,42.857142857142854,11.180124223602485,0.6211180124223602,0.0
E00016807,62.371134020618555,30.412371134020617,5.670103092783505,1.0309278350515463,0.5154639175257731
E00016809,50.318471337579616,40.76433121019108,7.643312101910828,1.2738853503184713,0.0
E00016810,53.47222222222222,34.72222222222222,9.722222222222221,2.0833333333333335,0.0
E00016784,54.47154471544715,32.520325203252035,12.195121951219512,0.8130081300813008,0.0
E00016811,55.223880597014926,33.582089552238806,8.208955223880597,2.985074626865672,0.0
E00016812,41.02564102564103,47.00854700854701,8.547008547008547,3.4188034188034186,0.0
E00016816,55.76923076923077,38.46153846153846,5.769230769230769,0.0,0.0
E00016817,47.82608695652174,38.26086956521739,10.434782608695652,1.7391304347826086,1.7391304347826086
E00016785,71.81818181818181,23.636363636363637,3.6363636363636362,0.0,0.9090909090909091
E00016786,40.816326530612244,53.06122448979592,4.081632653061225,1.0204081632653061,1.0204081632653061
E00016787,71.89781021897811,26.642335766423358,1.094890510948905,0.0,0.36496350364963503
E00016822,59.689922480620154,34.883720930232556,3.875968992248062,0.0,1.550387596899225
E00016824,50.98039215686274,41.1764705882353,6.862745098039215,0.9803921568627451,0.0
E00016445,36.71875,55.46875,7.8125,0.0,0.0
E00016448,16.93548387096774,51.61290322580645,24.193548387096776,7.258064516129032,0.0
E00016452,20.338983050847457,43.220338983050844,31.35593220338983,3.389830508474576,1.694915254237288
E00016454,36.97478991596638,41.1764705882353,20.168067226890756,1.680672268907563,0.0
E00016455,38.93805309734513,50.442477876106196,9.734513274336283,0.8849557522123894,0.0
E00016446,52.09580838323353,43.11377245508982,3.592814371257485,0.5988023952095808,0.5988023952095808
E00016453,55.0,37.5,5.833333333333333,1.6666666666666667,0.0
E00016456,45.3125,45.3125,7.8125,0.78125,0.78125
E00016457,57.03703703703704,37.03703703703704,5.185185185185185,0.7407407407407407,0.0
E00016462,53.02013422818792,40.26845637583892,5.369127516778524,1.342281879194631,0.0
E00173944,64.8854961832061,32.82442748091603,1.5267175572519085,0.7633587786259542,0.0
E00173945,66.41791044776119,29.104477611940297,4.477611940298507,0.0,0.0
E00016444,27.92792792792793,43.24324324324324,20.72072072072072,6.306306306306307,1.8018018018018018
E00016484,22.058823529411764,48.529411764705884,24.264705882352942,5.147058823529412,0.0
E00016485,64.1025641025641,30.76923076923077,3.4188034188034186,1.7094017094017093,0.0
E00016488,17.699115044247787,59.29203539823009,18.58407079646018,3.5398230088495577,0.8849557522123894
E00016489,28.92156862745098,60.294117647058826,8.823529411764707,1.9607843137254901,0.0
E00016443,23.25581395348837,55.03875968992248,19.37984496124031,2.3255813953488373,0.0
E00016483,46.36363636363637,44.54545454545455,7.2727272727272725,1.8181818181818181,0.0
E00016486,27.00729927007299,51.09489051094891,17.51824817518248,3.6496350364963503,0.7299270072992701
E00016487,41.46341463414634,40.65040650406504,10.56910569105691,5.691056910569106,1.6260162601626016
E00016491,35.833333333333336,50.833333333333336,8.333333333333334,5.0,0.0
E00016449,50.39370078740158,38.58267716535433,8.661417322834646,2.3622047244094486,0.0
E00016450,63.114754098360656,31.147540983606557,4.098360655737705,1.639344262295082,0.0
E00016451,40.310077519379846,38.75968992248062,14.728682170542635,6.2015503875969,0.0
E00016490,39.69465648854962,47.32824427480916,7.633587786259542,4.580152671755725,0.7633587786259542
E00016492,54.78260869565217,39.130434782608695,5.217391304347826,0.0,0.8695652173913043
E00016281,31.85185185185185,52.592592592592595,14.814814814814815,0.7407407407407407,0.0
E00016290,39.34426229508197,46.721311475409834,11.475409836065573,2.459016393442623,0.0
E00016292,31.77570093457944,50.467289719626166,12.149532710280374,4.672897196261682,0.9345794392523364
E00016293,31.70731707317073,42.27642276422764,24.390243902439025,1.6260162601626016,0.0
E00016295,27.40740740740741,57.03703703703704,11.11111111111111,2.962962962962963,1.4814814814814814
E00016258,26.515151515151516,47.72727272727273,21.21212121212121,3.787878787878788,0.7575757575757576
