OA11CD,Rural Urban,All categories: Occupancy rating bedrooms,Occupancy rating (bedrooms) of +2 or more,Occupancy rating (bedrooms) of +1,Occupancy rating (bedrooms) of 0,Occupancy rating (bedrooms) of -1,Occupancy rating (bedrooms) of -2 or less
E00016120,Total,110,16,34,43,15,2
E00016122,Total,120,22,44,35,13,6
E00016124,Total,112,22,36,44,7,3
E00016125,Total,120,22,35,51,8,4
E00016114,Total,106,22,34,37,9,4
E00016128,Total,133,32,43,39,17,2
E00016130,Total,132,24,36,56,12,4
E00016133,Total,119,20,41,39,17,2
E00016135,Total,135,17,24,75,18,1
E00016948,Total,146,16,31,76,21,2
E00016949,Total,130,14,43,63,8,2
E00016951,Total,126,10,27,75,12,2
E00016955,Total,128,16,37,58,13,4
E00016956,Total,108,9,29,51,18,1
E00016950,Total,110,54,21,29,4,2
E00016967,Total,115,41,37,28,7,2
E00016968,Total,118,54,29,29,6,0
E00016969,Total,115,22,38,46,8,1
E00016971,Total,113,37,28,35,11,2
E00016928,Total,132,24,46,44,15,3
E00016947,Total,141,0,69,54,16,2
E00016958,Total,122,31,30,48,10,3
E00016963,Total,124,50,33,29,12,0
E00016937,Total,151,60,48,33,8,2
E00016959,Total,108,46,41,15,6,0
E00016962,Total,190,25,38,104,21,2
E00016965,Total,142,17,22,87,16,0
E00016970,Total,144,26,35,63,16,4
E00016934,Total,126,31,45,36,12,2
E00016935,Total,157,51,52,43,11,0
E00016936,Total,125,48,42,28,5,2
E00016938,Total,102,35,33,23,6,5
E00016939,Total,122,41,34,38,8,1
E00016496,Total,121,5,58,47,10,1
E00016517,Total,97,20,30,34,11,2
E00016518,Total,133,23,41,60,9,0
E00016523,Total,120,16,30,65,9,0
E00016524,Total,131,33,39,48,10,1
E00016525,Total,126,37,29,53,6,1
E00016497,Total,120,14,42,50,10,4
E00016527,Total,103,6,34,49,9,5
E00016528,Total,113,2,43,54,14,0
E00016531,Total,127,39,45,28,14,1
E00016532,Total,105,9,25,56,15,0
E00016535,Total,112,11,33,51,16,1
E00016520,Total,124,22,32,59,10,1
E00016522,Total,146,12,31,88,14,1
E00016526,Total,141,16,26,88,7,4
E00016529,Total,115,16,46,40,13,0
E00016530,Total,118,9,49,44,14,2
E00016533,Total,113,31,39,32,8,3
E00016534,Total,110,48,34,23,4,1
E00016536,Total,115,37,42,31,3,2
E00016537,Total,106,27,37,33,9,0
E00016538,Total,121,27,35,45,14,0
E00016539,Total,146,31,39,64,12,0
E00016830,Total,139,52,42,40,4,1
E00016839,Total,117,13,62,34,7,1
E00016845,Total,136,28,53,47,8,0
E00016872,Total,140,46,41,44,5,4
E00016873,Total,134,10,45,57,19,3
E00016838,Total,129,1,25,78,21,4
E00016840,Total,126,54,37,25,7,3
E00016847,Total,105,6,27,53,16,3
E00016852,Total,87,25,22,37,3,0
E00016858,Total,99,5,24,57,11,2
E00016874,Total,116,8,25,76,6,1
E00016826,Total,116,25,36,41,14,0
E00016831,Total,112,19,29,53,10,1
E00016832,Total,125,21,31,64,9,0
E00016833,Total,121,68,34,14,3,2
E00016875,Total,98,29,22,28,16,3
E00016828,Total,114,15,43,50,5,1
E00016850,Total,92,12,30,41,8,1
E00016854,Total,120,32,38,43,7,0
E00016855,Total,111,7,45,48,11,0
E00016857,Total,126,20,31,61,13,1
E00016878,Total,116,19,27,57,10,3
E00016827,Total,134,19,37,62,12,4
E00016834,Total,139,18,41,67,12,1
E00016842,Total,100,18,28,42,8,4
E00016856,Total,188,10,39,112,26,1
E00016876,Total,106,14,29,55,8,0
E00016877,Total,111,0,36,59,15,1
E00016115,Total,125,19,28,66,11,1
E00016136,Total,119,23,34,52,7,3
E00016137,Total,129,29,35,47,14,4
E00016138,Total,122,9,25,59,27,2
E00016139,Total,129,21,35,51,20,2
E00016116,Total,134,30,60,35,7,2
E00016129,Total,141,5,64,54,15,3
E00016142,Total,140,17,31,67,21,4
E00016144,Total,119,5,30,66,16,2
E00016145,Total,137,5,20,74,35,3
E00016150,Total,138,3,36,72,24,3
E00016117,Total,147,9,62,55,17,4
E00016132,Total,127,8,57,51,10,1
E00016143,Total,113,32,34,40,5,2
E00016147,Total,153,11,48,66,26,2
E00016153,Total,125,5,52,58,10,0
E00016141,Total,118,22,36,47,11,2
E00016146,Total,127,26,25,62,10,4
E00016148,Total,127,15,41,56,10,5
E00016149,Total,132,4,22,84,20,2
E00016151,Total,112,11,34,51,14,2
E00016152,Total,125,2,23,77,18,5
E00016843,Total,106,19,44,31,11,1
E00016863,Total,146,24,28,82,11,1
E00016868,Total,128,12,31,73,11,1
E00016870,Total,139,37,39,50,10,3
E00016871,Total,119,35,36,39,7,2
E00016848,Total,98,47,16,28,3,4
E00016859,Total,146,62,43,29,6,6
E00016861,Total,181,20,60,79,9,13
E00016862,Total,141,28,50,49,9,5
E00016866,Total,148,34,43,49,14,8
E00016829,Total,135,7,36,74,16,2
E00016851,Total,134,62,40,28,4,0
E00016860,Total,155,19,37,80,18,1
E00016864,Total,154,7,62,73,10,2
E00016867,Total,132,21,52,54,4,1
E00016869,Total,123,5,23,82,8,5
E00016835,Total,151,18,46,72,13,2
E00016837,Total,125,16,53,40,15,1
E00016846,Total,140,16,51,61,10,2
E00016849,Total,102,6,26,46,14,10
E00016865,Total,139,31,49,45,9,5
E00016825,Total,113,15,16,61,20,1
E00016836,Total,124,61,30,26,6,1
E00016841,Total,130,19,24,71,11,5
E00016844,Total,111,31,40,34,5,1
E00016853,Total,116,13,34,55,13,1
E00016350,Total,133,18,42,60,13,0
E00016369,Total,132,15,52,50,11,4
E00016370,Total,144,8,64,62,8,2
E00016371,Total,119,14,44,42,18,1
E00016374,Total,120,15,44,44,17,0
E00016352,Total,110,17,32,45,13,3
E00016373,Total,123,35,32,44,8,4
E00016378,Total,125,17,43,48,15,2
E00016381,Total,143,20,51,55,17,0
E00016382,Total,107,18,43,35,11,0
E00016348,Total,91,7,31,40,11,2
E00016372,Total,118,14,39,49,13,3
E00016375,Total,105,11,39,44,11,0
E00016377,Total,120,12,42,55,10,1
E00016379,Total,131,20,40,61,9,1
E00016349,Total,125,15,46,41,22,1
E00016351,Total,196,18,58,83,34,3
E00016376,Total,111,16,44,36,13,2
E00016383,Total,132,21,47,49,13,2
E00016356,Total,136,12,40,68,13,3
E00016387,Total,146,28,43,59,14,2
E00016393,Total,118,13,44,48,12,1
E00165790,Total,108,7,46,36,18,1
E00016361,Total,104,29,20,49,5,1
E00016363,Total,139,36,40,51,11,1
E00016366,Total,99,44,28,22,4,1
E00016367,Total,81,28,21,29,2,1
E00016368,Total,100,45,36,17,1,1
E00016353,Total,117,9,36,54,16,2
E00016360,Total,194,21,62,91,18,2
E00016380,Total,100,13,35,38,12,2
E00016389,Total,110,16,40,39,12,3
E00016390,Total,85,16,35,24,9,1
E00016392,Total,119,13,24,71,11,0
E00016359,Total,120,40,29,40,8,3
E00016384,Total,121,47,37,24,9,4
E00016385,Total,177,22,36,96,19,4
E00016386,Total,145,7,11,115,12,0
E00016388,Total,132,52,45,27,7,1
E00016346,Total,106,15,45,35,11,0
E00016354,Total,104,12,26,55,8,3
E00016357,Total,131,24,34,56,17,0
E00016358,Total,122,23,30,52,16,1
E00016391,Total,118,50,37,26,4,1
E00016362,Total,131,26,53,37,13,2
E00016364,Total,126,9,64,34,17,2
E00016365,Total,109,8,31,62,8,0
E00016394,Total,120,20,40,50,9,1
E00165789,Total,158,10,17,115,16,0
E00016678,Total,105,7,33,41,20,4
E00016722,Total,150,3,30,80,29,8
E00016724,Total,110,11,26,48,22,3
E00016727,Total,110,21,28,44,12,5
E00016676,Total,96,17,23,44,10,2
E00016685,Total,127,11,33,60,21,2
E00016690,Total,128,9,31,69,15,4
E00016691,Total,108,13,31,46,11,7
E00016726,Total,102,4,18,58,18,4
E00016688,Total,107,41,29,21,9,7
E00016695,Total,108,22,31,41,8,6
E00016705,Total,124,3,24,82,10,5
E00016710,Total,124,12,37,47,23,5
E00016712,Total,97,13,19,44,17,4
E00016682,Total,129,8,18,87,12,4
E00016686,Total,133,28,39,37,21,8
E00016699,Total,126,6,26,70,17,7
E00016702,Total,186,23,15,130,15,3
E00016707,Total,183,11,43,96,24,9
E00016711,Total,146,2,36,85,20,3
E00016696,Total,104,9,31,45,14,5
E00016698,Total,160,9,36,84,29,2
E00016703,Total,112,6,30,61,13,2
E00016713,Total,223,2,21,166,29,5
E00165804,Total,112,10,31,59,12,0
