OA11CD,Rural Urban,All categories: Occupancy rating bedrooms,Occupancy rating (bedrooms) of +2 or more,Occupancy rating (bedrooms) of +1,Occupancy rating (bedrooms) of 0,Occupancy rating (bedrooms) of -1,Occupancy rating (bedrooms) of -2 or less
E00016244,Total,128,17,35,42,20,14
E00016250,Total,141,13,35,66,26,1
E00174011,Total,53,3,11,33,4,2
E00174032,Total,132,13,24,56,12,27
E00174033,Total,41,9,12,10,7,3
E00016216,Total,171,20,49,81,21,0
E00016236,Total,204,12,48,119,21,4
E00016246,Total,137,18,37,57,18,7
E00016248,Total,174,17,29,114,12,2
E00016252,Total,164,22,48,75,16,3
E00016214,Total,162,36,35,69,20,2
E00016215,Total,135,32,25,49,25,4
E00016217,Total,186,30,51,88,17,0
E00016237,Total,112,50,29,22,9,2
E00016247,Total,140,18,51,64,7,0
E00016253,Total,132,23,27,62,18,2
E00016209,Total,158,22,31,73,19,13
E00016235,Total,145,8,26,83,28,0
E00016238,Total,181,30,40,89,16,6
E00173941,Total,105,12,23,44,22,4
E00173942,Total,77,10,14,34,16,3
E00016881,Total,104,13,23,48,16,4
E00016915,Total,143,6,29,74,25,9
E00016916,Total,142,13,28,72,17,12
E00016920,Total,126,6,26,70,19,5
E00173950,Total,117,4,27,76,10,0
E00173951,Total,139,7,30,83,18,1
E00016921,Total,131,18,28,72,11,2
E00016922,Total,144,26,34,70,13,1
E00016923,Total,156,28,39,76,11,2
E00016925,Total,199,63,42,79,11,4
E00016926,Total,133,27,36,42,22,6
E00016917,Total,179,30,30,82,23,14
E00016918,Total,156,18,37,77,23,1
E00016919,Total,141,28,41,53,16,3
E00016924,Total,186,37,39,92,15,3
E00016927,Total,135,21,42,64,6,2
E00016879,Total,165,53,42,50,19,1
E00016884,Total,130,48,23,46,10,3
E00016886,Total,151,34,32,65,18,2
E00016893,Total,135,33,36,50,15,1
E00016885,Total,137,31,39,59,7,1
E00016887,Total,102,38,26,33,5,0
E00016889,Total,116,15,37,48,14,2
E00016890,Total,137,8,21,69,34,5
E00016895,Total,134,28,37,59,9,1
E00016159,Total,120,34,43,34,8,1
E00016173,Total,133,25,51,43,12,2
E00016176,Total,135,49,52,31,3,0
E00016184,Total,131,12,59,51,5,4
E00016186,Total,143,22,52,55,12,2
E00016188,Total,139,26,53,49,10,1
E00016164,Total,110,21,31,45,10,3
E00016170,Total,150,25,47,62,13,3
E00016175,Total,149,14,53,67,12,3
