LSOA11CD,All categories: Type of central heating in household,Does not have central heating,Does have central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E01003354,701,24,677,131,83,14.499999999999998,27.0,14.100000000000001
E01032564,508,10,498,86,64,10.2,18.0,9.399999999999999
E01032565,644,17,627,115,68,11.0,21.5,11.2
E01032579,711,13,698,255,111,10.5,18.2,9.4
E01033320,645,28,617,135,76,13.5,26.7,13.600000000000001
E01033322,594,35,559,256,91,10.4,17.0,8.9
E01033324,642,24,618,140,88,14.9,28.200000000000003,14.7
E01033325,706,95,611,442,62,10.2,15.5,8.5
E01033327,679,38,641,195,94,11.1,20.4,10.200000000000001
E01033341,551,20,531,148,68,7.1,12.399999999999999,6.3
