OA11CD,Rural Urban,All categories: Type of central heating in household,Does not have central heating,Does have central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E00016792,Total,170,18,152,102,47,2.1,3.0,1.5
E00016795,Total,114,3,111,25,13,2.4,4.5,2.4
E00016783,Total,154,3,151,27,16,2.2,4.6,2.2
E00016802,Total,161,6,155,25,17,2.4,4.6,2.3
E00016807,Total,194,4,190,38,32,2.3,4.2,2.1
E00016809,Total,157,7,150,35,19,2.1,4.1,2.0
E00016810,Total,144,2,142,34,27,2.9,4.8,2.5
E00016784,Total,123,2,121,24,17,2.2,4.6,2.3
E00016811,Total,134,7,127,37,24,2.4,4.5,2.3
E00016812,Total,117,2,115,17,11,2.6,4.9,2.6
E00016816,Total,104,4,100,16,10,2.1,4.7,2.4
E00016817,Total,115,3,112,15,10,2.7,5.0,2.6
E00016785,Total,110,8,102,30,11,1.8,3.8,1.8
E00016786,Total,98,1,97,15,14,2.5,4.7,2.5
E00016787,Total,274,29,245,126,44,1.7,3.0,1.3
E00016822,Total,129,5,124,32,20,2.3,4.4,2.1
E00016824,Total,102,6,96,19,15,2.5,5.2,2.5
E00016445,Total,128,8,120,5,4,2.2,4.8,2.4
E00016448,Total,124,2,122,4,4,2.7,6.2,3.4
E00016452,Total,118,5,113,6,4,2.6,6.2,3.2
E00016454,Total,119,2,117,10,4,2.2,5.0,2.6
E00016455,Total,113,6,107,8,7,2.1,4.8,2.5
E00016446,Total,167,3,164,40,16,2.0,4.0,1.9
E00016453,Total,120,9,111,20,9,1.9,3.9,1.9
E00016456,Total,128,7,121,20,12,2.2,4.6,2.3
E00016457,Total,135,7,128,30,7,1.9,3.7,1.8
E00016462,Total,149,4,145,29,6,1.8,4.3,2.2
E00173944,Total,131,15,116,50,18,1.9,3.6,1.9
E00173945,Total,134,5,129,58,12,1.9,3.1,1.6
E00016444,Total,111,1,110,18,8,2.8,5.8,3.1
E00016484,Total,136,1,135,16,7,2.7,6.2,3.3
E00016485,Total,117,4,113,28,17,2.1,3.9,2.0
E00016488,Total,113,1,112,12,9,2.9,5.9,3.3
E00016489,Total,204,1,203,68,57,2.8,4.6,2.5
E00016443,Total,129,6,123,14,6,2.7,5.9,3.1
E00016483,Total,110,4,106,23,13,2.2,4.6,2.3
E00016486,Total,137,2,135,12,10,2.8,5.6,3.1
E00016487,Total,123,7,116,15,9,2.3,4.7,2.3
E00016491,Total,120,4,116,14,5,2.1,4.5,2.3
E00016449,Total,127,7,120,26,13,2.1,4.4,2.2
E00016450,Total,122,6,116,23,10,2.0,4.2,1.9
E00016451,Total,129,2,127,14,10,2.5,5.1,2.6
E00016490,Total,131,5,126,19,8,2.1,4.6,2.4
E00016492,Total,115,5,110,26,12,2.2,4.4,2.3
E00016281,Total,135,9,126,10,7,2.5,5.4,2.8
E00016290,Total,122,9,113,6,3,2.6,5.3,3.0
E00016292,Total,107,3,104,15,13,2.9,5.2,2.7
E00016293,Total,123,1,122,15,13,2.9,5.9,2.9
E00016295,Total,135,7,128,13,11,2.6,5.5,2.9
E00016258,Total,132,4,128,6,7,2.8,6.1,3.1
E00016259,Total,130,5,125,10,11,2.4,5.3,2.7
E00016298,Total,139,0,139,12,14,3.1,5.8,3.2
E00016299,Total,138,5,133,11,14,2.9,5.7,3.1
E00016274,Total,116,7,109,14,6,2.5,5.1,2.6
E00016276,Total,150,7,143,30,17,2.3,4.8,2.4
E00016277,Total,124,6,118,30,16,2.6,5.2,2.7
E00016278,Total,104,1,103,14,13,2.6,5.4,2.8
E00016285,Total,110,1,109,26,10,2.4,5.0,2.6
E00016256,Total,121,4,117,20,17,2.6,5.7,2.9
E00016284,Total,114,5,109,15,9,2.5,5.4,2.7
E00016286,Total,136,6,130,17,13,2.8,5.9,3.0
E00016296,Total,120,5,115,23,16,2.8,5.5,3.0
E00016297,Total,138,2,136,19,17,2.3,5.1,2.5
E00016275,Total,159,6,153,52,36,2.5,4.3,2.3
E00016279,Total,112,2,110,9,7,2.8,5.6,3.0
E00016280,Total,102,2,100,9,5,2.7,5.7,3.1
E00016283,Total,135,8,127,10,9,2.6,5.2,2.8
E00016287,Total,118,4,114,12,10,2.7,5.2,2.9
E00016513,Total,131,5,126,25,10,2.5,4.6,2.5
E00016514,Total,125,6,119,25,10,1.8,4.0,2.0
E00016515,Total,129,3,126,14,9,2.3,5.3,2.7
E00016516,Total,111,2,109,19,18,2.7,4.7,2.4
E00016519,Total,112,1,111,13,7,2.1,4.8,2.4
E00016521,Total,131,1,130,15,8,1.9,4.0,1.9
E00016493,Total,161,4,157,52,31,2.3,3.9,1.9
E00016499,Total,119,4,115,14,11,2.4,5.2,2.6
E00016502,Total,107,1,106,15,8,2.6,4.7,2.5
E00016503,Total,109,6,103,24,8,1.6,3.4,1.5
E00016507,Total,103,5,98,5,8,2.4,5.1,2.6
E00016540,Total,119,5,114,8,7,2.6,5.4,3.0
E00016498,Total,227,5,222,39,26,2.5,5.1,2.6
E00016500,Total,127,1,126,14,11,2.3,4.5,2.4
E00016505,Total,156,1,155,37,25,2.1,4.0,2.0
E00016541,Total,137,2,135,2,2,2.6,6.0,3.2
E00016494,Total,156,6,150,30,16,2.1,4.3,2.0
E00016495,Total,109,5,104,12,7,1.9,4.0,1.9
E00016501,Total,149,1,148,7,6,2.8,6.1,3.1
E00016508,Total,139,8,131,10,9,2.5,5.6,2.9
E00016511,Total,125,2,123,6,2,2.7,5.6,3.1
E00016504,Total,115,1,114,5,6,2.8,6.9,3.5
E00016506,Total,133,0,133,9,8,2.7,5.4,3.0
E00016509,Total,158,0,158,10,7,2.5,5.9,3.1
E00016510,Total,107,4,103,2,3,2.5,5.6,3.1
E00016512,Total,124,2,122,6,5,2.7,5.8,3.0
E00016750,Total,116,1,115,25,14,2.4,4.7,2.3
E00016752,Total,130,8,122,9,8,2.7,5.9,3.1
E00016753,Total,108,7,101,25,11,2.5,4.4,2.4
E00016758,Total,141,2,139,42,19,2.2,4.0,2.2
E00016763,Total,132,2,130,12,9,2.4,4.9,2.6
E00016738,Total,172,5,167,45,24,2.4,4.4,2.2
E00016739,Total,119,2,117,15,9,2.6,5.2,2.7
E00016740,Total,140,1,139,29,21,2.5,4.9,2.6
E00016749,Total,127,4,123,26,12,2.4,4.8,2.5
E00016755,Total,176,7,169,50,26,2.4,4.4,2.2
E00016745,Total,160,1,159,28,30,2.5,4.7,2.4
E00016746,Total,148,9,139,19,21,2.4,4.9,2.4
E00016751,Total,127,4,123,36,22,2.4,4.7,2.5
E00016754,Total,131,2,129,13,12,2.2,4.8,2.5
E00016757,Total,117,7,110,14,7,2.2,5.1,2.5
E00016732,Total,165,7,158,47,26,2.1,3.9,2.0
E00016735,Total,152,4,148,23,15,2.4,4.6,2.4
E00016741,Total,132,8,124,17,7,2.0,4.5,2.2
E00016742,Total,150,4,146,36,17,2.1,3.9,2.0
E00016733,Total,130,3,127,13,8,2.4,5.2,2.7
E00016734,Total,118,4,114,16,19,2.4,4.7,2.3
E00016743,Total,117,5,112,9,8,2.5,5.2,2.8
E00016744,Total,130,2,128,14,11,2.6,5.6,2.8
E00016747,Total,114,4,110,23,15,2.2,4.3,2.0
E00016261,Total,119,2,117,25,22,3.1,5.6,2.9
E00016282,Total,145,3,142,45,14,2.3,4.7,2.5
E00016288,Total,179,4,175,49,22,2.4,4.4,2.3
E00016289,Total,125,5,120,31,14,2.7,5.3,2.7
E00016294,Total,121,3,118,26,10,2.9,6.0,3.2
E00016260,Total,139,5,134,5,13,2.5,5.7,2.9
E00016262,Total,110,4,106,18,11,2.4,4.8,2.4
E00016266,Total,132,4,128,15,15,2.7,5.6,2.8
E00016267,Total,102,4,98,14,9,2.7,5.6,3.0
E00016271,Total,148,1,147,18,9,2.7,5.5,2.9
E00016257,Total,147,3,144,33,12,3.1,5.8,3.2
E00016263,Total,99,2,97,19,8,2.4,5.7,2.9
E00016265,Total,186,4,182,42,23,2.4,4.7,2.5
E00016268,Total,170,8,162,50,20,2.7,5.0,2.8
E00016291,Total,167,12,155,52,25,2.0,4.2,2.2
E00016264,Total,115,0,115,9,6,2.6,6.2,3.4
E00016269,Total,125,4,121,12,14,2.8,5.9,3.0
E00016270,Total,100,1,99,9,5,3.0,6.3,3.4
E00016272,Total,131,4,127,15,8,2.7,5.4,2.9
E00016273,Total,132,3,129,16,9,3.1,6.2,3.3
E00016930,Total,216,8,208,36,22,2.7,5.2,2.8
E00016946,Total,149,7,142,16,12,2.7,5.1,2.8
E00016952,Total,119,4,115,27,12,2.3,4.0,2.1
E00016964,Total,114,5,109,21,15,2.4,4.3,2.3
E00016929,Total,111,0,111,21,12,2.5,4.4,2.4
E00016931,Total,103,2,101,22,18,2.8,4.5,2.4
E00016932,Total,110,1,109,20,12,2.6,4.5,2.4
E00016954,Total,93,1,92,20,15,2.9,4.4,2.3
E00016961,Total,124,7,117,23,18,2.4,4.5,2.5
E00016933,Total,168,10,158,28,23,2.8,5.0,2.8
E00016953,Total,130,10,120,15,8,1.9,3.9,1.9
E00016957,Total,110,5,105,15,14,2.7,4.6,2.4
E00016960,Total,107,3,104,23,14,2.3,4.0,2.0
E00016966,Total,77,3,74,12,8,2.6,4.7,2.6
E00016940,Total,101,7,94,16,11,2.9,5.0,2.7
E00016941,Total,134,4,130,20,16,2.8,5.5,3.1
E00016942,Total,118,1,117,22,18,2.3,4.6,2.4
E00016943,Total,123,1,122,42,20,1.9,3.2,1.4
E00016944,Total,118,4,114,16,9,2.7,5.2,2.9
E00016945,Total,107,7,100,15,9,1.9,3.5,1.6
E00016728,Total,113,6,107,38,12,2.2,3.9,2.2
E00016764,Total,110,3,107,16,10,2.5,5.2,2.9
E00016766,Total,139,2,137,58,13,2.5,4.1,2.5
E00016768,Total,143,2,141,29,18,1.9,3.7,1.7
E00016772,Total,140,3,137,19,6,2.4,5.2,2.7
E00016737,Total,113,2,111,20,7,2.2,4.9,2.4
E00016748,Total,132,4,128,29,15,1.9,3.9,1.9
E00016756,Total,115,1,114,20,15,2.4,4.3,2.3
E00016760,Total,145,2,143,32,22,2.0,3.8,2.0
E00173704,Total,112,7,105,35,10,2.1,3.8,2.0
E00173705,Total,66,2,64,25,7,2.1,3.8,2.1
E00173707,Total,73,2,71,44,9,1.6,2.8,1.4
E00016729,Total,107,3,104,6,4,2.3,6.3,3.2
E00016730,Total,131,10,121,12,10,2.5,5.4,2.8
E00016759,Total,130,5,125,13,8,2.5,5.5,2.8
E00016761,Total,121,4,117,4,2,2.7,5.9,3.0
E00016762,Total,116,3,113,23,15,2.7,4.9,2.8
E00016765,Total,109,3,106,37,16,2.0,4.2,2.2
E00016767,Total,130,8,122,27,15,2.1,4.8,2.3
E00016770,Total,95,7,88,43,6,1.5,3.0,1.4
E00016771,Total,167,1,166,24,13,2.3,5.0,2.5
E00016774,Total,132,6,126,14,7,2.7,5.5,3.0
E00016777,Total,146,3,143,22,14,2.6,5.6,2.9
E00016731,Total,135,6,129,37,9,2.3,4.2,2.4
E00016769,Total,153,12,141,46,16,2.4,4.1,2.2
E00016773,Total,122,3,119,36,16,2.3,4.0,2.0
E00016775,Total,111,6,105,28,18,2.3,4.0,2.1
E00016776,Total,149,7,142,25,9,2.2,4.5,2.3
E00016460,Total,135,7,128,16,6,2.5,5.1,2.8
E00016463,Total,230,9,221,111,50,2.2,3.4,1.8
E00016467,Total,137,3,134,17,7,2.3,5.1,2.7
E00016469,Total,141,9,132,26,16,2.2,4.2,2.2
E00016471,Total,101,0,101,43,30,2.3,3.7,1.8
E00016472,Total,187,3,184,73,23,1.9,3.3,1.7
E00016447,Total,135,6,129,24,14,2.2,4.2,2.2
E00016458,Total,146,9,137,29,18,2.2,4.4,2.2
E00016459,Total,98,3,95,2,1,2.3,5.3,2.9
E00016464,Total,119,5,114,36,23,2.5,4.1,2.2
E00016465,Total,121,1,120,44,2,1.8,3.6,1.9
E00016466,Total,116,2,114,5,5,2.3,5.8,3.0
E00016475,Total,86,3,83,26,18,2.5,4.2,2.3
E00016476,Total,108,2,106,25,18,2.7,4.6,2.5
E00016478,Total,83,2,81,5,3,2.0,4.4,2.3
E00016479,Total,96,1,95,31,17,2.6,4.1,2.2
E00016480,Total,114,1,113,47,21,2.6,3.8,2.0
E00016482,Total,107,2,105,23,13,2.4,4.1,2.3
E00016468,Total,94,5,89,5,4,2.3,5.1,2.7
E00016470,Total,104,3,101,11,5,2.3,4.7,2.4
E00016473,Total,126,2,124,14,10,2.4,5.2,2.8
E00016474,Total,128,9,119,25,9,2.0,4.6,2.0
E00016477,Total,134,3,131,26,11,2.2,4.3,2.1
E00016481,Total,170,4,166,59,14,1.8,3.5,1.9
E00016126,Total,126,3,123,6,6,2.5,5.6,3.1
E00016127,Total,142,3,139,10,11,2.9,5.6,3.1
E00016131,Total,137,2,135,27,17,2.3,4.6,2.3
E00016134,Total,138,0,138,37,14,1.9,3.8,1.9
E00016140,Total,123,6,117,36,21,2.1,3.9,2.0
E00016118,Total,144,2,142,19,9,2.7,5.5,2.9
E00016154,Total,153,2,151,37,14,1.8,3.6,1.7
E00016155,Total,153,2,151,47,31,2.5,4.3,2.2
E00016156,Total,141,4,137,27,19,2.1,4.0,1.9
E00016157,Total,125,3,122,24,17,2.8,4.6,2.5
E00016112,Total,142,2,140,28,16,2.2,4.2,2.2
E00016119,Total,122,2,120,9,5,2.7,5.6,3.0
E00016121,Total,126,3,123,21,14,2.1,4.2,2.0
E00016123,Total,122,8,114,14,10,2.7,5.2,2.8
E00016158,Total,125,7,118,8,11,2.5,5.2,2.6
E00016113,Total,162,6,156,28,24,2.4,4.4,2.1
E00016120,Total,110,4,106,21,17,2.9,4.7,2.6
E00016122,Total,120,3,117,21,19,2.8,5.0,2.7
E00016124,Total,112,3,109,15,10,2.6,4.7,2.6
E00016125,Total,120,8,112,15,12,2.7,4.7,2.5
E00016114,Total,106,3,103,18,13,2.5,4.8,2.6
E00016128,Total,133,3,130,22,19,2.7,4.8,2.7
E00016130,Total,132,4,128,25,16,2.5,4.6,2.4
E00016133,Total,119,2,117,24,19,2.8,4.9,2.7
E00016135,Total,135,0,135,27,19,2.4,4.2,2.1
E00016948,Total,146,1,145,42,23,2.8,4.3,2.4
E00016949,Total,130,1,129,27,10,2.8,4.3,2.5
E00016951,Total,126,2,124,31,14,2.8,4.3,2.4
E00016955,Total,128,0,128,26,17,2.6,4.3,2.3
E00016956,Total,108,1,107,25,19,2.6,4.6,2.2
E00016950,Total,110,2,108,15,6,2.7,5.5,3.1
E00016967,Total,115,3,112,14,9,2.7,5.4,2.9
E00016968,Total,118,1,117,11,6,2.5,5.4,2.9
E00016969,Total,115,2,113,12,9,2.3,4.8,2.4
E00016971,Total,113,1,112,20,13,2.5,4.7,2.7
E00016928,Total,132,2,130,26,18,3.2,5.1,2.9
E00016947,Total,141,3,138,21,18,2.2,4.1,2.0
E00016958,Total,122,5,117,24,13,3.0,4.9,2.8
E00016963,Total,124,2,122,16,12,2.6,5.2,2.8
E00016937,Total,151,0,151,10,10,2.7,5.6,2.9
E00016959,Total,108,1,107,6,6,2.7,5.7,3.1
E00016962,Total,190,4,186,61,23,2.2,4.1,2.2
E00016965,Total,142,2,140,48,16,2.2,3.6,2.0
E00016970,Total,144,3,141,25,20,2.6,4.7,2.5
E00016934,Total,126,3,123,15,14,2.9,5.2,2.8
E00016935,Total,157,10,147,17,11,2.6,5.3,2.9
E00016936,Total,125,2,123,10,7,2.9,5.4,3.1
E00016938,Total,102,2,100,7,11,3.1,5.8,3.0
E00016939,Total,122,5,117,16,9,2.5,5.2,2.7
E00016496,Total,121,1,120,19,11,2.2,4.1,2.0
E00016517,Total,97,2,95,18,13,2.5,4.9,2.5
E00016518,Total,133,2,131,18,9,2.2,4.5,2.2
E00016523,Total,120,2,118,30,9,2.0,4.2,2.0
E00016524,Total,131,2,129,22,11,2.5,5.2,2.7
E00016525,Total,126,1,125,16,7,2.0,4.7,2.3
E00016497,Total,120,8,112,22,14,2.3,4.2,2.3
E00016527,Total,103,5,98,26,14,2.4,4.1,2.1
E00016528,Total,113,7,106,18,14,1.9,3.9,1.8
E00016531,Total,127,4,123,20,15,2.6,5.2,2.9
E00016532,Total,105,0,105,26,15,2.1,3.9,1.9
E00016535,Total,112,1,111,21,17,2.2,4.0,2.1
E00016520,Total,124,5,119,20,11,2.1,4.3,2.2
E00016522,Total,146,6,140,32,15,1.9,3.7,1.7
E00016526,Total,141,4,137,29,11,2.1,3.9,1.9
E00016529,Total,115,1,114,14,13,2.3,4.4,2.4
E00016530,Total,118,0,118,18,16,2.6,4.5,2.3
E00016533,Total,113,2,111,10,11,2.9,5.2,2.9
E00016534,Total,110,2,108,6,5,2.7,5.7,3.1
E00016536,Total,115,2,113,15,5,2.7,5.2,3.0
E00016537,Total,106,4,102,11,9,2.7,5.1,2.8
E00016538,Total,121,1,120,20,14,2.8,4.9,2.8
E00016539,Total,146,1,145,24,12,2.2,4.2,2.2
E00016830,Total,139,6,133,14,5,2.5,5.3,2.9
E00016839,Total,117,1,116,14,8,2.1,4.6,2.3
E00016845,Total,136,3,133,20,8,2.3,4.5,2.5
E00016872,Total,140,5,135,20,9,2.6,5.0,2.8
E00016873,Total,134,1,133,25,22,2.3,4.3,2.1
E00016838,Total,129,4,125,40,25,2.2,3.8,1.8
E00016840,Total,126,5,121,13,10,2.7,5.7,3.2
E00016847,Total,105,3,102,27,19,2.5,3.9,2.0
E00016852,Total,87,3,84,9,3,2.5,5.2,2.7
E00016858,Total,99,0,99,24,13,2.5,4.2,2.2
E00016874,Total,116,3,113,39,7,1.8,3.5,1.7
E00016826,Total,116,1,115,25,14,2.3,4.5,2.4
E00016831,Total,112,3,109,27,11,2.4,4.4,2.4
E00016832,Total,125,1,124,29,9,2.0,4.3,2.1
E00016833,Total,121,0,121,7,5,2.8,6.4,3.5
E00016875,Total,98,0,98,21,19,2.6,4.8,2.6
E00016828,Total,114,1,113,14,6,2.2,4.5,2.2
E00016850,Total,92,0,92,11,9,2.3,4.4,2.2
E00016854,Total,120,1,119,12,7,2.3,4.6,2.5
E00016855,Total,111,6,105,18,11,1.9,3.8,1.8
E00016857,Total,126,0,126,30,14,2.1,4.0,2.0
E00016878,Total,116,1,115,38,13,2.3,4.0,2.2
E00016827,Total,134,3,131,35,16,2.1,4.1,2.1
E00016834,Total,139,1,138,21,13,2.3,4.5,2.3
E00016842,Total,100,2,98,33,12,2.7,4.5,2.5
E00016856,Total,188,17,171,65,27,1.8,3.3,1.6
E00016876,Total,106,1,105,16,8,1.8,3.9,1.9
E00016877,Total,111,6,105,28,16,1.8,3.6,1.7
E00016115,Total,125,3,122,21,12,2.4,4.5,2.2
E00016136,Total,119,4,115,23,10,2.7,4.6,2.6
E00016137,Total,129,2,127,17,18,3.0,5.0,2.8
E00016138,Total,122,3,119,40,29,2.7,4.0,2.1
E00016139,Total,129,3,126,23,22,2.5,4.6,2.3
E00016116,Total,134,5,129,15,9,2.4,5.0,2.6
E00016129,Total,141,4,137,39,18,2.1,3.8,2.0
E00016142,Total,140,1,139,36,25,2.5,4.0,2.2
E00016144,Total,119,2,117,21,18,2.1,4.0,1.9
E00016145,Total,137,1,136,39,38,2.5,3.9,1.8
E00016150,Total,138,1,137,33,27,2.4,3.8,1.8
E00016117,Total,147,9,138,28,21,2.3,4.2,2.1
E00016132,Total,127,3,124,24,11,2.1,4.0,2.1
E00016143,Total,113,2,111,11,7,2.6,5.0,2.8
E00016147,Total,153,5,148,36,28,2.2,3.9,1.9
E00016153,Total,125,3,122,21,10,2.1,4.1,2.1
E00016141,Total,118,2,116,27,13,2.4,4.4,2.3
E00016146,Total,127,5,122,25,14,2.1,4.2,2.2
E00016148,Total,127,4,123,27,15,2.4,4.1,2.2
E00016149,Total,132,0,132,28,22,2.1,3.7,1.7
E00016151,Total,112,1,111,19,16,2.4,4.3,2.2
E00016152,Total,125,0,125,36,23,2.0,3.5,1.6
E00016843,Total,106,7,99,15,12,2.3,4.6,2.4
E00016863,Total,146,3,143,29,12,2.1,4.2,2.2
E00016868,Total,128,2,126,18,12,1.9,4.0,1.9
E00016870,Total,139,6,133,14,13,2.4,4.9,2.5
E00016871,Total,119,6,113,10,9,2.2,4.8,2.5
E00016848,Total,98,2,96,9,7,2.6,6.3,3.2
E00016859,Total,146,2,144,19,12,2.6,5.6,2.9
E00016861,Total,181,5,176,35,22,2.6,4.5,2.3
E00016862,Total,141,9,132,25,14,2.3,4.7,2.5
E00016866,Total,148,5,143,28,22,2.5,4.8,2.5
E00016829,Total,135,3,132,42,18,1.9,3.5,1.7
E00016851,Total,134,3,131,8,4,2.3,5.6,3.0
E00016860,Total,155,2,153,39,19,2.2,3.9,2.1
E00016864,Total,154,6,148,26,12,2.1,4.0,2.0
E00016867,Total,132,2,130,14,5,1.9,4.3,2.1
E00016869,Total,123,3,120,37,13,1.8,3.5,1.6
E00016835,Total,151,5,146,27,15,2.2,4.6,2.1
E00016837,Total,125,3,122,16,16,2.2,4.4,2.2
E00016846,Total,140,7,133,20,12,2.3,4.4,2.2
E00016849,Total,102,14,88,45,24,2.3,3.4,1.8
E00016865,Total,139,5,134,21,14,2.7,5.1,2.7
E00016825,Total,113,1,112,27,21,2.4,4.2,2.2
E00016836,Total,124,0,124,14,7,2.5,6.2,3.5
E00016841,Total,130,0,130,25,16,2.6,4.6,2.4
E00016844,Total,111,3,108,6,6,2.4,5.5,2.8
E00016853,Total,116,3,113,36,14,1.8,3.9,1.9
E00016350,Total,133,7,126,17,13,2.7,4.5,2.4
E00016369,Total,132,5,127,20,15,2.5,4.5,2.3
E00016370,Total,144,7,137,22,10,2.3,4.4,2.2
E00016371,Total,119,5,114,24,19,2.4,4.4,2.2
E00016374,Total,120,4,116,21,17,2.4,4.3,2.2
E00016352,Total,110,0,110,21,16,2.6,4.5,2.4
E00016373,Total,123,3,120,20,12,2.4,4.8,2.6
E00016378,Total,125,3,122,28,17,2.4,4.3,2.2
E00016381,Total,143,5,138,28,17,2.4,4.3,2.3
E00016382,Total,107,5,102,12,11,2.3,4.8,2.4
E00016348,Total,91,2,89,15,13,2.6,4.5,2.2
E00016372,Total,118,3,115,23,16,2.6,4.5,2.3
E00016375,Total,105,2,103,15,11,2.5,4.4,2.2
E00016377,Total,120,2,118,22,11,2.4,4.4,2.3
E00016379,Total,131,4,127,19,10,2.4,4.4,2.3
E00016349,Total,125,6,119,20,23,2.4,4.4,2.3
E00016351,Total,196,10,186,47,37,2.6,4.3,2.3
E00016376,Total,111,6,105,22,15,2.5,4.6,2.4
E00016383,Total,132,5,127,21,15,2.6,4.6,2.4
E00016356,Total,136,1,135,23,16,2.8,4.5,2.4
E00016387,Total,146,5,141,25,16,2.4,4.5,2.4
E00016393,Total,118,2,116,19,13,2.6,4.6,2.4
E00165790,Total,108,2,106,19,19,2.4,4.4,2.2
E00016361,Total,104,3,101,9,6,2.1,4.7,2.3
E00016363,Total,139,6,133,17,12,2.3,4.7,2.5
E00016366,Total,99,1,98,8,5,2.8,6.2,3.2
E00016367,Total,81,0,81,6,3,2.0,4.8,2.4
E00016368,Total,100,0,100,4,2,2.9,6.1,3.4
E00016353,Total,117,3,114,19,18,2.7,4.6,2.3
E00016360,Total,194,4,190,51,20,2.2,4.0,2.2
E00016380,Total,100,1,99,21,14,2.4,4.4,2.4
E00016389,Total,110,4,106,17,15,2.7,4.6,2.4
E00016390,Total,85,4,81,13,10,2.7,5.0,2.7
E00016392,Total,119,1,118,14,11,2.3,4.2,2.0
E00016359,Total,120,1,119,14,11,2.6,5.0,2.6
E00016384,Total,121,4,117,18,13,2.7,5.4,2.9
E00016385,Total,177,1,176,34,23,2.1,4.4,2.0
E00016386,Total,145,2,143,47,12,1.5,3.1,1.3
E00016388,Total,132,5,127,16,8,2.4,5.2,2.8
E00016346,Total,106,5,101,20,11,2.4,4.6,2.4
E00016354,Total,104,9,95,36,11,2.1,3.8,2.0
E00016357,Total,131,6,125,39,17,2.4,4.2,2.4
E00016358,Total,122,7,115,27,17,2.1,4.1,2.1
E00016391,Total,118,4,114,9,5,2.6,5.6,3.0
E00016362,Total,131,5,126,21,15,2.5,4.8,2.5
E00016364,Total,126,5,121,22,19,2.2,4.3,2.2
E00016365,Total,109,2,107,13,8,2.0,4.1,2.0
E00016394,Total,120,1,119,16,10,2.5,5.0,2.9
E00165789,Total,158,4,154,43,16,1.8,3.3,1.6
E00016678,Total,105,2,103,32,24,2.6,4.1,2.1
E00016722,Total,150,1,149,42,37,2.7,4.0,2.0
E00016724,Total,110,15,95,44,25,2.6,4.1,2.3
E00016727,Total,110,1,109,28,17,3.0,4.7,2.8
E00016676,Total,96,1,95,23,12,2.7,4.8,2.6
E00016685,Total,127,4,123,51,23,2.5,3.9,2.2
E00016690,Total,128,2,126,28,19,2.3,4.0,2.1
E00016691,Total,108,0,108,24,18,2.7,4.4,2.4
E00016726,Total,102,0,102,33,22,1.8,3.3,1.5
E00016688,Total,107,0,107,19,16,2.8,4.8,3.0
E00016695,Total,108,3,105,30,14,2.8,4.6,2.6
E00016705,Total,124,8,116,63,15,2.0,3.2,1.7
E00016710,Total,124,2,122,49,28,2.4,3.8,2.1
E00016712,Total,97,1,96,44,21,2.3,3.8,2.2
E00016682,Total,129,35,94,58,16,1.9,3.1,1.6
E00016686,Total,133,1,132,42,29,2.6,4.4,2.5
E00016699,Total,126,7,119,47,24,2.4,3.6,1.9
E00016702,Total,186,9,177,98,18,1.6,3.6,2.1
E00016707,Total,183,18,165,71,33,2.4,3.8,2.0
E00016711,Total,146,20,126,61,23,1.8,3.3,1.6
E00016696,Total,104,1,103,35,19,2.3,3.8,2.1
E00016698,Total,160,4,156,47,31,2.0,3.6,1.8
E00016703,Total,112,2,110,38,15,2.4,3.9,2.1
E00016713,Total,223,4,219,108,34,1.8,3.0,1.4
E00165804,Total,112,2,110,27,12,2.0,3.9,2.0
