OA11CD,Rural Urban,All categories: Type of central heating in household,Does not have central heating,Does have central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E00016424,Total,123,0,123,43,25,2.5,3.9,2.1
E00016427,Total,105,2,103,45,27,2.2,3.7,1.8
E00016396,Total,134,2,132,50,23,2.0,3.7,1.9
E00016426,Total,134,3,131,40,27,2.3,3.9,1.8
E00016428,Total,157,7,150,86,39,2.2,3.3,1.7
E00016429,Total,124,2,122,17,8,2.1,4.5,2.3
E00016430,Total,120,4,116,56,21,2.2,3.8,2.0
E00016680,Total,122,19,103,66,26,1.8,2.8,1.2
E00016716,Total,159,31,128,92,43,2.0,2.9,1.3
E00016717,Total,102,17,85,44,20,1.8,2.9,1.2
E00016719,Total,117,2,115,40,27,2.1,3.6,1.8
E00016720,Total,148,16,132,76,41,2.2,3.0,1.3
E00016725,Total,119,16,103,66,44,2.1,2.9,1.2
E00016706,Total,103,2,101,34,23,2.4,4.1,2.2
E00016708,Total,130,4,126,39,31,2.7,4.2,2.2
E00016709,Total,137,3,134,40,22,2.9,4.9,2.7
E00016714,Total,114,5,109,30,23,2.7,4.1,2.2
E00016715,Total,125,10,115,30,22,2.6,4.7,2.3
E00016675,Total,116,21,95,49,25,2.0,3.2,1.4
E00016677,Total,131,7,124,31,19,2.2,4.0,2.2
E00016683,Total,138,16,122,58,33,2.2,3.5,1.8
E00016697,Total,121,3,118,42,27,3.0,4.2,2.4
E00173940,Total,113,4,109,25,12,3.1,4.8,2.9
E00173949,Total,148,6,142,33,19,2.6,4.2,2.4
E00016684,Total,107,2,105,34,17,2.2,3.6,1.8
E00016687,Total,108,6,102,46,15,1.7,3.0,1.4
E00016694,Total,135,3,132,41,19,2.4,4.1,2.2
E00016718,Total,128,5,123,36,21,2.0,3.7,1.7
E00016721,Total,109,2,107,28,21,2.2,4.1,2.0
E00016723,Total,123,3,120,48,32,2.2,3.6,1.8
E00016679,Total,91,7,84,18,11,2.5,4.4,2.4
E00016689,Total,115,5,110,19,13,2.3,4.4,2.3
E00016693,Total,125,3,122,39,16,2.8,4.4,2.6
E00016701,Total,88,2,86,24,14,2.5,4.3,2.3
E00173939,Total,94,1,93,35,21,2.3,3.5,1.8
E00016210,Total,142,3,139,47,19,2.4,4.1,2.2
E00016239,Total,148,8,140,61,23,2.2,3.6,2.0
E00016240,Total,85,2,83,35,15,2.0,3.5,1.8
E00016241,Total,143,5,138,46,23,2.0,3.7,1.9
E00016245,Total,97,0,97,38,12,2.8,4.3,2.5
E00016211,Total,113,1,112,38,19,2.3,4.1,2.2
E00016213,Total,170,2,168,57,39,2.2,3.7,1.9
E00016244,Total,128,4,124,40,34,2.8,4.7,2.4
E00016250,Total,141,4,137,40,27,2.0,3.9,1.9
E00174011,Total,53,0,53,34,6,2.0,2.9,1.7
E00174032,Total,132,4,128,61,39,2.7,3.9,2.2
E00174033,Total,41,3,38,15,10,3.2,4.6,2.8
E00016216,Total,171,0,171,40,21,2.0,3.9,2.0
E00016236,Total,204,14,190,85,25,1.9,3.2,1.7
E00016246,Total,137,9,128,41,25,2.6,4.4,2.3
E00016248,Total,174,0,174,35,14,1.8,3.8,1.6
E00016252,Total,164,9,155,43,19,2.1,4.2,2.1
E00016214,Total,162,4,158,33,22,2.4,4.6,2.4
E00016215,Total,135,5,130,36,29,2.3,4.6,2.4
E00016217,Total,186,8,178,49,17,2.2,4.3,2.2
E00016237,Total,112,5,107,15,11,2.6,5.6,3.1
E00016247,Total,140,7,133,25,7,2.0,4.3,2.1
E00016253,Total,132,5,127,30,20,2.3,4.6,2.3
E00016209,Total,158,3,155,53,32,2.7,4.4,2.4
E00016235,Total,145,6,139,50,28,1.9,3.8,1.9
E00016238,Total,181,10,171,64,22,2.2,4.2,2.3
E00173941,Total,105,4,101,55,26,2.8,4.0,2.2
E00173942,Total,77,4,73,30,19,2.6,3.9,2.1
E00016881,Total,104,2,102,34,20,2.2,3.9,2.1
E00016915,Total,143,0,143,77,34,2.0,3.0,1.6
E00016916,Total,142,4,138,48,29,2.5,3.7,2.0
E00016920,Total,126,4,122,41,24,2.6,4.1,2.1
E00173950,Total,117,0,117,31,10,2.2,3.8,2.0
E00173951,Total,139,2,137,37,19,2.3,3.9,1.9
E00016921,Total,131,2,129,33,13,2.3,4.0,2.2
E00016922,Total,144,3,141,42,14,2.2,4.5,2.5
E00016923,Total,156,2,154,35,13,2.4,4.5,2.4
E00016925,Total,199,9,190,48,15,2.2,4.9,2.9
E00016926,Total,133,0,133,34,28,2.5,4.5,2.4
E00016917,Total,179,3,176,76,37,2.7,4.6,2.5
E00016918,Total,156,7,149,42,24,2.4,4.4,2.4
E00016919,Total,141,5,136,37,19,2.3,4.6,2.5
E00016924,Total,186,2,184,38,18,2.3,4.7,2.4
E00016927,Total,135,2,133,34,8,2.2,4.4,2.3
E00016879,Total,165,6,159,34,20,2.7,5.3,2.9
E00016884,Total,130,4,126,30,13,2.7,5.7,3.0
E00016886,Total,151,13,138,45,20,2.3,4.7,2.5
E00016893,Total,135,7,128,25,16,2.7,5.1,2.8
E00016885,Total,137,3,134,23,8,2.0,4.6,2.3
