OA11CD,Rural Urban,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E00016845,Total,136,68,17,51,0,40,5,35,28,24,0,4,0,0
E00016872,Total,140,73,27,46,0,38,10,28,25,22,0,2,1,4
E00016873,Total,134,30,4,26,0,72,38,34,30,29,0,0,1,2
E00016838,Total,129,18,8,10,0,100,99,1,7,6,0,0,1,4
E00016840,Total,126,82,45,37,4,16,14,2,24,24,0,0,0,0
E00016847,Total,105,13,6,7,0,84,62,22,8,8,0,0,0,0
E00016852,Total,87,49,21,28,2,10,8,2,25,25,0,0,0,1
E00016858,Total,99,3,1,2,0,92,9,83,4,4,0,0,0,0
E00016874,Total,116,4,4,0,0,100,4,96,7,6,0,0,1,5
E00016826,Total,116,35,14,21,0,65,52,13,14,12,0,1,1,2
E00016831,Total,112,36,15,21,0,56,40,16,18,16,0,1,1,2
E00016832,Total,125,75,46,29,0,34,13,21,14,13,0,1,0,2
E00016833,Total,121,106,55,51,0,2,0,2,13,12,0,1,0,0
E00016875,Total,98,44,15,29,1,37,29,8,14,12,0,2,0,2
E00016828,Total,114,62,22,40,0,23,11,12,25,24,0,0,1,4
E00016850,Total,92,35,10,25,0,40,18,22,16,14,0,2,0,1
E00016854,Total,120,60,16,44,0,47,17,30,12,12,0,0,0,1
E00016855,Total,111,63,6,57,0,8,0,8,39,38,0,1,0,1
E00016857,Total,126,56,18,38,2,43,23,20,25,25,0,0,0,0
E00016878,Total,116,23,4,19,0,79,70,9,12,12,0,0,0,2
E00016827,Total,134,59,21,38,2,32,12,20,40,38,0,1,1,1
E00016834,Total,139,46,11,35,1,48,18,30,43,39,0,4,0,1
E00016842,Total,100,46,17,29,0,42,35,7,12,11,0,1,0,0
E00016856,Total,188,55,12,43,1,17,15,2,113,107,0,6,0,2
E00016876,Total,106,20,3,17,1,65,17,48,17,14,0,1,2,3
E00016877,Total,111,34,10,24,0,63,60,3,13,13,0,0,0,1
E00016115,Total,125,33,8,25,1,76,20,56,14,10,0,4,0,1
E00016136,Total,119,37,8,29,0,69,24,45,12,12,0,0,0,1
E00016137,Total,129,51,16,35,0,62,16,46,13,12,0,1,0,3
E00016138,Total,122,39,8,31,0,68,32,36,14,11,0,1,2,1
E00016139,Total,129,52,15,37,1,68,23,45,7,7,0,0,0,1
E00016116,Total,134,92,26,66,1,14,6,8,27,26,0,1,0,0
E00016129,Total,141,65,25,40,0,41,14,27,34,31,0,2,1,1
E00016142,Total,140,22,10,12,1,101,79,22,13,13,0,0,0,3
E00016144,Total,119,24,8,16,0,87,44,43,6,5,0,0,1,2
E00016145,Total,137,10,4,6,0,104,101,3,23,23,0,0,0,0
E00016150,Total,138,20,6,14,0,97,93,4,20,18,0,2,0,1
E00016117,Total,147,62,27,35,1,53,10,43,29,24,0,3,2,2
E00016132,Total,127,62,19,43,11,25,8,17,27,26,0,1,0,2
E00016143,Total,113,57,15,42,0,47,17,30,9,7,0,1,1,0
E00016147,Total,153,57,24,33,8,70,12,58,18,17,0,0,1,0
E00016153,Total,125,30,13,17,0,82,8,74,13,11,0,2,0,0
E00016141,Total,118,41,20,21,1,66,22,44,8,8,0,0,0,2
E00016146,Total,127,37,17,20,0,70,28,42,18,17,0,0,1,2
E00016148,Total,127,43,9,34,10,62,21,41,11,9,0,2,0,1
E00016149,Total,132,26,2,24,1,89,37,52,15,14,0,1,0,1
E00016151,Total,112,26,6,20,0,74,31,43,12,10,0,2,0,0
E00016152,Total,125,23,4,19,0,88,28,60,13,10,1,1,1,1
E00016843,Total,106,59,23,36,0,20,14,6,26,22,0,3,1,1
E00016863,Total,146,49,10,39,9,33,5,28,55,53,0,1,1,0
E00016868,Total,128,55,27,28,2,50,32,18,20,20,0,0,0,1
E00016870,Total,139,81,31,50,1,25,8,17,31,31,0,0,0,1
E00016871,Total,119,68,33,35,0,39,28,11,11,10,0,0,1,1
E00016848,Total,98,70,27,43,1,19,2,17,7,7,0,0,0,1
E00016859,Total,146,99,49,50,0,10,3,7,36,34,0,2,0,1
E00016861,Total,181,70,23,47,0,34,16,18,73,66,1,5,1,4
E00016862,Total,141,69,19,50,0,33,10,23,38,36,0,2,0,1
E00016866,Total,148,62,24,38,0,39,21,18,46,40,2,1,3,1
E00016829,Total,135,54,9,45,0,29,17,12,52,50,0,1,1,0
E00016851,Total,134,109,47,62,0,7,3,4,15,15,0,0,0,3
E00016860,Total,155,44,11,33,1,45,30,15,64,64,0,0,0,1
E00016864,Total,154,57,17,40,0,71,65,6,25,23,0,2,0,1
E00016867,Total,132,74,32,42,1,33,22,11,23,22,0,1,0,1
E00016869,Total,123,26,3,23,2,78,48,30,17,17,0,0,0,0
E00016835,Total,151,69,20,49,1,50,26,24,31,31,0,0,0,0
E00016837,Total,125,72,23,49,0,19,16,3,34,30,0,4,0,0
E00016846,Total,140,75,26,49,3,20,12,8,38,37,0,1,0,4
E00016849,Total,102,28,1,27,0,35,16,19,39,37,0,0,2,0
E00016865,Total,139,62,23,39,0,55,5,50,21,20,0,1,0,1
E00016825,Total,113,19,3,16,0,73,66,7,20,20,0,0,0,1
E00016836,Total,124,67,30,37,0,46,22,24,9,9,0,0,0,2
E00016841,Total,130,28,8,20,0,92,80,12,9,9,0,0,0,1
E00016844,Total,111,63,28,35,0,38,11,27,10,10,0,0,0,0
E00016853,Total,116,12,7,5,2,89,86,3,13,13,0,0,0,0
E00016350,Total,133,55,17,38,1,58,13,45,18,17,0,1,0,1
E00016369,Total,132,50,13,37,1,61,27,34,19,18,0,1,0,1
E00016370,Total,144,54,16,38,0,57,15,42,33,33,0,0,0,0
E00016371,Total,119,57,17,40,0,40,13,27,22,20,0,2,0,0
E00016374,Total,120,44,20,24,0,60,21,39,16,14,0,2,0,0
E00016352,Total,110,49,10,39,0,48,13,35,13,13,0,0,0,0
E00016373,Total,123,44,14,30,1,49,11,38,27,24,1,2,0,2
E00016378,Total,125,51,16,35,2,60,16,44,12,11,0,1,0,0
E00016381,Total,143,55,20,35,1,49,21,28,37,33,0,0,4,1
E00016382,Total,107,53,20,33,2,40,11,29,11,9,0,1,1,1
E00016348,Total,91,47,15,32,9,25,9,16,10,10,0,0,0,0
E00016372,Total,118,44,7,37,3,53,19,34,17,16,0,0,1,1
E00016375,Total,105,53,13,40,0,30,12,18,21,18,0,2,1,1
E00016377,Total,120,49,15,34,1,56,22,34,14,12,0,1,1,0
E00016379,Total,131,60,30,30,0,58,36,22,13,10,0,3,0,0
E00016349,Total,125,53,14,39,0,58,21,37,13,11,0,1,1,1
E00016351,Total,196,76,17,59,0,102,35,67,15,14,0,1,0,3
E00016376,Total,111,49,20,29,0,47,12,35,13,12,0,1,0,2
E00016383,Total,132,67,18,49,0,50,15,35,15,15,0,0,0,0
E00016356,Total,136,67,15,52,2,58,17,41,8,7,0,0,1,1
E00016387,Total,146,62,23,39,1,61,21,40,20,17,0,3,0,2
E00016393,Total,118,55,18,37,2,45,20,25,16,16,0,0,0,0
E00165790,Total,108,46,14,32,0,51,12,39,11,10,0,1,0,0
E00016361,Total,104,48,22,26,0,29,13,16,27,24,1,2,0,0
E00016363,Total,139,65,25,40,0,66,18,48,5,5,0,0,0,3
E00016366,Total,99,80,33,47,0,17,4,13,2,2,0,0,0,0
E00016367,Total,81,51,23,28,0,18,2,16,9,8,0,0,1,3
E00016368,Total,100,72,21,51,0,21,4,17,7,6,0,0,1,0
E00016353,Total,117,57,19,38,0,46,18,28,13,12,0,1,0,1
E00016360,Total,194,82,20,62,8,55,21,34,47,44,0,3,0,2
E00016380,Total,100,43,11,32,0,42,12,30,12,11,0,1,0,3
E00016389,Total,110,46,19,27,1,50,13,37,11,11,0,0,0,2
E00016390,Total,85,50,20,30,1,23,8,15,10,8,0,2,0,1
E00016392,Total,119,51,10,41,0,61,26,35,7,6,0,1,0,0
E00016359,Total,120,82,39,43,0,27,4,23,9,9,0,0,0,2
E00016384,Total,121,85,32,53,0,15,6,9,20,19,0,1,0,1
E00016385,Total,177,31,10,21,1,132,40,92,10,9,0,1,0,3
E00016386,Total,145,16,4,12,0,114,33,81,14,10,0,4,0,1
E00016388,Total,132,105,50,55,0,10,4,6,16,16,0,0,0,1
E00016346,Total,106,48,21,27,0,38,9,29,15,13,0,1,1,5
E00016354,Total,104,24,9,15,0,39,5,34,36,33,0,2,1,5
E00016357,Total,131,23,5,18,1,96,40,56,10,10,0,0,0,1
E00016358,Total,122,39,9,30,6,35,10,25,39,29,1,7,2,3
E00016391,Total,118,97,40,57,2,3,0,3,16,14,0,2,0,0
E00016362,Total,131,64,21,43,4,46,11,35,15,14,0,0,1,2
E00016364,Total,126,59,17,42,0,51,20,31,14,11,0,2,1,2
E00016365,Total,109,34,12,22,0,66,14,52,7,7,0,0,0,2
E00016394,Total,120,60,14,46,0,47,13,34,13,12,0,1,0,0
E00165789,Total,158,27,7,20,0,113,23,90,15,9,0,0,6,3
E00016678,Total,105,20,9,11,1,73,67,6,9,9,0,0,0,2
E00016722,Total,150,16,3,13,1,115,64,51,12,9,0,3,0,6
E00016724,Total,110,39,5,34,5,20,11,9,46,45,0,1,0,0
E00016727,Total,110,26,7,19,0,62,58,4,22,20,0,2,0,0
E00016676,Total,96,24,10,14,0,50,37,13,18,17,0,1,0,4
E00016685,Total,127,28,10,18,1,83,43,40,15,13,0,1,1,0
E00016690,Total,128,14,4,10,0,103,58,45,8,8,0,0,0,3
E00016691,Total,108,44,12,32,0,37,29,8,27,25,2,0,0,0
E00016726,Total,102,3,0,3,1,85,78,7,11,10,0,1,0,2
E00016688,Total,107,42,17,25,0,51,50,1,13,10,0,2,1,1
E00016695,Total,108,39,18,21,0,47,43,4,21,20,0,1,0,1
E00016705,Total,124,28,7,21,0,22,8,14,72,71,0,0,1,2
E00016710,Total,124,31,11,20,1,53,47,6,39,38,0,1,0,0
E00016712,Total,97,12,0,12,0,40,33,7,45,41,0,1,3,0
E00016682,Total,129,46,9,37,1,5,4,1,74,70,0,4,0,3
E00016686,Total,133,29,7,22,0,72,71,1,29,29,0,0,0,3
E00016699,Total,126,34,5,29,0,60,50,10,27,26,0,1,0,5
E00016702,Total,186,16,3,13,1,128,27,101,40,39,0,1,0,1
E00016707,Total,183,31,9,22,0,32,28,4,118,113,0,4,1,2
E00016711,Total,146,35,8,27,1,21,6,15,88,85,0,2,1,1
E00016696,Total,104,25,10,15,1,54,52,2,23,23,0,0,0,1
E00016698,Total,160,34,13,21,0,86,73,13,39,37,0,2,0,1
E00016703,Total,112,19,8,11,1,67,65,2,21,19,0,1,1,4
E00016713,Total,223,21,4,17,7,101,46,55,91,86,2,2,1,3
E00165804,Total,112,29,12,17,2,51,47,4,27,25,0,2,0,3
