OA11CD,Owned,Shared ownership,Social rented,Private rented,Rent free
E00016602,71.42857142857143,0.0,20.30075187969925,8.270676691729323,0.0
E00016624,37.2093023255814,3.10077519379845,11.627906976744185,46.51162790697674,1.550387596899225
E00016625,65.46762589928058,0.0,10.79136690647482,23.741007194244606,0.0
E00016587,48.369565217391305,1.6304347826086956,31.52173913043478,17.934782608695652,0.5434782608695652
E00016594,52.22929936305732,0.6369426751592356,18.471337579617835,27.388535031847134,1.2738853503184713
E00016605,53.591160220994475,0.5524861878453039,15.469613259668508,29.834254143646408,0.5524861878453039
E00016608,63.73626373626374,0.0,16.483516483516482,18.681318681318682,1.098901098901099
E00016626,72.5925925925926,0.0,9.62962962962963,17.77777777777778,0.0
E00016589,55.6390977443609,0.7518796992481203,32.330827067669176,9.774436090225564,1.5037593984962405
E00016595,8.661417322834646,0.7874015748031497,84.25196850393701,6.299212598425197,0.0
E00016597,11.278195488721805,3.7593984962406015,69.92481203007519,13.533834586466165,1.5037593984962405
E00016599,41.007194244604314,5.755395683453237,20.863309352517987,31.654676258992804,0.7194244604316546
E00016601,20.863309352517987,0.0,62.589928057553955,15.107913669064748,1.4388489208633093
E00016607,27.82608695652174,0.0,53.91304347826087,17.391304347826086,0.8695652173913043
E00016573,48.46153846153846,0.7692307692307693,12.307692307692308,37.69230769230769,0.7692307692307693
E00016579,29.104477611940297,0.0,21.64179104477612,47.76119402985075,1.492537313432836
E00016580,49.404761904761905,1.1904761904761905,16.666666666666668,32.73809523809524,0.0
E00016581,33.87096774193548,0.0,29.56989247311828,36.02150537634409,0.5376344086021505
E00016582,54.44444444444444,0.5555555555555556,16.11111111111111,28.88888888888889,0.0
E00016546,33.333333333333336,0.7092198581560284,12.056737588652481,51.773049645390074,2.127659574468085
E00016547,57.926829268292686,0.6097560975609756,8.536585365853659,32.31707317073171,0.6097560975609756
E00016548,73.72262773722628,0.7299270072992701,9.489051094890511,14.598540145985401,1.4598540145985401
E00016550,43.037974683544306,0.6329113924050633,13.924050632911392,42.40506329113924,0.0
E00016583,50.413223140495866,0.0,34.710743801652896,14.87603305785124,0.0
E00016542,41.48148148148148,0.7407407407407407,36.2962962962963,19.25925925925926,2.2222222222222223
E00016552,21.12676056338028,2.816901408450704,63.38028169014085,8.450704225352112,4.225352112676056
E00016554,71.54471544715447,0.0,5.691056910569106,19.51219512195122,3.252032520325203
E00016555,33.333333333333336,0.0,52.63157894736842,10.526315789473685,3.508771929824561
E00016556,61.111111111111114,0.7936507936507936,18.253968253968253,17.46031746031746,2.380952380952381
E00016543,36.904761904761905,0.5952380952380952,32.73809523809524,28.571428571428573,1.1904761904761905
E00016545,26.5625,0.0,55.46875,12.5,5.46875
E00016549,84.32835820895522,0.0,2.985074626865672,8.955223880597014,3.7313432835820897
E00016551,82.14285714285714,0.0,6.428571428571429,5.714285714285714,5.714285714285714
E00016553,60.0,0.0,13.846153846153847,16.923076923076923,9.23076923076923
E00016335,69.23076923076923,0.0,6.593406593406593,24.175824175824175,0.0
E00016336,63.23529411764706,10.294117647058824,8.088235294117647,16.91176470588235,1.4705882352941178
E00016339,85.47008547008546,1.7094017094017093,5.128205128205129,5.128205128205129,2.5641025641025643
E00016340,78.62595419847328,0.0,6.106870229007634,14.50381679389313,0.7633587786259542
E00016341,87.82608695652173,1.7391304347826086,3.4782608695652173,6.086956521739131,0.8695652173913043
E00016309,46.57534246575342,0.0,14.383561643835616,38.35616438356164,0.684931506849315
E00016323,41.228070175438596,0.8771929824561403,43.85964912280702,12.280701754385966,1.7543859649122806
E00016324,46.58385093167702,0.6211180124223602,22.981366459627328,28.571428571428573,1.2422360248447204
E00016325,30.281690140845072,0.704225352112676,4.225352112676056,64.78873239436619,0.0
E00016327,58.064516129032256,0.0,12.903225806451612,29.032258064516128,0.0
E00016326,65.3225806451613,0.0,14.516129032258064,20.161290322580644,0.0
E00016329,42.361111111111114,8.333333333333334,25.694444444444443,22.22222222222222,1.3888888888888888
E00016332,75.67567567567568,1.3513513513513513,6.081081081081081,16.89189189189189,0.0
E00016333,59.45945945945946,0.0,11.711711711711711,28.82882882882883,0.0
E00016337,82.78688524590164,2.459016393442623,5.737704918032787,9.01639344262295,0.0
E00016311,69.84126984126983,0.0,11.11111111111111,19.047619047619047,0.0
E00016328,68.25396825396825,0.7936507936507936,11.11111111111111,19.841269841269842,0.0
