"date","geography","geography code","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"2011","E00022945","E00022945","Total",128,4,124,13,6,2.1,5.0,2.6
"2011","E00022946","E00022946","Total",145,2,143,24,13,2.1,4.5,2.4
"2011","E00022937","E00022937","Total",134,2,132,6,2,2.7,5.6,3.2
"2011","E00022942","E00022942","Total",154,2,152,22,7,2.5,5.0,2.8
"2011","E00022947","E00022947","Total",114,3,111,16,7,2.4,4.7,2.5
"2011","E00022948","E00022948","Total",135,1,134,14,7,2.7,6.0,3.3
"2011","E00022949","E00022949","Total",138,5,133,14,8,2.4,4.9,2.7
"2011","E00022907","E00022907","Total",112,8,104,25,11,2.6,5.5,2.9
"2011","E00022909","E00022909","Total",107,2,105,12,5,2.6,5.7,3.3
"2011","E00022950","E00022950","Total",145,2,143,4,5,3.1,6.3,3.7
"2011","E00022951","E00022951","Total",139,1,138,7,4,2.8,6.8,3.7
"2011","E00023278","E00023278","Total",134,8,126,8,5,2.2,5.1,2.6
"2011","E00023280","E00023280","Total",133,3,130,24,5,2.4,5.6,2.8
"2011","E00023286","E00023286","Total",142,2,140,1,3,3.4,8.4,4.4
"2011","E00023294","E00023294","Total",127,3,124,11,4,2.7,6.9,3.8
"2011","E00023011","E00023011","Total",198,2,196,11,8,2.1,5.8,2.8
"2011","E00023014","E00023014","Total",121,0,121,41,11,2.9,4.7,2.9
"2011","E00023017","E00023017","Total",113,0,113,7,3,2.6,7.5,3.5
"2011","E00023021","E00023021","Total",126,1,125,42,27,2.2,3.9,1.8
"2011","E00023026","E00023026","Total",148,2,146,34,21,2.2,3.8,2.0
"2011","E00023369","E00023369","Total",119,2,117,12,10,2.7,5.2,2.7
"2011","E00023372","E00023372","Total",130,3,127,14,10,2.4,4.3,2.1
"2011","E00023374","E00023374","Total",135,2,133,8,3,2.3,4.8,2.6
"2011","E00023376","E00023376","Total",110,1,109,23,8,2.3,4.1,2.3
"2011","E00023377","E00023377","Total",125,2,123,46,11,1.8,3.7,2.2
"2011","E00023411","E00023411","Total",142,3,139,9,10,2.3,4.9,2.6
"2011","E00023384","E00023384","Total",136,0,136,13,7,2.1,4.6,2.5
