OA11CD,No central heating,Central heating,-1 or less (rooms),-1 or less (bedrooms),Average household size,Average no of rooms,Average no of bedrooms
E00016902,3.6496350364963503,96.35036496350365,20,8,2.3,4.5,2.3
E00016903,7.03125,92.96875,29,21,2.7,4.8,2.6
E00016564,3.7593984962406015,96.2406015037594,22,11,2.6,5.0,2.6
E00016567,3.658536585365854,96.34146341463415,34,26,2.6,3.9,2.1
E00016569,3.90625,96.09375,16,15,2.5,4.9,2.5
E00016571,3.4782608695652173,96.52173913043478,7,11,2.7,5.8,3.1
E00173700,0.0,100.0,46,45,3.8,5.6,3.7
E00173702,4.761904761904762,95.23809523809524,45,43,4.0,6.1,3.8
E00016558,1.5873015873015872,98.41269841269842,35,13,1.9,3.8,1.9
E00016561,0.0,100.0,25,18,2.2,4.3,2.1
E00016566,0.8849557522123894,99.11504424778761,20,12,2.5,4.9,2.7
E00016568,6.25,93.75,16,10,2.2,5.2,2.6
E00016572,2.7210884353741496,97.27891156462584,49,27,2.2,4.7,2.4
E00016575,0.7874015748031497,99.21259842519684,27,20,2.2,4.1,2.0
E00016557,3.1578947368421053,96.84210526315789,16,10,2.1,4.3,2.2
E00016559,2.9197080291970803,97.08029197080292,27,20,2.4,4.7,2.4
E00016560,3.4246575342465753,96.57534246575342,47,34,2.3,4.2,2.1
E00016562,0.0,100.0,27,13,2.4,5.0,2.5
E00016563,1.5873015873015872,98.41269841269842,24,16,2.4,4.7,2.4
E00016565,2.5974025974025974,97.40259740259741,39,24,2.4,4.5,2.4
E00016544,5.369127516778524,94.63087248322148,31,16,2.1,4.6,2.3
E00016574,3.90625,96.09375,15,10,2.5,5.2,2.8
E00016576,3.2,96.8,18,9,2.5,5.4,2.7
E00016577,0.6944444444444444,99.30555555555556,15,11,2.6,5.5,2.9
E00016578,3.7037037037037037,96.29629629629629,15,10,2.5,5.6,2.9
E00016635,3.4285714285714284,96.57142857142857,51,21,2.2,4.1,2.1
E00016640,0.704225352112676,99.29577464788733,31,15,1.9,3.9,2.0
E00016641,4.761904761904762,95.23809523809524,49,42,2.8,4.4,2.2
E00016642,3.278688524590164,96.72131147540983,76,29,2.2,3.7,1.9
E00016643,0.0,100.0,34,22,2.1,3.9,1.9
E00016630,3.9473684210526314,96.05263157894737,36,18,2.1,4.3,2.2
E00016647,1.3245033112582782,98.67549668874172,58,36,2.5,4.2,2.3
E00016648,4.411764705882353,95.58823529411765,57,29,2.4,4.0,2.1
E00016649,3.6231884057971016,96.3768115942029,36,24,2.3,3.8,1.9
E00016651,1.3513513513513513,98.64864864864865,34,14,2.3,4.2,2.1
E00016629,0.0,100.0,39,23,2.5,4.4,2.3
E00016650,2.459016393442623,97.54098360655738,29,18,2.1,4.5,2.1
E00016652,3.875968992248062,96.12403100775194,27,17,2.2,4.0,2.0
E00016654,0.7518796992481203,99.24812030075188,50,27,2.0,3.3,1.5
E00016657,2.158273381294964,97.84172661870504,29,22,2.0,3.8,1.8
E00016633,6.422018348623853,93.57798165137615,40,21,2.3,4.0,2.3
E00016636,15.789473684210526,84.21052631578948,45,20,1.8,3.2,1.3
E00016638,3.5714285714285716,96.42857142857143,26,18,2.0,3.5,1.6
E00016639,2.5,97.5,44,26,2.4,4.1,2.1
E00016674,3.278688524590164,96.72131147540983,17,12,2.2,4.8,2.6
E00174018,0.8547008547008547,99.14529914529915,175,22,1.6,2.4,1.3
E00174019,3.5714285714285716,96.42857142857143,33,14,2.0,3.8,1.9
E00174021,7.2727272727272725,92.72727272727273,14,10,2.1,3.4,1.5
E00016628,7.382550335570469,92.61744966442953,38,15,2.3,4.3,2.2
E00016637,1.5463917525773196,98.45360824742268,42,25,2.4,4.4,2.3
E00174024,10.526315789473685,89.47368421052632,45,16,2.2,4.2,2.1
E00174029,8.928571428571429,91.07142857142857,37,23,2.1,3.7,1.8
E00174030,1.8181818181818181,98.18181818181819,33,15,2.1,3.8,1.8
E00016644,3.8461538461538463,96.15384615384616,67,35,2.4,3.7,1.9
E00016645,4.117647058823529,95.88235294117646,30,14,2.3,4.5,2.2
E00016646,2.8901734104046244,97.10982658959537,51,19,2.4,4.2,2.2
E00016584,1.7167381974248928,98.28326180257511,71,45,2.7,4.5,2.4
E00016596,1.5873015873015872,98.41269841269842,15,14,2.6,5.1,2.6
E00016598,4.385964912280702,95.6140350877193,35,21,2.1,4.6,2.3
E00016623,0.0,100.0,50,26,2.1,3.7,1.8
E00174036,3.0927835051546393,96.90721649484536,18,12,2.1,4.4,2.3
E00174038,3.6842105263157894,96.3157894736842,74,45,2.2,3.6,1.8
E00016585,2.985074626865672,97.01492537313433,35,9,2.0,4.1,2.0
E00016593,2.8688524590163933,97.1311475409836,76,10,2.1,4.8,2.8
E00016600,2.7777777777777777,97.22222222222223,8,5,2.8,5.7,3.1
E00016602,3.007518796992481,96.99248120300751,7,5,2.6,5.2,2.7
E00016624,11.627906976744185,88.37209302325581,34,9,2.0,4.1,2.2
E00016625,4.316546762589928,95.68345323741008,7,2,2.3,5.1,2.6
E00016587,4.891304347826087,95.1086956521739,27,17,2.4,4.8,2.5
E00016594,1.2738853503184713,98.72611464968153,24,11,2.2,4.4,2.3
E00016605,2.7624309392265194,97.23756906077348,35,21,2.2,4.5,2.2
E00016608,4.395604395604396,95.6043956043956,4,4,2.3,5.0,2.5
E00016626,1.4814814814814814,98.51851851851852,11,6,2.6,5.4,2.8
E00016589,3.7593984962406015,96.2406015037594,11,9,2.2,5.1,2.6
E00016595,1.5748031496062993,98.4251968503937,36,22,2.0,3.6,1.7
E00016597,1.5037593984962405,98.49624060150376,17,9,1.8,3.6,1.6
E00016599,2.8776978417266186,97.12230215827338,37,20,2.1,4.1,2.0
E00016601,0.0,100.0,27,21,2.5,4.2,2.2
E00016607,1.7391304347826086,98.26086956521739,31,6,1.7,3.7,1.9
E00016573,0.0,100.0,16,10,2.5,5.2,2.7
E00016579,2.2388059701492535,97.76119402985074,46,27,2.5,4.2,2.3
E00016580,4.761904761904762,95.23809523809524,29,13,2.3,4.6,2.4
E00016581,4.301075268817204,95.6989247311828,50,33,2.6,4.5,2.4
E00016582,5.555555555555555,94.44444444444444,29,21,2.4,4.9,2.6
E00016546,3.5460992907801416,96.45390070921985,29,20,2.3,4.4,2.3
E00016547,1.2195121951219512,98.78048780487805,35,20,2.7,4.9,2.5
E00016548,0.0,100.0,13,9,2.5,5.4,2.8
