OA11CD,Rural Urban,All categories: Household composition,One person household,One person household: Aged 65 and over,One person household: Other,One family household,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E00016188,Total,139,47,14,33,81,6,33,15,14,4,24,19,5,0,18,11,7,11,3,0,1,7
E00016164,Total,110,19,3,16,70,1,31,5,24,2,7,6,1,0,31,22,9,21,7,1,0,13
E00016170,Total,150,73,20,53,53,1,28,8,19,1,7,5,2,0,17,12,5,24,9,2,0,13
E00016175,Total,149,60,10,50,67,3,25,11,11,3,11,7,2,2,28,19,9,22,7,0,0,15
E00016181,Total,140,51,11,40,63,1,24,10,12,2,6,2,3,1,32,25,7,26,9,1,0,16
E00016182,Total,131,29,11,18,85,5,43,9,28,6,23,18,5,0,14,9,5,17,7,1,0,9
E00016162,Total,129,43,16,27,66,6,24,12,11,1,25,23,2,0,11,4,7,20,4,1,1,14
E00016198,Total,105,27,6,21,61,0,25,7,16,2,21,17,4,0,15,13,2,17,3,3,0,11
E00016202,Total,100,15,2,13,68,1,22,1,19,2,5,1,4,0,40,28,12,17,10,0,0,7
E00016205,Total,129,43,5,38,68,3,40,22,16,2,24,21,3,0,1,0,1,18,1,0,0,17
E00016208,Total,140,63,21,42,68,3,31,8,20,3,18,16,2,0,16,12,4,9,1,0,0,8
E00016199,Total,119,31,8,23,71,3,28,12,13,3,2,0,2,0,38,29,9,17,6,3,0,8
E00016200,Total,84,42,19,23,34,0,12,2,10,0,1,1,0,0,21,18,3,8,4,0,1,3
E00016201,Total,56,16,5,11,29,0,7,1,4,2,2,1,0,1,20,14,6,11,8,0,0,3
E00016203,Total,129,52,27,25,65,5,15,6,6,3,8,1,5,2,37,31,6,12,7,1,0,4
E00016207,Total,114,16,4,12,81,1,26,5,14,7,6,0,6,0,48,37,11,17,7,0,0,10
E00016163,Total,129,26,4,22,81,3,44,11,31,2,21,14,7,0,13,12,1,22,5,8,0,9
E00016165,Total,119,36,9,27,71,7,37,14,19,4,22,17,4,1,5,3,2,12,3,0,0,9
E00016168,Total,86,29,6,23,45,2,23,11,10,2,17,14,3,0,3,2,1,12,1,1,0,10
E00016169,Total,116,29,12,17,76,10,56,17,30,9,3,3,0,0,7,1,6,11,4,0,1,6
E00016172,Total,127,56,4,52,63,2,32,13,17,2,13,12,1,0,16,11,5,8,2,0,0,6
E00016177,Total,121,41,8,33,67,2,36,11,22,3,18,16,2,0,11,6,5,13,3,0,0,10
E00016219,Total,146,78,17,61,45,0,17,7,7,3,13,11,2,0,15,8,7,23,3,3,0,17
E00016220,Total,136,62,5,57,59,2,25,5,20,0,21,14,7,0,11,7,4,15,0,1,0,14
E00016221,Total,146,53,12,41,66,1,17,10,6,1,28,20,7,1,20,13,7,27,8,3,0,16
E00016223,Total,107,49,5,44,46,1,24,10,9,5,9,6,3,0,12,5,7,12,4,1,0,7
E00016225,Total,117,39,6,33,54,2,20,10,7,3,21,14,7,0,11,10,1,24,7,1,1,15
E00016255,Total,101,25,1,24,48,0,25,10,11,4,17,16,1,0,6,5,1,28,4,0,0,24
E00016218,Total,113,32,2,30,54,1,23,11,11,1,18,16,2,0,12,9,3,27,1,4,0,22
E00016222,Total,160,61,10,51,63,1,25,7,15,3,16,11,5,0,21,17,4,36,9,1,1,25
E00016224,Total,156,46,7,39,81,2,25,12,13,0,39,30,8,1,15,9,6,29,4,0,0,25
E00016226,Total,120,34,8,26,68,2,27,8,15,4,20,12,8,0,19,12,7,18,6,0,0,12
E00016227,Total,139,58,5,53,56,0,26,8,18,0,17,14,3,0,13,10,3,25,6,0,0,19
E00016228,Total,125,45,2,43,58,4,23,9,9,5,21,13,8,0,10,6,4,22,5,0,0,17
E00016229,Total,182,54,5,49,100,1,41,14,24,3,27,18,9,0,31,23,8,28,5,2,1,20
E00016230,Total,134,40,7,33,61,1,31,8,20,3,14,9,2,3,15,9,6,33,9,2,1,21
E00016231,Total,145,64,10,54,56,3,19,3,12,4,10,6,3,1,24,16,8,25,6,1,0,18
E00016232,Total,130,42,12,30,58,1,21,8,9,4,11,9,2,0,25,23,2,30,10,1,1,18
E00016233,Total,154,49,8,41,77,1,29,16,12,1,12,5,7,0,35,28,7,28,15,3,1,9
E00016212,Total,120,24,7,17,69,8,23,8,13,2,14,10,3,1,24,14,10,27,9,0,1,17
E00016249,Total,118,59,33,26,41,4,19,4,11,4,7,4,3,0,11,8,3,18,4,0,1,13
E00016254,Total,107,21,2,19,62,1,29,7,18,4,12,3,8,1,20,9,11,24,7,0,0,17
E00173952,Total,108,30,7,23,56,4,13,6,5,2,13,8,4,1,26,15,11,22,4,3,0,15
E00174016,Total,98,29,12,17,45,9,20,6,13,1,7,4,3,0,9,3,6,24,3,1,0,20
E00174022,Total,91,30,7,23,53,0,27,10,11,6,20,13,7,0,6,2,4,8,4,0,1,3
E00174008,Total,130,60,0,60,47,0,23,14,9,0,22,17,5,0,2,1,1,23,0,1,0,22
E00174010,Total,120,53,0,53,47,0,21,16,5,0,23,23,0,0,3,1,2,20,3,2,0,15
E00174013,Total,126,46,3,43,58,0,32,22,10,0,23,23,0,0,3,3,0,22,1,1,0,20
E00174015,Total,107,44,1,43,45,0,20,15,5,0,24,22,2,0,1,0,1,18,0,0,0,18
E00174025,Total,127,49,0,49,56,0,34,26,8,0,22,22,0,0,0,0,0,22,0,0,0,22
E00174027,Total,96,45,1,44,43,0,22,15,6,1,21,20,1,0,0,0,0,8,0,1,0,7
E00016178,Total,121,47,24,23,64,1,19,6,11,2,15,8,5,2,29,19,10,10,5,0,1,4
E00016179,Total,128,48,16,32,63,2,27,11,16,0,14,10,3,1,20,14,6,17,3,1,1,12
E00016180,Total,132,51,17,34,71,5,40,22,16,2,13,8,5,0,13,11,2,10,2,0,0,8
E00016187,Total,130,37,9,28,79,10,40,17,21,2,21,17,3,1,8,4,4,14,2,0,0,12
E00016189,Total,128,28,10,18,93,4,60,26,32,2,23,16,5,2,6,2,4,7,2,0,0,5
E00016166,Total,101,48,7,41,48,3,24,8,13,3,18,18,0,0,3,1,2,5,0,0,0,5
E00016167,Total,120,33,12,21,71,10,52,13,32,7,8,4,4,0,1,1,0,16,0,0,1,15
E00016171,Total,153,60,5,55,65,4,31,17,12,2,25,23,2,0,5,3,2,28,1,2,1,24
E00016174,Total,121,41,17,24,75,10,40,21,15,4,22,17,5,0,3,1,2,5,1,0,0,4
E00016204,Total,140,66,22,44,53,5,29,15,12,2,12,9,2,1,7,2,5,21,6,1,1,13
E00016206,Total,121,44,11,33,61,0,32,10,19,3,19,18,1,0,10,9,1,16,5,0,1,10
E00016160,Total,131,38,21,17,85,14,44,17,22,5,21,14,7,0,6,1,5,8,2,0,0,6
E00016183,Total,119,39,13,26,55,6,24,10,13,1,21,19,2,0,4,2,2,25,3,0,0,22
E00016185,Total,114,45,24,21,60,8,44,18,23,3,7,6,1,0,1,0,1,9,1,0,0,8
E00016191,Total,122,43,14,29,66,15,33,12,16,5,11,11,0,0,7,2,5,13,1,0,0,12
E00016195,Total,128,47,18,29,72,7,35,15,18,2,22,19,3,0,8,4,4,9,1,0,0,8
