OA11CD,Rural Urban,All categories: Household composition,One person household,One person household: Aged 65 and over,One person household: Other,One family household,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E00016451,Total,129,32,4,28,86,5,44,11,28,5,23,17,6,0,14,12,2,11,3,0,0,8
E00016490,Total,131,39,7,32,82,1,32,17,14,1,24,16,8,0,25,23,2,10,5,0,0,5
E00016492,Total,115,47,10,37,60,3,26,6,16,4,5,1,4,0,26,19,7,8,3,0,0,5
E00016281,Total,135,43,14,29,74,8,34,11,16,7,14,6,8,0,18,11,7,18,8,0,0,10
E00016290,Total,122,29,15,14,78,6,36,9,21,6,10,5,5,0,26,19,7,15,6,0,0,9
E00016292,Total,107,23,9,14,70,10,35,4,20,11,9,1,6,2,16,10,6,14,6,0,0,8
E00016293,Total,123,25,9,16,79,9,44,11,28,5,12,8,4,0,14,9,5,19,12,0,2,5
E00016295,Total,135,38,13,25,75,4,39,13,23,3,8,4,3,1,24,16,8,22,13,0,0,9
E00016258,Total,132,28,10,18,94,7,49,12,23,14,13,4,8,1,25,15,10,10,6,0,0,4
E00016259,Total,130,46,9,37,67,8,33,8,15,10,10,4,5,1,16,10,6,17,7,0,0,10
E00016298,Total,139,20,8,12,96,4,55,12,29,14,13,4,8,1,24,14,10,23,15,2,0,6
E00016299,Total,138,34,16,18,82,4,45,9,28,8,9,4,5,0,24,15,9,22,7,0,1,14
E00016274,Total,116,34,8,26,69,8,37,11,21,5,9,5,4,0,15,9,6,13,5,0,2,6
E00016276,Total,150,66,10,56,65,3,32,10,18,4,17,6,10,1,13,10,3,19,2,0,0,17
E00016277,Total,124,39,9,30,60,4,31,10,16,5,7,4,3,0,18,11,7,25,8,1,1,15
E00016278,Total,104,21,2,19,64,4,32,10,14,8,9,5,3,1,19,13,6,19,8,0,0,11
E00016285,Total,110,37,2,35,60,3,29,7,14,8,9,6,3,0,19,17,2,13,6,0,1,6
E00016256,Total,121,32,10,22,66,6,29,10,13,6,5,1,2,2,26,22,4,23,7,0,2,14
E00016284,Total,114,42,6,36,57,5,36,12,17,7,5,2,2,1,11,8,3,15,10,0,0,5
E00016286,Total,136,35,10,25,83,4,41,7,25,9,12,6,5,1,26,14,12,18,13,0,0,5
E00016296,Total,120,33,6,27,68,6,29,4,20,5,8,2,6,0,25,20,5,19,12,0,0,7
E00016297,Total,138,52,16,36,74,8,32,11,15,6,7,2,4,1,27,14,13,12,6,0,0,6
E00016275,Total,159,56,10,46,77,3,32,11,13,8,8,3,4,1,34,28,6,26,12,0,1,13
E00016279,Total,112,25,13,12,69,5,35,10,16,9,9,4,5,0,20,11,9,18,6,1,2,9
E00016280,Total,102,23,9,14,62,3,21,4,13,4,13,7,4,2,25,17,8,17,10,1,2,4
E00016283,Total,135,37,10,27,77,5,44,11,27,6,10,2,8,0,18,10,8,21,8,1,0,12
E00016287,Total,118,23,4,19,74,3,37,14,15,8,13,7,5,1,21,15,6,21,7,1,0,13
E00016513,Total,131,35,15,20,88,2,41,10,22,9,11,4,7,0,34,25,9,8,5,0,0,3
E00016514,Total,125,69,34,35,44,5,22,11,7,4,4,2,2,0,13,9,4,12,8,0,0,4
E00016515,Total,129,41,19,22,74,1,35,15,16,4,12,8,4,0,26,21,5,14,6,0,0,8
E00016516,Total,111,34,17,17,68,7,29,6,17,6,8,4,4,0,24,22,2,9,6,0,0,3
E00016519,Total,112,44,12,32,60,4,32,13,18,1,11,7,4,0,13,8,5,8,3,0,0,5
E00016521,Total,131,59,15,44,62,10,20,4,14,2,10,5,5,0,22,17,5,10,1,0,0,9
E00016493,Total,161,64,22,42,65,4,28,12,11,5,11,5,6,0,22,21,1,32,16,0,0,16
E00016499,Total,119,33,15,18,69,7,35,18,5,12,9,7,2,0,18,15,3,17,8,0,0,9
E00016502,Total,107,32,11,21,62,0,39,4,27,8,7,3,3,1,16,9,7,13,4,0,1,8
E00016503,Total,109,61,4,57,37,1,17,8,7,2,12,10,2,0,7,3,4,11,2,0,0,9
E00016507,Total,103,31,7,24,51,1,27,10,14,3,12,10,2,0,11,6,5,21,5,0,0,16
E00016540,Total,119,32,19,13,79,9,41,10,22,9,14,6,8,0,15,7,8,8,5,0,0,3
E00016498,Total,227,61,18,43,139,5,83,27,37,19,18,8,9,1,33,19,14,27,13,0,0,14
E00016500,Total,127,40,9,31,75,3,25,8,13,4,8,5,3,0,39,28,11,12,6,0,0,6
E00016505,Total,156,62,15,47,74,3,27,7,17,3,8,4,4,0,36,28,8,20,6,0,0,14
E00016541,Total,137,29,13,16,84,9,58,26,24,8,9,6,1,2,8,3,5,24,10,0,0,14
E00016494,Total,156,64,8,56,77,1,47,18,21,8,17,13,2,2,12,9,3,15,3,0,1,11
E00016495,Total,109,51,1,50,52,0,23,10,11,2,17,11,5,1,12,9,3,6,1,0,0,5
E00016501,Total,149,29,13,16,103,10,59,9,35,15,10,4,6,0,24,14,10,17,7,0,0,10
E00016508,Total,139,39,14,25,80,9,45,12,23,10,8,5,3,0,18,7,11,20,11,0,1,8
E00016511,Total,125,31,10,21,82,5,57,10,31,16,7,3,1,3,13,6,7,12,5,0,0,7
E00016504,Total,115,20,7,13,86,14,59,18,27,14,3,1,2,0,10,7,3,9,3,0,2,4
E00016506,Total,133,20,5,15,99,12,63,20,29,14,8,6,2,0,16,11,5,14,6,0,1,7
E00016509,Total,158,33,20,13,106,16,65,26,23,16,10,2,3,5,15,8,7,19,12,0,0,7
E00016510,Total,107,18,6,12,79,13,36,15,15,6,14,6,6,2,16,7,9,10,1,0,1,8
E00016512,Total,124,26,12,14,84,8,52,14,25,13,11,9,1,1,13,7,6,14,8,1,0,5
E00016750,Total,116,32,6,26,61,2,27,9,13,5,21,10,10,1,11,7,4,23,6,0,4,13
E00016752,Total,130,29,17,12,86,11,57,11,29,17,9,4,2,3,9,4,5,15,5,0,0,10
E00016753,Total,108,25,6,19,74,1,40,17,18,5,7,4,3,0,26,21,5,9,3,1,0,5
E00016758,Total,141,57,22,35,74,9,22,7,12,3,12,6,6,0,31,26,5,10,5,0,0,5
E00016763,Total,132,37,8,29,75,4,50,15,30,5,12,7,5,0,9,4,5,20,4,0,0,16
E00016738,Total,172,60,15,45,80,4,40,10,24,6,13,9,4,0,23,17,6,32,19,0,1,12
E00016739,Total,119,31,9,22,78,2,44,12,31,1,16,8,7,1,16,11,5,10,3,0,1,6
E00016740,Total,140,40,11,29,70,1,33,12,16,5,19,10,9,0,17,11,6,30,17,1,1,11
E00016749,Total,127,39,6,33,74,1,35,7,27,1,14,11,3,0,24,15,9,14,9,0,0,5
E00016755,Total,176,65,13,52,91,2,35,15,16,4,25,12,12,1,29,21,8,20,7,0,0,13
E00016745,Total,160,40,6,34,85,1,35,19,14,2,26,13,13,0,23,14,9,35,18,1,0,16
E00016746,Total,148,42,8,34,79,3,34,12,19,3,21,15,5,1,21,11,10,27,8,0,0,19
E00016751,Total,127,38,5,33,69,1,33,12,15,6,10,7,3,0,25,18,7,20,6,0,0,14
E00016754,Total,131,45,8,37,67,1,31,9,17,5,13,10,3,0,22,15,7,19,3,1,1,14
E00016757,Total,117,38,7,31,63,3,31,12,15,4,16,10,6,0,13,5,8,16,3,0,1,12
E00016732,Total,165,61,3,58,59,0,31,11,18,2,17,13,4,0,11,8,3,45,6,1,2,36
E00016735,Total,152,52,14,38,84,4,36,16,16,4,23,11,10,2,21,13,8,16,7,0,0,9
E00016741,Total,132,54,23,31,61,5,30,11,14,5,14,8,6,0,12,8,4,17,2,0,0,15
E00016742,Total,150,55,6,49,75,2,30,7,18,5,23,16,7,0,20,15,5,20,3,0,0,17
E00016733,Total,130,33,10,23,81,4,39,14,18,7,18,10,7,1,20,9,11,16,8,0,0,8
E00016734,Total,118,34,12,22,68,3,35,13,17,5,13,6,7,0,17,13,4,16,7,0,1,8
E00016743,Total,117,26,9,17,73,2,45,14,22,9,11,9,1,1,15,8,7,18,8,0,0,10
E00016744,Total,130,36,8,28,73,3,49,7,31,11,13,6,6,1,8,5,3,21,6,1,1,13
E00016747,Total,114,43,10,33,48,3,21,9,9,3,12,9,3,0,12,10,2,23,5,0,3,15
E00016261,Total,119,29,10,19,68,5,36,5,25,6,9,3,6,0,18,13,5,22,16,0,0,6
E00016282,Total,145,65,4,61,55,4,25,5,16,4,12,6,6,0,14,9,5,25,12,0,0,13
E00016288,Total,179,65,12,53,85,1,48,18,26,4,15,9,6,0,21,14,7,29,19,1,0,9
E00016289,Total,125,38,7,31,64,4,27,6,18,3,12,8,3,1,21,13,8,23,11,0,0,12
E00016294,Total,121,34,4,30,65,7,40,11,16,13,9,3,5,1,9,4,5,22,14,0,0,8
E00016260,Total,139,44,12,32,81,6,42,7,24,11,13,5,7,1,20,9,11,14,8,0,0,6
E00016262,Total,110,46,11,35,54,2,32,8,17,7,5,2,3,0,15,10,5,10,4,1,0,5
E00016266,Total,132,35,16,19,75,8,40,13,18,9,11,3,8,0,16,8,8,22,10,0,1,11
E00016267,Total,102,28,14,14,60,7,35,10,23,2,5,2,2,1,13,4,9,14,6,0,0,8
E00016271,Total,148,43,18,25,85,8,42,5,26,11,14,5,6,3,21,14,7,20,9,2,0,9
E00016257,Total,147,28,9,19,81,3,41,8,23,10,13,10,3,0,24,15,9,38,26,0,0,12
E00016263,Total,99,45,16,29,42,5,27,5,15,7,5,0,3,2,5,4,1,12,6,1,0,5
E00016265,Total,186,61,15,46,98,9,34,8,21,5,15,9,6,0,40,27,13,27,15,1,0,11
E00016268,Total,170,39,13,26,106,10,50,16,20,14,7,4,1,2,39,24,15,25,16,0,2,7
E00016291,Total,167,78,7,71,64,2,18,6,8,4,18,14,4,0,26,23,3,25,7,1,0,17
E00016264,Total,115,32,20,12,73,16,38,13,15,10,6,3,2,1,13,9,4,10,6,0,0,4
E00016269,Total,125,28,12,16,84,8,51,15,25,11,7,2,4,1,18,11,7,13,7,0,0,6
E00016270,Total,100,18,8,10,69,8,44,6,24,14,8,3,4,1,9,3,6,13,7,0,1,5
E00016272,Total,131,37,10,27,69,7,45,14,20,11,6,3,3,0,11,6,5,25,14,0,0,11
E00016273,Total,132,27,8,19,73,7,42,11,23,8,9,3,5,1,15,11,4,32,15,0,1,16
E00016930,Total,216,62,27,35,129,9,62,12,39,11,9,4,5,0,49,30,19,25,17,0,0,8
E00016946,Total,149,32,15,17,101,7,40,10,22,8,13,7,5,1,41,30,11,16,10,0,0,6
E00016952,Total,119,48,18,30,54,4,19,6,9,4,4,2,1,1,27,17,10,17,11,0,0,6
E00016964,Total,114,38,21,17,70,2,27,5,17,5,10,2,6,2,31,21,10,6,4,1,0,1
E00016929,Total,111,29,13,16,71,5,28,4,18,6,11,3,5,3,27,20,7,11,5,0,0,6
E00016931,Total,103,22,6,16,69,4,25,6,17,2,9,3,6,0,31,27,4,12,8,0,0,4
E00016932,Total,110,36,14,22,64,4,28,4,22,2,7,2,5,0,25,20,5,10,2,0,1,7
E00016954,Total,93,19,9,10,68,1,26,2,20,4,6,1,5,0,35,30,5,6,3,0,1,2
E00016961,Total,124,50,13,37,62,2,26,3,17,6,9,1,6,2,25,15,10,12,5,0,1,6
E00016933,Total,168,37,18,19,106,7,36,7,22,7,15,6,8,1,48,35,13,25,15,0,0,10
E00016953,Total,130,65,40,25,59,7,11,4,6,1,7,3,4,0,34,28,6,6,3,0,1,2
E00016957,Total,110,31,10,21,70,3,29,5,24,0,13,6,6,1,25,20,5,9,7,0,1,1
E00016960,Total,107,34,22,12,62,7,24,8,12,4,6,2,4,0,25,19,6,11,4,0,0,7
E00016966,Total,77,20,8,12,48,3,17,2,10,5,8,1,6,1,20,13,7,9,6,0,0,3
E00016940,Total,101,23,7,16,66,7,31,9,19,3,9,2,6,1,19,12,7,12,8,0,0,4
E00016941,Total,134,34,17,17,80,9,41,12,20,9,11,5,6,0,19,16,3,20,11,0,0,9
E00016942,Total,118,47,6,41,56,2,26,2,18,6,5,3,2,0,23,17,6,15,8,0,0,7
E00016943,Total,123,67,1,66,49,2,22,6,14,2,14,10,4,0,11,10,1,7,3,0,0,4
E00016944,Total,118,38,18,20,66,5,36,9,17,10,5,2,2,1,20,16,4,14,9,0,1,4
E00016945,Total,107,55,1,54,48,0,27,10,17,0,11,6,5,0,10,10,0,4,0,0,0,4
E00016728,Total,113,51,28,23,56,2,23,4,14,5,5,2,3,0,26,26,0,6,4,0,0,2
E00016764,Total,110,36,8,28,53,2,22,3,12,7,5,1,4,0,24,13,11,21,8,0,0,13
E00016766,Total,139,57,29,28,61,3,19,4,10,5,2,0,1,1,37,26,11,21,11,0,0,10
E00016768,Total,143,74,9,65,60,2,15,7,7,1,9,3,6,0,34,27,7,9,4,0,0,5
E00016772,Total,140,41,18,23,78,8,37,11,19,7,12,7,4,1,21,14,7,21,5,0,1,15
E00016737,Total,113,37,10,27,60,1,34,14,15,5,13,9,4,0,12,7,5,16,4,0,2,10
E00016748,Total,132,61,14,47,58,2,19,8,10,1,14,9,5,0,23,19,4,13,2,0,0,11
E00016756,Total,115,43,5,38,57,1,12,3,7,2,7,3,4,0,37,31,6,15,9,0,0,6
E00016760,Total,145,63,13,50,59,1,19,6,11,2,12,10,2,0,27,23,4,23,3,1,0,19
E00173704,Total,112,43,6,37,55,1,28,12,12,4,15,13,2,0,11,4,7,14,4,3,0,7
E00173705,Total,66,30,0,30,33,1,13,8,4,1,12,7,4,1,7,6,1,3,0,0,0,3
E00173707,Total,73,35,0,35,20,0,4,3,1,0,15,12,3,0,1,0,1,18,0,1,0,17
E00016729,Total,107,35,8,27,62,12,29,8,11,10,12,7,5,0,9,4,5,10,3,0,0,7
E00016730,Total,131,35,15,20,78,10,46,15,21,10,11,4,7,0,11,5,6,18,7,0,1,10
E00016759,Total,130,29,8,21,87,18,40,9,18,13,15,6,7,2,14,7,7,14,5,1,1,7
E00016761,Total,121,18,8,10,91,4,60,14,31,15,16,8,8,0,11,5,6,12,4,0,0,8
E00016762,Total,116,32,16,16,60,2,23,7,11,5,12,2,10,0,23,12,11,24,11,0,0,13
E00016765,Total,109,49,4,45,45,2,22,9,10,3,7,6,1,0,14,10,4,15,4,0,0,11
E00016767,Total,130,52,13,39,67,2,25,6,13,6,12,5,6,1,28,22,6,11,3,1,0,7
E00016770,Total,95,61,0,61,26,0,7,4,2,1,14,12,2,0,5,2,3,8,0,1,0,7
E00016771,Total,167,58,13,45,87,5,44,15,25,4,14,9,5,0,24,19,5,22,5,0,1,16
E00016774,Total,132,32,13,19,79,4,42,9,27,6,12,4,7,1,21,14,7,21,7,0,0,14
E00016777,Total,146,38,12,26,84,9,45,11,22,12,14,7,7,0,16,10,6,24,5,0,1,18
E00016731,Total,135,45,4,41,77,2,27,11,11,5,9,4,2,3,39,27,12,13,6,1,0,6
E00016769,Total,153,49,6,43,86,2,35,9,19,7,10,5,5,0,39,32,7,18,8,0,0,10
E00016773,Total,122,38,7,31,76,2,25,5,18,2,8,5,3,0,41,38,3,8,3,0,0,5
E00016775,Total,111,36,9,27,53,2,18,1,17,0,4,1,3,0,29,25,4,22,5,0,0,17
E00016776,Total,149,60,23,37,77,4,33,10,14,9,13,9,2,2,27,19,8,12,4,0,0,8
E00016460,Total,135,34,13,21,84,8,44,15,21,8,11,8,3,0,21,12,9,17,5,0,3,9
E00016463,Total,230,88,7,81,92,1,22,11,9,2,23,11,10,2,46,39,7,50,11,0,0,39
E00016467,Total,137,46,15,31,77,8,51,18,25,8,8,6,2,0,10,6,4,14,6,0,0,8
E00016469,Total,141,44,7,37,78,7,26,13,11,2,20,11,9,0,25,16,9,19,2,0,0,17
E00016471,Total,101,30,6,24,62,0,13,0,11,2,11,5,5,1,38,33,5,9,3,0,0,6
E00016472,Total,187,95,33,62,66,7,25,16,7,2,15,11,4,0,19,16,3,26,5,1,0,20
E00016447,Total,135,45,11,34,72,4,31,11,16,4,16,14,2,0,21,16,5,18,4,0,1,13
E00016458,Total,146,50,7,43,83,4,32,9,21,2,13,7,6,0,34,24,10,13,4,0,2,7
E00016459,Total,98,28,14,14,57,15,31,12,13,6,9,2,7,0,2,1,1,13,3,0,1,9
E00016464,Total,119,49,8,41,55,1,14,1,9,4,4,2,2,0,36,32,4,15,7,0,0,8
E00016465,Total,121,76,59,17,36,6,17,3,12,2,6,4,2,0,7,3,4,9,2,0,1,6
E00016466,Total,116,38,12,26,67,11,38,13,18,7,8,4,3,1,10,5,5,11,4,0,0,7
E00016475,Total,86,29,4,25,46,3,17,4,12,1,8,2,5,1,18,16,2,11,5,0,0,6
E00016476,Total,108,28,5,23,70,0,23,6,14,3,16,9,7,0,31,24,7,10,4,0,1,5
E00016478,Total,83,36,11,25,41,3,18,6,12,0,10,6,4,0,10,7,3,6,3,0,0,3
E00016479,Total,96,19,3,16,67,2,18,3,12,3,7,3,3,1,40,35,5,10,7,0,0,3
E00016480,Total,114,42,4,38,67,0,24,2,19,3,10,3,7,0,33,27,6,5,3,0,0,2
E00016482,Total,107,41,9,32,54,2,23,6,14,3,4,1,3,0,25,24,1,12,6,0,0,6
E00016468,Total,94,31,16,15,55,6,32,10,18,4,11,7,3,1,6,2,4,8,5,1,0,2
E00016470,Total,104,33,11,22,62,8,31,10,19,2,12,10,2,0,11,7,4,9,5,0,0,4
E00016473,Total,126,37,7,30,77,4,34,12,16,6,12,7,4,1,27,16,11,12,5,0,0,7
E00016474,Total,128,51,15,36,66,7,26,13,11,2,14,9,4,1,19,15,4,11,2,1,0,8
E00016477,Total,134,45,14,31,76,3,40,11,22,7,21,15,6,0,12,9,3,13,3,0,0,10
E00016481,Total,170,73,4,69,74,0,24,15,9,0,33,29,4,0,17,16,1,23,4,1,0,18
E00016126,Total,126,32,13,19,76,10,37,13,18,6,11,3,7,1,18,6,12,18,5,1,2,10
E00016127,Total,142,31,13,18,89,5,51,13,28,10,9,2,7,0,24,16,8,22,10,0,0,12
E00016131,Total,137,51,14,37,73,6,25,5,16,4,13,3,10,0,29,17,12,13,5,0,0,8
E00016134,Total,138,76,28,48,50,2,21,9,8,4,6,4,1,1,21,11,10,12,4,1,3,4
E00016140,Total,123,50,10,40,62,3,18,4,11,3,16,9,5,2,25,17,8,11,2,0,0,9
E00016118,Total,144,40,16,24,86,7,48,13,20,15,11,4,5,2,20,10,10,18,11,0,0,7
E00016154,Total,153,96,39,57,50,9,22,6,10,6,5,2,3,0,14,11,3,7,2,0,0,5
E00016155,Total,153,39,6,33,75,4,25,6,12,7,12,4,7,1,34,27,7,39,22,0,1,16
E00016156,Total,141,63,24,39,63,4,21,6,9,6,4,3,1,0,34,29,5,15,9,0,0,6
E00016157,Total,125,31,12,19,86,1,33,3,19,11,9,3,6,0,43,23,20,8,2,0,0,6
E00016112,Total,142,66,28,38,64,2,30,9,18,3,8,5,3,0,24,17,7,12,8,0,0,4
E00016119,Total,122,24,8,16,87,8,50,16,22,12,7,4,2,1,22,11,11,11,6,0,1,4
E00016121,Total,126,54,11,43,61,1,28,9,14,5,13,7,4,2,19,16,3,11,1,0,0,10
E00016123,Total,122,28,8,20,75,7,44,9,28,7,5,3,2,0,19,13,6,19,13,0,2,4
E00016158,Total,125,34,7,27,67,5,21,11,9,1,19,12,7,0,22,10,12,24,13,0,0,11
E00016113,Total,162,60,25,35,87,10,34,2,22,10,10,4,3,3,33,20,13,15,4,0,0,11
E00016120,Total,110,24,15,9,76,2,32,7,16,9,10,2,7,1,32,22,10,10,9,0,0,1
E00016122,Total,120,31,15,16,73,2,38,6,26,6,4,1,3,0,29,22,7,16,9,0,1,6
E00016124,Total,112,30,11,19,69,1,28,6,17,5,9,1,6,2,31,20,11,13,7,0,0,6
E00016125,Total,120,37,20,17,73,0,41,8,23,10,4,2,2,0,28,19,9,10,5,0,0,5
E00016114,Total,106,33,11,22,57,2,27,9,12,6,4,1,3,0,24,15,9,16,8,0,1,7
E00016128,Total,133,36,15,21,82,4,27,7,15,5,11,3,7,1,40,27,13,15,11,0,0,4
E00016130,Total,132,48,20,28,69,5,28,4,18,6,12,3,9,0,24,17,7,15,8,0,1,6
E00016133,Total,119,28,9,19,77,1,33,3,20,10,10,5,5,0,33,25,8,14,7,0,0,7
E00016135,Total,135,46,25,21,70,2,31,11,15,5,9,4,3,2,28,19,9,19,12,0,0,7
E00016948,Total,146,30,7,23,96,2,31,3,20,8,10,2,7,1,53,46,7,20,11,1,0,8
E00016949,Total,130,30,8,22,82,3,26,4,19,3,8,2,6,0,45,39,6,18,10,1,0,7
E00016951,Total,126,21,3,18,88,1,22,2,18,2,8,2,5,1,57,49,8,17,11,0,0,6
E00016955,Total,128,36,10,26,81,1,29,5,19,5,9,5,4,0,42,34,8,11,9,1,0,1
E00016956,Total,108,31,11,20,63,2,26,4,16,6,6,0,6,0,29,24,5,14,8,0,1,5
E00016950,Total,110,28,16,12,73,14,42,9,23,10,5,3,1,1,12,7,5,9,7,0,0,2
E00016967,Total,115,32,17,15,69,8,33,4,20,9,9,4,5,0,19,11,8,14,8,0,0,6
E00016968,Total,118,39,15,24,67,8,35,11,19,5,9,3,5,1,15,8,7,12,5,0,0,7
E00016969,Total,115,37,16,21,69,2,30,11,16,3,7,2,5,0,30,17,13,9,5,0,0,4
E00016971,Total,113,35,8,27,63,4,24,9,11,4,11,4,6,1,24,12,12,15,9,0,0,6
E00016928,Total,132,21,5,16,86,1,35,5,20,10,9,0,9,0,41,30,11,25,15,0,0,10
E00016947,Total,141,48,23,25,87,13,30,5,20,5,9,4,3,2,35,22,13,6,5,0,0,1
E00016958,Total,122,19,5,14,96,3,39,10,23,6,15,4,11,0,39,28,11,7,7,0,0,0
E00016963,Total,124,34,19,15,77,8,47,16,19,12,4,2,2,0,18,13,5,13,7,0,2,4
E00016937,Total,151,39,23,16,98,15,54,9,25,20,14,6,7,1,15,5,10,14,5,0,2,7
E00016959,Total,108,23,12,11,74,20,34,8,17,9,8,1,6,1,12,3,9,11,5,1,0,5
E00016962,Total,190,73,34,39,96,3,37,11,21,5,8,2,6,0,48,32,16,21,13,0,1,7
E00016965,Total,142,68,14,54,59,1,29,7,18,4,6,3,3,0,23,16,7,15,7,1,1,6
E00016970,Total,144,43,14,29,82,2,29,2,21,6,14,3,9,2,37,27,10,19,5,1,0,13
E00016934,Total,126,28,11,17,77,7,45,10,21,14,9,3,6,0,16,9,7,21,10,0,1,10
E00016935,Total,157,38,17,21,94,9,55,9,21,25,12,3,9,0,18,9,9,25,11,0,2,12
E00016936,Total,125,25,10,15,84,5,49,12,25,12,13,5,8,0,17,9,8,16,8,0,1,7
E00016938,Total,102,23,9,14,65,6,46,4,24,18,7,2,5,0,6,2,4,14,6,0,0,8
E00016939,Total,122,47,24,23,60,1,38,11,18,9,10,5,4,1,11,7,4,15,7,0,1,7
E00016496,Total,121,39,10,29,73,3,24,9,15,0,26,16,10,0,20,17,3,9,1,0,0,8
E00016517,Total,97,25,5,20,67,4,19,5,7,7,12,5,7,0,32,27,5,5,2,0,0,3
E00016518,Total,133,57,34,23,64,6,32,8,21,3,10,6,4,0,16,11,5,12,2,0,2,8
E00016523,Total,120,54,15,39,56,4,29,8,11,10,9,7,2,0,14,8,6,10,3,0,0,7
E00016524,Total,131,41,16,25,70,6,32,12,12,8,11,2,7,2,21,16,5,20,8,0,0,12
E00016525,Total,126,68,56,12,51,15,25,5,15,5,5,2,3,0,6,2,4,7,2,0,2,3
E00016497,Total,120,39,8,31,60,3,17,4,8,5,8,5,2,1,32,24,8,21,10,0,1,10
E00016527,Total,103,25,4,21,59,0,16,4,10,2,12,10,2,0,31,28,3,19,8,0,0,11
E00016528,Total,113,45,4,41,56,0,12,4,8,0,24,15,8,1,20,15,5,12,5,0,0,7
E00016531,Total,127,34,17,17,77,4,29,6,12,11,6,3,3,0,38,24,14,16,12,1,0,3
E00016532,Total,105,43,10,33,51,1,15,6,7,2,14,8,5,1,21,18,3,11,3,0,0,8
E00016535,Total,112,47,8,39,54,2,21,3,13,5,9,6,3,0,22,16,6,11,4,1,0,6
E00016520,Total,124,59,38,21,55,6,25,12,12,1,6,1,3,2,18,12,6,10,6,0,0,4
E00016522,Total,146,75,26,49,67,4,23,6,16,1,14,9,3,2,26,18,8,4,4,0,0,0
E00016526,Total,141,77,37,40,53,7,21,4,14,3,5,3,2,0,20,14,6,11,6,1,0,4
E00016529,Total,115,35,4,31,77,3,27,6,14,7,13,7,6,0,34,18,16,3,1,0,0,2
E00016530,Total,118,31,7,24,74,8,28,6,15,7,6,3,2,1,32,24,8,13,9,0,0,4
E00016533,Total,113,25,8,17,70,5,37,12,14,11,11,2,7,2,17,9,8,18,10,0,0,8
E00016534,Total,110,24,15,9,76,11,45,11,25,9,9,3,4,2,11,8,3,10,5,0,1,4
E00016536,Total,115,28,17,11,71,4,32,6,17,9,11,3,6,2,24,14,10,16,10,0,0,6
E00016537,Total,106,28,11,17,65,3,21,1,14,6,17,7,8,2,24,16,8,13,8,0,0,5
E00016538,Total,121,24,10,14,85,0,31,5,16,10,13,4,6,3,41,30,11,12,11,0,0,1
E00016539,Total,146,62,21,41,77,10,35,9,17,9,12,1,9,2,20,15,5,7,5,0,1,1
E00016830,Total,139,29,13,16,94,8,46,11,26,9,19,13,6,0,21,13,8,16,4,0,1,11
E00016839,Total,117,42,7,35,64,2,27,12,12,3,18,14,4,0,17,12,5,11,3,0,0,8
E00016845,Total,136,50,12,38,74,1,34,7,21,6,21,13,6,2,18,14,4,12,2,0,1,9
E00016872,Total,140,35,13,22,95,0,47,13,26,8,19,10,9,0,29,21,8,10,2,0,0,8
E00016873,Total,134,45,9,36,75,2,24,6,14,4,13,6,6,1,36,29,7,14,9,0,0,5
E00016838,Total,129,36,10,26,84,1,17,3,10,4,8,4,3,1,58,50,8,9,6,1,0,2
E00016840,Total,126,36,18,18,74,8,41,13,18,10,6,2,4,0,19,7,12,16,9,0,2,5
E00016847,Total,105,35,15,20,66,1,25,7,17,1,8,3,4,1,32,24,8,4,4,0,0,0
E00016852,Total,87,24,4,20,52,4,27,10,16,1,10,8,2,0,11,6,5,11,1,0,0,10
E00016858,Total,99,18,11,7,72,3,10,0,7,3,4,0,2,2,55,40,15,9,5,0,0,4
E00016874,Total,116,63,40,23,50,5,14,3,7,4,9,5,3,1,22,11,11,3,1,0,1,1
E00016826,Total,116,44,18,26,59,8,21,2,13,6,7,1,5,1,23,18,5,13,1,1,0,11
E00016831,Total,112,41,13,28,55,1,22,5,10,7,8,1,7,0,24,16,8,16,6,0,0,10
E00016832,Total,125,59,35,24,55,8,19,8,9,2,9,2,7,0,19,12,7,11,1,0,1,9
E00016833,Total,121,30,18,12,69,9,39,9,17,13,11,6,4,1,10,3,7,22,7,0,2,13
E00016875,Total,98,24,7,17,63,6,28,9,14,5,7,0,7,0,22,14,8,11,3,0,1,7
E00016828,Total,114,39,16,23,68,2,23,7,15,1,21,13,8,0,22,14,8,7,2,0,0,5
E00016850,Total,92,38,6,32,47,0,17,4,9,4,15,6,8,1,15,10,5,7,1,0,0,6
E00016854,Total,120,36,13,23,73,5,34,8,19,7,13,12,0,1,21,13,8,11,4,0,1,6
E00016855,Total,111,46,6,40,51,0,21,10,10,1,25,20,5,0,5,4,1,14,1,0,1,12
E00016857,Total,126,47,8,39,71,7,25,12,11,2,21,16,5,0,18,10,8,8,4,0,0,4
E00016878,Total,116,55,26,29,44,2,20,4,11,5,2,2,0,0,20,12,8,17,11,0,2,4
