OA11CD,Full-time,Part-time,Self-employed,Working student,Unemployed,Inactive
E00016190,42.24598930481283,6.951871657754011,5.347593582887701,3.2085561497326203,5.347593582887701,36.898395721925134
E00016192,47.89915966386555,10.92436974789916,9.663865546218487,0.8403361344537815,6.722689075630252,23.949579831932773
E00016193,66.21004566210046,5.0228310502283104,7.30593607305936,3.65296803652968,4.566210045662101,13.242009132420092
E00016194,52.55813953488372,10.232558139534884,9.767441860465116,3.7209302325581395,8.372093023255815,15.348837209302326
E00016196,43.81625441696113,12.720848056537102,9.540636042402827,3.5335689045936394,7.773851590106007,22.614840989399294
E00016905,37.10407239819005,15.384615384615385,8.144796380090497,5.429864253393665,7.239819004524887,26.69683257918552
E00016907,36.24454148471616,11.790393013100436,7.423580786026201,7.860262008733624,7.423580786026201,29.25764192139738
E00016908,36.30573248407644,10.828025477707007,3.821656050955414,5.732484076433121,6.369426751592357,36.94267515923567
E00016910,25.35211267605634,14.084507042253522,7.042253521126761,7.042253521126761,8.92018779342723,37.55868544600939
E00016912,29.166666666666668,13.88888888888889,4.166666666666667,5.555555555555555,9.027777777777779,38.19444444444444
E00016909,33.455882352941174,14.338235294117647,14.705882352941176,3.676470588235294,5.882352941176471,27.941176470588236
E00016911,37.792642140468224,12.709030100334449,9.03010033444816,2.6755852842809364,6.688963210702341,31.103678929765888
E00016913,33.68055555555556,14.583333333333334,12.847222222222221,4.166666666666667,10.416666666666666,24.305555555555557
E00016914,27.027027027027028,18.46846846846847,11.26126126126126,8.108108108108109,9.90990990990991,25.225225225225227
E00016896,46.30350194552529,7.392996108949417,17.898832684824903,3.8910505836575875,3.501945525291829,21.011673151750973
E00016898,53.67965367965368,10.38961038961039,9.956709956709958,2.1645021645021645,3.896103896103896,19.913419913419915
E00016900,45.45454545454545,11.742424242424242,14.772727272727273,4.166666666666667,3.0303030303030303,20.833333333333332
E00016901,41.29032258064516,12.903225806451612,9.67741935483871,5.161290322580645,7.741935483870968,23.225806451612904
E00016904,48.743718592964825,13.06532663316583,8.542713567839195,5.527638190954774,10.050251256281408,14.07035175879397
E00016906,56.71641791044776,9.45273631840796,9.45273631840796,1.492537313432836,3.9800995024875623,18.90547263681592
E00016883,34.3859649122807,12.982456140350877,19.29824561403509,5.964912280701754,8.070175438596491,19.29824561403509
E00016888,39.75903614457831,9.63855421686747,15.261044176706827,6.42570281124498,5.622489959839357,23.29317269076305
E00016891,39.31888544891641,8.978328173374614,16.408668730650156,11.455108359133128,5.572755417956657,18.26625386996904
E00016892,42.023346303501945,10.116731517509727,10.894941634241246,8.171206225680933,6.614785992217898,22.17898832684825
E00016894,34.48275862068966,11.379310344827585,17.586206896551722,15.172413793103448,4.482758620689655,16.896551724137932
E00016880,31.61764705882353,12.867647058823529,9.926470588235293,3.3088235294117645,6.617647058823529,35.661764705882355
E00016897,42.816901408450704,9.859154929577464,11.267605633802816,7.887323943661972,4.225352112676056,23.943661971830984
E00016899,59.84555984555985,8.494208494208495,10.424710424710424,3.861003861003861,1.9305019305019304,15.444015444015443
E00016902,45.81673306772908,10.756972111553784,14.342629482071713,3.187250996015936,5.179282868525896,20.717131474103585
E00016903,49.134948096885815,7.958477508650519,13.494809688581315,3.4602076124567476,4.1522491349480966,21.79930795847751
E00016564,38.46153846153846,13.765182186234817,9.7165991902834,3.6437246963562755,5.2631578947368425,29.149797570850204
E00016567,22.151898734177216,13.291139240506329,9.49367088607595,10.126582278481013,8.227848101265822,36.70886075949367
E00016569,41.39344262295082,10.655737704918034,10.655737704918034,6.147540983606557,4.508196721311475,26.639344262295083
E00016571,45.30612244897959,11.020408163265307,14.285714285714286,4.489795918367347,3.673469387755102,21.224489795918366
E00173700,16.076294277929154,4.087193460490464,4.359673024523161,33.514986376021795,3.8147138964577656,38.14713896457766
E00173702,14.20911528150134,4.825737265415549,6.702412868632708,35.656836461126005,6.166219839142091,32.43967828418231
E00016558,49.27536231884058,10.628019323671497,7.729468599033816,6.280193236714976,7.729468599033816,18.357487922705314
E00016561,44.58874458874459,9.523809523809524,11.255411255411255,4.761904761904762,8.225108225108226,21.645021645021647
E00016566,35.981308411214954,11.214953271028037,11.682242990654206,7.009345794392523,7.94392523364486,26.16822429906542
E00016568,41.666666666666664,6.746031746031746,21.428571428571427,3.9682539682539684,7.142857142857143,19.047619047619047
E00016572,36.07843137254902,14.117647058823529,18.823529411764707,4.313725490196078,5.098039215686274,21.568627450980394
E00016575,52.07373271889401,10.599078341013826,16.589861751152075,2.7649769585253456,7.373271889400922,10.599078341013826
E00016557,41.25,15.0,7.5,11.875,3.75,20.625
E00016559,45.42124542124542,12.087912087912088,8.791208791208792,8.058608058608058,8.058608058608058,17.582417582417584
E00016560,46.688741721854306,7.6158940397351,9.271523178807946,12.913907284768213,4.635761589403973,18.874172185430464
