OA11CD,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016544,11.834319526627219,28.402366863905325,14.201183431952662,15.384615384615385,2.9585798816568047,7.6923076923076925,5.325443786982248,2.366863905325444,11.834319526627219
E00016574,9.18918918918919,26.486486486486488,15.135135135135135,9.72972972972973,8.108108108108109,11.891891891891891,7.5675675675675675,3.2432432432432434,8.64864864864865
E00016576,11.956521739130435,35.32608695652174,14.673913043478262,10.326086956521738,4.3478260869565215,6.521739130434782,9.23913043478261,2.717391304347826,4.891304347826087
E00016577,10.204081632653061,28.571428571428573,20.918367346938776,9.693877551020408,8.673469387755102,7.653061224489796,5.612244897959184,2.5510204081632653,6.122448979591836
E00016578,10.059171597633137,29.585798816568047,20.118343195266274,11.834319526627219,7.100591715976331,7.6923076923076925,4.733727810650888,3.5502958579881656,5.325443786982248
E00016635,13.157894736842104,21.92982456140351,18.42105263157895,9.649122807017545,7.894736842105263,7.456140350877193,7.894736842105263,1.3157894736842106,12.280701754385966
E00016640,11.428571428571429,15.238095238095237,15.238095238095237,18.095238095238095,8.571428571428571,6.666666666666667,8.571428571428571,5.714285714285714,10.476190476190476
E00016641,5.960264900662252,14.56953642384106,11.920529801324504,9.271523178807946,6.622516556291391,11.920529801324504,17.218543046357617,5.298013245033113,17.218543046357617
E00016642,9.523809523809524,17.857142857142858,11.30952380952381,13.095238095238095,9.523809523809524,12.5,9.523809523809524,6.5476190476190474,10.119047619047619
E00016643,12.23021582733813,16.546762589928058,10.79136690647482,18.705035971223023,8.633093525179856,6.474820143884892,8.633093525179856,1.4388489208633093,16.546762589928058
E00016630,12.23404255319149,28.72340425531915,18.617021276595743,8.51063829787234,6.914893617021277,4.25531914893617,6.914893617021277,2.6595744680851063,11.170212765957446
E00016647,11.34020618556701,13.917525773195877,20.61855670103093,9.793814432989691,5.670103092783505,9.278350515463918,8.762886597938145,3.6082474226804124,17.010309278350515
E00016648,12.56281407035176,17.587939698492463,25.12562814070352,12.56281407035176,6.532663316582915,4.522613065326633,8.542713567839195,3.5175879396984926,9.045226130653266
E00016649,7.947019867549669,18.543046357615893,20.52980132450331,11.920529801324504,7.28476821192053,4.635761589403973,10.596026490066226,2.6490066225165565,15.894039735099337
E00016651,11.578947368421053,29.473684210526315,17.36842105263158,8.947368421052632,7.894736842105263,7.894736842105263,4.2105263157894735,3.1578947368421053,9.473684210526315
E00016629,6.756756756756757,15.54054054054054,18.91891891891892,9.45945945945946,10.81081081081081,6.081081081081081,9.45945945945946,5.405405405405405,17.56756756756757
E00016650,14.18918918918919,19.594594594594593,20.945945945945947,6.081081081081081,9.45945945945946,6.756756756756757,10.81081081081081,2.027027027027027,10.135135135135135
E00016652,5.882352941176471,12.745098039215685,15.686274509803921,7.8431372549019605,14.705882352941176,13.72549019607843,11.764705882352942,2.9411764705882355,14.705882352941176
E00016654,4.597701149425287,11.494252873563218,12.64367816091954,16.091954022988507,12.64367816091954,9.195402298850574,6.896551724137931,9.195402298850574,17.24137931034483
E00016657,10.0,12.727272727272727,12.727272727272727,14.545454545454545,8.181818181818182,10.0,8.181818181818182,2.727272727272727,20.90909090909091
E00016633,7.826086956521739,18.26086956521739,13.91304347826087,8.695652173913043,11.304347826086957,6.086956521739131,16.52173913043478,0.8695652173913043,16.52173913043478
E00016636,6.586826347305389,38.32335329341317,15.568862275449101,11.377245508982035,5.389221556886228,5.389221556886228,4.790419161676646,2.395209580838323,10.179640718562874
E00016638,11.711711711711711,36.03603603603604,10.81081081081081,7.207207207207207,10.81081081081081,0.9009009009009009,7.207207207207207,5.405405405405405,9.90990990990991
E00016639,8.108108108108109,22.16216216216216,9.72972972972973,15.135135135135135,9.72972972972973,8.108108108108109,10.27027027027027,3.2432432432432434,13.513513513513514
E00016674,14.37125748502994,23.952095808383234,19.760479041916167,7.7844311377245505,5.9880239520958085,7.7844311377245505,7.18562874251497,2.9940119760479043,10.179640718562874
E00174018,9.154929577464788,43.309859154929576,19.718309859154928,10.56338028169014,4.929577464788732,2.112676056338028,5.28169014084507,0.352112676056338,4.577464788732394
E00174019,15.384615384615385,21.794871794871796,12.820512820512821,11.538461538461538,10.256410256410257,6.410256410256411,5.128205128205129,2.5641025641025643,14.102564102564102
E00174021,4.411764705882353,51.470588235294116,11.764705882352942,5.882352941176471,0.0,4.411764705882353,11.764705882352942,1.4705882352941178,8.823529411764707
E00016628,6.153846153846154,22.564102564102566,22.564102564102566,12.307692307692308,7.17948717948718,7.6923076923076925,9.743589743589743,2.051282051282051,9.743589743589743
E00016637,10.964912280701755,21.49122807017544,15.350877192982455,7.894736842105263,8.333333333333334,9.649122807017545,6.578947368421052,3.0701754385964914,16.666666666666668
E00174024,11.44578313253012,23.49397590361446,24.096385542168676,8.433734939759036,3.6144578313253013,4.216867469879518,10.843373493975903,1.2048192771084338,12.650602409638553
E00174029,11.464968152866241,18.471337579617835,23.56687898089172,13.375796178343949,7.006369426751593,8.280254777070065,6.369426751592357,2.5477707006369426,8.9171974522293
E00174030,10.56910569105691,28.45528455284553,21.13821138211382,12.195121951219512,8.94308943089431,7.317073170731708,5.691056910569106,0.8130081300813008,4.878048780487805
E00016644,7.798165137614679,17.889908256880734,12.844036697247706,8.715596330275229,11.926605504587156,9.63302752293578,11.926605504587156,4.128440366972477,15.137614678899082
