LSOA11CD,Total,"1. Managers, directors and senior officials",11. Corporate managers and directors,111. Chief Executives and Senior Officials,112. Production Managers and Directors,113. Functional Managers and Directors,115. Financial Institution Managers and Directors,116. Managers and Directors in Transport and Logistics,117. Senior Officers in Protective Services,118. Health and Social Services Managers and Directors,119. Managers and Directors in Retail and Wholesale,12. Other managers and proprietors,121. Managers and Proprietors in Agriculture Related Services,122. Managers and Proprietors in Hospitality and Leisure Services,124. Managers and Proprietors in Health and Care Services,125. Managers and Proprietors in Other Services,2. Professional occupations,"21. Science research, engineering and technology professionals",211. Natural and Social Science Professionals,212. Engineering Professionals,213. Information Technology and Telecommunications Professionals,214. Conservation and Environment Professionals,215. Research and Development Managers,22. Health professionals,221. Health Professionals,222. Therapy Professionals,223. Nursing and Midwifery Professionals,23. Teaching and educational professionals,231. Teaching and Educational Professionals,"24. Business, media and public service professionals",241. Legal Professionals,242. Research and Administrative Professionals,"243. Architects, Town Planners and Surveyors",244. Welfare Professionals,245. Librarians and Related Professionals,246. Quality and Regulatory Professionals,247. Media Professionals,3. Associate professional and technical occupations,"31. Science, engineering and technology associate professionals","311. Science, Engineering and Production Technicians",312. Draughtspersons and Related Architectural Technicians,313. Information Technology Technicians,32. Health and social care associate professionals,321. Health Associate Professionals,323. Welfare and Housing Associate Professionals,33. Protective Service Occupations,331. Protective Service Occupations,"34. Culture, media and sports occupations","341. Artistic, Literary and Media Occupations",342. Design Occupations,344. Sports and Fitness Occupations,35. Business and public service associate professionals,351. Transport Associate Professionals,352. Legal Associate Professionals,"353. Business, Finance and Related Associate Professionals","354. Sales, Marketing and Related Associate Professionals",355. Conservation and Environmental associate professionals,356. Public Services and Other Associate Professionals,4. Administrative and secretarial occupations,41. Administrative occupations,411. Government and Related Organisations,412. Finance,413. Records,415. Other Administrative Occupations,416. Office Managers and Supervisors,42. Secretarial and related occupations,421. Secretarial and Related Occupations,5. Skilled trades occupations,51. Skilled agricultural and related trades,511. Agricultural and Related Trades,"52. Skilled metal, electrical and electronic trades","521. Metal Forming, Welding and Related Trades","522. Metal Machining, Fitting and Instrument Making Trades",523. Vehicle Trades,524. Electrical and Electronic Trades,"525. Skilled Metal, Electrical and Electronic Trades Supervisors",53. Skilled construction and building trades,531. Construction and Building Trades,532. Building Finishing Trades,533. Construction and Building Trades Supervisors,"54. Textiles, printing and other skilled trades",541. Textiles and Garments Trades,542. Printing Trades,543. Food Preparation and Hospitality Trades,544. Other Skilled Trades,"6. Caring, leisure and other service occupations",61. Caring personal service occupations,612. Childcare and Related Personal Services,613. Animal Care and Control Services,614. Caring Personal Services,"62. Leisure, travel and related personal service occupations",621. Leisure and Travel Services,622. Hairdressers and Related Services,623. Housekeeping and Related Services,624. Cleaning and Housekeeping Managers and Supervisors,7. Sales and customer service occupations,71. Sales occupations,711. Sales Assistants and Retail Cashiers,712. Sales Related Occupations,713. Sales Supervisors,72. Customer service occupations,721. Customer Service Occupations,722. Customer Service Managers and Supervisors,"8. Process, plant and machine operatives","81. Process, plant and machine operatives",811. Process Operatives,812. Plant and Machine Operatives,813. Assemblers and Routine Operatives,814. Construction Operatives,82. Transport and mobile machine drivers and operatives,821. Road Transport Drivers,822. Mobile Machine Drivers and Operatives,823. Other Drivers and Transport Operatives,9. Elementary occupations,91. Elementary trades and related occupations,911. Elementary Agricultural Occupations,912. Elementary Construction Occupations,913. Elementary Process Plant Occupations,92. Elementary administration and service occupations,921. Elementary Administration Occupations,923. Elementary Cleaning Occupations,924. Elementary Security Occupations,925. Elementary Sales Occupations,926. Elementary Storage Occupations,927. Other Elementary Services Occupations
E01003213,1127,142,86,8,6,38,10,5,0,7,12,56,0,22,4,30,315,55,5,6,35,5,4,26,9,7,10,80,80,154,14,53,19,13,3,4,48,250,14,3,0,11,16,3,13,3,3,129,92,35,2,88,1,5,25,37,0,20,109,75,25,13,12,19,6,34,34,61,3,3,9,0,3,0,5,1,20,15,5,0,29,0,0,26,3,90,63,24,0,39,27,12,7,7,1,53,41,35,6,0,12,10,2,26,8,1,2,1,4,18,16,1,1,81,5,0,3,2,76,5,13,11,1,6,40
E01003214,921,74,39,2,6,19,6,1,0,1,4,35,0,16,0,19,204,27,4,3,20,0,0,25,6,4,15,74,74,78,10,24,10,13,1,3,17,174,13,5,1,7,20,3,17,1,1,81,59,18,4,59,0,2,16,30,0,11,115,88,22,18,12,33,3,27,27,82,4,4,13,1,2,4,6,0,27,20,6,1,38,0,2,31,5,78,58,25,0,33,20,10,7,2,1,58,42,36,4,2,16,12,4,31,17,2,3,3,9,14,12,2,0,105,6,1,4,1,99,10,27,12,5,11,34
E01003215,986,72,42,1,8,5,2,1,0,3,22,30,0,9,0,21,177,27,2,4,21,0,0,21,4,2,15,43,43,86,3,46,7,4,12,2,12,226,19,16,2,1,8,1,7,1,1,118,101,15,2,80,1,0,24,39,0,16,90,60,7,14,13,21,5,30,30,76,4,4,18,0,1,1,16,0,20,14,6,0,34,2,1,29,2,101,71,19,11,41,30,8,16,3,3,87,73,67,3,3,14,12,2,19,4,0,1,1,2,15,13,1,1,138,2,0,1,1,136,9,21,9,1,4,92
E01003216,905,94,47,6,2,12,2,1,0,8,16,47,0,19,3,25,187,33,3,6,22,0,2,32,9,4,19,57,57,65,9,20,8,13,2,3,10,128,10,1,1,8,20,5,15,7,7,24,13,3,8,67,0,2,31,20,0,14,119,90,24,19,11,28,8,29,29,73,2,2,21,2,6,2,11,0,29,21,8,0,21,3,0,15,3,85,66,22,0,44,19,7,8,3,1,109,83,75,1,7,26,23,3,30,9,0,3,1,5,21,19,1,1,80,3,0,2,1,77,12,17,11,1,6,30
E01003217,799,77,42,3,7,11,3,4,1,8,5,35,0,8,2,25,163,31,3,9,19,0,0,39,3,2,34,42,42,51,10,15,4,14,2,2,4,113,20,6,3,11,10,0,10,4,4,25,17,5,3,54,1,3,14,19,0,17,126,86,27,23,10,24,2,40,40,81,0,0,18,1,5,4,8,0,33,20,11,2,30,1,2,26,1,67,50,25,1,24,17,7,3,6,1,72,60,55,2,3,12,10,2,36,13,0,4,2,7,23,21,1,1,64,1,0,0,1,63,9,17,10,1,6,20
E01003218,748,66,38,0,4,11,7,5,1,4,6,28,0,8,1,19,186,22,2,5,14,1,0,41,12,7,22,65,65,58,2,28,4,9,2,3,10,94,7,3,0,4,20,2,18,5,5,18,11,6,1,44,0,0,15,15,0,14,113,84,24,24,7,22,7,29,29,65,3,3,22,0,3,3,16,0,20,12,3,5,20,3,0,17,0,76,60,32,2,26,16,1,7,6,2,61,54,47,4,3,7,7,0,38,13,1,4,3,5,25,21,0,4,49,3,0,2,1,46,11,12,6,1,3,13
E01003219,817,73,49,2,8,21,1,0,1,3,13,24,1,5,1,17,147,27,3,6,13,2,3,34,6,1,27,41,41,45,5,13,5,12,2,3,5,113,14,5,0,9,19,3,16,4,4,28,16,5,7,48,0,4,17,19,1,7,129,94,24,26,10,26,8,35,35,74,5,5,24,0,5,5,14,0,25,12,12,1,20,0,1,19,0,87,70,30,2,38,17,4,7,6,0,74,60,48,3,9,14,9,5,48,8,3,2,0,3,40,32,4,4,72,7,1,3,3,65,5,14,13,6,6,21
E01003220,773,72,41,2,6,15,2,0,0,9,7,31,0,10,4,17,201,60,8,6,46,0,0,39,3,3,33,43,43,59,3,22,4,10,4,2,14,111,17,8,1,8,13,3,10,3,3,18,16,2,0,60,0,2,21,15,0,22,85,66,11,21,12,19,3,19,19,60,5,5,17,1,4,2,10,0,25,18,5,2,13,1,0,12,0,74,57,27,2,28,17,5,7,4,1,71,58,52,5,1,13,12,1,31,10,2,0,1,7,21,19,2,0,68,1,0,1,0,67,13,18,14,0,4,18
E01003221,882,101,64,3,11,14,3,3,0,12,18,37,0,11,2,24,200,34,6,10,16,0,2,36,9,1,26,65,65,65,9,24,15,12,2,0,3,123,15,4,1,10,12,3,9,10,10,31,22,8,1,55,1,6,15,20,0,13,110,84,22,29,7,21,5,26,26,64,5,5,15,0,4,1,10,0,19,12,4,3,25,2,2,21,0,83,61,34,0,27,22,6,4,8,4,80,54,46,4,4,26,23,3,33,8,1,5,2,0,25,22,1,2,88,1,0,0,1,87,7,28,16,2,4,30
E01003222,755,87,56,1,9,14,3,3,1,11,14,31,0,6,2,23,166,15,1,4,9,0,1,32,9,0,23,63,63,56,2,26,6,15,0,1,6,88,2,0,0,2,19,2,17,6,6,15,12,1,2,46,0,4,17,10,0,15,102,77,16,18,12,26,5,25,25,63,5,5,16,2,4,4,6,0,26,19,7,0,16,0,0,12,4,71,56,23,0,33,15,4,6,4,1,74,57,54,1,2,17,15,2,40,14,0,8,2,4,26,25,0,1,64,6,2,3,1,58,4,11,21,0,2,20
E01003223,823,67,34,1,3,8,3,3,0,6,10,33,0,7,2,24,194,44,7,9,27,0,1,42,12,1,29,39,39,69,14,27,10,8,0,4,6,101,13,5,1,7,7,0,7,6,6,22,15,4,3,53,0,3,23,18,0,9,105,77,21,31,6,16,3,28,28,95,1,1,30,0,5,4,21,0,33,23,10,0,31,0,1,26,4,70,47,29,0,18,23,10,6,5,2,74,58,53,2,3,16,14,2,47,14,2,3,3,6,33,27,5,1,70,3,0,3,0,67,12,17,12,2,4,20
E01003224,825,71,43,0,7,10,1,4,0,14,7,28,0,15,4,9,182,33,1,9,23,0,0,31,8,0,23,56,56,62,6,26,7,14,0,1,8,116,4,1,0,3,15,1,14,7,7,33,19,9,5,57,0,4,15,17,1,20,122,81,23,19,16,18,5,41,41,65,5,5,19,0,3,5,11,0,32,18,13,1,9,1,0,6,2,87,69,37,1,31,18,4,8,6,0,70,56,46,3,7,14,12,2,43,9,4,4,0,1,34,31,2,1,69,4,0,4,0,65,7,17,12,5,5,19
E01003225,839,101,55,3,7,23,4,0,0,8,10,46,0,6,4,36,216,26,5,5,15,1,0,34,12,3,19,60,60,96,9,42,6,16,0,1,22,152,17,6,4,7,13,4,9,4,4,66,42,16,8,52,0,1,23,21,0,7,106,81,17,17,18,22,7,25,25,59,1,1,17,0,1,6,10,0,16,13,2,1,25,2,4,13,6,65,43,26,2,15,22,10,5,4,3,48,39,30,5,4,9,8,1,27,8,2,1,0,5,19,13,2,4,65,6,1,3,2,59,5,17,14,2,0,21
E01003226,1019,123,70,4,9,33,4,2,0,2,16,53,0,15,4,34,276,47,6,6,32,1,2,51,19,4,28,67,67,111,17,41,10,10,1,1,31,199,26,1,2,23,17,6,11,9,9,78,55,19,4,69,0,1,18,38,0,12,111,85,22,21,14,18,10,26,26,75,5,5,15,1,0,4,9,1,21,14,5,2,34,6,1,21,6,73,50,30,2,18,23,13,6,2,2,51,45,41,1,3,6,5,1,29,4,2,1,0,1,25,19,5,1,82,5,0,3,2,77,5,19,10,2,1,40
E01003227,931,125,74,3,12,30,3,5,0,7,14,51,0,19,2,30,300,53,10,9,29,1,4,28,11,4,13,101,101,118,19,40,12,17,2,5,23,181,16,4,3,9,13,3,10,8,8,62,47,13,2,82,0,4,28,28,0,22,90,61,18,15,9,14,5,29,29,55,3,3,17,0,6,1,10,0,15,9,6,0,20,0,0,18,2,52,39,19,0,20,13,4,2,5,2,49,37,31,2,4,12,9,3,27,7,1,1,0,5,20,12,4,4,52,2,0,2,0,50,4,9,10,1,6,20
E01003228,888,110,69,0,11,29,9,3,0,7,10,41,0,12,3,26,309,44,7,2,27,4,4,36,13,4,19,59,59,170,25,70,13,7,1,6,48,194,17,7,3,7,9,3,6,2,2,75,65,10,0,91,0,2,25,50,0,14,98,72,18,18,10,19,7,26,26,45,4,4,17,2,1,3,11,0,15,12,3,0,9,1,2,5,1,42,31,19,0,12,11,4,5,1,1,29,26,22,3,1,3,3,0,16,2,0,0,0,2,14,13,1,0,45,1,0,1,0,44,5,6,12,4,1,16
E01003229,703,62,36,2,3,14,3,5,0,3,6,26,0,5,1,20,145,29,3,8,15,2,1,26,5,6,15,34,34,56,6,18,6,8,4,3,11,123,11,2,0,9,8,1,7,6,6,39,31,6,2,59,0,3,19,19,2,16,94,68,19,17,11,20,1,26,26,58,3,3,12,1,6,1,4,0,23,16,6,1,20,2,1,13,4,60,46,16,2,28,14,9,2,2,1,64,54,47,3,4,10,10,0,29,10,0,0,2,8,19,17,1,1,68,5,0,4,1,63,7,18,9,3,2,24
E01003230,996,107,77,4,8,41,6,5,1,4,8,30,0,7,4,19,223,51,6,11,33,0,1,44,12,9,23,55,55,73,11,25,13,12,2,3,7,173,13,3,2,8,19,6,13,10,10,66,49,14,3,65,0,4,17,24,0,20,130,92,18,24,16,26,8,38,38,77,3,3,15,2,1,2,9,1,36,26,9,1,23,1,2,19,1,83,67,22,2,43,16,7,3,4,2,71,47,38,5,4,24,21,3,44,17,1,7,0,9,27,24,1,2,88,2,0,1,1,86,12,25,13,4,7,25
E01003231,854,70,42,2,1,21,5,1,0,8,4,28,0,3,1,24,221,37,2,6,27,1,1,30,8,1,21,55,55,99,9,48,12,8,0,2,20,179,19,4,1,14,21,7,14,5,5,68,54,11,3,66,0,1,17,29,0,19,92,68,15,21,6,17,9,24,24,70,3,3,10,1,1,2,6,0,15,12,2,1,42,2,0,37,3,67,52,31,0,21,15,3,9,3,0,48,31,22,2,7,17,17,0,35,9,3,0,1,5,26,25,0,1,72,2,0,2,0,70,10,15,20,3,0,22
E01003232,887,91,61,0,8,26,10,0,0,6,11,30,1,15,2,12,230,49,4,19,22,2,2,45,19,8,18,69,69,67,11,24,9,6,1,4,12,155,26,9,4,13,9,5,4,4,4,50,41,2,7,66,0,2,23,26,0,15,118,86,22,29,8,14,13,32,32,76,6,6,16,2,3,0,11,0,30,21,8,1,24,4,1,18,1,80,57,34,0,23,23,5,10,7,1,45,42,37,2,3,3,2,1,32,11,1,1,2,7,21,18,1,2,60,3,0,1,2,57,15,13,5,4,2,18
E01003233,896,84,54,2,9,21,6,5,0,4,7,30,0,12,0,18,267,44,4,9,28,3,0,40,14,7,19,82,82,101,6,30,11,10,3,4,37,169,15,5,1,9,18,4,14,4,4,70,55,15,0,62,0,2,18,25,0,17,108,77,21,24,11,16,5,31,31,52,1,1,13,0,2,4,6,1,15,11,4,0,23,3,0,17,3,70,56,40,0,16,14,3,3,6,2,58,46,37,5,4,12,9,3,30,12,0,2,3,7,18,14,2,2,58,4,0,3,1,54,4,13,5,0,3,29
E01003235,573,67,45,0,13,15,4,1,0,3,9,22,0,6,2,14,88,15,1,6,8,0,0,19,6,1,12,17,17,37,9,17,4,2,0,2,3,68,4,1,0,3,8,1,7,12,12,13,7,2,4,31,0,2,14,8,0,7,76,54,11,21,7,14,1,22,22,69,1,1,23,2,2,4,14,1,28,19,7,2,17,2,1,12,2,66,48,22,0,26,18,5,10,3,0,60,51,49,1,1,9,8,1,23,9,1,3,2,3,14,14,0,0,56,7,1,5,1,49,8,9,6,5,6,15
E01003236,589,37,17,1,4,5,1,0,1,0,5,20,0,7,3,10,79,20,0,6,13,0,1,17,1,1,15,22,22,20,2,12,1,2,0,1,2,79,12,3,4,5,9,2,7,4,4,20,14,2,4,34,0,2,13,11,0,8,69,37,15,10,5,6,1,32,32,82,2,2,21,1,7,4,9,0,29,20,8,1,30,2,2,26,0,86,69,36,0,33,17,2,8,5,2,55,42,39,1,2,13,12,1,28,6,0,1,0,5,22,16,2,4,74,3,0,1,2,71,12,20,8,1,15,15
E01003237,589,42,20,0,3,0,2,1,1,2,11,22,0,8,0,14,88,18,2,5,11,0,0,33,5,1,27,20,20,17,2,6,2,3,0,2,2,60,9,6,0,3,7,2,5,7,7,16,11,0,5,21,0,4,7,7,0,3,69,54,8,13,10,17,6,15,15,74,5,5,23,2,7,5,8,1,25,16,9,0,21,2,3,16,0,77,67,28,0,39,10,1,4,2,3,65,54,49,2,3,11,10,1,40,7,2,2,1,2,33,28,1,4,74,2,0,1,1,72,6,27,15,5,7,12
E01003238,587,44,24,1,5,8,1,1,0,3,5,20,0,3,5,12,64,17,1,7,9,0,0,16,0,1,15,14,14,17,3,5,1,5,1,0,2,59,7,5,0,2,5,1,4,11,11,13,5,6,2,23,0,2,8,7,0,6,78,56,19,14,4,16,3,22,22,63,2,2,17,2,4,3,8,0,36,26,9,1,8,1,1,6,0,93,66,29,2,35,27,7,8,8,4,73,60,51,3,6,13,10,3,47,16,4,6,4,2,31,25,0,6,66,1,0,1,0,65,12,18,15,0,7,13
E01003239,596,40,21,1,0,5,2,1,1,3,8,19,1,7,2,9,76,16,0,5,8,1,2,22,4,1,17,18,18,20,2,10,1,5,1,0,1,55,4,3,0,1,14,0,14,4,4,8,6,0,2,25,0,2,9,7,0,7,85,66,20,17,9,14,6,19,19,71,2,2,24,1,6,10,7,0,36,26,7,3,9,2,1,5,1,100,75,36,2,37,25,3,9,8,5,49,44,39,3,2,5,5,0,41,11,1,4,0,6,30,26,1,3,79,5,0,4,1,74,10,25,11,7,4,17
E01003240,750,63,33,0,2,10,3,1,2,1,14,30,0,10,1,19,95,15,2,4,9,0,0,27,3,1,23,25,25,28,2,10,8,7,0,0,1,71,7,3,1,3,18,5,13,9,9,5,4,0,1,32,0,1,9,14,0,8,106,78,12,23,15,21,7,28,28,75,3,3,28,2,5,7,14,0,29,20,8,1,15,1,2,11,1,102,76,33,0,43,26,7,11,6,2,94,75,61,9,5,19,16,3,70,18,1,4,2,11,52,50,1,1,74,4,1,3,0,70,6,17,23,5,3,16
E01003241,632,57,28,1,5,7,0,1,0,3,11,29,1,11,1,16,97,19,2,3,11,1,2,27,6,1,20,22,22,29,1,11,3,8,0,2,4,71,5,1,0,4,11,5,6,2,2,17,11,3,3,36,0,1,14,14,0,7,98,75,16,26,10,17,6,23,23,71,1,1,29,2,6,8,13,0,28,21,5,2,13,1,0,12,0,63,48,13,0,35,15,3,9,3,0,65,55,44,5,6,10,7,3,49,12,0,3,3,6,37,35,0,2,61,6,1,2,3,55,3,12,11,8,3,18
E01003243,547,36,22,0,2,5,1,2,1,1,10,14,1,4,1,8,72,15,0,5,8,1,1,21,7,0,14,20,20,16,1,8,2,3,1,0,1,65,12,2,2,8,8,3,5,4,4,7,5,2,0,34,0,1,12,13,0,8,80,59,9,19,5,22,4,21,21,46,2,2,15,0,2,6,7,0,17,13,4,0,12,1,0,10,1,69,59,30,0,29,10,2,5,3,0,57,49,46,2,1,8,7,1,47,8,1,1,1,5,39,37,1,1,75,5,0,5,0,70,5,17,13,6,8,21
E01003244,621,32,15,0,6,3,1,2,0,1,2,17,0,6,2,9,88,28,7,4,17,0,0,27,4,1,22,7,7,26,5,13,1,5,1,0,1,64,7,4,0,3,8,2,6,2,2,10,7,2,1,37,0,2,11,13,0,11,58,49,9,22,8,8,2,9,9,60,2,2,7,0,2,1,2,2,15,8,7,0,36,2,2,28,4,105,69,24,0,45,36,6,16,7,7,50,40,38,1,1,10,10,0,44,13,2,4,1,6,31,27,1,3,120,10,0,3,7,110,12,32,21,5,5,35
E01003245,595,39,22,0,3,4,4,5,0,1,5,17,0,4,0,13,111,21,4,3,11,0,3,34,7,0,27,23,23,33,1,20,3,4,0,2,3,71,9,4,1,4,8,2,6,6,6,12,8,2,2,36,0,3,11,11,0,11,71,52,8,12,10,19,3,19,19,44,1,1,10,0,3,2,5,0,10,6,4,0,23,0,2,21,0,68,39,17,1,21,29,4,15,5,5,67,49,47,0,2,18,17,1,22,13,1,1,4,7,9,8,0,1,102,4,0,2,2,98,6,24,18,6,6,38
E01003246,647,48,32,0,2,10,4,3,0,2,11,16,0,7,1,8,106,33,2,1,27,2,1,18,7,1,10,21,21,34,1,9,8,9,0,2,5,91,7,2,2,3,13,4,9,3,3,20,11,4,5,48,0,0,16,20,1,11,62,49,10,12,6,19,2,13,13,62,2,2,16,0,6,5,5,0,13,5,8,0,31,0,2,28,1,68,47,15,0,32,21,7,8,6,0,66,55,49,4,2,11,11,0,23,6,1,2,1,2,17,13,2,2,121,7,0,3,4,114,8,32,24,5,6,39
E01003247,1077,114,67,2,6,17,13,4,1,5,19,47,1,23,1,22,228,80,4,10,66,0,0,28,15,3,10,32,32,88,9,43,6,7,1,3,19,172,13,4,3,6,8,3,5,7,7,44,34,10,0,100,0,14,32,38,1,15,111,71,7,25,13,22,4,40,40,82,4,4,20,1,3,3,13,0,23,19,4,0,35,1,0,33,1,77,32,20,0,12,45,14,7,9,15,70,54,46,5,3,16,14,2,44,15,3,8,2,2,29,27,1,1,179,9,2,2,5,170,10,26,13,3,5,113
E01003248,735,59,23,0,4,8,2,3,0,1,5,36,0,23,0,13,141,39,3,5,29,1,1,27,14,1,12,20,20,55,2,35,1,4,0,1,12,94,5,1,0,4,14,4,10,6,6,28,15,9,4,41,0,1,15,22,0,3,82,67,10,26,13,13,5,15,15,48,2,2,12,0,1,2,9,0,16,12,3,1,18,0,0,18,0,102,59,20,0,39,43,7,22,11,3,49,40,36,3,1,9,8,1,35,7,2,0,1,4,28,21,4,3,125,7,0,5,2,118,8,33,26,2,6,43
E01003249,1023,81,57,2,8,20,10,3,0,5,9,24,0,7,0,17,257,65,6,12,45,2,0,32,13,0,19,35,35,125,14,74,11,12,1,3,10,186,19,3,6,10,19,5,14,6,6,39,28,9,2,103,0,4,38,42,0,19,121,83,14,33,10,19,7,38,38,55,2,2,8,0,1,1,6,0,16,13,2,1,29,3,3,23,0,92,63,28,0,35,29,8,10,5,6,73,50,47,2,1,23,18,5,48,17,1,5,5,6,31,27,2,2,110,3,0,1,2,107,8,27,21,0,5,46
E01003250,905,66,38,1,5,18,3,3,0,2,6,28,0,13,0,15,184,42,5,7,29,1,0,30,13,3,14,26,26,86,8,45,15,5,0,1,12,197,31,4,11,16,10,1,9,4,4,26,17,7,2,126,0,6,80,18,0,22,101,81,9,41,9,18,4,20,20,54,0,0,19,0,5,6,8,0,11,5,5,1,24,0,2,21,1,72,42,13,0,29,30,8,7,13,2,75,66,56,5,5,9,8,1,39,12,1,3,3,5,27,25,0,2,117,5,0,2,3,112,10,31,22,2,6,41
