OA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016632,155,20,27,41,19,13,10,10,4,11
E00016666,150,15,30,24,14,16,16,12,9,14
E00016667,212,18,62,29,23,15,18,19,6,22
E00016669,109,3,33,20,14,8,8,8,2,13
E00016673,162,12,40,22,13,12,25,13,6,19
E00016668,123,8,31,30,18,8,10,7,2,9
E00016670,125,13,33,13,19,11,4,13,3,16
E00016671,81,6,16,14,12,7,5,9,2,10
E00016672,171,17,29,22,31,8,21,20,7,16
E00173708,117,17,31,40,12,7,5,3,0,2
E00173710,145,10,50,29,19,9,5,10,5,8
E00016661,160,12,41,24,21,13,16,12,6,15
E00173936,114,6,21,24,14,7,13,16,6,7
E00173937,154,26,52,40,13,3,5,7,1,7
E00173938,230,25,74,60,25,12,10,4,7,13
E00174035,171,21,58,52,19,5,6,5,1,4
E00016796,166,19,42,24,24,8,20,8,5,16
E00016799,187,18,37,20,25,12,21,21,9,24
E00016804,167,8,32,16,19,26,29,13,6,18
E00016805,161,11,16,15,21,19,21,21,13,24
E00016806,126,5,20,16,12,20,24,11,6,12
E00016781,119,8,25,22,16,7,13,11,4,13
E00016793,120,14,14,7,11,6,21,24,3,20
E00016794,100,11,18,9,16,7,10,6,4,19
E00016801,117,15,18,21,20,6,15,11,5,6
E00016803,111,10,17,20,13,6,24,8,2,11
E00016808,98,8,22,6,13,10,12,5,8,14
E00016813,167,20,46,24,24,11,12,14,3,13
E00016814,153,18,28,35,10,10,16,12,11,13
E00016815,134,8,34,18,14,13,20,8,11,8
E00016818,140,8,28,17,19,6,15,20,7,20
E00016819,123,9,29,14,15,14,13,10,4,15
E00016778,171,18,45,24,21,12,16,9,6,20
E00016788,124,14,14,24,19,7,14,15,5,12
E00016791,143,8,38,28,13,8,14,13,3,18
E00016800,106,7,16,16,13,14,12,11,3,14
E00016820,109,13,18,10,15,7,14,12,8,12
E00016823,113,5,21,19,8,9,22,8,5,16
E00016300,190,14,42,45,25,18,9,7,2,28
E00016310,143,14,32,27,17,14,17,11,3,8
E00016312,199,31,53,51,20,7,13,7,4,13
E00016343,210,25,70,34,17,19,19,8,6,12
E00016344,277,39,79,42,32,17,15,18,14,21
E00016301,223,45,56,51,18,12,16,10,4,11
E00016302,147,18,42,31,12,14,6,10,7,7
E00016316,175,15,78,24,14,7,7,6,10,14
E00016338,228,24,73,44,28,12,16,15,4,12
E00016342,158,23,51,31,18,10,7,8,2,8
E00016303,215,30,67,46,33,7,11,6,6,9
E00016304,215,25,80,45,20,12,10,9,3,11
E00016313,143,18,52,28,10,10,8,5,1,11
E00016318,161,14,57,44,13,10,10,4,3,6
E00016345,154,23,53,31,22,6,3,5,3,8
E00016307,154,12,30,26,16,12,17,20,6,15
E00016314,119,4,26,21,17,8,10,13,4,16
E00016319,98,7,13,12,19,10,11,9,7,10
E00016321,158,21,40,30,13,12,11,11,7,13
E00016322,174,18,36,34,29,16,11,11,5,14
E00016305,135,14,29,22,17,10,7,11,8,17
E00016306,169,18,40,29,22,12,15,10,9,14
E00016308,157,18,29,24,15,17,18,14,7,15
E00016315,230,22,50,52,31,17,23,18,5,12
E00016317,152,18,36,20,20,13,11,11,9,14
E00016320,153,17,39,26,25,8,9,7,6,16
E00016779,122,13,15,8,14,8,13,10,7,34
E00016789,185,18,40,38,17,23,17,13,7,12
E00016797,208,20,55,23,31,24,15,14,16,10
E00016798,173,17,27,21,20,15,21,12,23,17
E00016821,191,18,48,28,22,13,18,18,7,19
E00016780,184,25,25,21,23,26,19,25,5,15
E00016782,199,14,48,26,24,26,23,9,6,23
