OA11CD,Rural Urban,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E00016126,Total,240,175,37,86,1,3,8,19,8,13,65,33,9,9,7,7
E00016127,Total,285,221,42,125,0,4,3,17,14,16,64,33,12,11,6,2
E00016131,Total,226,142,31,69,1,3,5,11,16,6,84,22,17,16,23,6
E00016134,Total,197,119,26,52,0,1,3,8,25,4,78,32,6,7,27,6
E00016140,Total,190,134,26,74,2,5,7,7,11,2,56,20,6,14,9,7
E00016118,Total,295,214,35,109,1,9,5,19,20,16,81,34,13,10,10,14
E00016154,Total,195,122,25,57,1,3,9,8,17,2,73,36,13,5,11,8
E00016155,Total,282,222,47,118,2,4,6,19,18,8,60,14,10,14,8,14
E00016156,Total,211,134,39,67,2,0,3,4,13,6,77,23,17,15,17,5
E00016157,Total,235,179,51,91,2,3,6,9,9,8,56,13,10,17,9,7
E00016112,Total,213,155,27,78,0,2,8,17,10,13,58,18,17,7,11,5
E00016119,Total,237,171,34,91,2,4,9,10,9,12,66,33,10,9,6,8
E00016121,Total,192,153,18,95,0,6,6,10,12,6,39,10,8,7,8,6
E00016123,Total,223,159,39,83,1,6,6,5,7,12,64,18,17,17,7,5
E00016158,Total,234,182,23,125,0,3,6,6,7,12,52,20,7,14,5,6
E00016113,Total,270,172,34,87,0,8,6,13,19,5,98,40,13,13,22,10
E00016120,Total,216,144,34,71,0,2,6,5,19,7,72,13,27,17,11,4
E00016122,Total,230,163,30,86,4,1,1,12,20,9,67,20,21,10,11,5
E00016124,Total,190,134,31,67,1,5,5,9,7,9,56,10,12,18,12,4
E00016125,Total,224,164,39,89,1,2,8,6,12,7,60,14,16,11,10,9
E00016114,Total,199,139,24,78,1,1,0,12,14,9,60,17,10,11,16,6
E00016128,Total,241,153,32,76,1,1,3,7,27,6,88,23,19,17,20,9
E00016130,Total,235,161,32,88,3,1,4,9,13,11,74,26,15,12,14,7
E00016133,Total,246,160,35,78,1,2,0,8,22,14,86,7,24,23,22,10
E00016135,Total,235,156,37,72,0,6,3,8,21,9,79,27,12,15,14,11
E00016948,Total,265,177,41,74,0,1,4,10,36,11,88,20,23,19,16,10
E00016949,Total,218,147,37,72,1,1,5,7,15,9,71,16,14,17,17,7
E00016951,Total,220,140,35,75,4,2,3,3,11,7,80,7,21,30,10,12
E00016955,Total,228,133,33,56,3,4,3,3,21,10,95,27,17,15,21,15
E00016956,Total,181,119,25,50,2,2,4,8,21,7,62,15,10,13,17,7
E00016950,Total,203,150,32,73,2,3,3,12,11,14,53,21,8,9,11,4
E00016967,Total,212,142,27,66,1,5,6,16,17,4,70,25,19,7,12,7
E00016968,Total,200,139,27,71,0,3,3,18,9,8,61,22,13,9,7,10
E00016969,Total,189,114,28,61,0,3,3,3,8,8,75,18,18,14,20,5
E00016971,Total,223,170,25,92,1,2,2,9,25,14,53,14,13,13,9,4
E00016928,Total,274,193,51,76,1,2,11,18,20,14,81,16,18,21,15,11
E00016947,Total,206,100,21,48,1,1,4,7,13,5,106,34,9,18,36,9
E00016958,Total,234,155,34,74,3,9,4,7,14,10,79,17,19,20,11,12
E00016963,Total,228,156,28,87,2,3,7,7,7,15,72,31,15,14,6,6
E00016937,Total,274,188,35,103,0,9,6,13,19,3,86,46,12,17,3,8
E00016959,Total,212,136,24,61,0,7,4,21,8,11,76,32,12,8,20,4
E00016962,Total,286,191,52,87,0,1,5,12,20,14,95,27,15,22,21,10
E00016965,Total,223,155,39,64,1,1,4,6,28,12,68,17,13,16,12,10
E00016970,Total,254,178,38,93,2,6,2,8,19,10,76,17,27,17,10,5
E00016934,Total,259,182,35,94,3,3,11,12,16,8,77,26,18,14,9,10
E00016935,Total,293,213,33,115,2,3,8,26,16,10,80,33,16,12,11,8
E00016936,Total,248,183,37,96,4,4,6,12,16,8,65,28,18,8,5,6
E00016938,Total,229,160,28,73,4,8,9,17,12,9,69,26,14,13,10,6
E00016939,Total,216,167,35,83,2,8,7,15,8,9,49,17,10,14,5,3
E00016496,Total,198,152,23,82,4,3,10,13,7,10,46,13,12,11,9,1
E00016517,Total,165,112,22,65,0,0,6,9,7,3,53,10,16,12,8,7
E00016518,Total,190,132,22,76,0,3,4,14,3,10,58,21,9,13,14,1
E00016523,Total,189,136,30,75,0,4,6,14,4,3,53,19,8,8,12,6
E00016524,Total,244,173,23,102,1,4,10,9,16,8,71,25,17,10,11,8
E00016525,Total,154,92,21,50,1,5,4,8,3,0,62,38,9,5,7,3
E00016497,Total,199,146,18,77,0,1,4,10,22,14,53,12,10,20,6,5
E00016527,Total,172,135,20,61,1,4,11,15,14,9,37,7,8,8,6,8
E00016528,Total,172,138,21,81,0,1,7,11,11,6,34,7,4,13,4,6
E00016531,Total,234,135,25,62,0,2,2,12,26,6,99,30,23,16,18,12
E00016532,Total,159,114,17,68,1,3,3,6,12,4,45,11,9,4,12,9
E00016535,Total,182,129,15,77,1,1,0,7,20,8,53,12,13,11,8,9
E00016520,Total,171,107,14,59,0,2,6,12,11,3,64,31,7,14,10,2
E00016522,Total,196,121,19,63,0,0,2,12,19,6,75,20,12,8,23,12
E00016526,Total,198,102,33,38,0,1,1,4,14,11,96,34,23,9,20,10
E00016529,Total,210,146,28,79,1,1,4,9,16,8,64,15,16,9,18,6
E00016530,Total,198,123,23,68,2,4,3,5,14,4,75,20,19,14,15,7
E00016533,Total,241,165,33,87,1,2,8,13,14,7,76,26,20,11,13,6
E00016534,Total,211,152,32,86,0,0,1,10,13,10,59,27,14,8,6,4
E00016536,Total,221,141,23,76,0,3,7,14,10,8,80,30,16,8,14,12
E00016537,Total,192,134,31,60,0,4,5,15,10,9,58,16,7,13,17,5
E00016538,Total,244,165,32,79,0,5,2,10,22,15,79,15,21,14,18,11
E00016539,Total,224,135,26,72,0,3,2,7,18,7,89,35,6,15,21,12
E00016830,Total,272,193,28,112,0,6,13,19,10,5,79,30,17,10,12,10
E00016839,Total,211,173,17,110,0,2,12,17,8,7,38,15,11,7,2,3
E00016845,Total,233,180,20,102,0,5,13,21,17,2,53,18,11,9,5,10
E00016872,Total,265,197,41,90,0,3,12,24,13,14,68,12,21,13,9,13
E00016873,Total,220,163,35,90,0,4,9,8,10,7,57,19,12,9,7,10
E00016838,Total,186,129,32,68,0,0,0,4,17,8,57,12,8,10,19,8
E00016840,Total,228,175,22,91,0,6,11,24,16,5,53,23,8,9,2,11
E00016847,Total,152,98,22,51,0,3,4,3,11,4,54,9,11,18,11,5
E00016852,Total,157,120,15,67,0,2,8,7,17,4,37,15,5,9,5,3
E00016858,Total,158,101,22,44,0,0,3,1,21,10,57,18,14,13,4,8
E00016874,Total,140,85,21,42,0,0,3,6,10,3,55,23,4,9,10,9
E00016826,Total,194,134,20,74,1,3,6,6,14,10,60,31,13,5,3,8
E00016831,Total,196,134,19,77,1,1,3,6,20,7,62,16,17,9,10,10
E00016832,Total,159,109,18,56,2,3,4,15,9,2,50,25,10,4,6,5
E00016833,Total,264,188,23,115,2,4,16,14,12,2,76,38,15,9,6,8
E00016875,Total,184,128,18,74,0,0,4,11,15,6,56,23,10,7,13,3
E00016828,Total,181,143,19,84,0,1,7,21,5,6,38,14,4,9,8,3
E00016850,Total,162,120,19,57,0,1,6,13,20,4,42,12,9,9,9,3
E00016854,Total,201,142,11,87,0,4,8,12,16,4,59,23,10,10,11,5
E00016855,Total,176,161,13,103,0,9,6,20,3,7,15,5,4,1,1,4
E00016857,Total,210,156,16,90,1,2,5,16,14,12,54,17,14,13,7,3
E00016878,Total,185,111,21,58,1,5,0,2,12,12,74,27,10,11,17,9
E00016827,Total,229,152,23,99,0,0,6,10,8,6,77,25,4,12,28,8
E00016834,Total,260,193,30,107,1,2,6,18,25,4,67,20,14,12,11,10
E00016842,Total,188,136,25,73,0,3,5,10,14,6,52,10,14,10,7,11
E00016856,Total,295,258,25,164,1,4,16,20,18,10,37,5,9,10,5,8
E00016876,Total,145,96,23,47,2,6,5,7,4,2,49,25,3,4,11,6
E00016877,Total,137,96,18,58,0,0,1,3,14,2,41,16,4,5,10,6
E00016115,Total,210,132,31,66,2,2,3,10,13,5,78,20,20,10,21,7
E00016136,Total,200,118,19,65,1,3,5,8,9,8,82,21,15,18,18,10
E00016137,Total,259,171,37,85,2,2,4,7,25,9,88,21,22,13,17,15
E00016138,Total,208,148,28,73,0,2,9,4,23,9,60,7,12,20,11,10
E00016139,Total,224,141,27,74,1,3,1,10,14,11,83,13,24,12,23,11
E00016116,Total,236,191,32,119,1,3,8,10,7,11,45,13,19,5,4,4
E00016129,Total,216,156,35,73,0,3,0,16,17,12,60,14,10,8,19,9
E00016142,Total,217,140,47,52,1,4,0,12,17,7,77,17,13,20,18,9
E00016144,Total,176,113,33,47,0,1,6,3,12,11,63,15,11,16,16,5
E00016145,Total,221,150,40,54,0,3,5,20,25,3,71,7,15,22,14,13
E00016150,Total,218,154,38,78,0,0,0,7,23,8,64,16,12,11,17,8
E00016117,Total,197,141,28,67,0,0,9,9,24,4,56,19,7,17,8,5
E00016132,Total,203,165,25,101,1,0,7,6,19,6,38,12,8,7,2,9
E00016143,Total,196,139,30,75,0,2,5,10,9,8,57,14,16,10,12,5
E00016147,Total,240,169,34,80,0,4,0,18,19,14,71,17,12,23,14,5
E00016153,Total,208,138,26,77,0,3,5,8,12,7,70,18,11,12,24,5
E00016141,Total,191,111,26,54,1,1,3,1,15,10,80,34,19,10,12,5
E00016146,Total,182,116,32,47,0,3,1,9,18,6,66,21,6,20,13,6
E00016148,Total,213,154,34,85,1,1,2,9,15,7,59,21,10,8,10,10
E00016149,Total,199,143,35,67,0,0,4,5,21,11,56,12,7,8,16,13
E00016151,Total,193,126,24,58,2,3,1,11,18,9,67,18,10,13,18,8
E00016152,Total,186,138,25,71,1,1,3,6,23,8,48,7,5,10,16,10
E00016843,Total,185,138,22,80,2,4,3,8,10,9,47,18,13,6,6,4
E00016863,Total,259,194,26,114,2,2,4,21,11,14,65,18,12,12,18,5
E00016868,Total,175,116,22,72,1,2,4,5,6,4,59,26,6,13,6,8
E00016870,Total,248,184,28,97,0,2,11,15,12,19,64,20,22,11,7,4
E00016871,Total,188,128,27,67,0,5,7,10,7,5,60,24,15,8,6,7
E00016848,Total,189,139,28,73,0,1,9,12,7,9,50,20,10,7,6,7
E00016859,Total,283,204,31,110,1,4,12,26,8,12,79,29,28,10,2,10
E00016861,Total,369,246,30,138,2,9,9,17,15,26,123,16,55,27,16,9
E00016862,Total,272,203,18,112,3,1,10,13,16,30,69,21,33,6,6,3
E00016866,Total,295,203,26,90,1,10,14,12,14,36,92,20,45,13,5,9
E00016829,Total,215,161,13,100,3,3,9,8,18,7,54,6,10,10,19,9
E00016851,Total,228,178,29,106,2,9,9,13,8,2,50,26,8,10,0,6
E00016860,Total,280,217,29,110,1,8,15,22,22,10,63,12,15,13,10,13
E00016864,Total,232,161,25,94,0,0,7,10,15,10,71,18,14,14,22,3
E00016867,Total,195,151,22,85,0,4,6,20,12,2,44,27,6,8,2,1
E00016869,Total,161,109,19,55,0,0,5,12,15,3,52,27,4,5,9,7
E00016835,Total,233,163,25,93,1,3,15,9,10,7,70,30,11,11,11,7
E00016837,Total,202,151,19,90,0,1,13,18,8,2,51,20,10,10,5,6
E00016846,Total,245,172,27,102,0,1,8,19,4,11,73,29,10,20,10,4
E00016849,Total,202,128,9,73,0,0,5,8,8,25,74,10,46,6,4,8
E00016865,Total,291,199,32,113,0,2,6,14,15,17,92,23,37,9,7,16
E00016825,Total,176,124,26,61,0,3,8,2,11,13,52,12,15,13,6,6
E00016836,Total,227,150,28,78,1,3,4,15,9,12,77,24,18,11,17,7
E00016841,Total,239,177,38,80,2,3,9,7,27,11,62,8,17,17,12,8
E00016844,Total,207,159,30,80,2,6,10,13,16,2,48,22,10,9,4,3
E00016853,Total,163,116,28,52,2,0,2,6,23,3,47,16,12,6,8,5
E00016350,Total,245,167,20,92,3,9,7,14,13,9,78,22,18,13,16,9
E00016369,Total,217,131,16,73,0,2,3,11,21,5,86,24,13,18,17,14
E00016370,Total,230,153,31,72,2,5,5,17,13,8,77,21,16,16,11,13
E00016371,Total,182,110,15,67,2,3,3,7,10,3,72,19,14,16,15,8
E00016374,Total,187,113,22,56,0,2,6,8,13,6,74,23,15,14,14,8
E00016352,Total,199,129,30,68,0,0,5,7,12,7,70,15,17,11,15,12
E00016373,Total,202,146,30,77,0,0,3,5,16,15,56,22,13,10,7,4
E00016378,Total,201,131,29,69,1,1,2,7,18,4,70,14,14,20,15,7
E00016381,Total,231,157,42,66,0,3,4,18,16,8,74,20,16,17,11,10
E00016382,Total,169,105,21,59,0,2,2,6,7,8,64,23,10,9,14,8
E00016348,Total,168,121,20,64,2,2,6,5,14,8,47,14,8,9,9,7
E00016372,Total,212,156,39,80,1,1,2,9,20,4,56,16,12,11,14,3
E00016375,Total,182,131,23,81,0,2,2,9,10,4,51,13,10,13,9,6
E00016377,Total,192,134,28,65,0,3,2,7,20,9,58,16,11,14,14,3
E00016379,Total,205,130,29,71,3,1,5,5,10,6,75,23,14,18,13,7
E00016349,Total,196,130,19,75,0,4,0,12,14,6,66,19,13,13,15,6
E00016351,Total,363,262,61,133,2,6,2,11,30,17,101,35,29,17,12,8
E00016376,Total,185,132,24,55,0,3,5,19,12,14,53,18,9,15,7,4
E00016383,Total,220,164,30,91,2,2,2,8,20,9,56,14,15,14,9,4
E00016356,Total,240,169,47,74,4,1,7,8,21,7,71,14,17,17,12,11
E00016387,Total,241,176,34,83,2,1,5,11,25,15,65,18,12,12,15,8
E00016393,Total,211,146,23,76,0,1,3,8,19,16,65,20,13,11,14,7
E00165790,Total,174,126,28,61,0,2,4,5,16,10,48,12,9,14,10,3
E00016361,Total,167,108,16,53,0,3,10,5,15,6,59,19,13,14,9,4
E00016363,Total,240,158,40,70,0,4,3,3,23,15,82,22,18,18,19,5
E00016366,Total,188,127,24,64,0,6,1,14,10,8,61,23,14,12,7,5
E00016367,Total,121,91,22,44,3,3,1,9,5,4,30,18,1,4,4,3
E00016368,Total,214,163,22,95,0,9,5,10,12,10,51,14,10,11,10,6
E00016353,Total,215,143,25,81,1,0,6,9,16,5,72,22,11,18,14,7
E00016360,Total,314,244,35,139,0,2,7,17,31,13,70,22,13,10,15,10
E00016380,Total,160,115,27,64,0,2,2,6,7,7,45,9,7,13,12,4
E00016389,Total,187,116,20,62,1,1,6,6,11,9,71,21,13,24,5,8
E00016390,Total,155,98,25,45,0,1,1,8,13,5,57,19,7,14,6,11
E00016392,Total,199,148,22,85,1,3,3,12,15,7,51,15,10,9,10,7
E00016359,Total,209,144,24,72,0,4,6,6,20,12,65,37,10,6,4,8
E00016384,Total,247,167,27,73,0,8,16,27,6,10,80,30,17,12,9,12
E00016385,Total,273,163,31,72,2,2,2,10,28,16,110,37,18,13,28,14
E00016386,Total,155,100,12,52,1,0,4,9,20,2,55,22,3,7,14,9
E00016388,Total,232,160,20,88,1,4,4,17,20,6,72,25,13,14,8,12
E00016346,Total,176,111,28,55,2,1,3,5,10,7,65,23,10,12,13,7
E00016354,Total,152,96,20,42,1,2,2,13,10,6,56,18,9,11,7,11
E00016357,Total,209,124,31,51,0,2,7,6,16,11,85,17,26,19,14,9
E00016358,Total,190,130,25,66,1,1,4,10,17,6,60,7,10,15,14,14
E00016391,Total,209,163,36,74,1,13,9,10,13,7,46,22,12,6,2,4
E00016362,Total,219,155,25,81,0,4,7,7,16,15,64,18,15,11,11,9
E00016364,Total,189,124,19,61,0,2,3,7,24,8,65,19,6,20,14,6
E00016365,Total,128,84,18,47,1,5,3,3,4,3,44,16,8,5,10,5
E00016394,Total,200,140,29,68,1,6,8,7,9,12,60,16,15,19,4,6
E00165789,Total,190,120,24,60,1,5,4,5,8,13,70,30,14,3,18,5
E00016678,Total,187,119,30,52,0,1,7,4,11,14,68,14,15,15,9,15
E00016722,Total,259,163,31,82,1,3,8,2,29,7,96,13,33,23,13,14
E00016724,Total,239,197,30,111,1,2,5,18,15,15,42,5,23,6,1,7
E00016727,Total,265,181,31,81,0,5,4,7,28,25,84,13,39,11,15,6
E00016676,Total,191,117,26,50,1,3,3,7,22,5,74,17,25,11,11,10
E00016685,Total,236,162,34,77,0,1,10,7,21,12,74,24,18,13,7,12
E00016690,Total,208,144,30,62,0,6,2,4,21,19,64,22,7,14,9,12
E00016691,Total,237,177,32,85,1,3,8,14,11,23,60,13,23,4,3,17
E00016726,Total,140,100,24,37,0,2,4,5,20,8,40,10,5,7,9,9
E00016688,Total,230,150,27,77,0,5,4,6,18,13,80,33,23,12,6,6
E00016695,Total,213,124,18,63,0,3,4,7,17,12,89,25,36,12,9,7
E00016705,Total,216,177,22,96,2,8,3,7,15,24,39,3,12,9,2,13
E00016710,Total,252,173,27,95,1,4,3,11,20,12,79,15,15,16,21,12
E00016712,Total,316,174,19,73,0,0,5,6,14,57,142,8,122,8,0,4
E00016682,Total,207,167,19,100,0,3,5,10,12,18,40,3,24,5,1,7
E00016686,Total,239,164,42,68,0,2,9,7,26,10,75,20,22,14,11,8
E00016699,Total,227,159,31,80,1,1,6,5,16,19,68,13,26,10,6,13
E00016702,Total,256,181,27,89,1,1,4,16,29,14,75,17,33,5,13,7
E00016707,Total,372,281,40,146,3,7,10,24,28,23,91,14,31,16,15,15
E00016711,Total,233,187,32,101,0,3,8,12,16,15,46,3,16,10,7,10
E00016696,Total,182,143,38,56,0,1,8,6,17,17,39,5,20,6,5,3
E00016698,Total,252,166,25,80,2,1,8,12,19,19,86,15,32,14,16,9
E00016703,Total,187,119,24,46,2,3,4,5,18,17,68,8,20,13,16,11
E00016713,Total,340,270,41,141,2,6,11,23,27,19,70,11,18,9,20,12
E00165804,Total,181,136,31,58,0,2,11,8,13,13,45,6,18,8,12,1
