OA11CD,Rural Urban,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E00016162,Total,207,162,18,103,1,5,8,15,8,4,45,21,11,7,3,3
E00016198,Total,213,165,19,93,0,4,3,15,20,11,48,6,15,7,9,11
E00016202,Total,201,136,30,56,1,3,0,9,24,13,65,10,17,20,6,12
E00016205,Total,220,189,14,127,0,8,12,18,8,2,31,12,10,6,2,1
E00016208,Total,214,169,17,101,0,3,3,16,23,6,45,17,9,5,6,8
E00016199,Total,226,153,27,72,0,4,7,13,16,14,73,12,34,11,3,13
E00016200,Total,145,85,20,34,2,1,2,1,17,8,60,20,24,5,9,2
E00016201,Total,115,68,10,28,0,1,6,4,11,8,47,5,17,7,6,12
E00016203,Total,206,104,21,32,0,0,9,8,27,7,102,30,31,13,12,16
E00016207,Total,245,159,31,69,3,3,7,8,24,14,86,9,29,10,21,17
E00016163,Total,239,197,17,112,2,4,16,13,14,19,42,9,18,7,6,2
E00016165,Total,202,154,11,99,0,6,12,17,5,4,48,18,4,12,11,3
E00016168,Total,153,141,8,93,0,5,7,21,5,2,12,3,7,2,0,0
E00016169,Total,220,142,25,72,1,7,12,20,4,1,78,28,22,17,8,3
E00016172,Total,199,167,19,91,0,5,8,16,23,5,32,5,3,9,14,1
E00016177,Total,196,149,15,89,2,6,10,16,11,0,47,15,9,10,9,4
E00016219,Total,224,163,30,77,1,3,15,13,17,7,61,17,15,8,13,8
E00016220,Total,220,181,27,113,0,3,9,17,5,7,39,7,8,7,9,8
E00016221,Total,249,199,24,112,2,5,7,19,13,17,50,15,18,9,4,4
E00016223,Total,187,144,23,82,0,2,5,15,10,7,43,9,13,4,12,5
E00016225,Total,218,178,25,104,0,6,15,17,6,5,40,10,14,4,3,9
E00016255,Total,194,178,25,122,1,4,7,10,3,6,16,4,2,3,7,0
E00016218,Total,212,184,13,109,1,4,12,15,10,20,28,6,12,5,1,4
E00016222,Total,289,227,35,118,0,6,12,16,29,11,62,15,22,9,8,8
E00016224,Total,289,246,28,145,1,6,15,31,16,4,43,13,11,8,5,6
E00016226,Total,256,183,27,97,1,4,8,18,16,12,73,12,33,5,12,11
E00016227,Total,320,221,23,126,1,1,14,20,14,22,99,7,72,6,8,6
E00016228,Total,238,188,31,104,0,3,10,19,13,8,50,16,13,3,10,8
E00016229,Total,337,259,40,142,0,7,11,28,15,16,78,18,29,11,15,5
E00016230,Total,283,220,30,114,2,1,10,22,24,17,63,12,12,10,21,8
E00016231,Total,256,190,24,102,0,4,6,14,27,13,66,11,27,8,13,7
E00016232,Total,245,181,35,86,3,4,9,14,15,15,64,13,17,8,17,9
E00016233,Total,255,194,35,103,2,5,0,9,19,21,61,7,15,17,15,7
E00016212,Total,244,191,32,95,2,3,8,9,14,28,53,15,12,10,13,3
E00016249,Total,179,111,18,57,1,2,5,6,14,8,68,23,9,8,19,9
E00016254,Total,263,197,33,87,1,3,17,23,11,22,66,11,24,12,7,12
E00173952,Total,190,125,11,75,1,0,11,7,13,7,65,15,21,9,10,10
E00174016,Total,193,141,19,80,1,2,7,9,6,17,52,25,12,6,7,2
E00174022,Total,173,133,23,84,0,0,5,6,12,3,40,15,10,6,4,5
E00174008,Total,202,190,10,154,0,3,6,6,7,4,12,0,7,3,1,1
E00174010,Total,192,173,9,137,0,0,3,10,7,7,19,0,13,4,1,1
E00174013,Total,210,190,13,145,0,1,4,11,10,6,20,0,9,7,1,3
E00174015,Total,173,162,2,130,0,1,1,15,8,5,11,1,3,2,3,2
E00174025,Total,207,189,8,154,0,1,5,12,8,1,18,0,4,3,6,5
E00174027,Total,150,131,1,111,0,1,1,11,4,2,19,1,13,4,1,0
E00016178,Total,176,118,28,63,1,0,6,5,10,5,58,19,10,9,15,5
E00016179,Total,209,169,15,103,3,4,8,13,14,9,40,9,12,6,6,7
E00016180,Total,201,144,13,89,0,6,11,13,8,4,57,25,10,8,10,4
E00016187,Total,235,186,21,124,0,6,5,13,10,7,49,19,10,11,6,3
E00016189,Total,230,178,20,125,0,7,6,16,4,0,52,23,6,15,3,5
E00016166,Total,158,134,20,79,0,11,4,10,5,5,24,13,5,2,1,3
E00016167,Total,215,141,20,82,0,11,13,11,2,2,74,27,26,17,0,4
E00016171,Total,263,231,18,161,1,4,8,19,7,13,32,8,15,6,1,2
E00016174,Total,196,156,19,94,1,13,7,18,3,1,40,21,7,9,1,2
E00016204,Total,212,168,14,121,0,0,6,11,11,5,44,22,6,4,9,3
E00016206,Total,207,166,16,107,1,5,8,19,5,5,41,19,7,11,3,1
E00016160,Total,203,152,23,94,0,3,11,14,6,1,51,30,7,10,1,3
E00016183,Total,206,167,18,111,1,5,13,15,2,2,39,18,10,5,1,5
E00016185,Total,170,130,22,73,0,6,11,13,3,2,40,21,7,9,1,2
E00016191,Total,190,145,9,109,0,6,7,9,2,3,45,28,8,4,4,1
E00016195,Total,195,149,18,106,1,4,1,12,4,3,46,23,11,9,2,1
E00016197,Total,230,206,15,147,1,4,9,13,9,8,24,14,5,3,0,2
E00016161,Total,282,225,24,145,1,6,13,16,10,10,57,17,15,7,8,10
E00016190,Total,187,118,13,79,0,1,1,8,10,6,69,37,9,2,14,7
E00016192,Total,238,181,26,114,2,4,6,11,16,2,57,15,9,9,11,13
E00016193,Total,219,190,11,145,1,1,4,10,10,8,29,7,13,7,1,1
E00016194,Total,215,182,22,113,0,2,12,7,18,8,33,2,13,6,6,6
E00016196,Total,283,219,36,124,3,3,7,14,22,10,64,7,22,16,13,6
E00016905,Total,221,162,34,82,3,1,6,8,16,12,59,15,20,5,8,11
E00016907,Total,229,162,27,83,4,0,5,8,17,18,67,9,19,9,18,12
E00016908,Total,157,99,17,57,1,1,1,3,10,9,58,25,8,6,15,4
E00016910,Total,213,133,30,54,1,2,4,8,19,15,80,16,21,11,19,13
E00016912,Total,144,89,20,42,0,0,0,6,13,8,55,15,12,8,17,3
E00016909,Total,272,196,39,91,0,3,30,7,16,10,76,9,21,18,14,14
E00016911,Total,299,206,38,113,3,5,6,13,20,8,93,22,26,15,17,13
E00016913,Total,288,218,42,97,4,7,9,17,30,12,70,10,21,16,14,9
E00016914,Total,222,166,41,60,0,5,5,15,22,18,56,9,15,8,17,7
E00016896,Total,257,203,19,119,1,9,10,26,9,10,54,10,14,8,18,4
E00016898,Total,231,185,24,124,0,2,8,13,9,5,46,11,22,2,4,7
E00016900,Total,264,209,31,120,0,4,9,26,8,11,55,16,21,8,7,3
E00016901,Total,155,119,20,64,0,0,4,11,12,8,36,7,8,12,5,4
E00016904,Total,199,171,26,97,1,3,7,6,20,11,28,5,9,6,2,6
E00016906,Total,201,163,19,114,1,3,8,7,8,3,38,9,8,7,4,10
E00016883,Total,285,230,37,98,1,7,15,32,23,17,55,12,26,11,4,2
E00016888,Total,249,191,24,99,1,3,2,32,14,16,58,23,16,4,11,4
E00016891,Total,323,264,29,127,0,2,6,45,18,37,59,15,18,5,13,8
E00016892,Total,257,200,26,108,1,3,7,17,17,21,57,14,26,7,4,6
E00016894,Total,290,241,33,100,2,3,12,34,13,44,49,13,19,2,13,2
E00016880,Total,272,175,35,86,1,2,7,17,18,9,97,16,21,24,14,22
E00016897,Total,355,270,35,152,1,4,6,29,15,28,85,16,32,14,12,11
E00016899,Total,259,219,22,155,1,1,8,17,5,10,40,8,13,8,4,7
E00016902,Total,251,199,27,115,0,2,9,25,13,8,52,13,15,8,8,8
E00016903,Total,289,226,23,142,1,3,11,24,12,10,63,15,28,6,3,11
E00016564,Total,247,175,34,95,1,3,6,14,13,9,72,21,18,9,15,9
E00016567,Total,158,100,21,35,0,7,2,6,13,16,58,2,29,8,13,6
E00016569,Total,244,179,26,101,0,4,8,14,11,15,65,20,22,10,2,11
E00016571,Total,245,193,27,111,2,6,17,10,9,11,52,18,19,7,6,2
E00173700,Total,367,227,15,59,1,1,2,12,14,123,140,16,115,1,6,2
E00173702,Total,373,252,18,53,0,4,5,16,23,133,121,8,97,8,3,5
E00016558,Total,207,169,22,102,0,3,7,6,16,13,38,4,10,7,10,7
E00016561,Total,231,181,22,103,0,3,5,18,19,11,50,9,16,3,12,10
E00016566,Total,214,158,24,77,2,1,2,20,17,15,56,14,25,2,6,9
E00016568,Total,252,204,17,105,1,7,23,23,18,10,48,14,8,4,13,9
E00016572,Total,255,200,36,92,4,2,18,24,13,11,55,17,12,4,9,13
E00016575,Total,217,194,23,113,0,1,14,21,16,6,23,1,7,5,9,1
E00016557,Total,160,127,24,66,0,4,1,7,6,19,33,14,7,6,4,2
