OA11CD,Rural Urban,Total,"1. Managers, directors and senior officials",11. Corporate managers and directors,111. Chief Executives and Senior Officials,112. Production Managers and Directors,113. Functional Managers and Directors,115. Financial Institution Managers and Directors,116. Managers and Directors in Transport and Logistics,117. Senior Officers in Protective Services,118. Health and Social Services Managers and Directors,119. Managers and Directors in Retail and Wholesale,12. Other managers and proprietors,121. Managers and Proprietors in Agriculture Related Services,122. Managers and Proprietors in Hospitality and Leisure Services,124. Managers and Proprietors in Health and Care Services,125. Managers and Proprietors in Other Services,2. Professional occupations,"21. Science research, engineering and technology professionals",211. Natural and Social Science Professionals,212. Engineering Professionals,213. Information Technology and Telecommunications Professionals,214. Conservation and Environment Professionals,215. Research and Development Managers,22. Health professionals,221. Health Professionals,222. Therapy Professionals,223. Nursing and Midwifery Professionals,23. Teaching and educational professionals,231. Teaching and Educational Professionals,"24. Business, media and public service professionals",241. Legal Professionals,242. Research and Administrative Professionals,"243. Architects, Town Planners and Surveyors",244. Welfare Professionals,245. Librarians and Related Professionals,246. Quality and Regulatory Professionals,247. Media Professionals,3. Associate professional and technical occupations,"31. Science, engineering and technology associate professionals","311. Science, Engineering and Production Technicians",312. Draughtspersons and Related Architectural Technicians,313. Information Technology Technicians,32. Health and social care associate professionals,321. Health Associate Professionals,323. Welfare and Housing Associate Professionals,33. Protective Service Occupations,331. Protective Service Occupations,"34. Culture, media and sports occupations","341. Artistic, Literary and Media Occupations",342. Design Occupations,344. Sports and Fitness Occupations,35. Business and public service associate professionals,351. Transport Associate Professionals,352. Legal Associate Professionals,"353. Business, Finance and Related Associate Professionals","354. Sales, Marketing and Related Associate Professionals",355. Conservation and Environmental associate professionals,356. Public Services and Other Associate Professionals,4. Administrative and secretarial occupations,41. Administrative occupations,411. Government and Related Organisations,412. Finance,413. Records,415. Other Administrative Occupations,416. Office Managers and Supervisors,42. Secretarial and related occupations,421. Secretarial and Related Occupations,5. Skilled trades occupations,51. Skilled agricultural and related trades,511. Agricultural and Related Trades,"52. Skilled metal, electrical and electronic trades","521. Metal Forming, Welding and Related Trades","522. Metal Machining, Fitting and Instrument Making Trades",523. Vehicle Trades,524. Electrical and Electronic Trades,"525. Skilled Metal, Electrical and Electronic Trades Supervisors",53. Skilled construction and building trades,531. Construction and Building Trades,532. Building Finishing Trades,533. Construction and Building Trades Supervisors,"54. Textiles, printing and other skilled trades",541. Textiles and Garments Trades,542. Printing Trades,543. Food Preparation and Hospitality Trades,544. Other Skilled Trades,"6. Caring, leisure and other service occupations",61. Caring personal service occupations,612. Childcare and Related Personal Services,613. Animal Care and Control Services,614. Caring Personal Services,"62. Leisure, travel and related personal service occupations",621. Leisure and Travel Services,622. Hairdressers and Related Services,623. Housekeeping and Related Services,624. Cleaning and Housekeeping Managers and Supervisors,7. Sales and customer service occupations,71. Sales occupations,711. Sales Assistants and Retail Cashiers,712. Sales Related Occupations,713. Sales Supervisors,72. Customer service occupations,721. Customer Service Occupations,722. Customer Service Managers and Supervisors,"8. Process, plant and machine operatives","81. Process, plant and machine operatives",811. Process Operatives,812. Plant and Machine Operatives,813. Assemblers and Routine Operatives,814. Construction Operatives,82. Transport and mobile machine drivers and operatives,821. Road Transport Drivers,822. Mobile Machine Drivers and Operatives,823. Other Drivers and Transport Operatives,9. Elementary occupations,91. Elementary trades and related occupations,911. Elementary Agricultural Occupations,912. Elementary Construction Occupations,913. Elementary Process Plant Occupations,92. Elementary administration and service occupations,921. Elementary Administration Occupations,923. Elementary Cleaning Occupations,924. Elementary Security Occupations,925. Elementary Sales Occupations,926. Elementary Storage Occupations,927. Other Elementary Services Occupations
E00016218,Total,168,17,12,1,1,3,1,1,0,1,4,5,0,0,2,3,41,12,0,1,8,3,0,2,1,1,0,8,8,19,1,5,2,3,0,0,8,40,2,0,0,2,4,0,4,2,2,19,15,4,0,13,0,1,6,4,0,2,20,11,5,2,2,1,1,9,9,10,0,0,3,0,0,0,2,1,6,4,2,0,1,0,0,1,0,18,8,1,0,7,10,3,4,3,0,8,5,5,0,0,3,3,0,5,0,0,0,0,0,5,5,0,0,9,1,0,0,1,8,0,0,1,0,1,6
E00016222,Total,196,26,12,2,0,5,3,0,0,2,0,14,0,7,0,7,31,3,0,0,2,1,0,3,0,2,1,15,15,10,0,8,0,0,0,0,2,49,3,1,0,2,5,2,3,0,0,27,21,6,0,14,0,0,3,7,0,4,19,12,4,2,1,4,1,7,7,11,0,0,2,0,0,0,2,0,2,2,0,0,7,0,0,7,0,18,14,7,0,7,4,3,1,0,0,13,11,10,1,0,2,2,0,10,1,0,1,0,0,9,7,1,1,19,1,0,1,0,18,0,9,3,0,2,4
E00016224,Total,230,29,16,1,0,11,2,0,0,1,1,13,0,4,2,7,79,14,1,3,7,1,2,13,6,3,4,13,13,39,7,10,9,3,2,2,6,55,3,1,0,2,1,0,1,1,1,32,21,10,1,18,0,3,4,8,0,3,17,15,3,4,1,5,2,2,2,12,1,1,1,0,0,0,1,0,3,2,1,0,7,0,0,5,2,11,7,1,0,6,4,3,1,0,0,7,5,4,1,0,2,2,0,3,1,0,0,0,1,2,2,0,0,17,0,0,0,0,17,3,1,1,0,0,12
E00016226,Total,163,26,16,1,3,8,0,2,0,0,2,10,0,4,0,6,44,6,2,1,3,0,0,3,0,0,3,7,7,28,1,11,3,3,0,1,9,32,1,0,0,1,2,0,2,0,0,14,6,7,1,15,1,0,6,5,0,3,14,10,3,2,2,3,0,4,4,11,0,0,1,0,1,0,0,0,4,3,1,0,6,0,0,6,0,17,14,6,0,8,3,1,1,1,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,11,0,2,3,0,1,5
E00016227,Total,197,16,13,2,0,5,2,0,0,2,2,3,0,1,0,2,68,10,2,0,7,0,1,4,1,1,2,21,21,33,2,7,3,4,0,1,16,47,3,0,0,3,2,1,1,0,0,25,19,6,0,17,0,0,3,9,0,5,19,11,3,3,0,4,1,8,8,9,2,2,1,0,1,0,0,0,1,0,1,0,5,0,0,4,1,9,6,2,0,4,3,1,0,2,0,10,7,6,1,0,3,2,1,6,4,1,1,0,2,2,2,0,0,13,0,0,0,0,13,1,0,3,1,0,8
E00016228,Total,173,28,17,1,2,6,2,2,0,1,3,11,0,6,0,5,52,10,0,1,8,0,1,1,1,0,0,16,16,25,3,12,2,0,1,0,7,27,2,1,0,1,2,0,2,0,0,12,10,2,0,11,0,1,3,4,0,3,20,16,7,0,6,2,1,4,4,8,0,0,1,0,1,0,0,0,4,4,0,0,3,0,0,3,0,17,14,7,0,7,3,1,0,1,1,8,6,3,3,0,2,1,1,2,2,0,0,1,1,0,0,0,0,11,2,0,1,1,9,1,1,0,0,2,5
E00016229,Total,241,25,14,1,4,5,2,0,0,1,1,11,0,4,0,7,73,14,1,2,11,0,0,10,4,0,6,24,24,25,5,4,4,2,0,2,8,53,1,0,1,0,6,0,6,0,0,27,19,5,3,19,0,2,6,8,0,3,24,16,4,2,3,7,0,8,8,10,1,1,4,0,1,1,2,0,2,2,0,0,3,0,0,2,1,15,10,7,0,3,5,4,1,0,0,11,10,9,1,0,1,1,0,6,5,1,0,0,4,1,1,0,0,24,0,0,0,0,24,3,10,1,1,6,3
E00016230,Total,189,15,5,1,1,2,0,0,0,0,1,10,0,5,0,5,38,1,0,1,0,0,0,8,2,3,3,19,19,10,2,1,3,1,0,0,3,40,2,1,0,1,2,1,1,1,1,23,17,6,0,12,0,0,2,8,0,2,27,24,8,3,3,10,0,3,3,14,0,0,1,0,0,1,0,0,4,3,1,0,9,0,1,7,1,17,12,6,0,6,5,4,0,0,1,7,5,4,1,0,2,2,0,8,5,0,2,2,1,3,1,2,0,23,2,0,2,0,21,1,6,6,0,1,7
E00016231,Total,155,12,7,0,0,6,0,0,0,0,1,5,0,1,0,4,23,2,0,0,2,0,0,2,0,1,1,10,10,9,2,3,1,1,0,0,2,32,2,1,0,1,5,0,5,0,0,12,8,4,0,13,0,0,1,8,0,4,22,15,2,5,2,5,1,7,7,22,0,0,3,0,1,1,1,0,12,12,0,0,7,0,1,5,1,11,8,1,0,7,3,1,1,1,0,11,8,8,0,0,3,3,0,4,3,0,1,1,1,1,1,0,0,18,2,0,1,1,16,3,3,1,1,2,6
E00016232,Total,163,16,9,0,0,6,2,1,0,0,0,7,0,6,0,1,35,8,3,0,5,0,0,1,0,0,1,10,10,16,1,5,2,3,1,1,3,28,3,0,0,3,5,2,3,0,0,12,10,2,0,8,0,0,2,5,0,1,15,10,3,5,0,1,1,5,5,16,2,2,4,1,0,1,2,0,3,1,1,1,7,0,0,6,1,12,8,4,0,4,4,1,3,0,0,12,9,7,2,0,3,1,2,8,4,1,0,0,3,4,4,0,0,21,0,0,0,0,21,2,1,3,3,2,10
E00016233,Total,173,6,4,0,1,0,2,0,0,0,1,2,0,0,0,2,35,2,0,0,2,0,0,4,0,0,4,11,11,18,0,11,0,6,0,0,1,21,5,3,0,2,2,0,2,0,0,7,5,1,1,7,0,0,5,1,0,1,27,23,5,3,4,10,1,4,4,20,1,1,1,0,0,0,1,0,6,2,4,0,12,0,0,11,1,23,20,7,0,13,3,0,2,1,0,17,10,8,0,2,7,5,2,5,0,0,0,0,0,5,5,0,0,19,2,1,1,0,17,1,7,1,0,0,8
E00016212,Total,172,9,5,0,1,4,0,0,0,0,0,4,0,0,1,3,46,4,0,1,3,0,0,4,3,0,1,17,17,21,3,6,3,4,1,0,4,28,2,2,0,0,1,1,0,1,1,13,12,1,0,11,0,1,1,5,0,4,30,24,7,9,1,0,7,6,6,11,1,1,3,0,1,1,1,0,2,2,0,0,5,1,0,3,1,7,6,1,0,5,1,1,0,0,0,19,17,14,3,0,2,1,1,10,1,0,1,0,0,9,7,0,2,12,1,1,0,0,11,0,5,0,0,1,5
E00016249,Total,97,8,4,0,0,2,1,0,0,0,1,4,0,0,0,4,17,3,1,1,1,0,0,3,0,1,2,4,4,7,0,4,1,0,1,0,1,15,1,1,0,0,2,0,2,0,0,9,8,1,0,3,0,0,1,2,0,0,14,11,2,5,1,1,2,3,3,9,0,0,3,0,1,0,1,1,2,1,1,0,4,1,0,2,1,15,11,4,0,7,4,0,1,3,0,8,6,6,0,0,2,2,0,3,1,0,0,1,0,2,1,1,0,8,1,0,0,1,7,0,3,0,1,0,3
E00016254,Total,186,27,9,1,1,5,0,1,0,1,0,18,0,9,0,9,51,8,0,0,7,0,1,5,4,0,1,10,10,28,1,11,5,1,2,2,6,40,4,1,1,2,2,0,2,0,0,30,20,9,1,4,0,0,2,1,0,1,13,8,1,2,2,2,1,5,5,11,1,1,1,0,1,0,0,0,2,1,1,0,7,1,0,6,0,14,11,8,0,3,3,1,1,1,0,13,10,9,0,1,3,3,0,1,1,0,0,1,0,0,0,0,0,16,1,0,1,0,15,2,3,5,0,1,4
E00173952,Total,108,7,6,0,1,4,0,0,0,1,0,1,0,0,0,1,22,4,0,2,1,0,1,5,1,0,4,4,4,9,2,2,2,1,0,0,2,19,2,1,0,1,2,2,0,0,0,9,9,0,0,6,0,1,3,2,0,0,15,11,2,3,2,4,0,4,4,7,2,2,2,0,0,1,1,0,2,1,1,0,1,0,0,1,0,13,9,3,0,6,4,2,0,1,1,12,10,10,0,0,2,2,0,4,1,0,0,1,0,3,3,0,0,9,1,0,0,1,8,1,1,2,1,1,2
E00174016,Total,132,5,2,0,0,2,0,0,0,0,0,3,0,2,0,1,39,7,1,1,4,0,1,4,2,2,0,15,15,13,3,5,2,1,0,0,2,32,0,0,0,0,4,1,3,2,2,16,15,1,0,10,0,0,2,3,1,4,18,17,1,7,1,1,7,1,1,9,0,0,3,0,0,0,2,1,3,1,2,0,3,0,0,3,0,5,3,3,0,0,2,1,1,0,0,11,9,8,0,1,2,2,0,2,1,0,1,0,0,1,0,0,1,11,0,0,0,0,11,1,4,1,0,0,5
E00174022,Total,120,20,14,4,4,3,0,0,0,0,3,6,0,3,0,3,38,9,0,1,7,0,1,5,1,2,2,9,9,15,3,5,5,1,0,0,1,17,0,0,0,0,2,0,2,0,0,5,5,0,0,10,0,0,5,3,0,2,14,11,4,0,3,4,0,3,3,7,0,0,2,0,0,1,1,0,2,2,0,0,3,0,0,3,0,7,4,2,0,2,3,2,0,1,0,9,7,5,2,0,2,2,0,1,0,0,0,0,0,1,1,0,0,7,0,0,0,0,7,1,1,4,0,0,1
E00174008,Total,182,21,18,3,1,4,7,0,0,0,3,3,0,0,0,3,82,26,2,4,20,0,0,8,6,2,0,13,13,35,10,20,0,0,0,0,5,53,5,1,0,4,1,1,0,1,1,12,7,3,2,34,1,1,17,9,0,6,11,8,0,4,2,2,0,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,3,2,0,0,2,1,1,0,0,0,4,3,3,0,0,1,0,1,2,1,0,0,1,0,1,1,0,0,3,0,0,0,0,3,0,1,0,0,0,2
E00174010,Total,166,19,13,0,0,8,3,0,0,1,1,6,0,2,0,4,70,31,0,4,26,1,0,4,3,1,0,7,7,28,6,18,0,0,0,2,2,35,0,0,0,0,0,0,0,0,0,10,5,4,1,25,0,0,13,7,0,5,11,8,0,6,0,2,0,3,3,6,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,5,0,4,1,1,0,0,3,1,1,0,1,9,6,6,0,0,3,3,0,1,1,0,0,1,0,0,0,0,0,11,0,0,0,0,11,1,0,3,1,0,6
E00174013,Total,179,18,10,1,2,4,1,1,0,0,1,8,0,3,0,5,59,17,1,2,14,0,0,4,3,0,1,5,5,33,7,18,5,0,0,1,2,52,4,1,0,3,0,0,0,3,3,8,5,2,1,37,0,2,18,8,0,9,16,12,0,5,5,2,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,4,2,0,2,4,4,0,0,0,12,8,6,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,11,0,2,1,1,0,7
E00174015,Total,154,27,19,4,0,8,2,0,0,0,5,8,0,3,0,5,52,19,3,3,12,0,1,2,1,0,1,5,5,26,1,16,3,0,0,1,5,48,3,2,0,1,0,0,0,5,5,8,5,2,1,32,0,2,18,7,0,5,12,7,1,1,1,1,3,5,5,5,0,0,2,0,0,0,2,0,2,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6,3,3,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,2
E00174025,Total,181,28,24,0,4,12,2,2,0,1,3,4,1,1,0,2,77,34,2,0,32,0,0,5,3,0,2,10,10,28,2,18,2,0,0,1,5,38,2,0,0,2,1,1,0,0,0,6,5,0,1,29,0,1,18,5,0,5,17,15,2,3,4,1,5,2,2,5,0,0,3,0,0,1,2,0,1,0,1,0,1,1,0,0,0,2,1,0,0,1,1,1,0,0,0,10,6,4,1,1,4,4,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,1,2,0,0,0,0,0,2
E00174027,Total,127,23,18,1,3,6,4,0,0,0,4,5,0,2,0,3,44,16,0,0,16,0,0,4,2,2,0,1,1,23,5,15,1,0,0,0,2,34,3,1,0,2,1,0,1,0,0,4,1,2,1,26,0,0,19,6,0,1,9,7,0,5,0,2,0,2,2,5,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,4,0,6,1,0,0,1,5,3,2,0,0,3,2,2,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,0,0,0,1
E00016178,Total,108,9,7,0,0,4,1,2,0,0,0,2,0,1,0,1,30,5,1,2,2,0,0,7,6,0,1,9,9,9,1,8,0,0,0,0,0,19,2,0,0,2,1,0,1,0,0,5,4,1,0,11,0,0,3,3,0,5,9,6,1,3,1,1,0,3,3,6,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,4,1,8,5,4,0,1,3,0,1,1,1,11,10,8,0,2,1,1,0,2,0,0,0,0,0,2,2,0,0,14,0,0,0,0,14,2,5,1,0,1,5
E00016179,Total,151,20,12,0,1,5,2,0,1,0,3,8,0,2,1,5,46,8,0,1,7,0,0,7,2,0,5,11,11,20,5,9,1,0,0,1,4,31,1,0,0,1,2,0,2,1,1,7,7,0,0,20,0,0,10,5,0,5,15,9,6,1,0,2,0,6,6,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,11,5,1,0,4,6,4,0,1,1,11,7,6,1,0,4,4,0,7,0,0,0,0,0,7,7,0,0,7,0,0,0,0,7,1,4,1,0,0,1
E00016180,Total,135,25,20,2,0,15,3,0,0,0,0,5,0,1,1,3,38,9,2,0,7,0,0,7,5,2,0,6,6,16,4,7,2,0,0,0,3,31,1,1,0,0,1,0,1,0,0,11,6,2,3,18,0,1,9,8,0,0,11,7,4,1,0,1,1,4,4,4,0,0,2,0,2,0,0,0,1,1,0,0,1,0,0,1,0,11,5,1,0,4,6,2,3,1,0,6,6,5,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,7,1,1,0,0,6,2,2,1,0,0,1
E00016187,Total,173,33,25,3,2,13,4,1,0,0,2,8,0,3,1,4,68,6,0,0,4,2,0,16,9,4,3,13,13,33,9,11,2,1,1,1,8,36,2,0,2,0,0,0,0,0,0,7,3,4,0,27,0,0,15,10,0,2,9,5,3,0,1,1,0,4,4,4,0,0,1,0,0,0,1,0,2,2,0,0,1,0,0,1,0,11,9,7,0,2,2,1,1,0,0,4,3,3,0,0,1,1,0,2,1,0,0,0,1,1,1,0,0,6,0,0,0,0,6,0,0,2,0,2,2
E00016189,Total,174,38,29,0,3,18,6,0,0,1,1,9,0,1,0,8,75,6,0,0,5,1,0,14,11,1,2,13,13,42,18,13,0,1,0,0,10,31,0,0,0,0,0,0,0,0,0,8,7,1,0,23,0,0,10,11,0,2,11,10,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,1,2,0,0,0,0,0,5,4,2,0,2,1,1,0,2,1,0,0,1,0,1,1,0,0,8,1,0,1,0,7,2,1,1,0,0,3
E00016166,Total,127,20,15,0,2,5,5,0,0,2,1,5,0,2,0,3,51,6,1,0,4,0,1,15,6,4,5,9,9,21,4,7,4,0,1,1,4,32,1,0,0,1,1,1,0,0,0,10,10,0,0,20,0,2,11,5,0,2,7,3,0,0,1,2,0,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,3,1,1,0,0,0,6,6,5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,4,0,0,1,0,0,3
E00016167,Total,139,29,21,3,2,10,5,0,0,1,0,8,0,1,0,7,57,5,2,1,2,0,0,9,6,1,2,11,11,32,7,11,2,1,1,2,8,38,2,1,1,0,1,1,0,0,0,7,4,2,1,28,0,0,23,3,0,2,7,2,0,1,1,0,0,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,2,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
E00016171,Total,223,26,18,1,0,10,5,0,0,1,1,8,0,3,0,5,76,15,2,3,9,0,1,17,13,2,2,12,12,32,6,13,4,1,0,2,6,64,1,1,0,0,4,1,3,3,3,17,11,6,0,39,0,0,19,16,0,4,21,16,4,3,1,6,2,5,5,9,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,7,1,5,2,0,0,2,3,2,0,1,0,11,8,6,1,1,3,1,2,2,2,0,1,1,0,0,0,0,0,9,1,0,0,1,8,0,1,0,0,0,7
E00016174,Total,152,34,26,2,1,14,4,1,0,1,3,8,0,0,0,8,54,8,0,3,4,1,0,6,5,1,0,7,7,33,8,14,6,0,0,1,4,42,1,0,0,1,0,0,0,0,0,15,12,2,1,26,0,3,17,4,0,2,12,7,2,2,2,1,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,2,2,1,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,1,0,0,0
E00016204,Total,157,22,14,0,0,5,6,1,0,0,2,8,0,0,0,8,60,11,1,1,9,0,0,10,5,4,1,8,8,31,4,14,3,1,0,1,8,36,2,1,0,1,4,2,2,0,0,7,4,3,0,23,0,0,9,8,0,6,6,3,1,2,0,0,0,3,3,6,0,0,0,0,0,0,0,0,3,1,2,0,3,0,0,3,0,4,4,2,0,2,0,0,0,0,0,10,10,7,0,3,0,0,0,6,3,0,1,1,1,3,3,0,0,7,2,0,2,0,5,0,1,2,0,0,2
E00016206,Total,161,26,19,0,4,8,5,2,0,0,0,7,0,4,0,3,53,4,0,0,4,0,0,13,8,3,2,9,9,27,6,7,3,1,0,2,8,28,2,1,0,1,2,1,1,2,2,5,4,0,1,17,0,0,8,6,0,3,22,18,3,2,4,7,2,4,4,10,1,1,1,0,0,1,0,0,5,4,1,0,3,0,1,2,0,4,4,3,0,1,0,0,0,0,0,6,5,5,0,0,1,1,0,4,3,0,0,0,3,1,1,0,0,8,0,0,0,0,8,1,3,1,0,0,3
E00016160,Total,146,19,13,0,2,5,3,0,0,1,2,6,0,0,0,6,59,7,0,3,4,0,0,13,12,0,1,8,8,31,1,17,6,1,2,0,4,26,0,0,0,0,1,1,0,0,0,10,5,4,1,15,0,1,6,4,0,4,21,12,3,4,1,3,1,9,9,5,0,0,2,0,1,0,1,0,2,2,0,0,1,0,0,1,0,5,3,3,0,0,2,1,1,0,0,4,3,2,1,0,1,1,0,2,0,0,0,0,0,2,1,0,1,5,0,0,0,0,5,0,0,0,0,1,4
E00016183,Total,165,35,24,0,3,14,5,0,0,1,1,11,0,4,2,5,60,11,0,3,6,1,1,13,7,2,4,12,12,24,5,9,2,1,0,0,7,38,2,1,0,1,1,0,1,2,2,8,6,2,0,25,0,2,10,8,0,5,19,12,3,3,1,3,2,7,7,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,3,3,0,0,1,0,1,0,0,3,2,1,0,1,1,1,0,3,1,0,0,1,0,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0
E00016185,Total,127,23,17,1,3,11,1,0,0,0,1,6,0,3,1,2,59,16,0,4,11,1,0,7,6,1,0,14,14,22,4,13,1,0,0,0,4,24,0,0,0,0,2,1,1,0,0,8,5,3,0,14,0,0,8,4,0,2,12,6,2,3,0,1,0,6,6,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,2
E00016191,Total,142,23,19,0,2,10,4,1,0,0,2,4,0,3,0,1,55,14,3,3,7,0,1,6,2,1,3,10,10,25,4,14,2,1,0,1,3,37,5,4,1,0,2,1,1,1,1,7,5,1,1,22,1,1,12,8,0,0,12,6,1,1,3,1,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,4,3,0,0,3,1,1,0,0,0,3,3,1,2,0,0,0,0,3,3,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
E00016195,Total,143,25,16,0,0,10,3,0,0,1,2,9,0,5,1,3,53,13,1,4,7,0,1,8,5,0,3,11,11,21,4,5,3,0,0,3,6,32,0,0,0,0,1,0,1,0,0,7,5,1,1,24,0,1,15,6,0,2,14,10,0,7,0,2,1,4,4,6,0,0,1,0,0,0,1,0,2,1,1,0,3,0,0,3,0,5,3,1,0,2,2,1,0,1,0,5,3,0,2,1,2,2,0,3,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016197,Total,197,18,8,1,2,2,3,0,0,0,0,10,0,5,0,5,57,16,2,4,6,2,2,9,5,1,3,15,15,17,2,9,2,1,1,0,2,47,1,0,0,1,3,1,2,0,0,18,13,4,1,25,0,0,7,12,0,6,31,24,6,5,4,5,4,7,7,7,0,0,1,0,0,0,0,1,1,1,0,0,5,0,0,4,1,14,6,4,1,1,8,4,2,1,1,9,8,6,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0,13,2,0,1,1,11,1,2,1,0,0,7
E00016161,Total,213,17,13,2,1,8,0,0,0,0,2,4,0,2,0,2,66,12,3,4,5,0,0,8,4,2,2,13,13,33,6,13,2,2,0,0,10,61,5,3,0,2,4,0,4,0,0,15,13,0,2,37,0,0,20,10,0,7,26,21,4,5,5,1,6,5,5,6,1,1,0,0,0,0,0,0,3,2,1,0,2,0,0,0,2,12,6,4,0,2,6,3,0,1,2,5,3,1,2,0,2,1,1,4,2,0,0,1,1,2,1,1,0,16,2,0,0,2,14,0,1,4,1,2,6
E00016190,Total,107,11,9,1,1,3,2,1,0,0,1,2,0,0,0,2,28,8,1,2,5,0,0,4,4,0,0,3,3,13,0,8,0,1,0,0,4,13,1,0,0,1,1,0,1,2,2,2,2,0,0,7,0,1,3,1,0,2,10,8,2,2,1,3,0,2,2,9,1,1,3,1,1,0,1,0,2,2,0,0,3,0,0,3,0,12,11,2,0,9,1,0,1,0,0,3,3,3,0,0,0,0,0,8,2,1,0,0,1,6,5,0,1,13,2,0,1,1,11,1,5,1,0,0,4
E00016192,Total,165,12,7,0,1,2,1,2,0,0,1,5,0,4,0,1,44,10,0,3,7,0,0,8,2,2,4,8,8,18,1,12,0,1,0,1,3,29,2,0,0,2,1,1,0,1,1,9,5,3,1,16,0,1,6,4,0,5,22,14,6,2,0,5,1,8,8,8,0,0,2,0,0,0,2,0,2,2,0,0,4,0,0,2,2,11,7,3,0,4,4,0,0,4,0,14,11,7,0,4,3,2,1,5,1,0,0,0,1,4,2,1,1,20,2,0,2,0,18,1,9,1,1,0,6
E00016193,Total,179,16,13,0,2,5,1,0,0,1,4,3,0,3,0,0,66,20,3,4,13,0,0,6,4,0,2,12,12,28,5,8,3,3,2,2,5,32,1,0,0,1,0,0,0,2,2,10,6,4,0,19,0,0,5,12,0,2,27,18,3,3,5,5,2,9,9,6,1,1,1,0,1,0,0,0,2,1,1,0,2,0,1,1,0,15,7,3,0,4,8,5,0,3,0,6,3,2,1,0,3,2,1,2,1,1,0,0,0,1,1,0,0,9,0,0,0,0,9,0,1,3,0,1,4
E00016194,Total,162,12,10,1,1,4,2,0,0,0,2,2,0,2,0,0,43,12,1,3,8,0,0,13,3,0,10,6,6,12,0,5,4,0,0,0,3,29,1,0,0,1,4,1,3,7,7,7,6,0,1,10,0,1,4,3,0,2,20,18,4,3,1,6,4,2,2,11,2,2,1,0,0,0,1,0,1,1,0,0,7,2,1,4,0,16,6,2,0,4,10,8,1,0,1,7,5,4,0,1,2,2,0,3,0,0,0,0,0,3,1,2,0,21,3,0,3,0,18,0,7,7,0,1,3
E00016196,Total,195,20,13,1,4,6,2,0,0,0,0,7,0,2,0,5,52,11,0,3,8,0,0,8,3,2,3,11,11,22,3,13,4,1,0,0,1,42,4,0,1,3,3,0,3,3,3,12,8,2,2,20,0,2,5,7,0,6,24,16,5,6,2,2,1,8,8,5,0,0,0,0,0,0,0,0,2,0,2,0,3,0,1,2,0,17,11,2,0,9,6,2,1,1,2,9,9,9,0,0,0,0,0,7,3,1,0,1,1,4,3,0,1,19,0,0,0,0,19,1,4,3,0,0,11
E00016905,Total,144,7,4,1,0,3,0,0,0,0,0,3,0,0,0,3,32,14,1,0,12,0,1,2,0,0,2,6,6,10,2,2,2,1,0,0,3,17,2,2,0,0,1,0,1,1,1,7,5,2,0,6,0,0,1,2,0,3,17,12,2,2,1,6,1,5,5,6,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,4,0,29,17,10,0,7,12,7,1,4,0,5,5,3,2,0,0,0,0,15,3,0,1,0,2,12,12,0,0,16,2,0,2,0,14,0,3,5,0,2,4
