,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
111,Lewisham 025C,E01003221,40,40,45,45,35,40,35,40,40,40,35,40,35,35,40,45,45,40,45,40,40,40,40,45,50,50,45,50,50,40,35,35,40,40,45,50,55,55,50,55,50,50,55,55,60,60,55,55,55,55,55,95,115,130,130,135,140,145,130,130,135,140,150,145,140,140,125,130,120
112,Lewisham 025D,E01003223,20,20,20,20,15,10,15,15,20,20,20,20,20,20,20,25,20,20,20,20,25,20,15,15,15,15,15,15,15,10,15,15,15,15,15,25,30,25,25,25,30,25,25,25,35,35,40,40,40,40,45,65,95,95,95,100,100,100,105,100,100,105,110,110,100,90,85,70,70
113,Lewisham 026A,E01003346,35,35,35,30,30,30,30,30,30,35,40,35,30,35,35,35,40,40,30,40,35,40,40,45,40,40,40,40,50,45,45,45,55,55,55,60,75,70,70,75,75,75,80,85,80,75,80,80,80,85,90,110,140,135,145,150,150,155,145,140,135,150,135,140,140,135,130,125,115
114,Lewisham 026B,E01003349,20,20,20,25,20,25,20,15,15,15,15,15,20,20,20,20,25,20,15,15,10,15,10,20,20,25,20,20,25,20,20,20,25,30,30,30,30,30,35,30,30,35,35,35,35,35,40,40,35,35,40,50,95,90,95,100,110,100,105,105,100,105,100,105,105,85,85,85,90
115,Lewisham 026C,E01003351,25,25,25,20,25,20,20,25,25,25,30,25,25,25,30,25,25,25,20,20,20,15,20,20,20,25,30,30,30,25,25,30,30,30,30,40,35,35,35,35,35,35,35,40,50,45,40,50,50,45,40,80,120,115,120,120,115,110,115,120,115,125,110,105,100,110,100,95,95
116,Lewisham 026D,E01003354,25,25,30,30,35,30,30,30,25,25,25,25,30,30,30,30,30,30,35,35,30,35,30,35,30,35,30,25,30,25,25,30,30,35,30,30,30,30,35,40,40,55,60,60,55,55,55,60,65,55,60,80,115,115,125,120,130,130,140,145,140,145,145,140,135,130,125,135,120
117,Lewisham 027A,E01003309,30,30,40,40,40,40,40,40,45,40,45,45,45,45,50,50,45,35,45,50,40,35,35,30,30,35,35,35,40,40,40,40,45,40,45,45,40,50,55,55,50,65,60,60,60,65,60,55,65,75,70,95,125,125,130,130,130,135,135,145,145,150,155,150,130,120,115,115,110
118,Lewisham 027B,E01003310,25,30,40,30,35,35,30,30,35,40,40,35,40,45,45,50,50,45,45,40,45,45,50,50,50,50,50,40,45,35,35,40,40,50,45,55,50,65,65,65,65,65,75,75,75,75,70,70,60,60,65,105,135,145,150,150,160,140,140,130,125,140,145,130,125,120,120,120,115
119,Lewisham 027C,E01003311,20,20,15,20,20,15,15,15,15,15,15,20,20,20,25,25,25,25,20,25,25,20,20,25,25,20,25,20,20,20,20,20,20,20,20,30,25,30,35,35,30,30,35,30,35,35,35,40,35,30,35,60,85,85,85,90,90,95,95,85,85,90,95,90,80,70,80,70,65
120,Lewisham 027D,E01003312,30,30,30,30,30,25,25,20,20,20,20,20,20,30,25,20,20,25,25,25,25,25,25,25,30,35,40,35,35,35,35,30,35,35,35,40,30,35,35,35,40,40,40,40,40,40,40,30,30,35,40,60,105,105,110,100,105,100,100,105,95,90,95,85,80,90,85,95,75
121,Lewisham 027E,E01003313,35,45,40,40,45,40,35,40,40,35,35,40,35,40,40,35,30,35,35,40,40,45,45,40,40,40,35,45,40,40,45,40,45,40,45,45,50,50,50,55,65,65,65,60,60,60,50,50,55,45,50,65,105,110,110,115,120,115,120,125,130,130,130,125,125,115,125,115,115
122,Lewisham 028A,E01003256,55,55,55,55,60,60,60,55,65,60,60,60,65,60,60,60,65,60,55,60,65,65,75,80,75,75,75,75,75,80,75,70,65,75,80,85,100,115,115,110,105,105,100,105,105,120,115,120,125,120,125,170,200,200,205,210,210,205,205,205,200,215,215,200,200,190,180,180,165
123,Lewisham 028B,E01003257,25,30,30,25,25,25,25,30,25,25,20,20,20,20,15,20,20,25,25,20,20,25,20,20,25,25,25,25,25,25,25,25,20,25,20,25,25,25,25,30,30,30,30,30,30,35,35,40,35,35,30,40,65,60,70,65,70,80,75,75,70,80,85,90,75,70,75,75,70
124,Lewisham 028C,E01003258,35,35,40,40,40,35,30,35,35,35,35,30,30,30,40,40,45,45,45,45,50,45,45,40,45,45,40,45,40,40,35,45,40,50,50,50,45,50,45,45,55,55,55,60,60,60,65,70,65,65,60,90,125,115,115,115,115,110,130,135,140,135,135,130,125,115,105,95,100
125,Lewisham 028D,E01003259,35,35,35,40,40,35,35,30,35,35,25,30,30,30,25,25,30,30,30,25,25,30,30,30,35,35,40,40,35,40,35,35,35,40,40,40,40,50,50,50,55,55,55,50,40,45,45,40,40,45,45,80,110,115,105,105,105,95,105,100,95,100,105,105,90,95,100,95,85
126,Lewisham 029A,E01003193,25,25,30,30,35,35,35,35,35,35,25,30,30,25,25,30,35,30,35,30,35,35,40,45,40,40,35,40,35,35,35,35,40,40,40,40,40,40,40,45,45,50,50,50,50,50,50,50,50,50,45,65,110,105,100,110,110,100,110,100,105,105,110,110,100,100,100,105,110
127,Lewisham 029B,E01003194,45,45,45,40,45,45,40,40,35,40,40,40,40,45,45,40,40,40,35,35,35,30,30,35,25,35,40,40,40,40,35,40,35,40,45,50,50,45,45,50,55,55,50,50,45,40,45,45,45,50,55,90,130,135,130,140,135,140,135,130,125,130,135,130,130,120,120,110,105
128,Lewisham 029C,E01003195,25,20,20,20,20,15,15,20,20,20,25,20,20,25,25,25,20,20,15,15,20,15,15,20,20,15,15,10,10,20,20,20,15,20,25,25,30,30,30,35,35,30,25,25,35,30,30,30,30,30,35,50,75,75,85,90,95,90,90,85,80,80,80,85,80,75,80,75,70
129,Lewisham 029D,E01003196,35,45,40,45,40,45,40,35,35,35,40,40,40,50,55,55,50,50,50,55,55,50,45,50,55,60,55,55,55,55,55,50,50,50,50,55,55,60,60,65,70,75,70,70,70,70,70,70,65,70,70,90,145,135,140,140,150,140,135,145,145,155,160,150,155,140,135,135,125
130,Lewisham 029E,E01003197,40,50,45,55,55,55,55,50,50,55,50,45,45,50,50,65,65,60,60,55,50,50,55,60,65,65,65,60,55,60,55,50,50,60,60,70,65,70,75,70,75,75,75,70,70,75,90,90,90,95,105,130,175,175,185,175,175,175,175,185,170,185,175,175,160,155,160,155,150
131,Lewisham 030A,E01003347,50,50,55,60,60,60,65,65,70,75,65,70,70,70,70,75,75,75,65,60,70,65,65,65,65,60,65,75,80,70,75,70,75,80,85,95,95,95,95,105,115,110,105,110,100,110,110,120,125,125,130,145,205,200,205,210,210,200,205,200,205,210,215,210,195,195,185,175,165
132,Lewisham 030B,E01003348,25,20,20,20,20,15,20,20,20,25,25,15,20,20,20,20,20,25,25,20,25,20,20,20,25,25,30,30,30,30,25,25,25,30,30,30,30,25,30,30,35,35,40,40,40,35,40,35,35,40,40,60,95,95,95,95,95,100,105,115,120,110,110,110,100,100,105,90,90
133,Lewisham 030C,E01003350,25,30,35,35,35,35,30,30,30,30,30,30,30,30,30,40,40,35,35,35,35,40,40,35,35,40,35,30,30,30,25,30,35,35,40,40,40,45,45,45,45,50,50,55,60,55,50,50,50,60,60,80,115,120,125,125,130,125,135,140,135,145,145,140,125,120,115,110,105
134,Lewisham 030D,E01003352,40,40,40,40,45,40,45,45,45,45,50,45,45,40,40,40,35,35,40,40,40,40,40,40,40,40,45,50,40,45,40,35,35,40,40,45,50,45,50,50,50,50,55,55,60,55,60,65,75,70,75,95,145,135,135,145,150,155,155,155,155,160,175,180,170,145,140,135,130
135,Lewisham 030E,E01003353,15,15,15,15,15,15,20,20,15,15,15,15,20,25,20,20,20,20,20,15,20,20,20,15,15,15,10,15,15,15,20,15,10,15,15,20,15,25,25,25,30,25,25,20,30,35,35,40,40,35,40,60,105,100,110,110,115,105,115,115,115,115,115,120,105,90,80,90,85
136,Lewisham 031A,E01003264,25,25,25,25,25,25,20,20,25,20,15,15,15,15,20,15,10,20,20,15,15,20,15,15,15,15,20,20,20,20,20,25,15,15,20,20,20,30,30,35,35,30,25,30,30,25,30,35,35,40,35,65,85,85,90,95,95,85,90,90,85,95,100,100,95,85,85,85,80
