,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
17,Lewisham 005C,E01003210,15,20,20,20,15,20,20,20,20,20,20,20,20,20,15,25,25,25,20,20,25,20,25,20,20,20,25,25,25,25,25,25,25,25,30,25,25,30,30,25,25,25,25,30,30,30,25,25,25,25,25,50,75,85,80,85,85,75,80,75,75,75,80,65,65,55,50,50,45
18,Lewisham 005D,E01003212,20,20,25,25,25,25,20,20,20,20,20,20,20,15,20,15,15,20,20,25,20,15,20,20,20,20,20,20,20,20,20,20,20,20,20,15,20,25,25,25,25,25,25,25,25,25,25,25,25,30,30,45,80,65,75,75,75,80,75,75,70,80,80,80,75,75,75,70,70
19,Lewisham 005E,E01003215,20,15,20,15,10,10,15,15,15,15,15,15,15,15,15,20,20,15,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,15,25,25,25,25,20,20,15,20,20,25,45,55,60,55,60,55,55,60,55,60,60,65,65,60,55,50,50,45
20,Lewisham 006A,E01003338,20,20,25,15,15,20,20,20,20,20,25,25,25,25,25,30,25,25,20,20,20,20,20,20,25,25,25,30,30,35,30,30,30,30,35,30,30,35,35,40,40,40,40,35,30,35,35,35,30,35,35,60,85,75,80,85,90,90,100,95,100,105,105,100,95,90,95,85,80
21,Lewisham 006B,E01003339,20,20,20,20,20,20,15,20,20,20,20,20,20,20,20,20,25,25,20,20,20,25,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,30,30,30,30,25,25,25,20,20,25,25,25,25,30,60,80,85,85,85,90,95,95,95,95,95,100,95,100,85,90,80,80
22,Lewisham 006C,E01003340,15,20,20,15,20,20,15,15,20,15,15,15,15,15,20,20,25,20,20,15,15,15,15,15,15,15,15,15,15,15,20,15,15,20,15,15,15,15,20,15,15,15,20,15,15,20,15,20,20,20,20,40,60,65,60,70,75,75,70,75,65,70,70,70,65,70,60,55,55
23,Lewisham 006D,E01003341,10,10,5,10,10,15,10,10,10,5,5,10,10,5,10,10,10,10,10,15,15,15,10,5,10,10,10,10,10,10,10,10,15,20,15,15,15,15,15,15,15,15,15,15,15,10,10,15,15,15,15,30,50,45,45,45,40,45,50,45,55,55,60,60,45,40,40,30,30
24,Lewisham 006E,E01003343,10,15,15,10,15,15,15,10,15,10,10,10,10,10,10,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,15,20,20,20,20,20,20,25,20,20,20,20,25,35,50,50,50,50,50,55,50,50,45,50,50,55,55,45,45,45,45
25,Lewisham 007A,E01003199,10,10,10,5,5,5,10,10,5,10,10,10,5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,10,10,10,10,10,15,10,10,15,15,30,50,45,50,45,40,40,45,45,45,50,45,50,50,45,30,35,30
26,Lewisham 007B,E01003201,20,20,20,20,20,20,20,25,20,20,20,20,20,25,25,25,25,20,20,20,20,20,20,25,25,25,25,25,25,30,25,25,25,25,25,30,30,30,35,35,35,35,30,35,35,30,30,30,30,35,35,60,70,70,70,70,70,70,70,70,70,75,70,65,65,65,65,70,60
27,Lewisham 007C,E01003204,5,5,5,5,5,5,10,10,10,15,15,10,10,10,15,10,10,10,10,10,10,10,10,10,10,5,5,10,10,10,10,10,15,15,10,10,10,15,15,15,15,10,15,15,15,15,15,15,15,15,15,30,45,40,40,40,40,40,40,45,40,45,45,45,40,35,35,35,35
28,Lewisham 007D,E01003205,15,15,20,25,20,20,20,25,20,15,10,15,15,15,15,15,15,15,20,20,15,10,10,10,10,10,5,10,10,10,5,5,5,5,5,10,10,10,10,10,10,10,15,20,20,15,15,15,15,10,15,20,40,40,40,35,35,40,40,35,35,35,40,40,40,35,35,35,35
29,Lewisham 007E,E01003206,10,10,10,10,15,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,5,10,10,10,5,10,10,15,10,15,10,15,15,10,15,15,15,15,15,10,15,15,25,25,25,25,25,30,30,30,30,30,35,35,30,30,30,25,25
30,Lewisham 008B,E01003211,25,25,25,20,25,20,20,20,20,25,20,20,25,30,30,25,25,25,20,25,25,25,25,25,25,25,30,30,30,30,30,25,25,25,30,30,30,30,30,30,30,35,35,30,30,30,30,20,25,25,30,45,70,55,65,65,60,60,65,65,65,75,75,75,70,70,70,65,70
31,Lewisham 008C,E01003213,15,15,15,20,15,20,15,15,10,15,15,15,15,20,15,15,15,20,15,20,20,15,20,20,15,15,20,20,20,20,15,15,20,15,20,20,20,20,25,25,20,25,20,25,20,25,20,25,25,20,25,35,60,55,55,60,60,60,75,70,80,75,75,75,70,65,60,55,55
32,Lewisham 008D,E01003214,15,20,15,20,15,15,15,15,15,10,15,15,15,15,15,15,20,15,15,15,15,20,20,20,20,20,15,20,15,20,20,15,15,15,20,20,25,25,25,30,25,25,25,25,25,25,25,30,25,30,20,45,80,85,90,95,90,85,85,85,85,85,80,85,75,80,75,70,65
33,Lewisham 008E,E01033324,20,15,15,20,15,15,15,15,15,20,20,20,20,15,20,20,20,20,20,25,25,25,20,25,25,25,20,15,15,15,15,10,20,20,20,20,20,25,25,25,30,30,25,30,30,30,35,30,30,30,30,45,65,65,65,70,70,65,65,65,65,70,75,75,65,65,60,60,55
34,Lewisham 008F,E01033325,0,0,5,0,0,5,5,5,0,0,5,5,5,0,5,5,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,5,5,0,0,0,0,0,5,5,15,20,25,25,25,30,25,25,20,20,25,30,25,25,25,20,20,20
35,Lewisham 009A,E01003198,15,15,10,5,10,10,10,10,10,5,5,10,10,10,10,15,10,15,10,15,15,15,15,10,15,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,15,15,15,15,15,15,15,20,40,35,35,40,40,45,40,40,40,40,45,40,35,30,30,25,30
36,Lewisham 009B,E01003200,5,5,5,5,5,5,5,5,5,5,10,10,5,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,5,10,10,5,5,5,5,10,10,10,10,10,10,10,15,20,25,25,25,25,30,30,30,30,30,30,30,35,30,30,25,25,25
37,Lewisham 009C,E01003202,5,5,10,5,5,10,5,5,10,5,5,10,10,5,5,5,5,5,5,5,10,5,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,5,5,5,5,20,30,30,35,35,30,35,30,30,30,30,30,35,35,25,25,20,20
38,Lewisham 009D,E01003203,25,30,35,35,25,30,35,30,35,35,35,35,35,35,35,35,35,35,30,30,35,35,35,35,35,35,35,35,35,30,30,30,30,35,35,35,35,40,45,45,45,50,55,45,50,45,35,40,45,50,50,70,95,80,90,85,85,90,85,95,105,100,95,95,85,80,75,70,65
39,Lewisham 010A,E01003336,20,20,20,25,20,20,20,20,25,25,25,30,25,25,30,25,25,30,25,25,20,20,20,20,25,25,20,20,20,20,20,25,25,25,25,30,25,35,35,30,30,35,30,30,30,25,25,30,30,30,35,45,70,70,65,70,70,65,75,75,70,65,70,75,70,60,65,55,55
40,Lewisham 010B,E01003337,15,15,20,20,25,25,25,25,25,25,20,15,20,20,20,15,15,20,20,20,20,25,20,20,20,25,25,25,25,25,25,25,20,20,25,25,30,35,30,35,35,35,35,35,35,35,30,30,30,35,30,35,55,50,50,55,60,60,65,65,60,60,65,65,60,55,45,45,45
41,Lewisham 010C,E01003342,15,15,15,10,15,10,10,15,15,15,10,10,10,10,10,15,15,15,10,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,20,15,15,15,10,15,15,15,15,15,15,15,15,30,55,55,50,50,50,45,50,50,50,55,55,50,50,50,55,50,50
42,Lewisham 010D,E01003344,20,20,20,15,20,20,20,25,20,20,20,20,20,20,15,15,15,15,20,15,15,15,20,20,20,20,25,25,25,25,25,25,20,25,25,30,30,30,25,25,25,25,25,25,30,30,30,30,25,30,25,40,70,65,70,65,70,70,75,70,70,70,65,65,65,65,60,60,65
43,Lewisham 010E,E01003345,10,15,15,10,10,10,10,15,20,15,10,15,10,10,10,10,15,15,15,20,20,15,15,10,10,15,15,15,15,15,15,15,15,20,15,15,15,15,15,15,15,20,15,20,20,20,15,15,15,15,20,40,60,55,60,65,60,65,70,70,65,60,60,60,60,60,60,50,50
44,Lewisham 011A,E01003273,10,10,10,10,10,5,5,5,5,5,5,5,5,5,10,10,10,5,5,5,5,10,5,5,10,5,5,5,5,5,10,5,10,10,10,10,10,10,10,10,10,15,15,10,10,10,15,10,15,15,15,25,50,45,45,50,45,55,50,55,50,55,50,45,40,35,40,30,35
45,Lewisham 011B,E01003277,30,25,30,25,25,25,15,20,20,25,20,25,20,20,20,15,20,25,20,20,20,20,20,20,20,15,15,15,15,10,10,5,10,10,15,15,20,20,25,20,25,30,25,25,25,25,25,25,25,30,30,35,50,50,60,55,60,60,65,75,65,70,70,70,65,60,55,60,65
