OA11CD,Month,Households on Universal Credit
E00016790,August 2021,63.0
E00016792,August 2021,157.0
E00016795,August 2021,51.0
E00016784,August 2021,34.0
E00016811,August 2021,57.0
E00016812,August 2021,29.0
E00016816,August 2021,37.0
E00016817,August 2021,25.0
E00016937,August 2021,48.0
E00016959,August 2021,30.0
E00016962,August 2021,65.0
E00016965,August 2021,66.0
E00016970,August 2021,73.0
E00016928,August 2021,74.0
E00016947,August 2021,25.0
E00016958,August 2021,76.0
E00016963,August 2021,45.0
E00016948,August 2021,80.0
E00016949,August 2021,82.0
E00016951,August 2021,80.0
E00016955,August 2021,82.0
E00016956,August 2021,39.0
E00016934,August 2021,43.0
E00016935,August 2021,28.0
E00016936,August 2021,26.0
E00016938,August 2021,18.0
E00016939,August 2021,31.0
E00016950,August 2021,29.0
E00016967,August 2021,37.0
E00016968,August 2021,28.0
E00016969,August 2021,47.0
E00016971,August 2021,40.0
E00016796,August 2021,89.0
E00016799,August 2021,41.0
E00016804,August 2021,57.0
E00016805,August 2021,46.0
E00016806,August 2021,24.0
E00016781,August 2021,31.0
E00016793,August 2021,40.0
E00016794,August 2021,28.0
E00016801,August 2021,58.0
E00016803,August 2021,40.0
E00016808,August 2021,26.0
E00016778,August 2021,51.0
E00016788,August 2021,36.0
E00016791,August 2021,42.0
E00016800,August 2021,32.0
E00016820,August 2021,55.0
E00016823,August 2021,46.0
E00016813,August 2021,17.0
E00016814,August 2021,40.0
E00016815,August 2021,37.0
E00016818,August 2021,55.0
E00016819,August 2021,43.0
E00016311,August 2021,19.0
E00016328,August 2021,22.0
E00016330,August 2021,29.0
E00016331,August 2021,26.0
E00016334,August 2021,32.0
E00016326,August 2021,17.0
E00016329,August 2021,31.0
E00016332,August 2021,18.0
E00016333,August 2021,19.0
E00016337,August 2021,25.0
E00016335,August 2021,22.0
E00016336,August 2021,18.0
E00016339,August 2021,14.0
E00016340,August 2021,15.0
E00016341,August 2021,9.0
E00016309,August 2021,29.0
E00016323,August 2021,31.0
E00016324,August 2021,54.0
E00016325,August 2021,40.0
E00016327,August 2021,30.0
E00016921,August 2021,45.0
E00016922,August 2021,34.0
E00016923,August 2021,49.0
E00016925,August 2021,65.0
E00016926,August 2021,55.0
E00016915,August 2021,51.0
E00016916,August 2021,67.0
E00016920,August 2021,38.0
E00016881,August 2021,49.0
E00173950,August 2021,81.0
E00173951,August 2021,53.0
E00016885,August 2021,38.0
E00016887,August 2021,15.0
E00016889,August 2021,33.0
E00016890,August 2021,46.0
E00016895,August 2021,27.0
E00016917,August 2021,54.0
E00016918,August 2021,68.0
E00016919,August 2021,35.0
E00016924,August 2021,37.0
E00016927,August 2021,17.0
E00016879,August 2021,27.0
E00016884,August 2021,19.0
E00016886,August 2021,26.0
E00016893,August 2021,32.0
E00016219,August 2021,50.0
E00016220,August 2021,31.0
E00016221,August 2021,46.0
E00016223,August 2021,37.0
E00016225,August 2021,31.0
E00016255,August 2021,12.0
E00174008,August 2021,21.0
E00174010,August 2021,12.0
E00174013,August 2021,24.0
E00174015,August 2021,29.0
E00174025,August 2021,13.0
E00174027,August 2021,7.0
E00016229,August 2021,41.0
E00016230,August 2021,34.0
E00016231,August 2021,46.0
E00016232,August 2021,53.0
E00016233,August 2021,68.0
E00016212,August 2021,52.0
E00016249,August 2021,28.0
E00016254,August 2021,24.0
E00173952,August 2021,33.0
E00174016,August 2021,32.0
E00174022,August 2021,28.0
E00016218,August 2021,18.0
E00016222,August 2021,56.0
E00016224,August 2021,32.0
E00016226,August 2021,42.0
E00016227,August 2021,31.0
E00016228,August 2021,26.0
E00016160,August 2021,9.0
E00016183,August 2021,12.0
E00016185,August 2021,7.0
